gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[0 7],dist[0 8],dist[0 9],dist[0 10],dist[0 11],dist[0 12],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[1 7],dist[1 8],dist[1 9],dist[1 10],dist[1 11],dist[1 12],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[2 7],dist[2 8],dist[2 9],dist[2 10],dist[2 11],dist[2 12],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[3 7],dist[3 8],dist[3 9],dist[3 10],dist[3 11],dist[3 12],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[4 7],dist[4 8],dist[4 9],dist[4 10],dist[4 11],dist[4 12],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[5 7],dist[5 8],dist[5 9],dist[5 10],dist[5 11],dist[5 12],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6],dist[6 7],dist[6 8],dist[6 9],dist[6 10],dist[6 11],dist[6 12]
0,0,2.94343e-011,2.00732e-010,5.43501e-010,5.58182e-010,2.16801e-010,3.14678e-011,1.70947e-012,5.23899e-009,3.57281e-008,9.67373e-008,9.93503e-008,3.85882e-008,5.60093e-009,3.04267e-010,3.55183e-007,2.42223e-006,6.55842e-006,6.73557e-006,2.61613e-006,3.79722e-007,2.06281e-008,9.25942e-006,6.31462e-005,0.000170974,0.000175593,6.82012e-005,9.89913e-006,5.37763e-007,9.38761e-005,0.000640204,0.00173341,0.00178024,0.000691454,0.000100362,5.45208e-006,0.000374482,0.00255384,0.00691477,0.00710155,0.00275828,0.000400354,2.17489e-005,0.000593217,0.00404554,0.0109537,0.0112496,0.0043694,0.000634201,3.44525e-005,0.000374482,0.00255384,0.00691477,0.00710155,0.00275828,0.000400354,2.17489e-005,9.38761e-005,0.000640204,0.00173341,0.00178024,0.000691454,0.000100362,5.45208e-006,9.25942e-006,6.31462e-005,0.000170974,0.000175593,6.82012e-005,9.89913e-006,5.37763e-007,3.55183e-007,2.42223e-006,6.55842e-006,6.73557e-006,2.61613e-006,3.79722e-007,2.06281e-008,5.23899e-009,3.57281e-008,9.67373e-008,9.93503e-008,3.85882e-008,5.60093e-009,3.04267e-010,2.94343e-011,2.00732e-010,5.43501e-010,5.58182e-010,2.16801e-010,3.14678e-011,1.70947e-012
1,0.0185364,1.73498e-011,1.43743e-010,4.62443e-010,5.58124e-010,2.52882e-010,4.26982e-011,2.71322e-012,3.08808e-009,2.55848e-008,8.23097e-008,9.93401e-008,4.50102e-008,7.59982e-009,4.82923e-010,2.0936e-007,1.73455e-006,5.58028e-006,6.73488e-006,3.05152e-006,5.15239e-007,3.27403e-008,5.45789e-006,4.52187e-005,0.000145475,0.000175574,7.95514e-005,1.3432e-005,8.53522e-007,5.53345e-005,0.000458447,0.00147489,0.00178005,0.000806527,0.000136179,8.65339e-006,0.000220735,0.0018288,0.00588349,0.00710082,0.00321733,0.000543235,3.45193e-005,0.000349667,0.002897,0.00932004,0.0112484,0.00509657,0.000860538,5.4682e-005,0.000220735,0.0018288,0.00588349,0.00710082,0.00321733,0.000543235,3.45193e-005,5.53345e-005,0.000458447,0.00147489,0.00178005,0.000806527,0.000136179,8.65339e-006,5.45789e-006,4.52187e-005,0.000145475,0.000175574,7.95514e-005,1.3432e-005,8.53522e-007,2.0936e-007,1.73455e-006,5.58028e-006,6.73488e-006,3.05152e-006,5.15239e-007,3.27403e-008,3.08808e-009,2.55848e-008,8.23097e-008,9.93401e-008,4.50102e-008,7.59982e-009,4.82923e-010,1.73498e-011,1.43743e-010,4.62443e-010,5.58124e-010,2.52882e-010,4.26982e-011,2.71322e-012
2,0.0372875,2.07513e-011,1.93101e-010,7.00332e-010,9.6043e-010,4.98204e-010,9.68913e-011,7.13673e-012,3.69351e-009,3.43699e-008,1.24652e-007,1.70946e-007,8.8675e-008,1.72456e-008,1.27026e-009,2.50406e-007,2.33014e-006,8.45089e-006,1.15895e-005,6.01182e-006,1.16919e-006,8.61188e-008,6.52794e-006,6.07456e-005,0.00022031,0.000302131,0.000156725,3.048e-005,2.24507e-006,6.61832e-005,0.000615865,0.0022336,0.00306314,0.00158895,0.00030902,2.27615e-005,0.000264012,0.00245676,0.00891008,0.0122192,0.00633848,0.00123271,9.07981e-005,0.000418221,0.00389175,0.0141145,0.0193564,0.0100408,0.00195274,0.000143833,0.000264012,0.00245676,0.00891008,0.0122192,0.00633848,0.00123271,9.07981e-005,6.61832e-005,0.000615865,0.0022336,0.00306314,0.00158895,0.00030902,2.27615e-005,6.52794e-006,6.07456e-005,0.00022031,0.000302131,0.000156725,3.048e-005,2.24507e-006,2.50406e-007,2.33014e-006,8.45089e-006,1.15895e-005,6.01182e-006,1.16919e-006,8.61188e-008,3.69351e-009,3.43699e-008,1.24652e-007,1.70946e-007,8.8675e-008,1.72456e-008,1.27026e-009,2.07513e-011,1.93101e-010,7.00332e-010,9.6043e-010,4.98204e-010,9.68913e-011,7.13673e-012
3,0.0562558,1.74119e-011,1.79255e-010,7.16462e-010,1.07987e-009,6.1339e-010,1.30172e-010,1.0461e-011,3.09913e-009,3.19054e-008,1.27522e-007,1.92205e-007,1.09177e-007,2.31692e-008,1.86195e-009,2.10109e-007,2.16307e-006,8.64553e-006,1.30307e-005,7.40177e-006,1.57078e-006,1.26233e-007,5.47743e-006,5.63899e-005,0.000225384,0.000339704,0.00019296,4.09494e-005,3.29083e-006,5.55326e-005,0.000571706,0.00228504,0.00344407,0.00195631,0.000415164,3.33639e-005,0.000221526,0.0022806,0.00911529,0.0137388,0.00780395,0.00165613,0.000133092,0.000350919,0.0036127,0.0144395,0.0217636,0.0123622,0.00262348,0.000210831,0.000221526,0.0022806,0.00911529,0.0137388,0.00780395,0.00165613,0.000133092,5.55326e-005,0.000571706,0.00228504,0.00344407,0.00195631,0.000415164,3.33639e-005,5.47743e-006,5.63899e-005,0.000225384,0.000339704,0.00019296,4.09494e-005,3.29083e-006,2.10109e-007,2.16307e-006,8.64553e-006,1.30307e-005,7.40177e-006,1.57078e-006,1.26233e-007,3.09913e-009,3.19054e-008,1.27522e-007,1.92205e-007,1.09177e-007,2.31692e-008,1.86195e-009,1.74119e-011,1.79255e-010,7.16462e-010,1.07987e-009,6.1339e-010,1.30172e-010,1.0461e-011
4,0.0754439,1.17886e-011,1.30419e-010,5.61861e-010,9.1927e-010,5.72228e-010,1.34685e-010,1.22189e-011,2.09825e-009,2.32131e-008,1.00005e-007,1.6362e-007,1.0185e-007,2.39724e-008,2.17484e-009,1.42253e-007,1.57376e-006,6.77996e-006,1.10928e-005,6.90506e-006,1.62524e-006,1.47446e-007,3.70846e-006,4.10271e-005,0.00017675,0.000289183,0.000180011,4.2369e-005,3.84383e-006,3.7598e-005,0.000415951,0.00179197,0.00293187,0.00182503,0.000429555,3.89704e-005,0.000149983,0.00165927,0.00714836,0.0116955,0.00728026,0.00171354,0.000155457,0.000237587,0.00262845,0.0113237,0.0185269,0.0115327,0.00271442,0.00024626,0.000149983,0.00165927,0.00714836,0.0116955,0.00728026,0.00171354,0.000155457,3.7598e-005,0.000415951,0.00179197,0.00293187,0.00182503,0.000429555,3.89704e-005,3.70846e-006,4.10271e-005,0.00017675,0.000289183,0.000180011,4.2369e-005,3.84383e-006,1.42253e-007,1.57376e-006,6.77996e-006,1.10928e-005,6.90506e-006,1.62524e-006,1.47446e-007,2.09825e-009,2.32131e-008,1.00005e-007,1.6362e-007,1.0185e-007,2.39724e-008,2.17484e-009,1.17886e-011,1.30419e-010,5.61861e-010,9.1927e-010,5.72228e-010,1.34685e-010,1.22189e-011
5,0.0948544,7.98017e-012,9.38254e-011,4.31254e-010,7.56648e-010,5.07143e-010,1.28826e-010,1.26419e-011,1.42038e-009,1.66999e-008,7.67585e-008,1.34675e-007,9.02659e-008,2.29297e-008,2.25012e-009,9.62966e-008,1.13219e-006,5.20393e-006,9.13045e-006,6.11968e-006,1.55454e-006,1.52549e-007,2.5104e-006,2.95155e-005,0.000135664,0.000238026,0.000159537,4.05261e-005,3.97688e-006,2.54515e-005,0.000299241,0.00137542,0.00241321,0.00161745,0.000410871,4.03193e-005,0.000101529,0.00119371,0.00548669,0.00962657,0.0064522,0.00163901,0.000160838,0.000160832,0.00189095,0.00869147,0.0152494,0.0102209,0.00259636,0.000254784,0.000101529,0.00119371,0.00548669,0.00962657,0.0064522,0.00163901,0.000160838,2.54515e-005,0.000299241,0.00137542,0.00241321,0.00161745,0.000410871,4.03193e-005,2.5104e-006,2.95155e-005,0.000135664,0.000238026,0.000159537,4.05261e-005,3.97688e-006,9.62966e-008,1.13219e-006,5.20393e-006,9.13045e-006,6.11968e-006,1.55454e-006,1.52549e-007,1.42038e-009,1.66999e-008,7.67585e-008,1.34675e-007,9.02659e-008,2.29297e-008,2.25012e-009,7.98017e-012,9.38254e-011,4.31254e-010,7.56648e-010,5.07143e-010,1.28826e-010,1.26419e-011
6,0.11449,5.13733e-012,6.48462e-011,3.20692e-010,6.0571e-010,4.3618e-010,1.18633e-010,1.24398e-011,9.14388e-010,1.15419e-008,5.70797e-008,1.0781e-007,7.76354e-008,2.11154e-008,2.21415e-009,6.1992e-008,7.82498e-007,3.86979e-006,7.30909e-006,5.26338e-006,1.43155e-006,1.50111e-007,1.6161e-006,2.03993e-005,0.000100883,0.000190544,0.000137213,3.73196e-005,3.91331e-006,1.63847e-005,0.000206817,0.0010228,0.00193182,0.00139113,0.000378363,3.96749e-005,6.53604e-005,0.000825015,0.00408005,0.00770623,0.00554937,0.00150933,0.000158267,0.000103537,0.00130691,0.00646321,0.0122074,0.00879075,0.00239093,0.000250711,6.53604e-005,0.000825015,0.00408005,0.00770623,0.00554937,0.00150933,0.000158267,1.63847e-005,0.000206817,0.0010228,0.00193182,0.00139113,0.000378363,3.96749e-005,1.6161e-006,2.03993e-005,0.000100883,0.000190544,0.000137213,3.73196e-005,3.91331e-006,6.1992e-008,7.82498e-007,3.86979e-006,7.30909e-006,5.26338e-006,1.43155e-006,1.50111e-007,9.14388e-010,1.15419e-008,5.70797e-008,1.0781e-007,7.76354e-008,2.11154e-008,2.21415e-009,5.13733e-012,6.48462e-011,3.20692e-010,6.0571e-010,4.3618e-010,1.18633e-010,1.24398e-011
7,0.134352,3.88896e-012,4.97021e-011,2.48488e-010,4.75416e-010,3.48565e-010,9.73183e-011,1.0615e-011,6.92192e-010,8.84642e-009,4.42281e-008,8.4619e-008,6.20408e-008,1.73216e-008,1.88936e-009,4.69279e-008,5.99754e-007,2.99849e-006,5.73684e-006,4.20613e-006,1.17434e-006,1.28091e-007,1.22338e-006,1.56352e-005,7.8169e-005,0.000149556,0.000109651,3.06143e-005,3.33926e-006,1.24032e-005,0.000158517,0.000792512,0.00151627,0.00111169,0.000310382,3.38549e-005,4.94778e-005,0.000632342,0.00316142,0.00604856,0.00443467,0.00123815,0.000135051,7.83778e-005,0.00100169,0.005008,0.00958152,0.00702496,0.00196135,0.000213934,4.94778e-005,0.000632342,0.00316142,0.00604856,0.00443467,0.00123815,0.000135051,1.24032e-005,0.000158517,0.000792512,0.00151627,0.00111169,0.000310382,3.38549e-005,1.22338e-006,1.56352e-005,7.8169e-005,0.000149556,0.000109651,3.06143e-005,3.33926e-006,4.69279e-008,5.99754e-007,2.99849e-006,5.73684e-006,4.20613e-006,1.17434e-006,1.28091e-007,6.92192e-010,8.84642e-009,4.42281e-008,8.4619e-008,6.20408e-008,1.73216e-008,1.88936e-009,3.88896e-012,4.97021e-011,2.48488e-010,4.75416e-010,3.48565e-010,9.73183e-011,1.0615e-011
8,0.154445,2.52975e-012,3.36175e-011,1.7619e-010,3.56352e-010,2.78355e-010,8.3411e-011,9.86437e-012,4.50268e-010,5.98354e-009,3.13598e-008,6.34267e-008,4.95441e-008,1.48463e-008,1.75575e-009,3.05264e-008,4.05661e-007,2.12608e-006,4.30009e-006,3.3589e-006,1.00652e-006,1.19033e-007,7.95807e-007,1.05754e-005,5.54256e-005,0.000112101,8.75647e-005,2.62394e-005,3.10313e-006,8.06824e-006,0.000107218,0.000561929,0.00113653,0.00088777,0.000266026,3.14609e-005,3.21851e-005,0.000427703,0.0022416,0.00453374,0.00354141,0.00106121,0.000125501,5.09844e-005,0.000677524,0.00355092,0.00718189,0.00560995,0.00168106,0.000198806,3.21851e-005,0.000427703,0.0022416,0.00453374,0.00354141,0.00106121,0.000125501,8.06824e-006,0.000107218,0.000561929,0.00113653,0.00088777,0.000266026,3.14609e-005,7.95807e-007,1.05754e-005,5.54256e-005,0.000112101,8.75647e-005,2.62394e-005,3.10313e-006,3.05264e-008,4.05661e-007,2.12608e-006,4.30009e-006,3.3589e-006,1.00652e-006,1.19033e-007,4.50268e-010,5.98354e-009,3.13598e-008,6.34267e-008,4.95441e-008,1.48463e-008,1.75575e-009,2.52975e-012,3.36175e-011,1.7619e-010,3.56352e-010,2.78355e-010,8.3411e-011,9.86437e-012
9,0.174771,1.68206e-012,2.36983e-011,1.31275e-010,2.80232e-010,2.30866e-010,7.29452e-011,9.11196e-012,2.99389e-010,4.21803e-009,2.33654e-008,4.98783e-008,4.10916e-008,1.29835e-008,1.62183e-009,2.02974e-008,2.85966e-007,1.58409e-006,3.38156e-006,2.78585e-006,8.80228e-007,1.09954e-007,5.29142e-007,7.45498e-006,4.12963e-005,8.81553e-005,7.26255e-005,2.29471e-005,2.86643e-006,5.36468e-006,7.55819e-005,0.00041868,0.000893758,0.00073631,0.000232647,2.90612e-005,2.14003e-005,0.000301505,0.00167016,0.0035653,0.00293722,0.000928056,0.000115928,3.39002e-005,0.000477613,0.0026457,0.00564779,0.00465285,0.00147013,0.000183642,2.14003e-005,0.000301505,0.00167016,0.0035653,0.00293722,0.000928056,0.000115928,5.36468e-006,7.55819e-005,0.00041868,0.000893758,0.00073631,0.000232647,2.90612e-005,5.29142e-007,7.45498e-006,4.12963e-005,8.81553e-005,7.26255e-005,2.29471e-005,2.86643e-006,2.02974e-008,2.85966e-007,1.58409e-006,3.38156e-006,2.78585e-006,8.80228e-007,1.09954e-007,2.99389e-010,4.21803e-009,2.33655e-008,4.98783e-008,4.10916e-008,1.29835e-008,1.62183e-009,1.68206e-012,2.36983e-011,1.31275e-010,2.80232e-010,2.30866e-010,7.29452e-011,9.11196e-012
