gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
32,2.43204,0.00107558,0.0013349,0.00107558,0.00368568,0.00457429,0.00368568,0.00523857,0.00650157,0.00523857,0.00282742,0.0035091,0.00282742,0.000605678,0.000751705,0.000605678
33,2.5502,0.00100625,0.00124885,0.00100625,0.00346914,0.00430553,0.00346914,0.00507934,0.00630396,0.00507934,0.00291654,0.00361971,0.00291654,0.000679397,0.000843197,0.000679397
34,2.67182,0.000982428,0.00121929,0.000982428,0.00359728,0.00446457,0.00359728,0.00550383,0.00683078,0.00550383,0.0032155,0.00399074,0.0032155,0.000749422,0.000930106,0.000749422
35,2.797,0.000926591,0.00114999,0.000926591,0.00355572,0.00441299,0.00355572,0.00569431,0.00706718,0.00569431,0.00346985,0.00430642,0.00346985,0.000851137,0.00105634,0.000851137
36,2.92586,0.000858558,0.00106555,0.000858558,0.00328354,0.00407519,0.00328354,0.00529801,0.00657534,0.00529801,0.00333302,0.0041366,0.00333302,0.00086892,0.00107841,0.00086892
37,3.05848,0.000820276,0.00101804,0.000820276,0.00315999,0.00392185,0.00315999,0.00522791,0.00648834,0.00522791,0.00340276,0.00422316,0.00340276,0.000906533,0.0011251,0.000906533
38,3.195,0.00076949,0.000955011,0.00076949,0.00307911,0.00382148,0.00307911,0.00524866,0.00651409,0.00524866,0.0034911,0.00433279,0.0034911,0.00095809,0.00118908,0.00095809
39,3.33551,0.000706551,0.000876898,0.000706551,0.00281981,0.00349965,0.00281981,0.00483635,0.00600237,0.00483635,0.00331344,0.0041123,0.00331344,0.000961411,0.0011932,0.000961411
40,3.48015,0.000604198,0.000749868,0.000604198,0.00247381,0.00307024,0.00247381,0.00440355,0.00546523,0.00440355,0.00313763,0.00389411,0.00313763,0.000937862,0.00116398,0.000937862
41,3.62902,0.000574179,0.000712612,0.000574179,0.00236459,0.00293468,0.00236459,0.00424012,0.0052624,0.00424012,0.0030647,0.00380359,0.0030647,0.000942975,0.00117032,0.000942975
42,3.78225,0.000529854,0.0006576,0.000529854,0.00224154,0.00278196,0.00224154,0.00409317,0.00508002,0.00409317,0.00297458,0.00369174,0.00297458,0.000921515,0.00114369,0.000921515
43,3.93998,0.000472766,0.000586749,0.000472766,0.00200388,0.00248701,0.00200388,0.00375411,0.00465922,0.00375411,0.00285274,0.00354053,0.00285274,0.000920205,0.00114206,0.000920205
44,4.10232,0.000427757,0.000530887,0.000427757,0.00179606,0.00222908,0.00179606,0.00331093,0.00410918,0.00331093,0.00251156,0.00311709,0.00251156,0.000830977,0.00103132,0.000830977
45,4.26943,0.000377145,0.000468073,0.000377145,0.00164886,0.00204639,0.00164886,0.00314095,0.00389822,0.00314095,0.00241449,0.00299662,0.00241449,0.000800242,0.000993178,0.000800242
46,4.44143,0.000340932,0.000423129,0.000340932,0.00149794,0.00185909,0.00149794,0.00292088,0.00362509,0.00292088,0.00231329,0.00287101,0.00231329,0.000776703,0.000963963,0.000776703
47,4.61847,0.000282356,0.000350431,0.000282356,0.00125658,0.00155953,0.00125658,0.00249596,0.00309773,0.00249596,0.00201974,0.00250669,0.00201974,0.000700621,0.000869539,0.000700621
48,4.8007,0.000271841,0.000337381,0.000271841,0.00118124,0.00146603,0.00118124,0.00226926,0.00281638,0.00226926,0.00179804,0.00223154,0.00179804,0.000617885,0.000766854,0.000617885
