gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
48,1.18124,-27.7877,-27.6662,-27.5459,-27.4256,-27.307,-27.1891,-27.0712,-27.1319,-27.0157,-26.8995,-26.7842,-26.6702,-26.5563,-26.4436,-26.4042,-26.2919,-26.1815,-26.0714,-25.9613,-25.8533,-25.7454,-25.5959,-25.4895,-25.3838,-25.2795,-25.1751,-25.0716,-24.9693,-24.7001,-24.5993,-24.5001,-24.4013,-24.3024,-24.2051,-24.1081,-23.7101,-23.6165,-23.5228,-23.43,-23.3382,-23.2463,-23.1551,-22.6218,-22.5347,-22.4476,-22.3616,-22.2762,-22.1908,-22.106
49,1.21346,-27.4419,-27.3198,-27.1987,-27.0776,-26.9585,-26.8398,-26.7214,-26.7996,-26.6826,-26.5655,-26.4497,-26.3349,-26.2202,-26.1071,-26.0864,-25.9732,-25.8621,-25.7512,-25.6404,-25.5317,-25.423,-25.2936,-25.1865,-25.0799,-24.9748,-24.8697,-24.7655,-24.6625,-24.4147,-24.3131,-24.213,-24.1134,-24.0138,-23.9157,-23.818,-23.4425,-23.3481,-23.2538,-23.16,-23.0674,-22.9749,-22.8828,-22.3732,-22.2854,-22.1977,-22.1105,-22.0245,-21.9384,-21.8527
50,1.24606,-27.0993,-26.9767,-26.8548,-26.7329,-26.6134,-26.494,-26.3752,-26.4703,-26.3524,-26.2346,-26.1182,-26.0027,-25.8872,-25.7737,-25.7711,-25.6572,-25.5454,-25.4337,-25.3224,-25.2129,-25.1034,-24.9937,-24.8858,-24.7785,-24.6727,-24.5668,-24.4619,-24.3582,-24.1313,-24.029,-23.928,-23.8277,-23.7274,-23.6284,-23.5301,-23.1766,-23.0816,-22.9865,-22.8918,-22.7986,-22.7053,-22.6124,-22.126,-22.0376,-21.9493,-21.8611,-21.7744,-21.6877,-21.6011
51,1.27903,-26.7599,-26.6367,-26.5141,-26.3918,-26.2717,-26.1515,-26.0324,-26.1438,-26.0253,-25.9067,-25.7898,-25.6736,-25.5573,-25.4434,-25.4585,-25.3439,-25.2314,-25.119,-25.0071,-24.8969,-24.7868,-24.6961,-24.5875,-24.4794,-24.3729,-24.2664,-24.1609,-24.0564,-23.8499,-23.7469,-23.645,-23.5441,-23.4431,-23.3434,-23.2444,-22.9125,-22.8168,-22.7211,-22.6254,-22.5316,-22.4377,-22.344,-21.8805,-21.7913,-21.7023,-21.6134,-21.5258,-21.4386,-21.3513
52,1.31239,-26.4236,-26.3,-26.1767,-26.054,-25.9332,-25.8123,-25.693,-25.8202,-25.701,-25.5817,-25.4643,-25.3474,-25.2308,-25.1162,-25.1484,-25.0331,-24.92,-24.807,-24.6945,-24.5837,-24.4729,-24.4008,-24.2915,-24.1828,-24.0756,-23.9684,-23.8623,-23.7572,-23.5705,-23.4669,-23.3642,-23.2626,-23.161,-23.0607,-22.961,-22.6504,-22.5537,-22.4574,-22.3611,-22.2664,-22.172,-22.0776,-21.6367,-21.5464,-21.4569,-21.3674,-21.2789,-21.1911,-21.1033
53,1.34613,-26.0904,-25.9664,-25.8424,-25.7194,-25.5979,-25.4764,-25.3568,-25.4994,-25.3795,-25.2596,-25.1418,-25.0242,-24.9073,-24.792,-24.841,-24.725,-24.6113,-24.4977,-24.3847,-24.2733,-24.1618,-24.1078,-23.9979,-23.8885,-23.7807,-23.6729,-23.5662,-23.4605,-23.2931,-23.1889,-23.0855,-22.9833,-22.8811,-22.7801,-22.6799,-22.39,-22.2924,-22.1955,-22.0987,-22.0032,-21.9082,-21.8132,-21.3943,-21.303,-21.2129,-21.1229,-21.0335,-20.9452,-20.8569
54,1.38026,-25.7605,-25.6359,-25.5113,-25.388,-25.2659,-25.1438,-25.024,-25.1815,-25.0609,-24.9404,-24.8222,-24.704,-24.5867,-24.4709,-24.536,-24.4195,-24.3053,-24.191,-24.0776,-23.9655,-23.8535,-23.8171,-23.7066,-23.5965,-23.4882,-23.3798,-23.2726,-23.1663,-23.0178,-22.913,-22.8088,-22.7061,-22.6033,-22.5016,-22.4009,-22.1314,-22.0329,-21.9355,-21.838,-21.7418,-21.6463,-21.5508,-21.1533,-21.0611,-20.9705,-20.88,-20.7897,-20.7009,-20.6121
55,1.41479,-25.4336,-25.3084,-25.1833,-25.0597,-24.937,-24.8146,-24.6943,-24.8663,-24.7452,-24.6242,-24.5055,-24.3868,-24.2691,-24.1528,-24.2337,-24.1166,-24.0018,-23.8869,-23.7731,-23.6605,-23.5479,-23.5286,-23.4176,-23.3069,-23.198,-23.0891,-22.9814,-22.8746,-22.7444,-22.6391,-22.5342,-22.431,-22.3277,-22.2254,-22.1242,-21.8744,-21.7751,-21.6772,-21.5793,-21.4823,-21.3863,-21.2903,-20.9138,-20.821,-20.7296,-20.6386,-20.5476,-20.4582,-20.369
56,1.44971,-25.1097,-24.984,-24.8583,-24.7345,-24.6112,-24.4887,-24.3679,-24.5539,-24.4322,-24.3109,-24.1916,-24.0724,-23.9545,-23.8376,-23.9338,-23.8163,-23.7009,-23.5855,-23.4713,-23.3582,-23.2451,-23.2424,-23.1308,-23.0197,-22.9102,-22.8008,-22.6927,-22.5854,-22.4731,-22.3673,-22.2617,-22.158,-22.0542,-21.9514,-21.8496,-21.6192,-21.5191,-21.4207,-21.3223,-21.2247,-21.1282,-21.0317,-20.6757,-20.5825,-20.4902,-20.3988,-20.3073,-20.2172,-20.1275
57,1.48504,-24.7888,-24.6626,-24.5364,-24.4123,-24.2886,-24.1659,-24.0446,-24.2442,-24.1221,-24.0004,-23.8806,-23.7609,-23.6428,-23.5254,-23.6364,-23.5185,-23.4026,-23.2867,-23.1722,-23.0586,-22.9451,-22.9585,-22.8464,-22.7347,-22.6248,-22.5149,-22.4063,-22.2986,-22.2037,-22.0974,-21.9913,-21.8871,-21.7828,-21.6795,-21.5773,-21.3657,-21.2649,-21.166,-21.0672,-20.9689,-20.872,-20.7751,-20.4391,-20.3454,-20.2524,-20.1605,-20.0687,-19.9778,-19.8877
