gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5004.42,-5004.42,-5004.42,-5004.42,-5004.42,-5002.87,-5002.87,-5002.87,-5002.87,-5002.87,-5001.88,-5001.88,-5001.88,-5001.88,-5001.88,-5001.24,-5001.24,-5001.24,-5001.24,-5001.24,-5000.83,-5000.83,-5000.83,-5000.83,-5000.83
1,0.0468873,-158.474,-158.474,-158.474,-158.474,-158.474,-157.137,-157.137,-157.137,-157.137,-157.137,-156.259,-156.259,-156.259,-156.259,-156.259,-155.681,-155.681,-155.681,-155.681,-155.681,-155.304,-155.304,-155.304,-155.304,-155.304
2,0.0951487,-48.819,-48.819,-48.819,-48.819,-48.819,-47.6567,-47.6567,-47.6567,-47.6567,-47.6567,-46.8705,-46.8705,-46.8705,-46.8705,-46.8705,-46.3438,-46.3438,-46.3438,-46.3438,-46.3438,-45.9925,-45.9925,-45.9925,-45.9925,-45.9925
3,0.144824,-24.1324,-24.1324,-24.1324,-24.1324,-24.1324,-23.1163,-23.1163,-23.1163,-23.1163,-23.1163,-22.4078,-22.4078,-22.4078,-22.4078,-22.4078,-21.9264,-21.9264,-21.9264,-21.9264,-21.9264,-21.5999,-21.5999,-21.5999,-21.5999,-21.5999
4,0.195956,-14.7864,-14.7864,-14.7864,-14.7864,-14.7864,-13.887,-13.887,-13.887,-13.887,-13.887,-13.2487,-13.2487,-13.2487,-13.2487,-13.2487,-12.8065,-12.8065,-12.8065,-12.8065,-12.8065,-12.5012,-12.5012,-12.5012,-12.5012,-12.5012
5,0.248585,-10.2393,-10.2393,-10.2393,-10.2393,-10.2393,-9.43953,-9.43953,-9.43953,-9.43953,-9.43953,-8.85926,-8.85926,-8.85926,-8.85926,-8.85926,-8.45014,-8.45014,-8.45014,-8.45014,-8.45014,-8.16548,-8.16548,-8.16548,-8.16548,-8.16548
6,0.302757,-7.65857,-7.65857,-7.65857,-7.65857,-7.65857,-6.94654,-6.94654,-6.94654,-6.94654,-6.94654,-6.41916,-6.41916,-6.41916,-6.41916,-6.41916,-6.04155,-6.04155,-6.04155,-6.04155,-6.04155,-5.77472,-5.77472,-5.77472,-5.77472,-5.77472
7,0.358517,-6.04049,-6.04049,-6.04049,-6.04049,-6.04049,-5.40318,-5.40318,-5.40318,-5.40318,-5.40318,-4.92258,-4.92258,-4.92258,-4.92258,-4.92258,-4.57159,-4.57159,-4.57159,-4.57159,-4.57159,-4.32157,-4.32157,-4.32157,-4.32157,-4.32157
8,0.41591,-4.95306,-4.95306,-4.95306,-4.95306,-4.95306,-4.37305,-4.37305,-4.37305,-4.37305,-4.37305,-3.93409,-3.93409,-3.93409,-3.93409,-3.93409,-3.60829,-3.60829,-3.60829,-3.60829,-3.60829,-3.3739,-3.3739,-3.3739,-3.3739,-3.3739
9,0.474986,-4.17168,-4.17168,-4.17168,-4.17168,-4.17168,-3.64855,-3.64855,-3.64855,-3.64855,-3.64855,-3.24476,-3.24476,-3.24476,-3.24476,-3.24476,-2.94261,-2.94261,-2.94261,-2.94261,-2.94261,-2.72208,-2.72208,-2.72208,-2.72208,-2.72208
