gridnumber,capital,Port[0 0],Port[1 0],Port[2 0],Port[3 0],Port[4 0]
146,106.925,0.38,0.38,0.36,0.36,0.34
147,110.105,0.38,0.38,0.36,0.36,0.34
148,113.379,0.38,0.38,0.36,0.36,0.34
149,116.748,0.38,0.38,0.36,0.36,0.34
150,120.216,0.38,0.38,0.36,0.36,0.34
151,123.786,0.38,0.38,0.36,0.36,0.34
152,127.461,0.38,0.38,0.36,0.36,0.34
153,131.243,0.38,0.38,0.36,0.36,0.34
154,135.136,0.38,0.38,0.36,0.36,0.34
155,139.143,0.38,0.38,0.36,0.36,0.34
156,143.267,0.38,0.38,0.36,0.36,0.34
157,147.512,0.38,0.38,0.36,0.36,0.34
158,151.882,0.38,0.38,0.36,0.36,0.34
159,156.38,0.38,0.38,0.36,0.36,0.34
160,161.009,0.38,0.38,0.36,0.36,0.34
161,165.774,0.38,0.38,0.36,0.36,0.34
162,170.679,0.38,0.36,0.36,0.36,0.34
163,175.728,0.38,0.36,0.36,0.36,0.34
164,180.924,0.38,0.36,0.36,0.36,0.34
165,186.273,0.36,0.36,0.36,0.36,0.34
166,191.779,0.36,0.36,0.36,0.36,0.34
167,197.446,0.36,0.36,0.36,0.36,0.34
168,203.279,0.36,0.36,0.36,0.36,0.36
169,209.282,0.36,0.36,0.36,0.36,0.36
170,215.462,0.36,0.36,0.36,0.36,0.36
171,221.823,0.36,0.36,0.36,0.36,0.36
172,228.37,0.36,0.36,0.36,0.36,0.36
173,235.11,0.36,0.36,0.36,0.36,0.36
174,242.046,0.36,0.36,0.36,0.36,0.36
175,249.186,0.36,0.36,0.36,0.36,0.36
176,256.535,0.36,0.36,0.36,0.36,0.36
177,264.1,0.36,0.36,0.36,0.36,0.36
178,271.886,0.36,0.36,0.36,0.36,0.36
179,279.901,0.36,0.36,0.36,0.36,0.36
180,288.15,0.36,0.36,0.36,0.36,0.36
181,296.641,0.36,0.36,0.36,0.36,0.36
182,305.381,0.36,0.36,0.36,0.36,0.36
183,314.377,0.36,0.36,0.36,0.36,0.36
184,323.636,0.36,0.36,0.36,0.36,0.36
185,333.167,0.36,0.36,0.36,0.36,0.36
186,342.977,0.36,0.36,0.36,0.36,0.36
187,353.075,0.34,0.34,0.34,0.36,0.36
188,363.469,0.32,0.34,0.34,0.34,0.34
189,374.167,0.32,0.32,0.32,0.32,0.32
190,385.179,0.3,0.3,0.3,0.3,0.3
191,396.513,0.3,0.3,0.3,0.3,0.3
192,408.179,0.3,0.3,0.3,0.3,0.3
193,420.188,0.3,0.3,0.3,0.3,0.3
194,432.548,0.28,0.28,0.28,0.28,0.28
195,445.271,0.22,0.22,0.2,0.2,0.2
196,458.366,0.2,0.2,0.2,0.2,0.22
197,471.845,0.28,0.28,0.28,0.28,0.28
198,485.719,0.28,0.3,0.3,0.3,0.3
199,500,0.36,0.36,0.36,0.38,0.38
