gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
0,0,-125,-125,-125,-125,-125,-125,-125
1,0.0185364,-122.816,-122.815,-122.815,-122.813,-122.792,-122.769,-122.748
2,0.0372875,-120.765,-120.764,-120.764,-120.76,-120.717,-120.674,-120.632
3,0.0562558,-118.805,-118.804,-118.804,-118.796,-118.735,-118.673,-118.611
4,0.0754439,-116.918,-116.917,-116.917,-116.906,-116.827,-116.747,-116.667
5,0.0948544,-115.096,-115.095,-115.094,-115.08,-114.981,-114.885,-114.788
6,0.11449,-113.333,-113.332,-113.331,-113.314,-113.197,-113.08,-112.967
7,0.134352,-111.62,-111.619,-111.618,-111.597,-111.466,-111.333,-111.201
8,0.154445,-109.951,-109.95,-109.949,-109.925,-109.779,-109.632,-109.486
9,0.174771,-108.322,-108.32,-108.319,-108.292,-108.132,-107.973,-107.812
10,0.195332,-106.729,-106.727,-106.726,-106.695,-106.523,-106.35,-106.177
11,0.216131,-105.169,-105.167,-105.166,-105.131,-104.947,-104.762,-104.577
12,0.237172,-103.64,-103.638,-103.637,-103.599,-103.403,-103.206,-103.009
13,0.258456,-102.141,-102.139,-102.137,-102.095,-101.888,-101.68,-101.472
14,0.279986,-100.669,-100.667,-100.837,-100.62,-100.402,-100.183,-99.9637
15,0.301766,-99.2223,-99.2198,-99.3966,-99.1691,-98.9411,-98.7122,-98.4829
16,0.323799,-97.7998,-97.7973,-97.9808,-97.7432,-97.5052,-97.2664,-97.0273
17,0.346087,-96.4013,-96.3988,-96.5883,-96.3412,-96.0937,-95.8454,-95.5968
18,0.368632,-95.0252,-95.0225,-95.2176,-94.9616,-94.7051,-94.4478,-94.1902
19,0.391439,-93.6707,-93.6681,-93.8684,-93.6037,-93.3385,-93.0725,-92.8063
20,0.414511,-92.337,-92.3342,-92.5394,-92.2665,-91.9931,-91.7189,-91.4444
21,0.437849,-91.0233,-91.0204,-91.2304,-90.9494,-90.6681,-90.386,-90.1036
22,0.461458,-89.7288,-89.7259,-89.9403,-89.6518,-89.3629,-89.0732,-88.7833
23,0.485341,-88.4531,-88.4501,-88.6687,-88.3729,-88.0768,-87.7799,-87.4827
24,0.5095,-87.1955,-87.1925,-87.415,-87.1123,-86.8093,-86.5055,-86.2014
25,0.533939,-85.9556,-85.9525,-86.1793,-85.8694,-85.5597,-85.2493,-84.9387
26,0.558661,-84.7327,-84.7295,-84.9606,-84.6437,-84.3278,-84.0111,-83.6942
27,0.58367,-83.5266,-83.5233,-83.7584,-83.4348,-83.1129,-82.7902,-82.4673
28,0.608968,-82.3367,-82.3334,-82.5722,-82.2424,-81.9147,-81.5864,-81.2578
29,0.634559,-81.1627,-81.1593,-81.4017,-81.0659,-80.7328,-80.399,-80.065
30,0.660447,-80.0041,-80.0007,-80.2465,-79.9051,-79.5668,-79.2278,-78.8887
31,0.686635,-78.8608,-78.8573,-79.1063,-78.7596,-78.4163,-78.0725,-77.7284
32,0.713126,-77.7323,-77.7288,-77.9807,-77.629,-77.281,-76.9325,-76.5839
33,0.739924,-76.6183,-76.6148,-76.8695,-76.513,-76.1607,-75.8077,-75.4547
34,0.767033,-75.5187,-75.5151,-75.7724,-75.4114,-75.0548,-74.6978,-74.3406
35,0.794456,-74.433,-74.4293,-74.6891,-74.3238,-73.9633,-73.6023,-73.2412
36,0.822196,-73.361,-73.3573,-73.6193,-73.2501,-72.8859,-72.5212,-72.1564
37,0.850258,-72.3025,-72.2988,-72.5629,-72.1899,-71.8222,-71.454,-71.0858
38,0.878644,-71.2574,-71.2536,-71.5196,-71.1431,-70.7721,-70.4007,-70.0292
39,0.90736,-70.2252,-70.2215,-70.4891,-70.1094,-69.7354,-69.3609,-68.9863
40,0.936408,-69.206,-69.2022,-69.4714,-69.0886,-68.7117,-68.3344,-67.957
41,0.965793,-68.1993,-68.1955,-68.4661,-68.0806,-67.701,-67.321,-66.941
42,0.995519,-67.2052,-67.2013,-67.4732,-67.085,-66.7029,-66.3205,-65.9385
43,1.02559,-66.2233,-66.2195,-66.4924,-66.1018,-65.7175,-65.3327,-64.9489
44,1.05601,-65.2536,-65.2497,-65.5236,-65.1308,-64.7443,-64.3575,-63.9719
45,1.08678,-64.2958,-64.2918,-64.5666,-64.1717,-63.7834,-63.3947,-63.0076
46,1.1179,-63.3497,-63.3458,-63.6212,-63.2245,-62.8344,-62.444,-62.0555
47,1.14939,-62.4153,-62.4114,-62.6873,-62.289,-61.8973,-61.5054,-61.1157
48,1.18124,-61.4924,-61.4885,-61.7648,-61.365,-60.972,-60.5786,-60.1879
49,1.21346,-60.5809,-60.5769,-60.8535,-60.4525,-60.0581,-59.6636,-59.272
50,1.24606,-59.6805,-59.6765,-59.9533,-59.5511,-59.1557,-58.7601,-58.3678
51,1.27903,-58.7912,-58.7872,-59.0641,-58.6609,-58.2646,-57.8681,-57.4752
52,1.31239,-57.9129,-57.9089,-58.1857,-57.7817,-57.3846,-56.9874,-56.594
53,1.34613,-57.0454,-57.0414,-57.318,-56.9134,-56.5156,-56.1178,-55.7242
54,1.38026,-56.1885,-56.1845,-56.4609,-56.0558,-55.6576,-55.2593,-54.8655
55,1.41479,-55.3423,-55.3383,-55.6143,-55.2088,-54.8102,-54.4116,-54.0178
56,1.44971,-54.5065,-54.5025,-54.7781,-54.3724,-53.9736,-53.5748,-53.1811
57,1.48504,-53.6811,-53.6771,-53.9521,-53.5463,-53.1474,-52.7486,-52.3551
58,1.52078,-52.8659,-52.8619,-53.1363,-52.7305,-52.3317,-51.9329,-51.5398
59,1.55694,-52.0609,-52.0569,-52.3305,-51.9249,-51.5263,-51.1277,-50.7351
60,1.59351,-51.2659,-51.2619,-51.5347,-51.1294,-50.7311,-50.3328,-49.9408
61,1.63051,-50.4808,-50.4768,-50.7487,-50.3439,-49.946,-49.5481,-49.1568
62,1.66794,-49.7055,-49.7015,-49.9725,-49.5682,-49.1708,-48.7736,-48.3831
63,1.7058,-48.94,-48.936,-49.206,-48.8023,-48.4056,-48.009,-47.6194
64,1.7441,-48.1841,-48.1802,-48.449,-48.0461,-47.6501,-47.2543,-46.8658
65,1.78284,-47.4378,-47.4338,-47.7015,-47.2995,-46.9044,-46.5094,-46.122
66,1.82203,-46.7009,-46.697,-46.9633,-46.5624,-46.1682,-45.7743,-45.388
67,1.86167,-45.9734,-45.9694,-46.2345,-45.8346,-45.4415,-45.0487,-44.6638
68,1.90178,-45.2552,-45.2512,-45.5149,-45.1162,-44.7243,-44.3326,-43.9491
69,1.94235,-44.5461,-44.5421,-44.8044,-44.407,-44.0163,-43.626,-43.2439
70,1.98339,-43.8461,-43.8422,-44.1029,-43.7069,-43.3176,-42.9289,-42.5481
71,2.0249,-43.1551,-43.1512,-43.4104,-43.0159,-42.628,-42.2409,-41.8617
72,2.0669,-42.4731,-42.4692,-42.7268,-42.3338,-41.9475,-41.5622,-41.1845
73,2.10938,-41.7999,-41.796,-42.052,-41.6607,-41.2759,-40.8924,-40.5163
74,2.15235,-41.1354,-41.1315,-41.3859,-40.9963,-40.6133,-40.2316,-39.8573
75,2.19582,-40.4796,-40.4758,-40.7284,-40.3406,-39.9594,-39.5797,-39.2071
76,2.2398,-39.8324,-39.8286,-40.0795,-39.6936,-39.3142,-38.9365,-38.5658
77,2.28428,-39.1938,-39.1899,-39.439,-39.0551,-38.6776,-38.3021,-37.9333
78,2.32928,-38.5635,-38.5777,-38.807,-38.4251,-38.0496,-37.6762,-37.3094
79,2.37481,-37.9416,-37.9617,-38.1833,-37.8035,-37.43,-37.0589,-36.6941
80,2.42085,-37.3279,-37.3479,-37.5678,-37.1902,-36.8188,-36.45,-36.0873
81,2.46744,-36.7225,-36.7482,-36.9605,-36.5851,-36.2159,-35.8494,-35.4889
82,2.51456,-36.1252,-36.1566,-36.3613,-35.9881,-35.6212,-35.2571,-34.8989
83,2.56223,-35.5359,-35.5671,-35.7701,-35.3993,-35.0346,-34.673,-34.317
84,2.61045,-34.9546,-34.9913,-35.1868,-34.8184,-34.4561,-34.097,-33.7434
85,2.65923,-34.3812,-34.4234,-34.6114,-34.2455,-33.8856,-33.529,-33.1778
86,2.70857,-33.8156,-33.8574,-34.0438,-33.6804,-33.3229,-32.9689,-32.6202
87,2.75849,-33.2578,-33.3049,-33.4839,-33.1231,-32.7681,-32.4167,-32.0705
88,2.80898,-32.7075,-32.7543,-32.9317,-32.5734,-32.221,-31.8723,-31.5286
89,2.86006,-32.1649,-32.2169,-32.387,-32.0314,-31.6816,-31.3356,-30.9944
90,2.91173,-31.6298,-31.6813,-31.8498,-31.4969,-31.1498,-30.8065,-30.468
91,2.964,-31.1022,-31.1587,-31.3201,-30.9699,-30.6254,-30.2849,-29.9491
92,3.01688,-30.5819,-30.638,-30.7977,-30.4503,-30.1085,-29.7709,-29.4377
93,3.07036,-30.0689,-30.1299,-30.2826,-29.938,-29.599,-29.2642,-28.9337
94,3.12447,-29.5632,-29.6289,-29.7748,-29.433,-29.0967,-28.7648,-28.4371
95,3.1792,-29.0645,-29.1297,-29.274,-28.9351,-28.6016,-28.2726,-27.9477
96,3.23457,-28.573,-28.6428,-28.7804,-28.4444,-28.1137,-27.7876,-27.4655
97,3.29058,-28.0885,-28.1576,-28.2937,-27.9606,-27.6328,-27.3097,-26.9904
98,3.34724,-27.6109,-27.6845,-27.814,-27.4838,-27.1589,-26.8388,-26.5224
99,3.40456,-27.1402,-27.2131,-27.3411,-27.014,-26.692,-26.3748,-26.0613
100,3.46253,-26.6763,-26.7535,-26.8751,-26.5509,-26.2318,-25.9177,-25.6071
101,3.52119,-26.2191,-26.2955,-26.4157,-26.0945,-25.7785,-25.4674,-25.1597
102,3.58052,-25.7685,-25.8492,-25.963,-25.6449,-25.3318,-25.0237,-24.719
103,3.64053,-25.3246,-25.4043,-25.5169,-25.2018,-24.8917,-24.5867,-24.2849
104,3.70125,-24.8871,-24.971,-25.0773,-24.7653,-24.4582,-24.1563,-23.8574
105,3.76266,-24.4561,-24.5441,-24.6441,-24.3352,-24.0311,-23.7323,-23.4365
106,3.82479,-24.0315,-24.1234,-24.2174,-23.9115,-23.6105,-23.3148,-23.0219
107,3.88764,-23.6132,-23.7089,-23.7969,-23.4942,-23.1962,-22.9036,-22.6137
108,3.95121,-23.2011,-23.3054,-23.3827,-23.0831,-22.7881,-22.4986,-22.2119
109,4.01552,-22.7952,-22.9031,-22.9746,-22.6781,-22.3863,-22.0999,-21.8163
110,4.08058,-22.3953,-22.5067,-22.5727,-22.2793,-21.9905,-21.7073,-21.4268
111,4.14639,-22.0016,-22.1163,-22.1768,-21.8866,-21.6009,-21.3207,-21.0434
112,4.21297,-21.6138,-21.7318,-21.7868,-21.4998,-21.2171,-20.9401,-20.666
113,4.28031,-21.2319,-21.353,-21.4028,-21.1189,-20.8394,-20.5654,-20.2945
114,4.34843,-20.8558,-20.98,-21.0246,-20.7438,-20.4674,-20.1966,-19.9288
115,4.41735,-20.4855,-20.6127,-20.6522,-20.3746,-20.1012,-19.8336,-19.5689
116,4.48706,-20.1209,-20.2509,-20.2855,-20.011,-19.7408,-19.4762,-19.2147
117,4.55758,-19.7619,-19.8947,-19.9244,-19.6531,-19.3859,-19.1245,-18.8661
118,4.62892,-19.4085,-19.544,-19.569,-19.3008,-19.0367,-18.7783,-18.5231
119,4.70108,-19.0606,-19.1986,-19.219,-18.9539,-18.6929,-18.4377,-18.1855
120,4.77408,-18.7181,-18.8586,-18.8745,-18.6125,-18.3546,-18.1025,-17.8534
121,4.84793,-18.381,-18.5197,-18.5353,-18.2765,-18.0217,-17.7726,-17.5266
122,4.92263,-18.0492,-18.1902,-18.2015,-17.9458,-17.694,-17.4481,-17.2052
123,4.99819,-17.7227,-17.8659,-17.8729,-17.6204,-17.3716,-17.1287,-16.8889
124,5.07463,-17.4013,-17.5427,-17.5496,-17.3001,-17.0544,-16.8145,-16.5778
125,5.15196,-17.085,-17.2285,-17.2313,-16.9849,-16.7423,-16.5055,-16.2717
126,5.23019,-16.7738,-16.9154,-16.9181,-16.6748,-16.4352,-16.2014,-15.9707
127,5.30931,-16.4676,-16.6112,-16.61,-16.3697,-16.1331,-15.9023,-15.6747
128,5.38936,-16.1663,-16.308,-16.3067,-16.0696,-15.836,-15.6082,-15.3835
129,5.47033,-15.8699,-16.0134,-16.0084,-15.7742,-15.5437,-15.3188,-15.0971
