gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
10,0.195332,7.18697e-007,8.86094e-006,4.38802e-005,8.5275e-005,6.5101e-005,1.93782e-005,2.31104e-006,7.01336e-006,8.64689e-005,0.000428202,0.000832152,0.000635284,0.000189101,2.25521e-005,2.7977e-005,0.000344933,0.00170814,0.00331953,0.00253421,0.000754343,8.99626e-005,4.43183e-005,0.000546408,0.00270586,0.00525847,0.00401444,0.00119495,0.00014251,2.79769e-005,0.000344932,0.00170813,0.00331952,0.0025342,0.00075434,8.99624e-005,7.01332e-006,8.64684e-005,0.000428199,0.000832146,0.00063528,0.0001891,2.2552e-005,7.1869e-007,8.86085e-006,4.38797e-005,8.52742e-005,6.51003e-005,1.9378e-005,2.31102e-006
11,0.216131,5.69209e-007,7.11369e-006,3.56658e-005,7.01007e-005,5.40867e-005,1.62741e-005,1.96659e-006,5.55463e-006,6.9419e-005,0.000348045,0.000684077,0.000527804,0.000158811,1.91909e-005,2.21581e-005,0.000276921,0.00138839,0.00272886,0.00210547,0.000633513,7.65545e-005,3.51008e-005,0.000438672,0.00219936,0.0043228,0.00333528,0.00100355,0.00012127,2.21583e-005,0.000276923,0.0013884,0.00272888,0.00210548,0.000633515,7.65547e-005,5.55472e-006,6.94201e-005,0.000348049,0.000684085,0.000527809,0.000158812,1.9191e-005,5.69224e-007,7.11386e-006,3.56665e-005,7.01019e-005,5.40874e-005,1.62743e-005,1.9666e-006
12,0.237172,4.35369e-007,5.5261e-006,2.82072e-005,5.66024e-005,4.47238e-005,1.38349e-005,1.73131e-006,4.24853e-006,5.39263e-005,0.000275259,0.000552353,0.000436436,0.000135008,1.68949e-005,1.69478e-005,0.000215118,0.00109804,0.00220339,0.00174099,0.00053856,6.73957e-005,2.68471e-005,0.000340768,0.0017394,0.0034904,0.0027579,0.000853133,0.000106761,1.69479e-005,0.000215118,0.00109804,0.0022034,0.00174099,0.00053856,6.73957e-005,4.24854e-006,5.39264e-005,0.00027526,0.000552354,0.000436436,0.000135008,1.68949e-005,4.3537e-007,5.52612e-006,2.82073e-005,5.66026e-005,4.47239e-005,1.38349e-005,1.73131e-006
13,0.258456,3.46641e-007,4.49856e-006,2.34984e-005,4.82852e-005,3.90659e-005,1.23673e-005,1.58375e-006,3.38269e-006,4.38991e-005,0.000229309,0.000471189,0.000381223,0.000120685,1.54549e-005,1.34939e-005,0.000175118,0.000914736,0.00187962,0.00152074,0.000481426,6.16513e-005,2.13758e-005,0.000277405,0.00144903,0.0029775,0.00240899,0.000762626,9.76616e-005,1.3494e-005,0.000175118,0.000914736,0.00187962,0.00152073,0.000481425,6.16511e-005,3.38272e-006,4.38992e-005,0.000229309,0.000471187,0.000381221,0.000120685,1.54548e-005,3.46645e-007,4.49858e-006,2.34984e-005,4.82849e-005,3.90656e-005,1.23672e-005,1.58373e-006
14,0.279986,2.5947e-007,3.42494e-006,1.82083e-005,3.81492e-005,3.15511e-005,1.02421e-005,1.35152e-006,2.53204e-006,3.34222e-005,0.000177685,0.000372279,0.000307891,9.99469e-005,1.31888e-005,1.01006e-005,0.000133325,0.000708809,0.00148506,0.00122821,0.000398699,5.26116e-005,1.60004e-005,0.000211201,0.00112283,0.0023525,0.00194561,0.00063158,8.3342e-005,1.01007e-005,0.000133326,0.000708814,0.00148507,0.00122822,0.000398701,5.26116e-005,2.53208e-006,3.34228e-005,0.000177688,0.000372283,0.000307894,9.99475e-005,1.31888e-005,2.59476e-007,3.42502e-006,1.82087e-005,3.81499e-005,3.15516e-005,1.02422e-005,1.35153e-006
15,0.301766,2.00411e-007,2.67774e-006,1.44468e-005,3.08213e-005,2.60434e-005,8.66156e-006,1.17459e-006,1.95571e-006,2.61307e-005,0.000140979,0.000300769,0.000254144,8.45238e-005,1.14622e-005,7.80157e-006,0.000104239,0.000562382,0.0011998,0.00101381,0.000337175,4.57242e-005,1.23585e-005,0.000165125,0.000890873,0.00190062,0.00160598,0.000534121,7.24319e-005,7.80162e-006,0.000104239,0.000562386,0.00119981,0.00101382,0.000337177,4.57245e-005,1.95574e-006,2.61311e-005,0.000140981,0.000300773,0.000254148,8.45249e-005,1.14624e-005,2.00416e-007,2.6778e-006,1.44471e-005,3.08219e-005,2.60439e-005,8.66173e-006,1.17461e-006
16,0.323799,1.48802e-007,2.012e-006,1.09575e-005,2.35579e-005,2.00498e-005,6.72325e-006,9.22217e-007,1.45208e-006,1.96341e-005,0.000106928,0.000229889,0.000195655,6.56086e-005,8.99943e-006,5.79251e-006,7.83225e-005,0.000426549,0.000917054,0.000780491,0.00026172,3.58997e-005,9.17593e-006,0.000124071,0.000675698,0.00145271,0.00123638,0.000414591,5.68687e-005,5.79253e-006,7.83227e-005,0.00042655,0.000917056,0.000780493,0.00026172,3.58997e-005,1.45209e-006,1.96342e-005,0.000106929,0.00022989,0.000195656,6.56089e-005,8.99945e-006,1.48803e-007,2.01202e-006,1.09576e-005,2.35581e-005,2.00499e-005,6.72329e-006,9.22221e-007
17,0.346087,1.1447e-007,1.56677e-006,8.64269e-006,1.88616e-005,1.63454e-005,5.60062e-006,7.88652e-007,1.11706e-006,1.52893e-005,8.43395e-005,0.00018406,0.000159506,5.46534e-005,7.69603e-006,4.45607e-006,6.09906e-005,0.00033644,0.000734235,0.000636288,0.000218018,3.07003e-005,7.05888e-006,9.66154e-005,0.000532955,0.0011631,0.00100794,0.000345363,4.86323e-005,4.45609e-006,6.09909e-005,0.000336441,0.000734237,0.000636289,0.000218018,3.07003e-005,1.11707e-006,1.52894e-005,8.43401e-005,0.000184061,0.000159507,5.46535e-005,7.69604e-006,1.14472e-007,1.56679e-006,8.64278e-006,1.88617e-005,1.63455e-005,5.60063e-006,7.88653e-007
18,0.368632,8.46731e-008,1.17791e-006,6.61174e-006,1.46845e-005,1.29357e-005,4.49571e-006,6.40607e-007,8.26281e-007,1.14946e-005,6.45206e-005,0.000143299,0.000126233,4.38713e-005,6.25135e-006,3.29613e-006,4.58534e-005,0.00025738,0.000571636,0.000503556,0.000175008,2.49373e-005,5.22141e-006,7.26366e-005,0.000407717,0.000905531,0.000797685,0.00027723,3.95033e-005,3.29615e-006,4.58537e-005,0.000257381,0.000571639,0.000503559,0.000175008,2.49374e-005,8.2629e-007,1.14948e-005,6.45213e-005,0.0001433,0.000126234,4.38717e-005,6.2514e-006,8.46745e-008,1.17793e-006,6.61185e-006,1.46848e-005,1.29359e-005,4.49577e-006,6.40615e-007
19,0.391439,6.25355e-008,8.84355e-007,5.04945e-006,1.14164e-005,1.02424e-005,3.62614e-006,5.26744e-007,6.10251e-007,8.62995e-006,4.92748e-005,0.000111406,9.99503e-005,3.53855e-005,5.1402e-006,2.43436e-006,3.44258e-005,0.000196562,0.000444411,0.000398712,0.000141156,2.05047e-005,3.85627e-006,5.45338e-005,0.000311374,0.00070399,0.000631598,0.000223605,3.24815e-005,2.43436e-006,3.44258e-005,0.000196562,0.00044441,0.00039871,0.000141156,2.05047e-005,6.10253e-007,8.62995e-006,4.92747e-005,0.000111406,9.99497e-005,3.53852e-005,5.14016e-006,6.25358e-008,8.84355e-007,5.04943e-006,1.14163e-005,1.02423e-005,3.6261e-006,5.26738e-007
