gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
68,9.80527,-13.1662,-13.162,-13.1531,-13.1398,-13.1225,-13.0336,-13.0299,-13.0214,-13.0084,-12.9917,-12.8842,-12.8809,-12.8729,-12.8605,-12.8441,-12.7224,-12.7197,-12.7123,-12.7003,-12.6843,-12.5537,-12.5515,-12.5445,-12.533,-12.5177
69,10.1395,-13.0929,-13.0887,-13.0796,-13.0661,-13.0486,-12.9633,-12.9594,-12.9509,-12.9377,-12.9208,-12.8172,-12.8138,-12.8057,-12.7931,-12.7764,-12.6588,-12.6559,-12.6483,-12.6362,-12.62,-12.4934,-12.4911,-12.484,-12.4724,-12.4567
70,10.4835,-13.0193,-13.015,-13.0058,-12.9921,-12.9745,-12.8926,-12.8887,-12.88,-12.8668,-12.8495,-12.7498,-12.7462,-12.738,-12.7253,-12.7084,-12.5948,-12.5917,-12.5839,-12.5717,-12.5552,-12.4326,-12.4301,-12.423,-12.4112,-12.3952
71,10.8376,-12.9454,-12.941,-12.9317,-12.9179,-12.9001,-12.8217,-12.8176,-12.8088,-12.7955,-12.7779,-12.6821,-12.6784,-12.6699,-12.6571,-12.64,-12.5303,-12.5271,-12.5191,-12.5067,-12.4901,-12.3714,-12.3688,-12.3613,-12.3495,-12.3334
72,11.2021,-12.8713,-12.8668,-12.8574,-12.8434,-12.8255,-12.7504,-12.7462,-12.7373,-12.7238,-12.7061,-12.6139,-12.6101,-12.6014,-12.5884,-12.5712,-12.4653,-12.4621,-12.4539,-12.4413,-12.4246,-12.3097,-12.3069,-12.2993,-12.2873,-12.2711
73,11.5773,-12.7969,-12.7923,-12.7828,-12.7687,-12.7506,-12.6788,-12.6746,-12.6655,-12.6519,-12.634,-12.5453,-12.5415,-12.5327,-12.5195,-12.5021,-12.3999,-12.3966,-12.3883,-12.3755,-12.3587,-12.2474,-12.2446,-12.2369,-12.2246,-12.2084
74,11.9634,-12.7222,-12.7175,-12.7079,-12.6937,-12.6754,-12.6069,-12.6026,-12.5933,-12.5796,-12.5616,-12.4763,-12.4724,-12.4636,-12.4501,-12.4326,-12.334,-12.3306,-12.3223,-12.3092,-12.2923,-12.1846,-12.1818,-12.174,-12.1615,-12.1451
75,12.3609,-12.6472,-12.6424,-12.6328,-12.6185,-12.6,-12.5347,-12.5302,-12.5208,-12.507,-12.4889,-12.4069,-12.4029,-12.394,-12.3804,-12.3628,-12.2676,-12.2642,-12.2558,-12.2426,-12.2254,-12.1213,-12.1185,-12.1106,-12.0979,-12.0813
76,12.77,-12.572,-12.5671,-12.5574,-12.543,-12.5243,-12.4621,-12.4575,-12.448,-12.434,-12.4158,-12.3371,-12.3331,-12.3241,-12.3103,-12.2925,-12.2008,-12.1973,-12.1888,-12.1755,-12.1582,-12.0576,-12.0546,-12.0466,-12.0339,-12.017
77,13.1911,-12.4965,-12.4914,-12.4816,-12.4672,-12.4483,-12.3891,-12.3845,-12.3749,-12.3607,-12.3424,-12.2669,-12.2628,-12.2537,-12.2399,-12.2219,-12.1337,-12.1299,-12.1213,-12.108,-12.0904,-11.9935,-11.9902,-11.9821,-11.9694,-11.9522
78,13.6246,-12.4206,-12.4155,-12.4056,-12.3911,-12.372,-12.3157,-12.311,-12.3014,-12.287,-12.2686,-12.1963,-12.1921,-12.1829,-12.1691,-12.1509,-12.0661,-12.0622,-12.0534,-12.0401,-12.0223,-11.9288,-11.9254,-11.9171,-11.9044,-11.8871
79,14.0707,-12.3445,-12.3394,-12.3293,-12.3147,-12.2955,-12.242,-12.2372,-12.2275,-12.213,-12.1945,-12.1254,-12.121,-12.1117,-12.0978,-12.0795,-11.998,-11.994,-11.9851,-11.9717,-11.9538,-11.8636,-11.8601,-11.8518,-11.8388,-11.8215
80,14.5299,-12.2681,-12.2629,-12.2527,-12.238,-12.2187,-12.1679,-12.1631,-12.1533,-12.1387,-12.1201,-12.0541,-12.0495,-12.0402,-12.0261,-12.0077,-11.9295,-11.9254,-11.9164,-11.9028,-11.8849,-11.7979,-11.7944,-11.786,-11.7728,-11.7555
81,15.0026,-12.1913,-12.1861,-12.1758,-12.161,-12.1416,-12.0935,-12.0887,-12.0788,-12.0641,-12.0453,-11.9823,-11.9777,-11.9682,-11.9541,-11.9355,-11.8604,-11.8564,-11.8472,-11.8335,-11.8155,-11.7317,-11.7282,-11.7196,-11.7063,-11.6889
82,15.4891,-12.1143,-12.109,-12.0986,-12.0837,-12.0643,-12.0187,-12.0138,-12.0039,-11.9892,-11.9702,-11.9102,-11.9055,-11.8958,-11.8817,-11.863,-11.7909,-11.7868,-11.7777,-11.7638,-11.7457,-11.6649,-11.6614,-11.6528,-11.6394,-11.6218
83,15.9899,-12.0369,-12.0316,-12.0212,-12.0062,-11.9867,-11.9436,-11.9387,-11.9287,-11.914,-11.8948,-11.8376,-11.833,-11.8232,-11.8089,-11.7902,-11.721,-11.7169,-11.7077,-11.6936,-11.6754,-11.5977,-11.5941,-11.5855,-11.572,-11.5542
84,16.5054,-11.9593,-11.954,-11.9435,-11.9284,-11.9089,-11.8683,-11.8632,-11.8533,-11.8384,-11.8192,-11.7647,-11.76,-11.7502,-11.7357,-11.7169,-11.6506,-11.6465,-11.6373,-11.6231,-11.6048,-11.5302,-11.5264,-11.5177,-11.5041,-11.4861
85,17.036,-11.8815,-11.8761,-11.8656,-11.8503,-11.8307,-11.7926,-11.7875,-11.7774,-11.7626,-11.7432,-11.6914,-11.6867,-11.6768,-11.6623,-11.6434,-11.5799,-11.5757,-11.5664,-11.5523,-11.5337,-11.4622,-11.4583,-11.4494,-11.4358,-11.4177
86,17.5821,-11.8033,-11.7979,-11.7873,-11.7719,-11.7523,-11.7167,-11.7115,-11.7013,-11.6864,-11.6669,-11.6177,-11.613,-11.6031,-11.5884,-11.5695,-11.5089,-11.5045,-11.4952,-11.481,-11.4623,-11.3937,-11.3898,-11.3807,-11.3672,-11.349
87,18.1442,-11.7249,-11.7193,-11.7088,-11.6933,-11.6737,-11.6404,-11.6351,-11.6248,-11.6099,-11.5903,-11.5437,-11.5389,-11.529,-11.5142,-11.4952,-11.4374,-11.4329,-11.4235,-11.4093,-11.3905,-11.3248,-11.3208,-11.3117,-11.298,-11.2798
88,18.7228,-11.6461,-11.6406,-11.6299,-11.6144,-11.5947,-11.5637,-11.5584,-11.548,-11.5331,-11.5135,-11.4693,-11.4644,-11.4545,-11.4397,-11.4206,-11.3656,-11.361,-11.3514,-11.3372,-11.3183,-11.2555,-11.2514,-11.2423,-11.2285,-11.2103
89,19.3184,-11.5671,-11.5615,-11.5509,-11.5353,-11.5156,-11.4868,-11.4814,-11.4709,-11.4559,-11.4364,-11.3946,-11.3896,-11.3797,-11.3649,-11.3457,-11.2933,-11.2887,-11.279,-11.2647,-11.2459,-11.1856,-11.1815,-11.1724,-11.1584,-11.1402
90,19.9314,-11.4879,-11.4822,-11.4715,-11.456,-11.4362,-11.4095,-11.4041,-11.3936,-11.3785,-11.3589,-11.3195,-11.3145,-11.3045,-11.2897,-11.2705,-11.2207,-11.216,-11.2062,-11.1919,-11.173,-11.1154,-11.1112,-11.102,-11.088,-11.0697
91,20.5623,-11.4083,-11.4027,-11.392,-11.3764,-11.3565,-11.332,-11.3265,-11.316,-11.3008,-11.2812,-11.2442,-11.239,-11.229,-11.2142,-11.1949,-11.1476,-11.1429,-11.133,-11.1186,-11.0998,-11.0446,-11.0404,-11.0312,-11.0172,-10.9988
92,21.2118,-11.3285,-11.3228,-11.3122,-11.2965,-11.2766,-11.2541,-11.2486,-11.2381,-11.2228,-11.2032,-11.1685,-11.1633,-11.1532,-11.1383,-11.1189,-11.0741,-11.0694,-11.0595,-11.045,-11.0262,-10.9735,-10.9693,-10.96,-10.946,-10.9275
93,21.8803,-11.2485,-11.2428,-11.2321,-11.2165,-11.1965,-11.1759,-11.1704,-11.1599,-11.1445,-11.1249,-11.0924,-11.0872,-11.077,-11.0621,-11.0427,-11.0003,-10.9955,-10.9857,-10.971,-10.9522,-10.9021,-10.8977,-10.8884,-10.8744,-10.8558
94,22.5684,-11.1683,-11.1625,-11.1518,-11.1362,-11.1161,-11.0975,-11.092,-11.0814,-11.066,-11.0463,-11.0161,-11.0108,-11.0006,-10.9857,-10.9662,-10.9261,-10.9212,-10.9114,-10.8967,-10.8778,-10.8303,-10.8258,-10.8165,-10.8023,-10.7837
95,23.2766,-11.0878,-11.082,-11.0713,-11.0557,-11.0356,-11.0187,-11.0132,-11.0027,-10.9872,-10.9675,-10.9394,-10.9341,-10.9238,-10.9089,-10.8894,-10.8515,-10.8467,-10.8369,-10.8221,-10.8031,-10.758,-10.7535,-10.7441,-10.7299,-10.7112
96,24.0056,-11.0071,-11.0013,-10.9906,-10.975,-10.9548,-10.9397,-10.9342,-10.9237,-10.9082,-10.8885,-10.8624,-10.8571,-10.8468,-10.8319,-10.8123,-10.7766,-10.7717,-10.7619,-10.7472,-10.7281,-10.6854,-10.6809,-10.6713,-10.6572,-10.6385
97,24.756,-10.9262,-10.9204,-10.9097,-10.8941,-10.8739,-10.8605,-10.855,-10.8444,-10.829,-10.8093,-10.7851,-10.7799,-10.7695,-10.7545,-10.735,-10.7014,-10.6965,-10.6867,-10.672,-10.6529,-10.6124,-10.6079,-10.5983,-10.5841,-10.5654
