gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,2.7174e-125,9.83243e-125,1.55755e-124,9.83243e-125,2.7174e-125,3.49731e-125,1.26544e-124,2.00459e-124,1.26544e-124,3.49731e-125,1.33626e-125,4.83503e-125,7.65917e-125,4.83503e-125,1.33626e-125,1.26137e-126,4.56405e-126,7.22992e-126,4.56405e-126,1.26137e-126,2.8345e-128,1.02562e-127,1.62468e-127,1.02562e-127,2.8345e-128
10,0.535792,1.55716e-017,5.63431e-017,8.92531e-017,5.63431e-017,1.55716e-017,2.00418e-017,7.25179e-017,1.14876e-016,7.25179e-017,2.00418e-017,7.65849e-018,2.77109e-017,4.38968e-017,2.77109e-017,7.65849e-018,7.23118e-019,2.61648e-018,4.14476e-018,2.61648e-018,7.23118e-019,1.62602e-020,5.88347e-020,9.32001e-020,5.88347e-020,1.62602e-020
11,0.598381,1.06018e-013,3.83608e-013,6.07673e-013,3.83608e-013,1.06018e-013,1.38858e-013,5.02432e-013,7.95903e-013,5.02432e-013,1.38858e-013,5.50228e-014,1.99091e-013,3.15379e-013,1.99091e-013,5.50228e-014,5.63178e-015,2.03776e-014,3.22802e-014,2.03776e-014,5.63178e-015,1.50784e-016,5.45588e-016,8.64265e-016,5.45588e-016,1.50784e-016
12,0.662804,1.88849e-011,6.83316e-011,1.08244e-010,6.83316e-011,1.88849e-011,2.77375e-011,1.00363e-010,1.58986e-010,1.00363e-010,2.77375e-011,1.34075e-011,4.85127e-011,7.68489e-011,4.85127e-011,1.34075e-011,1.89496e-012,6.85657e-012,1.08615e-011,6.85657e-012,1.89496e-012,7.7973e-014,2.82132e-013,4.46925e-013,2.82132e-013,7.7973e-014
13,0.729114,1.02486e-009,3.70829e-009,5.8743e-009,3.70829e-009,1.02486e-009,1.61416e-009,5.84055e-009,9.25201e-009,5.84055e-009,1.61416e-009,8.74763e-010,3.16518e-009,5.01396e-009,3.16518e-009,8.74763e-010,1.48508e-010,5.37352e-010,8.51219e-010,5.37352e-010,1.48508e-010,8.15571e-012,2.951e-011,4.67468e-011,2.951e-011,8.15571e-012
14,0.797368,1.33048e-008,4.81412e-008,7.62604e-008,4.81412e-008,1.33048e-008,2.35265e-008,8.51267e-008,1.34849e-007,8.51267e-008,2.35265e-008,1.529e-008,5.53243e-008,8.76391e-008,5.53243e-008,1.529e-008,3.39542e-009,1.22857e-008,1.94618e-008,1.22857e-008,3.39542e-009,2.65226e-010,9.59673e-010,1.52022e-009,9.59673e-010,2.65226e-010
15,0.867622,1.15967e-007,4.19605e-007,6.64696e-007,4.19605e-007,1.15967e-007,2.13213e-007,7.71476e-007,1.22209e-006,7.71476e-007,2.13213e-007,1.48684e-007,5.37986e-007,8.52223e-007,5.37986e-007,1.48684e-007,3.73005e-008,1.34965e-007,2.13798e-007,1.34965e-007,3.73005e-008,3.55484e-009,1.28626e-008,2.03756e-008,1.28626e-008,3.55484e-009
16,0.939934,6.23066e-007,2.25446e-006,3.57128e-006,2.25446e-006,6.23066e-007,1.23815e-006,4.48002e-006,7.0968e-006,4.48002e-006,1.23815e-006,9.5009e-007,3.43774e-006,5.44572e-006,3.43774e-006,9.5009e-007,2.66117e-007,9.62899e-007,1.52533e-006,9.62899e-007,2.66117e-007,2.90486e-008,1.05107e-007,1.665e-007,1.05107e-007,2.90486e-008
