gridnumber,capital,dist[0 0],dist[1 0],dist[2 0],dist[3 0],dist[4 0]
78,13.6246,6.20099e-007,2.68648e-006,5.31833e-006,4.43878e-006,1.62713e-006
79,14.0707,5.17731e-007,2.27709e-006,4.50863e-006,3.73397e-006,1.36972e-006
80,14.5299,4.25779e-007,1.86344e-006,3.59092e-006,2.84122e-006,9.91606e-007
81,15.0026,3.50463e-007,1.53009e-006,3.0036e-006,2.43297e-006,8.46092e-007
82,15.4891,2.91868e-007,1.2876e-006,2.56566e-006,2.12127e-006,7.60331e-007
83,15.9899,2.39224e-007,1.0541e-006,2.1522e-006,1.82112e-006,6.46867e-007
84,16.5054,1.93741e-007,8.11316e-007,1.53038e-006,1.23928e-006,4.59694e-007
85,17.036,1.62926e-007,7.08431e-007,1.37039e-006,1.11705e-006,4.13242e-007
86,17.5821,1.30432e-007,5.56018e-007,1.05107e-006,8.16811e-007,2.74491e-007
87,18.1442,1.10382e-007,4.6601e-007,8.8167e-007,7.00388e-007,2.43449e-007
88,18.7228,8.67409e-008,3.64904e-007,7.00993e-007,5.68433e-007,2.02435e-007
89,19.3184,6.8007e-008,2.87492e-007,5.59002e-007,4.55209e-007,1.61783e-007
90,19.9314,6.07088e-008,2.51318e-007,4.64419e-007,3.67843e-007,1.32019e-007
91,20.5623,4.59993e-008,1.9418e-007,3.66497e-007,2.89001e-007,1.00735e-007
92,21.2118,4.05547e-008,1.70091e-007,3.12141e-007,2.39774e-007,8.22739e-008
93,21.8803,3.00497e-008,1.26102e-007,2.41129e-007,1.91917e-007,6.55221e-008
94,22.5684,2.35297e-008,9.74861e-008,1.83181e-007,1.44446e-007,5.00739e-008
95,23.2766,1.96693e-008,8.3126e-008,1.57867e-007,1.23401e-007,4.1712e-008
96,24.0056,1.54825e-008,6.32801e-008,1.16929e-007,9.15662e-008,3.19928e-008
97,24.756,1.2196e-008,4.97508e-008,9.15271e-008,7.05916e-008,2.38938e-008
98,25.5283,9.70367e-009,3.94798e-008,7.22744e-008,5.54284e-008,1.87089e-008
99,26.3233,8.04161e-009,3.19863e-008,5.84904e-008,4.53338e-008,1.55175e-008
100,27.1416,6.03268e-009,2.46e-008,4.5179e-008,3.45497e-008,1.15093e-008
101,27.9838,4.8715e-009,1.99454e-008,3.6313e-008,2.71778e-008,8.88657e-009
102,28.8508,3.99542e-009,1.551e-008,2.79402e-008,2.13331e-008,7.0801e-009
103,29.7431,2.93735e-009,1.18259e-008,2.12496e-008,1.59871e-008,5.30181e-009
104,30.6616,2.47662e-009,9.65442e-009,1.68402e-008,1.24623e-008,4.12438e-009
105,31.607,1.90562e-009,7.59961e-009,1.33951e-008,9.94411e-009,3.23926e-009
106,32.5802,1.3386e-009,5.41486e-009,9.74565e-009,7.26495e-009,2.37634e-009
107,33.5818,1.0642e-009,4.23699e-009,7.55411e-009,5.56076e-009,1.77339e-009
108,34.6128,8.12709e-010,3.27114e-009,5.86852e-009,4.38708e-009,1.44997e-009
109,35.674,6.23882e-010,2.57527e-009,4.68921e-009,3.51716e-009,1.1728e-009
110,36.7663,4.89131e-010,1.93827e-009,3.41093e-009,2.55761e-009,8.68181e-010
