gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[0 7],policy[0 8],policy[0 9],policy[0 10],policy[0 11],policy[0 12],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[1 7],policy[1 8],policy[1 9],policy[1 10],policy[1 11],policy[1 12],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[2 7],policy[2 8],policy[2 9],policy[2 10],policy[2 11],policy[2 12],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[3 7],policy[3 8],policy[3 9],policy[3 10],policy[3 11],policy[3 12],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[4 7],policy[4 8],policy[4 9],policy[4 10],policy[4 11],policy[4 12],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[5 7],policy[5 8],policy[5 9],policy[5 10],policy[5 11],policy[5 12],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6],policy[6 7],policy[6 8],policy[6 9],policy[6 10],policy[6 11],policy[6 12]
10,0.195332,0.055995,0.0763238,0.107683,0.148799,0.203843,0.27054,0.347793,0.0561353,0.0764949,0.107882,0.149,0.203843,0.27054,0.347794,0.056276,0.076666,0.10808,0.149201,0.203843,0.27054,0.347794,0.0564188,0.0768371,0.108279,0.149403,0.203843,0.27054,0.347794,0.0565617,0.0770083,0.108477,0.149604,0.203843,0.27054,0.347794,0.0567045,0.0771794,0.108675,0.149806,0.203843,0.27054,0.347794,0.0568473,0.0773505,0.108874,0.150007,0.203843,0.27054,0.347794,0.0569901,0.0775216,0.109072,0.150208,0.203843,0.27054,0.347794,0.0571329,0.0776927,0.109271,0.15041,0.203843,0.27054,0.347794,0.0572757,0.0778639,0.109469,0.150611,0.203843,0.27054,0.347794,0.0574185,0.078035,0.109668,0.150812,0.203843,0.27054,0.347794,0.0575613,0.0782061,0.109866,0.151014,0.203843,0.27054,0.347794,0.0577041,0.0783772,0.110065,0.151215,0.203843,0.27054,0.347794
11,0.216131,0.0666428,0.0890882,0.122155,0.164244,0.21926,0.285301,0.353462,0.0668008,0.0892776,0.122366,0.164477,0.219518,0.285558,0.353462,0.0669588,0.0894669,0.122576,0.16471,0.219775,0.285816,0.353462,0.0671168,0.0896563,0.122787,0.164943,0.220033,0.286073,0.353462,0.0672748,0.0898456,0.122997,0.165176,0.22029,0.28633,0.353462,0.0674328,0.0900349,0.123208,0.165409,0.220548,0.286587,0.353462,0.0675908,0.0902243,0.123418,0.165642,0.220805,0.286844,0.353462,0.0677488,0.0904136,0.123629,0.165875,0.221063,0.287101,0.353462,0.0679068,0.0906029,0.123839,0.166108,0.22132,0.287359,0.353462,0.0680648,0.0907923,0.12405,0.16634,0.221577,0.287616,0.353462,0.0682228,0.0909816,0.12426,0.166573,0.221835,0.287873,0.353462,0.0683808,0.0911709,0.124471,0.166806,0.222092,0.28813,0.353462,0.0685389,0.0913603,0.124681,0.167039,0.22235,0.288387,0.353462
12,0.237172,0.0778036,0.103193,0.136636,0.179997,0.23682,0.304499,0.359196,0.0780108,0.103436,0.13688,0.180246,0.237103,0.304499,0.359196,0.078218,0.103678,0.137125,0.180496,0.237349,0.3045,0.359196,0.0784252,0.10392,0.137369,0.180745,0.237585,0.3045,0.359196,0.0786324,0.104163,0.137613,0.180994,0.23782,0.3045,0.359196,0.0788396,0.104405,0.137858,0.181244,0.238055,0.3045,0.359196,0.0790468,0.104648,0.138102,0.181493,0.238291,0.3045,0.359196,0.079254,0.10489,0.138346,0.181742,0.238526,0.3045,0.359196,0.0794612,0.105133,0.138591,0.181992,0.238762,0.3045,0.359196,0.0796684,0.105375,0.138835,0.182241,0.238997,0.3045,0.359196,0.0798756,0.105617,0.139079,0.18249,0.239232,0.3045,0.359196,0.0800828,0.10586,0.139324,0.18274,0.239468,0.3045,0.359196,0.08029,0.106102,0.139568,0.182989,0.239703,0.3045,0.359196
13,0.258456,0.0921845,0.119759,0.153595,0.197521,0.253214,0.322171,0.364996,0.0921845,0.119759,0.153595,0.197521,0.253214,0.322171,0.364996,0.0921846,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921846,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921846,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921847,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921847,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921847,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921847,0.119759,0.153595,0.197521,0.253214,0.322172,0.364996,0.0921848,0.119759,0.153596,0.197521,0.253214,0.322172,0.364996,0.0921848,0.119759,0.153596,0.197521,0.253214,0.322172,0.364996,0.0921848,0.119759,0.153596,0.197521,0.253214,0.322172,0.364996,0.0921849,0.119759,0.153596,0.197521,0.253214,0.322172,0.364997
14,0.279986,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427453,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427453,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169878,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169879,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169879,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169879,0.215283,0.268966,0.336408,0.427454,0.107352,0.134589,0.169879,0.215283,0.268966,0.336408,0.427454
15,0.301766,0.120953,0.148573,0.184303,0.23127,0.28591,0.347759,0.433814,0.121247,0.148884,0.184622,0.231626,0.28591,0.347759,0.433814,0.121541,0.149195,0.18494,0.231981,0.28591,0.347759,0.433814,0.121835,0.149505,0.185259,0.232337,0.28591,0.347759,0.433814,0.122129,0.149816,0.185578,0.232692,0.28591,0.347759,0.433814,0.122423,0.150127,0.185897,0.233048,0.28591,0.347759,0.433814,0.122717,0.150438,0.186216,0.233403,0.28591,0.347759,0.433814,0.123011,0.150748,0.186535,0.233759,0.28591,0.347759,0.433814,0.123305,0.151059,0.186854,0.234114,0.28591,0.347759,0.433814,0.123599,0.15137,0.187173,0.234469,0.28591,0.347759,0.433814,0.123893,0.151681,0.187492,0.234825,0.28591,0.347759,0.433814,0.124186,0.151992,0.187811,0.23518,0.28591,0.347759,0.433814,0.12448,0.152302,0.18813,0.235536,0.28591,0.347759,0.433814
16,0.323799,0.138082,0.166921,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166921,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166921,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166921,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166921,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166921,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317,0.138082,0.166922,0.203665,0.249258,0.304406,0.353211,0.44317
17,0.346087,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.451895,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.452846,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.453798,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.454749,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.455701,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.456652,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.457604,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.458555,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.459507,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.460458,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.46141,0.154297,0.183689,0.222357,0.265196,0.322911,0.358727,0.462475,0.154297,0.18369,0.222357,0.265196,0.322911,0.358727,0.463546
18,0.368632,0.171265,0.201466,0.240214,0.282404,0.337637,0.364306,0.466711,0.171265,0.201466,0.240214,0.282404,0.337637,0.364306,0.467851,0.171265,0.201466,0.240214,0.282404,0.337637,0.364306,0.468992,0.171265,0.201466,0.240214,0.282404,0.337637,0.364306,0.470133,0.171265,0.201466,0.240214,0.282404,0.337637,0.364306,0.471274,0.171266,0.201467,0.240214,0.282404,0.337637,0.364306,0.472415,0.171266,0.201467,0.240215,0.282404,0.337637,0.364306,0.473556,0.171266,0.201467,0.240215,0.282404,0.337637,0.364306,0.474697,0.171266,0.201467,0.240215,0.282404,0.337637,0.364306,0.475838,0.171266,0.201467,0.240215,0.282404,0.337637,0.364306,0.476979,0.171266,0.201467,0.240215,0.282404,0.337637,0.364307,0.47812,0.171266,0.201467,0.240215,0.282404,0.337637,0.364307,0.479261,0.171266,0.201467,0.240215,0.282405,0.337637,0.364307,0.480402
19,0.391439,0.188423,0.220998,0.255658,0.301611,0.348299,0.429111,0.527071,0.188423,0.220998,0.255658,0.301611,0.348299,0.429111,0.527071,0.188424,0.220998,0.255658,0.301611,0.348299,0.429111,0.527071,0.188424,0.220998,0.255658,0.301612,0.348299,0.429111,0.527071,0.188424,0.220998,0.255658,0.301612,0.348299,0.429111,0.527071,0.188424,0.220998,0.255659,0.301612,0.348299,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.348299,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.348299,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.348299,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.348299,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.3483,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.3483,0.429111,0.527072,0.188424,0.220998,0.255659,0.301612,0.3483,0.429111,0.527072
