gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
28,0.608968,3.49032e-010,6.4096e-009,4.7045e-008,1.35711e-007,1.53679e-007,6.77068e-008,1.2147e-008,3.40599e-009,6.25473e-008,4.59083e-007,1.32432e-006,1.49966e-006,6.6071e-007,1.18535e-007,1.35867e-008,2.49505e-007,1.83132e-006,5.28282e-006,5.98224e-006,2.63562e-006,4.72845e-007,2.15225e-008,3.95238e-007,2.90096e-006,8.36845e-006,9.4764e-006,4.17506e-006,7.49029e-007,1.35865e-008,2.49501e-007,1.83129e-006,5.28274e-006,5.98216e-006,2.63558e-006,4.72839e-007,3.40586e-009,6.25451e-008,4.59068e-007,1.32428e-006,1.49961e-006,6.60691e-007,1.18532e-007,3.49013e-010,6.40926e-009,4.70427e-008,1.35705e-007,1.53672e-007,6.77039e-008,1.21465e-008
29,0.634559,2.0782e-010,3.91578e-009,2.94846e-008,8.71872e-008,1.01022e-007,4.5426e-008,8.30104e-009,2.02799e-009,3.82117e-008,2.87722e-007,8.50809e-007,9.85821e-007,4.43287e-007,8.10054e-008,8.08979e-009,1.52429e-007,1.14775e-006,3.39395e-006,3.93253e-006,1.76832e-006,3.23139e-007,1.28149e-008,2.41462e-007,1.81814e-006,5.37634e-006,6.22951e-006,2.80119e-006,5.11885e-007,8.08965e-009,1.52427e-007,1.14774e-006,3.39392e-006,3.93251e-006,1.76831e-006,3.23139e-007,2.02792e-009,3.82106e-008,2.87716e-007,8.50795e-007,9.85811e-007,4.43286e-007,8.10055e-008,2.0781e-010,3.91561e-009,2.94835e-008,8.7185e-008,1.01021e-007,4.54257e-008,8.30106e-009
30,0.660447,1.20102e-010,2.2971e-009,1.75077e-008,5.22672e-008,6.09951e-008,2.75679e-008,5.05624e-009,1.172e-009,2.24159e-008,1.70845e-007,5.10039e-007,5.95207e-007,2.69015e-007,4.93399e-008,4.67516e-009,8.94181e-008,6.8151e-007,2.03456e-006,2.3743e-006,1.0731e-006,1.96817e-007,7.40583e-009,1.41645e-007,1.07956e-006,3.2229e-006,3.76105e-006,1.69987e-006,3.11771e-007,4.67504e-009,8.94158e-008,6.8149e-007,2.0345e-006,2.37421e-006,1.07306e-006,1.96808e-007,1.17194e-009,2.24147e-008,1.70835e-007,5.10005e-007,5.95162e-007,2.68992e-007,4.93353e-008,1.20093e-010,2.29692e-009,1.75061e-008,5.22619e-008,6.09881e-008,2.75644e-008,5.05552e-009
31,0.686635,6.88392e-011,1.34135e-009,1.03695e-008,3.12805e-008,3.67676e-008,1.66972e-008,3.07206e-009,6.71757e-010,1.30893e-008,1.0119e-007,3.05246e-007,3.58792e-007,1.62937e-007,2.99783e-008,2.67968e-009,5.22142e-008,4.03653e-007,1.21765e-006,1.43125e-006,6.49968e-007,1.19586e-007,4.24484e-009,8.27116e-008,6.3942e-007,1.92886e-006,2.26722e-006,1.02961e-006,1.89434e-007,2.67962e-009,5.22131e-008,4.03645e-007,1.21763e-006,1.43122e-006,6.49958e-007,1.19584e-007,6.71728e-010,1.30888e-008,1.01186e-007,3.05235e-007,3.58779e-007,1.62932e-007,2.99773e-008,6.88347e-011,1.34126e-009,1.03689e-008,3.12787e-008,3.67656e-008,1.66963e-008,3.07191e-009
32,0.713126,3.77482e-011,7.52583e-010,5.94565e-009,1.82964e-008,2.18871e-008,1.00899e-008,1.88095e-009,3.68357e-010,7.34391e-009,5.80194e-008,1.78542e-007,2.13581e-007,9.8461e-008,1.83549e-008,1.46938e-009,2.92951e-008,2.31442e-007,7.12212e-007,8.51988e-007,3.92767e-007,7.32191e-008,2.3276e-009,4.64055e-008,3.66621e-007,1.1282e-006,1.34962e-006,6.22175e-007,1.15985e-007,1.46932e-009,2.9294e-008,2.31434e-007,7.12192e-007,8.51967e-007,3.92759e-007,7.32177e-008,3.68326e-010,7.34336e-009,5.80156e-008,1.78532e-007,2.13571e-007,9.84567e-008,1.83542e-008,3.77434e-011,7.52498e-010,5.94506e-009,1.82948e-008,2.18854e-008,1.00893e-008,1.88083e-009
33,0.739924,2.04055e-011,4.16592e-010,3.36445e-009,1.05561e-008,1.28344e-008,5.99455e-009,1.12956e-009,1.99124e-010,4.06526e-009,3.28316e-008,1.03011e-007,1.25243e-007,5.84971e-008,1.10226e-008,7.94321e-010,1.62166e-008,1.30968e-007,4.10918e-007,4.99605e-007,2.33349e-007,4.39701e-008,1.25827e-009,2.56886e-008,2.07464e-007,6.50931e-007,7.91418e-007,3.69646e-007,6.96526e-008,7.94307e-010,1.62164e-008,1.30966e-007,4.10912e-007,4.99598e-007,2.33346e-007,4.39695e-008,1.99117e-010,4.06514e-009,3.28306e-008,1.03008e-007,1.2524e-007,5.84954e-008,1.10223e-008,2.04044e-011,4.16573e-010,3.3643e-009,1.05557e-008,1.28339e-008,5.99428e-009,1.1295e-009
34,0.767033,1.10385e-011,2.31837e-010,1.92219e-009,6.17369e-009,7.65722e-009,3.63584e-009,6.94739e-010,1.07717e-010,2.26233e-009,1.87573e-008,6.02448e-008,7.47217e-008,3.54798e-008,6.77953e-009,4.29684e-010,9.02451e-009,7.48237e-008,2.40319e-007,2.98069e-007,1.41531e-007,2.70441e-008,6.8065e-010,1.42955e-008,1.18526e-007,3.80684e-007,4.72166e-007,2.24198e-007,4.28402e-008,4.29668e-010,9.02418e-009,7.48211e-008,2.40312e-007,2.98062e-007,1.41529e-007,2.70437e-008,1.07708e-010,2.26216e-009,1.87561e-008,6.02412e-008,7.47181e-008,3.54785e-008,6.77934e-009,1.10372e-011,2.31811e-010,1.922e-009,6.17314e-009,7.65665e-009,3.63562e-009,6.94708e-010
35,0.794456,5.67203e-012,1.20901e-010,1.01593e-009,3.30348e-009,4.14343e-009,1.98703e-009,3.8313e-010,5.53492e-011,1.17979e-009,9.91362e-009,3.2236e-008,4.04323e-008,1.93898e-008,3.73863e-009,2.20789e-010,4.70619e-009,3.95455e-008,1.28589e-007,1.61284e-007,7.73454e-008,1.49133e-008,3.49746e-010,7.45492e-009,6.26426e-008,2.03693e-007,2.55483e-007,1.22519e-007,2.36234e-008,2.20781e-010,4.70599e-009,3.95437e-008,1.28583e-007,1.61275e-007,7.73407e-008,1.49124e-008,5.53449e-011,1.17969e-009,9.91269e-009,3.22326e-008,4.04277e-008,1.93874e-008,3.73815e-009,5.67137e-012,1.20886e-010,1.01578e-009,3.30295e-009,4.14272e-009,1.98666e-009,3.83055e-010
36,0.822196,2.84783e-012,6.10622e-011,5.14368e-010,1.67351e-009,2.09826e-009,1.00552e-009,1.93722e-010,2.779e-011,5.95865e-010,5.01938e-009,1.63307e-008,2.04755e-008,9.81226e-009,1.89041e-009,1.10856e-010,2.37694e-009,2.00226e-008,6.51441e-008,8.16782e-008,3.91417e-008,7.54097e-009,1.75605e-010,3.76526e-009,3.17174e-008,1.03194e-007,1.29385e-007,6.20038e-008,1.19455e-008,1.10853e-010,2.37688e-009,2.00221e-008,6.51427e-008,8.16765e-008,3.91409e-008,7.54082e-009,2.77886e-011,5.95836e-010,5.01915e-009,1.633e-008,2.04747e-008,9.81186e-009,1.89034e-009,2.8476e-012,6.10576e-011,5.14332e-010,1.6734e-009,2.09812e-009,1.00546e-009,1.9371e-010
37,0.850258,1.41489e-012,3.10359e-011,2.66877e-010,8.8453e-010,1.12718e-009,5.47724e-010,1.06821e-010,1.3807e-011,3.02859e-010,2.60428e-009,8.63154e-009,1.09995e-008,5.34488e-009,1.0424e-009,5.50768e-011,1.20812e-009,1.03886e-008,3.44317e-008,4.38775e-008,2.13211e-008,4.1582e-009,8.72459e-011,1.91376e-009,1.64564e-008,5.45427e-008,6.95055e-008,3.37743e-008,6.58693e-009,5.50752e-011,1.20809e-009,1.03884e-008,3.44309e-008,4.38765e-008,2.13206e-008,4.15811e-009,1.38062e-011,3.02843e-010,2.60415e-009,8.63115e-009,1.0999e-008,5.34465e-009,1.04236e-009,1.41477e-012,3.10335e-011,2.66858e-010,8.84468e-010,1.12711e-009,5.47688e-010,1.06814e-010
