gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
72,2.07689,-25.1455,-25.1062,-25.0669,-25.0276,-24.9882,-24.9479,-24.9057,-24.8486,-24.8106,-24.7726,-24.7346,-24.6967,-24.6574,-24.6167,-24.5168,-24.4802,-24.4436,-24.407,-24.3704,-24.3328,-24.2936,-24.1458,-24.1104,-24.0751,-24.0404,-24.0058,-23.9696,-23.9316,-23.7309,-23.6975,-23.6641,-23.6308,-23.5974,-23.5628,-23.527,-23.2681,-23.2365,-23.205,-23.1734,-23.1419,-23.1089,-23.075,-22.7535,-22.7236,-22.6938,-22.6639,-22.6344,-22.6038,-22.5717
73,2.11937,-24.9535,-24.9095,-24.8683,-24.8272,-24.786,-24.746,-24.7031,-24.6627,-24.6203,-24.5807,-24.541,-24.5014,-24.4621,-24.4207,-24.338,-24.297,-24.2587,-24.2205,-24.1822,-24.1446,-24.1045,-23.9745,-23.935,-23.898,-23.8614,-23.8253,-23.7891,-23.7505,-23.5675,-23.5302,-23.4952,-23.4603,-23.4253,-23.3906,-23.354,-23.1133,-23.078,-23.0449,-23.0119,-22.9788,-22.9458,-22.9109,-22.608,-22.5745,-22.5432,-22.512,-22.4807,-22.45,-22.4173
74,2.16234,-24.755,-24.7113,-24.6704,-24.6295,-24.5876,-24.5447,-24.5029,-24.4709,-24.4286,-24.3891,-24.3496,-24.3092,-24.2672,-24.2267,-24.1531,-24.1122,-24.074,-24.0358,-23.9967,-23.9566,-23.9175,-23.7973,-23.7579,-23.721,-23.6842,-23.6473,-23.6087,-23.571,-23.3983,-23.3611,-23.3262,-23.2913,-23.2556,-23.2183,-23.1826,-22.9533,-22.9176,-22.8846,-22.8516,-22.8178,-22.7825,-22.7482,-22.457,-22.4235,-22.3923,-22.361,-22.3291,-22.296,-22.2639
75,2.20581,-24.5563,-24.5156,-24.4748,-24.434,-24.3923,-24.3494,-24.3076,-24.2784,-24.239,-24.1995,-24.1601,-24.1197,-24.0778,-24.0376,-23.9674,-23.9293,-23.8913,-23.8532,-23.8143,-23.774,-23.7351,-23.6192,-23.5824,-23.5456,-23.5088,-23.4719,-23.4334,-23.3957,-23.2284,-23.1934,-23.1586,-23.1238,-23.0882,-23.051,-23.0151,-22.7921,-22.7585,-22.7254,-22.6925,-22.6588,-22.6236,-22.5891,-22.3049,-22.2736,-22.2424,-22.2111,-22.1792,-22.1457,-22.1136
76,2.24979,-24.3654,-24.3238,-24.2812,-24.2404,-24.1988,-24.1562,-24.1147,-24.0933,-24.0531,-24.0121,-23.9729,-23.9327,-23.8908,-23.8507,-23.7889,-23.7501,-23.7104,-23.6725,-23.6336,-23.5933,-23.5544,-23.4478,-23.4102,-23.3718,-23.3351,-23.2981,-23.2597,-23.2221,-23.065,-23.0288,-22.9925,-22.9578,-22.9222,-22.8851,-22.8489,-22.6368,-22.6024,-22.5675,-22.5346,-22.501,-22.4658,-22.4313,-22.1583,-22.126,-22.0933,-22.0621,-22.0302,-21.9968,-21.9643
77,2.29427,-24.1736,-24.1323,-24.09,-24.0496,-24.0092,-23.9674,-23.927,-23.908,-23.8677,-23.8267,-23.7876,-23.7485,-23.7076,-23.6683,-23.6097,-23.5709,-23.5312,-23.4934,-23.4555,-23.416,-23.3781,-23.2755,-23.238,-23.1997,-23.1631,-23.1267,-23.0893,-23.0526,-22.9004,-22.8642,-22.8277,-22.7931,-22.7584,-22.7222,-22.6867,-22.4802,-22.4459,-22.4109,-22.378,-22.3451,-22.3107,-22.2771,-22.0105,-21.978,-21.9453,-21.9141,-21.8829,-21.8503,-21.8184
78,2.33927,-23.9901,-23.9451,-23.903,-23.8609,-23.8197,-23.7787,-23.7383,-23.7301,-23.6858,-23.645,-23.6041,-23.5642,-23.5242,-23.485,-23.4376,-23.3951,-23.3556,-23.3161,-23.2775,-23.2389,-23.201,-23.1098,-23.0691,-23.0309,-22.9927,-22.9553,-22.9187,-22.8822,-22.742,-22.7026,-22.6659,-22.6297,-22.5943,-22.5589,-22.5235,-22.3296,-22.2922,-22.2571,-22.2224,-22.1889,-22.1553,-22.1217,-21.8682,-21.8327,-21.7997,-21.7671,-21.7352,-21.7034,-21.6715
79,2.38479,-23.8059,-23.7598,-23.7167,-23.6737,-23.6306,-23.588,-23.5488,-23.5508,-23.5057,-23.4641,-23.4225,-23.3809,-23.3394,-23.3011,-23.2646,-23.2211,-23.1808,-23.1406,-23.1003,-23.0601,-23.0231,-22.9431,-22.9016,-22.8626,-22.8237,-22.7847,-22.7464,-22.7107,-22.5825,-22.5423,-22.5047,-22.4677,-22.4308,-22.3938,-22.3593,-22.1776,-22.1395,-22.1037,-22.068,-22.033,-21.9979,-21.9651,-21.7246,-21.6884,-21.6544,-21.621,-21.5877,-21.5544,-21.5233
80,2.43084,-23.6173,-23.5743,-23.5314,-23.4886,-23.4467,-23.4069,-23.3669,-23.3681,-23.3257,-23.2843,-23.2428,-23.2023,-23.1635,-23.1243,-23.0879,-23.0469,-23.0068,-22.9667,-22.9274,-22.8899,-22.8519,-22.7728,-22.7339,-22.695,-22.6561,-22.6181,-22.5822,-22.5458,-22.4194,-22.3817,-22.344,-22.307,-22.271,-22.2365,-22.2012,-22.0221,-21.9864,-21.9507,-21.9149,-21.8805,-21.8478,-21.8143,-21.5774,-21.5435,-21.5095,-21.4758,-21.4433,-21.4122,-21.3804
81,2.47742,-23.434,-23.3909,-23.3483,-23.3056,-23.2638,-23.2241,-23.1842,-23.1899,-23.1477,-23.1063,-23.0649,-23.0245,-22.9859,-22.9467,-22.9155,-22.8746,-22.8344,-22.7944,-22.7552,-22.7178,-22.6798,-22.6065,-22.5676,-22.5288,-22.49,-22.4521,-22.4145,-22.3798,-22.26,-22.2224,-22.1848,-22.1476,-22.1116,-22.0756,-22.0419,-21.8701,-21.8344,-21.7987,-21.763,-21.7284,-21.6942,-21.6623,-21.4334,-21.3995,-21.3656,-21.3316,-21.299,-21.2665,-21.2362
