gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0,0,0,0,0,0,0
2,0.0372875,0.00368603,0.00430027,0.00491549,0.00553031,0.00614543,0.0067597,0.00737396
3,0.0562558,0.0164174,0.0171687,0.0179215,0.0186622,0.0193492,0.0200356,0.0207217
4,0.0754439,0.0283311,0.029149,0.0299671,0.0307836,0.0315986,0.0324105,0.0332199
5,0.0948544,0.0404121,0.0414347,0.0424551,0.0434725,0.044488,0.0455014,0.0465141
6,0.11449,0.0533248,0.0544815,0.0556389,0.0568019,0.0579721,0.0591423,0.0603141
7,0.134352,0.0665106,0.0678128,0.0691177,0.070425,0.0717362,0.073051,0.0743708
8,0.154445,0.080955,0.0827397,0.0845262,0.0863091,0.0880861,0.0898525,0.091607
9,0.174771,0.0972888,0.0989408,0.100589,0.102232,0.103874,0.105515,0.107156
10,0.195332,0.1116,0.113397,0.115207,0.117039,0.118875,0.120717,0.122567
11,0.216131,0.126274,0.128258,0.130251,0.132251,0.134261,0.136619,0.138992
12,0.237172,0.142426,0.144964,0.147507,0.150049,0.152589,0.155102,0.157549
13,0.258456,0.160177,0.162834,0.165474,0.168096,0.170698,0.17328,0.17576
14,0.279986,0.177608,0.180136,0.182666,0.185199,0.187737,0.190279,0.192825
15,0.301766,0.193737,0.196464,0.199224,0.201999,0.204791,0.207599,0.210426
16,0.323799,0.210241,0.213197,0.216179,0.219533,0.222879,0.226214,0.229539
17,0.346087,0.2284,0.231934,0.235461,0.238957,0.242426,0.245886,0.249338
18,0.368632,0.247434,0.251097,0.254752,0.258399,0.261943,0.265462,0.268959
19,0.391439,0.266428,0.270171,0.273891,0.277587,0.281217,0.284764,0.288318
20,0.414511,0.285173,0.288901,0.292636,0.296376,0.300121,0.303945,0.307847
21,0.437849,0.303509,0.307547,0.311613,0.315703,0.31982,0.323967,0.328308
22,0.461458,0.322434,0.326917,0.331486,0.336048,0.340605,0.345153,0.349676
23,0.485341,0.342757,0.347528,0.35228,0.357022,0.361757,0.366482,0.371147
24,0.5095,0.36335,0.368305,0.373172,0.378019,0.382853,0.387674,0.392465
25,0.533939,0.383923,0.388976,0.39397,0.398904,0.403825,0.408732,0.413631
26,0.558661,0.404421,0.409556,0.414678,0.419843,0.42502,0.430207,0.435404
27,0.58367,0.425063,0.430433,0.435815,0.441312,0.446891,0.452487,0.458098
28,0.608968,0.446209,0.451984,0.457781,0.463621,0.469505,0.475382,0.481255
29,0.634559,0.468077,0.474194,0.480307,0.486407,0.492462,0.498502,0.504529
30,0.660447,0.490441,0.496742,0.50303,0.509305,0.515495,0.521665,0.52782
31,0.686635,0.512931,0.519371,0.525797,0.532205,0.538563,0.544907,0.551252
32,0.713126,0.535447,0.54203,0.548611,0.55519,0.561803,0.568463,0.575138
33,0.739924,0.55798,0.564846,0.571728,0.578621,0.585567,0.59262,0.599676
34,0.767033,0.580941,0.588162,0.595452,0.602747,0.610054,0.617396,0.62473
35,0.794456,0.604632,0.612194,0.619793,0.627386,0.634971,0.642499,0.650015
36,0.822196,0.62883,0.636665,0.644464,0.652248,0.660021,0.667724,0.675415
37,0.850258,0.653265,0.661301,0.66927,0.677225,0.68517,0.693084,0.70099
38,0.878644,0.677827,0.686039,0.694208,0.702368,0.710525,0.718713,0.726926
39,0.90736,0.702544,0.710956,0.719391,0.727843,0.736303,0.744835,0.753424
40,0.936408,0.727543,0.736242,0.745014,0.753845,0.762689,0.771569,0.780476
41,0.965793,0.753013,0.762097,0.771228,0.780402,0.789576,0.798734,0.807867
42,0.995519,0.779036,0.788477,0.797916,0.807337,0.816746,0.826121,0.835455
43,1.02559,0.805493,0.815194,0.824869,0.834494,0.844105,0.853693,0.863257
44,1.05601,0.832209,0.842117,0.852004,0.86185,0.871689,0.881527,0.891384
45,1.08678,0.859112,0.869239,0.879359,0.889485,0.899614,0.909763,0.919981
46,1.1179,0.886247,0.896651,0.907057,0.917535,0.928026,0.938541,0.949119
47,1.14939,0.913733,0.924491,0.935259,0.946105,0.956966,0.967831,0.978704
48,1.18124,0.941706,0.952846,0.963992,0.975163,0.986331,0.997484,1.0086
49,1.21346,0.970198,0.981672,0.99314,1.00458,1.016,1.0274,1.03876
50,1.24606,0.999105,1.01085,1.02257,1.03426,1.04592,1.05757,1.06921
51,1.27903,1.0283,1.04029,1.05226,1.06421,1.07615,1.08809,1.10007
52,1.31239,1.05774,1.06999,1.08224,1.0945,1.10677,1.11906,1.13142
53,1.34613,1.08746,1.10003,1.11261,1.12523,1.13789,1.15056,1.16328
54,1.38026,1.11756,1.13051,1.14348,1.15648,1.16951,1.18254,1.19556
55,1.41479,1.14817,1.16151,1.17485,1.18821,1.20155,1.21489,1.22819
56,1.44971,1.17929,1.19297,1.20665,1.2203,1.23393,1.24754,1.26113
57,1.48504,1.21083,1.22481,1.23877,1.25271,1.26662,1.28053,1.29444
58,1.52078,1.24269,1.25696,1.27121,1.28545,1.29968,1.31391,1.32819
59,1.55694,1.27486,1.28943,1.304,1.31857,1.33318,1.34779,1.36246
60,1.59351,1.30737,1.32229,1.33722,1.35218,1.36718,1.38218,1.39722
61,1.63051,1.34031,1.35561,1.37094,1.38629,1.40167,1.41705,1.43242
62,1.66794,1.37373,1.38944,1.40516,1.42089,1.43661,1.45231,1.46799
63,1.7058,1.40766,1.42374,1.43982,1.45588,1.47191,1.48793,1.50394
