gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
81,2.46744,2.05947,2.09561,2.14012,2.19489,2.26224,2.34498,2.44658,2.05947,2.09561,2.14012,2.19489,2.26224,2.34498,2.44658,2.05947,2.09561,2.14012,2.19489,2.26224,2.34498,2.44658,2.05947,2.09561,2.14012,2.19489,2.26224,2.34498,2.44658,2.0579,2.09401,2.1385,2.19325,2.26057,2.34327,2.44481,2.05635,2.09245,2.13691,2.19164,2.25892,2.34158,2.44307,2.05478,2.09087,2.13531,2.19001,2.25726,2.33988,2.44132
82,2.51456,2.1029,2.13906,2.1836,2.23841,2.3058,2.38858,2.49022,2.1029,2.13906,2.1836,2.23841,2.3058,2.38858,2.49022,2.10291,2.13906,2.1836,2.23841,2.3058,2.38858,2.49022,2.1029,2.13906,2.1836,2.23841,2.3058,2.38858,2.49022,2.1013,2.13745,2.18196,2.23675,2.3041,2.38684,2.48843,2.09973,2.13585,2.18035,2.23511,2.30243,2.38512,2.48666,2.09814,2.13425,2.17873,2.23346,2.30074,2.3834,2.48488
83,2.56223,2.14686,2.18304,2.22761,2.28245,2.34987,2.43269,2.53437,2.14686,2.18304,2.22761,2.28245,2.34987,2.43269,2.53437,2.14686,2.18304,2.22761,2.28245,2.34987,2.43269,2.53437,2.14686,2.18304,2.22761,2.28245,2.34987,2.43269,2.53437,2.14523,2.1814,2.22595,2.28076,2.34815,2.43093,2.53256,2.14363,2.17979,2.22431,2.2791,2.34645,2.42919,2.53077,2.14202,2.17816,2.22266,2.27742,2.34474,2.42744,2.52896
84,2.61045,2.19134,2.22755,2.27215,2.32702,2.39447,2.47733,2.57905,2.19134,2.22755,2.27215,2.32702,2.39447,2.47733,2.57905,2.19134,2.22755,2.27215,2.32702,2.39447,2.47733,2.57905,2.19134,2.22755,2.27215,2.32702,2.39447,2.47733,2.57905,2.18969,2.22588,2.27046,2.3253,2.39273,2.47554,2.57722,2.18807,2.22424,2.2688,2.32361,2.391,2.47378,2.5754,2.18643,2.22259,2.26712,2.32191,2.38927,2.472,2.57357
85,2.65923,2.23636,2.27259,2.31722,2.37212,2.43961,2.5225,2.62426,2.23636,2.27259,2.31722,2.37212,2.43961,2.5225,2.62426,2.23636,2.27259,2.31722,2.37212,2.43961,2.5225,2.62426,2.23636,2.27259,2.31722,2.37212,2.43961,2.5225,2.62426,2.23468,2.2709,2.3155,2.37038,2.43783,2.52069,2.6224,2.23303,2.26923,2.31382,2.36866,2.43609,2.5189,2.62056,2.23137,2.26755,2.31211,2.36694,2.43433,2.5171,2.6187
86,2.70857,2.28192,2.31818,2.36283,2.41776,2.48528,2.56821,2.67001,2.28192,2.31818,2.36283,2.41776,2.48528,2.56821,2.67001,2.28192,2.31818,2.36283,2.41776,2.48528,2.56821,2.67001,2.28192,2.31818,2.36283,2.41776,2.48528,2.56821,2.67001,2.28021,2.31646,2.36109,2.41599,2.48348,2.56637,2.66812,2.27854,2.31476,2.35937,2.41425,2.48171,2.56455,2.66625,2.27685,2.31306,2.35765,2.4125,2.47992,2.56273,2.66437
87,2.75849,2.32802,2.3643,2.40898,2.46394,2.53149,2.61446,2.7163,2.32802,2.3643,2.40898,2.46394,2.53149,2.61446,2.7163,2.32802,2.3643,2.40898,2.46394,2.53149,2.61446,2.7163,2.32802,2.3643,2.40898,2.46394,2.53149,2.61446,2.7163,2.32629,2.36256,2.40722,2.46215,2.52967,2.6126,2.71438,2.32459,2.36084,2.40548,2.46038,2.52787,2.61075,2.71247,2.32288,2.35911,2.40373,2.45861,2.52606,2.60891,2.71056
88,2.80898,2.37468,2.41098,2.45569,2.51067,2.57826,2.66126,2.76312,2.37468,2.41098,2.45569,2.51067,2.57826,2.66126,2.76312,2.37468,2.41099,2.45569,2.51067,2.57826,2.66126,2.76312,2.37468,2.41098,2.45569,2.51067,2.57826,2.66126,2.76312,2.37293,2.40922,2.4539,2.50886,2.57641,2.65938,2.76117,2.3712,2.40747,2.45213,2.50707,2.57459,2.6575,2.75924,2.36946,2.40571,2.45035,2.50526,2.57275,2.65563,2.75731
89,2.86006,2.4219,2.45822,2.50295,2.55797,2.62559,2.70862,2.8105,2.4219,2.45822,2.50295,2.55797,2.62559,2.70862,2.8105,2.4219,2.45822,2.50295,2.55797,2.62559,2.70862,2.8105,2.4219,2.45822,2.50295,2.55797,2.62559,2.70862,2.8105,2.42012,2.45643,2.50113,2.55613,2.62371,2.7067,2.80853,2.41836,2.45466,2.49934,2.55431,2.62186,2.7048,2.80657,2.41659,2.45287,2.49754,2.55248,2.62,2.70289,2.80462
90,2.91173,2.46968,2.50603,2.55078,2.60582,2.67347,2.75653,2.85845,2.46968,2.50603,2.55078,2.60582,2.67347,2.75653,2.85845,2.46968,2.50603,2.55078,2.60582,2.67347,2.75653,2.85845,2.46968,2.50603,2.55078,2.60582,2.67347,2.75653,2.85845,2.46787,2.5042,2.54894,2.60396,2.67157,2.75459,2.85646,2.46609,2.5024,2.54712,2.60211,2.66969,2.75265,2.85447,2.46429,2.5006,2.54529,2.60026,2.6678,2.75073,2.8525
91,2.964,2.51803,2.5544,2.59918,2.65425,2.72193,2.80501,2.90697,2.51803,2.5544,2.59918,2.65425,2.72193,2.80501,2.90697,2.51803,2.5544,2.59918,2.65425,2.72193,2.80501,2.90697,2.51803,2.5544,2.59918,2.65425,2.72193,2.80501,2.90697,2.5162,2.55255,2.59731,2.65236,2.72,2.80304,2.90495,2.51438,2.55072,2.59546,2.65048,2.71808,2.80108,2.90294,2.51257,2.54889,2.59361,2.6486,2.71617,2.79913,2.90094
92,3.01688,2.56696,2.60335,2.64815,2.70325,2.77095,2.85407,2.95607,2.56696,2.60335,2.64815,2.70325,2.77095,2.85407,2.95607,2.56696,2.60335,2.64816,2.70325,2.77095,2.85407,2.95607,2.56696,2.60335,2.64815,2.70325,2.77095,2.85407,2.95607,2.5651,2.60148,2.64626,2.70133,2.769,2.85207,2.95402,2.56326,2.59962,2.64438,2.69943,2.76706,2.85009,2.95198,2.56142,2.59776,2.6425,2.69752,2.76512,2.84811,2.94995
93,3.07036,2.61647,2.65289,2.69771,2.75284,2.82056,2.90371,3.00574,2.61647,2.65289,2.69771,2.75284,2.82056,2.90371,3.00574,2.61647,2.65289,2.69772,2.75284,2.82056,2.90371,3.00574,2.61647,2.65289,2.69771,2.75284,2.82056,2.90371,3.00574,2.61459,2.65099,2.69579,2.75089,2.81858,2.90169,3.00367,2.61272,2.64911,2.69389,2.74895,2.81661,2.89968,3.0016,2.61085,2.64722,2.69198,2.74702,2.81465,2.89767,2.99955
94,3.12447,2.66658,2.70302,2.74786,2.80301,2.87076,2.95394,3.05601,2.66658,2.70302,2.74786,2.80301,2.87076,2.95394,3.05601,2.66658,2.70302,2.74786,2.80301,2.87076,2.95394,3.05601,2.66658,2.70302,2.74786,2.80301,2.87076,2.95394,3.05601,2.66467,2.70109,2.74591,2.80103,2.86875,2.95189,3.05391,2.66277,2.69918,2.74398,2.79907,2.86676,2.94985,3.05181,2.66088,2.69726,2.74205,2.79711,2.86476,2.94782,3.04973
95,3.1792,2.71729,2.75374,2.79861,2.85378,2.92156,3.00477,3.10687,2.71729,2.75374,2.79861,2.85378,2.92156,3.00477,3.10687,2.71729,2.75374,2.79861,2.85378,2.92156,3.00477,3.10687,2.71729,2.75374,2.79861,2.85378,2.92156,3.00477,3.10687,2.71535,2.75178,2.79663,2.85178,2.91952,3.00269,3.10474,2.71342,2.74984,2.79467,2.84979,2.9175,3.00062,3.10261,2.7115,2.7479,2.79271,2.8478,2.91548,2.99856,3.1005
96,3.23457,2.76859,2.80507,2.84996,2.90515,2.97296,3.0562,3.15833,2.76859,2.80507,2.84996,2.90515,2.97296,3.0562,3.15833,2.76859,2.80507,2.84996,2.90515,2.97296,3.0562,3.15833,2.76859,2.80507,2.84996,2.90515,2.97296,3.0562,3.15833,2.76663,2.80308,2.84795,2.90312,2.97089,3.05409,3.15617,2.76467,2.80111,2.84596,2.9011,2.96884,3.05199,3.15402,2.76272,2.79915,2.84397,2.89909,2.96679,3.0499,3.15188
97,3.29058,2.82051,2.85701,2.90192,2.95714,3.02497,3.10824,3.2104,2.82051,2.85701,2.90192,2.95714,3.02497,3.10824,3.2104,2.82051,2.85701,2.90192,2.95714,3.02497,3.10824,3.2104,2.82051,2.85701,2.90192,2.95714,3.02497,3.10823,3.2104,2.81852,2.855,2.89989,2.95508,3.02287,3.1061,3.20821,2.81654,2.853,2.89786,2.95303,3.02079,3.10397,3.20602,2.81456,2.851,2.89585,2.95098,3.01871,3.10185,3.20386
98,3.34724,2.87305,2.90956,2.9545,3.00973,3.07759,3.16089,3.26308,2.87305,2.90956,2.9545,3.00973,3.07759,3.16089,3.26308,2.87305,2.90956,2.9545,3.00973,3.07759,3.16089,3.26308,2.87305,2.90956,2.9545,3.00973,3.07759,3.16089,3.26308,2.87103,2.90752,2.95243,3.00765,3.07547,3.15872,3.26086,2.86902,2.90549,2.95038,3.00557,3.07335,3.15656,3.25865,2.86701,2.90347,2.94834,3.0035,3.07125,3.15442,3.25645
99,3.40456,2.92622,2.96274,3.0077,3.06296,3.13084,3.21416,3.31638,2.92622,2.96274,3.0077,3.06296,3.13084,3.21416,3.31638,2.92622,2.96274,3.0077,3.06296,3.13084,3.21416,3.31638,2.92622,2.96274,3.0077,3.06296,3.13084,3.21416,3.31638,2.92416,2.96068,3.00561,3.06084,3.12869,3.21197,3.31414,2.92212,2.95861,3.00352,3.05873,3.12654,3.20978,3.31189,2.92008,2.95656,3.00145,3.05663,3.12441,3.2076,3.30966
100,3.46253,2.98001,3.01656,3.06153,3.11681,3.18472,3.26807,3.37031,2.98001,3.01656,3.06153,3.11681,3.18472,3.26807,3.37031,2.98001,3.01656,3.06153,3.11681,3.18472,3.26807,3.37031,2.98001,3.01656,3.06153,3.11681,3.18471,3.26806,3.37031,2.97793,3.01446,3.05941,3.11466,3.18253,3.26584,3.36804,2.97585,3.01237,3.05729,3.11252,3.18036,3.26362,3.36576,2.97379,3.01029,3.05519,3.11039,3.17819,3.26142,3.3635
101,3.52119,3.03445,3.07101,3.116,3.1713,3.23923,3.3226,3.42488,3.03445,3.07101,3.116,3.1713,3.23923,3.3226,3.42488,3.03445,3.07101,3.116,3.1713,3.23923,3.3226,3.42488,3.03445,3.07101,3.116,3.1713,3.23923,3.3226,3.42488,3.03233,3.06888,3.11385,3.16913,3.23702,3.32035,3.42257,3.03023,3.06676,3.1117,3.16695,3.23481,3.3181,3.42026,3.02813,3.06465,3.10957,3.16479,3.23262,3.31586,3.41797
102,3.58052,3.08953,3.1261,3.17111,3.22644,3.29439,3.37779,3.48009,3.08953,3.1261,3.17111,3.22644,3.29439,3.37779,3.48009,3.08953,3.1261,3.17111,3.22644,3.29439,3.37779,3.48009,3.08953,3.1261,3.17111,3.22644,3.29439,3.37779,3.48009,3.08738,3.12395,3.16893,3.22423,3.29215,3.3755,3.47775,3.08525,3.12179,3.16676,3.22203,3.2899,3.37322,3.47541,3.08312,3.11965,3.16459,3.21984,3.28768,3.37095,3.47309
103,3.64053,3.14526,3.18186,3.22688,3.28223,3.3502,3.43362,3.53595,3.14526,3.18186,3.22688,3.28223,3.3502,3.43362,3.53595,3.14526,3.18186,3.22688,3.28223,3.3502,3.43362,3.53595,3.14526,3.18185,3.22688,3.28223,3.3502,3.43362,3.53595,3.14309,3.17967,3.22467,3.27999,3.34792,3.4313,3.53358,3.14092,3.17748,3.22246,3.27775,3.34565,3.42899,3.5312,3.13877,3.17531,3.22027,3.27553,3.3434,3.42669,3.52885
104,3.70125,3.20165,3.23827,3.28331,3.33867,3.40666,3.49011,3.59246,3.20165,3.23827,3.28331,3.33867,3.40666,3.49011,3.59246,3.20166,3.23827,3.28331,3.33867,3.40666,3.49011,3.59246,3.20165,3.23827,3.28331,3.33867,3.40666,3.49011,3.59246,3.19945,3.23605,3.28107,3.3364,3.40436,3.48776,3.59006,3.19725,3.23383,3.27882,3.33413,3.40205,3.48541,3.58765,3.19507,3.23162,3.2766,3.33188,3.39977,3.48308,3.58526
105,3.76266,3.25872,3.29534,3.3404,3.39579,3.4638,3.54727,3.64964,3.25872,3.29534,3.3404,3.39579,3.4638,3.54727,3.64964,3.25872,3.29534,3.3404,3.39579,3.4638,3.54727,3.64964,3.25872,3.29534,3.3404,3.39578,3.4638,3.54727,3.64964,3.25648,3.29309,3.33813,3.39348,3.46146,3.54489,3.6472,3.25425,3.29084,3.33585,3.39118,3.45912,3.5425,3.64475,3.25203,3.28861,3.3336,3.3889,3.45681,3.54014,3.64233
106,3.82479,3.31646,3.3531,3.39817,3.45357,3.52161,3.60509,3.70748,3.31646,3.3531,3.39817,3.45357,3.52161,3.60509,3.70748,3.31646,3.3531,3.39817,3.45357,3.52161,3.60509,3.70748,3.31646,3.3531,3.39817,3.45357,3.5216,3.60509,3.70748,3.31419,3.35081,3.39587,3.45124,3.51924,3.60268,3.70501,3.31192,3.34852,3.39356,3.4489,3.51686,3.60026,3.70253,3.30967,3.34626,3.39127,3.44659,3.51451,3.59786,3.70008
