gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
10,0.195332,0.0449591,0.0742777,0.112795,0.161671,0.223206,0.3004,0.396717,0.044937,0.0742586,0.112777,0.161654,0.223192,0.300387,0.396705,0.0449148,0.0742395,0.112759,0.161637,0.223177,0.300374,0.396693,0.0448925,0.0742202,0.112741,0.16162,0.223162,0.30036,0.396681,0.0448704,0.0742012,0.112723,0.161604,0.223147,0.300347,0.396669,0.0448481,0.074182,0.112704,0.161587,0.223133,0.300333,0.396657,0.0448258,0.0741628,0.112686,0.16157,0.223118,0.30032,0.396645
11,0.216131,0.0598217,0.0904668,0.129452,0.179023,0.241036,0.318663,0.415261,0.0598006,0.090448,0.129435,0.179007,0.241021,0.318649,0.415249,0.0597794,0.0904292,0.129418,0.178991,0.241007,0.318636,0.415238,0.059758,0.0904101,0.1294,0.178975,0.240992,0.318623,0.415225,0.0597369,0.0903914,0.129383,0.178959,0.240978,0.31861,0.415214,0.0597156,0.0903725,0.129365,0.178943,0.240963,0.318597,0.415202,0.0596943,0.0903536,0.129348,0.178927,0.240949,0.318583,0.41519
12,0.237172,0.0755784,0.107111,0.146718,0.196648,0.25909,0.337186,0.434072,0.0755587,0.107093,0.146701,0.196633,0.259076,0.337173,0.434061,0.075539,0.107075,0.146684,0.196617,0.259062,0.33716,0.434049,0.075519,0.107056,0.146666,0.196602,0.259048,0.337147,0.434037,0.0754994,0.107038,0.146649,0.196586,0.259034,0.337134,0.434025,0.0754795,0.107019,0.146632,0.196571,0.259019,0.337121,0.434014,0.0754597,0.107001,0.146614,0.196555,0.259005,0.337108,0.434002
13,0.258456,0.0921965,0.124109,0.16441,0.214686,0.277597,0.35596,0.453155,0.0921778,0.124091,0.164394,0.214671,0.277584,0.355947,0.453143,0.0921591,0.124074,0.164377,0.214656,0.27757,0.355935,0.453132,0.0921402,0.124056,0.16436,0.214641,0.277556,0.355922,0.45312,0.0921216,0.124039,0.164344,0.214627,0.277542,0.35591,0.453108,0.0921028,0.124021,0.164327,0.214612,0.277528,0.355897,0.453097,0.092084,0.124003,0.16431,0.214597,0.277514,0.355884,0.453085
14,0.279986,0.109261,0.141602,0.182386,0.233122,0.296376,0.375019,0.472483,0.109243,0.141585,0.18237,0.233108,0.296363,0.375007,0.472472,0.109225,0.141567,0.182354,0.233093,0.29635,0.374995,0.472461,0.109206,0.141549,0.182338,0.233079,0.296336,0.374982,0.472449,0.109188,0.141532,0.182323,0.233064,0.296322,0.37497,0.472438,0.10917,0.141515,0.182307,0.23305,0.296309,0.374957,0.472426,0.109152,0.141497,0.182291,0.233035,0.296295,0.374945,0.472415
15,0.301766,0.126675,0.159677,0.20068,0.2518,0.315473,0.394404,0.492074,0.126657,0.15966,0.200665,0.251786,0.31546,0.394392,0.492063,0.12664,0.159643,0.20065,0.251772,0.315447,0.39438,0.492052,0.126622,0.159626,0.200634,0.251758,0.315433,0.394368,0.49204,0.126605,0.159609,0.200619,0.251744,0.31542,0.394356,0.492029,0.126587,0.159592,0.200604,0.251729,0.315407,0.394344,0.492018,0.126569,0.159575,0.200589,0.251715,0.315394,0.394332,0.492006
16,0.323799,0.144669,0.178053,0.219389,0.270866,0.334861,0.414045,0.511958,0.144652,0.178037,0.219374,0.270852,0.334848,0.414033,0.511947,0.144634,0.178021,0.219359,0.270838,0.334835,0.414022,0.511936,0.144617,0.178005,0.219344,0.270824,0.334822,0.414009,0.511925,0.1446,0.177989,0.219329,0.27081,0.334809,0.413998,0.511914,0.144582,0.177973,0.219314,0.270796,0.334796,0.413986,0.511903,0.144565,0.177957,0.2193,0.270782,0.334783,0.413974,0.511891
17,0.346087,0.163186,0.196723,0.238492,0.290282,0.354516,0.43397,0.532141,0.163169,0.196707,0.238477,0.290268,0.354504,0.433958,0.53213,0.163152,0.196692,0.238463,0.290255,0.354491,0.433947,0.532119,0.163135,0.196677,0.238448,0.290241,0.354478,0.433935,0.532108,0.163119,0.196661,0.238434,0.290227,0.354466,0.433923,0.532097,0.163102,0.196646,0.238419,0.290214,0.354453,0.433911,0.532086,0.163085,0.19663,0.238405,0.2902,0.354441,0.4339,0.532075
18,0.368632,0.182006,0.215829,0.25783,0.31001,0.374468,0.454184,0.552594,0.181991,0.215815,0.257816,0.309997,0.374456,0.454173,0.552583,0.181975,0.2158,0.257802,0.309984,0.374443,0.454161,0.552572,0.181959,0.215785,0.257787,0.30997,0.374431,0.454149,0.552561,0.181943,0.21577,0.257773,0.309957,0.374419,0.454138,0.55255,0.181927,0.215756,0.257759,0.309944,0.374406,0.454126,0.552539,0.181911,0.215741,0.257745,0.30993,0.374394,0.454115,0.552529
19,0.391439,0.201166,0.235374,0.277652,0.330065,0.394767,0.47466,0.573323,0.201151,0.235359,0.277638,0.330052,0.394755,0.474649,0.573312,0.201136,0.235345,0.277624,0.330039,0.394743,0.474638,0.573302,0.20112,0.23533,0.27761,0.330025,0.394731,0.474626,0.573291,0.201105,0.235316,0.277596,0.330013,0.394719,0.474615,0.57328,0.20109,0.235301,0.277582,0.329999,0.394707,0.474603,0.573269,0.201075,0.235286,0.277568,0.329986,0.394695,0.474592,0.573259
