gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
47,4.61847,-18.6467,-18.6356,-18.6189,-18.3292,-18.319,-18.3034,-17.959,-17.9501,-17.9357,-17.545,-17.5372,-17.524,-17.099,-17.0928,-17.081
48,4.8007,-18.5186,-18.5071,-18.4903,-18.2102,-18.1997,-18.1838,-17.8498,-17.8407,-17.826,-17.4463,-17.4383,-17.4246,-17.0105,-17.0038,-16.9916
49,4.98827,-18.3913,-18.3795,-18.3625,-18.0916,-18.0809,-18.0646,-17.7409,-17.7315,-17.7164,-17.3475,-17.3392,-17.325,-16.9216,-16.9147,-16.902
50,5.18134,-18.2646,-18.2526,-18.2353,-17.9733,-17.9625,-17.9457,-17.6321,-17.6223,-17.6069,-17.2484,-17.2399,-17.2254,-16.8321,-16.8251,-16.8121
51,5.38006,-18.1384,-18.1264,-18.1086,-17.8554,-17.8444,-17.8272,-17.5232,-17.5133,-17.4975,-17.149,-17.1403,-17.1257,-16.7422,-16.735,-16.7218
52,5.58461,-18.0128,-18.0006,-17.9825,-17.7377,-17.7266,-17.7093,-17.4145,-17.4043,-17.3881,-17.0493,-17.0405,-17.0257,-16.652,-16.6444,-16.631
53,5.79515,-17.8878,-17.8755,-17.857,-17.6203,-17.609,-17.5916,-17.3057,-17.2953,-17.2788,-16.9496,-16.9403,-16.9254,-16.5615,-16.5535,-16.5398
54,6.01186,-17.7632,-17.7507,-17.732,-17.5032,-17.4916,-17.474,-17.1968,-17.1862,-17.1695,-16.8496,-16.84,-16.8248,-16.4704,-16.4623,-16.4481
55,6.23493,-17.639,-17.6264,-17.6075,-17.3861,-17.3744,-17.3567,-17.0879,-17.0771,-17.0602,-16.7494,-16.7396,-16.724,-16.3789,-16.3706,-16.3562
56,6.46452,-17.5151,-17.5024,-17.4834,-17.2693,-17.2574,-17.2395,-16.979,-16.968,-16.9509,-16.6488,-16.639,-16.6229,-16.2868,-16.2784,-16.2638
57,6.70085,-17.3917,-17.3787,-17.3596,-17.1526,-17.1406,-17.1224,-16.8699,-16.8588,-16.8416,-16.548,-16.538,-16.5218,-16.1943,-16.1857,-16.1709
58,6.94411,-17.2685,-17.2554,-17.2361,-17.0361,-17.0238,-17.0055,-16.7607,-16.7495,-16.7322,-16.4469,-16.4368,-16.4204,-16.1015,-16.0925,-16.0776
59,7.19449,-17.1456,-17.1323,-17.1129,-16.9196,-16.9072,-16.8887,-16.6516,-16.64,-16.6226,-16.3454,-16.3351,-16.3187,-16.0082,-15.999,-15.9838
