gridnumber,capital,VF[0 0],VF[1 0],VF[2 0],VF[3 0],VF[4 0]
0,0,-21.6873,-20.9014,-20.1446,-19.4242,-18.738
1,0.0468873,-21.5579,-20.8153,-20.0852,-19.381,-18.7046
2,0.0951487,-21.4412,-20.7338,-20.0268,-19.3384,-18.6708
3,0.144824,-21.3331,-20.6556,-19.9699,-19.2953,-18.6364
4,0.195956,-21.2315,-20.5801,-19.9141,-19.2521,-18.6015
5,0.248585,-21.1356,-20.5074,-19.8585,-19.2085,-18.5659
6,0.302757,-21.0442,-20.4363,-19.8034,-19.1644,-18.5297
7,0.358517,-20.9549,-20.3659,-19.748,-19.1198,-18.4929
8,0.41591,-20.8679,-20.2963,-19.6923,-19.0745,-18.4553
9,0.474986,-20.7821,-20.2272,-19.6364,-19.0287,-18.4171
10,0.535792,-20.6977,-20.1585,-19.5803,-18.9823,-18.3783
11,0.598381,-20.6149,-20.0897,-19.5236,-18.9352,-18.3388
12,0.662804,-20.5326,-20.0209,-19.4666,-18.8876,-18.2986
13,0.729114,-20.4512,-19.9522,-19.409,-18.8393,-18.2576
14,0.797368,-20.3703,-19.8835,-19.3511,-18.7903,-18.216
15,0.867622,-20.2896,-19.8147,-19.2926,-18.7407,-18.1736
16,0.939934,-20.2094,-19.7456,-19.2336,-18.6905,-18.1306
17,1.01437,-20.1293,-19.6762,-19.1742,-18.6394,-18.0868
18,1.09098,-20.0493,-19.6064,-19.1141,-18.5878,-18.0423
19,1.16984,-19.9695,-19.5365,-19.0535,-18.5354,-17.997
20,1.25101,-19.8898,-19.4663,-18.9921,-18.4823,-17.9509
21,1.33455,-19.8098,-19.3957,-18.9303,-18.4284,-17.9042
22,1.42055,-19.7297,-19.3245,-18.868,-18.374,-17.8567
23,1.50907,-19.6494,-19.2529,-18.8049,-18.3187,-17.8083
24,1.60018,-19.5689,-19.1808,-18.7411,-18.2626,-17.7593
25,1.69396,-19.4882,-19.1083,-18.6766,-18.2059,-17.7095
26,1.79048,-19.4071,-19.0352,-18.6116,-18.1484,-17.6587
27,1.88984,-19.3259,-18.9617,-18.5458,-18.09,-17.6073
28,1.99211,-19.2444,-18.8877,-18.4795,-18.031,-17.555
29,2.09737,-19.1624,-18.813,-18.4124,-17.9712,-17.5018
30,2.20572,-19.0799,-18.7377,-18.3445,-17.9106,-17.448
31,2.31725,-18.997,-18.6619,-18.276,-17.8492,-17.3934
32,2.43204,-18.9139,-18.5856,-18.2068,-17.7869,-17.3377
33,2.5502,-18.8303,-18.5086,-18.1368,-17.7239,-17.2813
34,2.67182,-18.7462,-18.4311,-18.0662,-17.6602,-17.2242
35,2.797,-18.6615,-18.3529,-17.9948,-17.5956,-17.1662
36,2.92586,-18.5763,-18.2741,-17.9226,-17.5302,-17.1072
37,3.05848,-18.4907,-18.1947,-17.8498,-17.464,-17.0475
38,3.195,-18.4046,-18.1146,-17.7762,-17.397,-16.9869
