gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
19,1.16984,-14679.3,-14679.3,-14679.3,-14679.3,-14679.3,-14584.9,-14584.9,-14584.9,-14584.9,-14584.9,-14377.8,-14377.8,-14377.8,-14377.8,-14377.8,-13898.7,-13898.7,-13898.7,-13898.7,-13898.7,-9267.79,-9267.79,-9267.79,-9267.79,-9267.79
20,1.25101,-14679.2,-14679.2,-14679.2,-14679.2,-14679.2,-14584.8,-14584.8,-14584.8,-14584.8,-14584.8,-14377.8,-14377.8,-14377.8,-14377.8,-14377.8,-13898.6,-13898.6,-13898.6,-13898.6,-13898.6,-9267.72,-9267.72,-9267.72,-9267.72,-9267.72
21,1.33455,-14679.2,-14679.2,-14679.2,-14679.2,-14679.2,-14584.7,-14584.7,-14584.7,-14584.7,-14584.7,-14377.7,-14377.7,-14377.7,-14377.7,-14377.7,-13898.6,-13898.6,-13898.6,-13898.6,-13898.6,-9267.65,-9267.65,-9267.65,-9267.65,-9267.65
22,1.42055,-14679.1,-14679.1,-14679.1,-14679.1,-14679.1,-14584.7,-14584.7,-14584.7,-14584.7,-14584.7,-14377.6,-14377.6,-14377.6,-14377.6,-14377.6,-13898.5,-13898.5,-13898.5,-13898.5,-13898.5,-9267.59,-9267.59,-9267.59,-9267.59,-9267.59
23,1.50907,-14679,-14679,-14679,-14679,-14679,-14584.6,-14584.6,-14584.6,-14584.6,-14584.6,-14377.6,-14377.6,-14377.6,-14377.6,-14377.6,-13898.5,-13898.5,-13898.5,-13898.5,-13898.5,-9267.54,-9267.54,-9267.54,-9267.54,-9267.54
24,1.60018,-14679,-14679,-14679,-14679,-14679,-14584.6,-14584.6,-14584.6,-14584.6,-14584.6,-14377.5,-14377.5,-14377.5,-14377.5,-14377.5,-13898.4,-13898.4,-13898.4,-13898.4,-13898.4,-9267.49,-9267.49,-9267.49,-9267.49,-9267.49
25,1.69396,-14678.9,-14678.9,-14678.9,-14678.9,-14678.9,-14584.5,-14584.5,-14584.5,-14584.5,-14584.5,-14377.5,-14377.5,-14377.5,-14377.5,-14377.5,-13898.4,-13898.4,-13898.4,-13898.4,-13898.4,-9267.44,-9267.44,-9267.44,-9267.44,-9267.44
26,1.79048,-14678.9,-14678.9,-14678.9,-14678.9,-14678.9,-14584.5,-14584.5,-14584.5,-14584.5,-14584.5,-14377.4,-14377.4,-14377.4,-14377.4,-14377.4,-13898.4,-13898.4,-13898.4,-13898.4,-13898.4,-9267.39,-9267.39,-9267.39,-9267.39,-9267.39
27,1.88984,-14678.8,-14678.8,-14678.8,-14678.8,-14678.8,-14584.4,-14584.4,-14584.4,-14584.4,-14584.4,-14377.4,-14377.4,-14377.4,-14377.4,-14377.4,-13898.3,-13898.3,-13898.3,-13898.3,-13898.3,-9267.35,-9267.35,-9267.35,-9267.35,-9267.35
28,1.99211,-14678.8,-14678.8,-14678.8,-14678.8,-14678.8,-14584.4,-14584.4,-14584.4,-14584.4,-14584.4,-14377.4,-14377.4,-14377.4,-14377.4,-14377.4,-13898.3,-13898.3,-13898.3,-13898.3,-13898.3,-9267.31,-9267.31,-9267.31,-9267.31,-9267.31
29,2.09737,-14678.7,-14678.7,-14678.7,-14678.7,-14678.7,-14584.3,-14584.3,-14584.3,-14584.3,-14584.3,-14377.3,-14377.3,-14377.3,-14377.3,-14377.3,-13898.3,-13898.3,-13898.3,-13898.3,-13898.3,-9267.27,-9267.27,-9267.27,-9267.27,-9267.27
30,2.20572,-14678.7,-14678.7,-14678.7,-14678.7,-14678.7,-14584.3,-14584.3,-14584.3,-14584.3,-14584.3,-14377.3,-14377.3,-14377.3,-14377.3,-14377.3,-13898.2,-13898.2,-13898.2,-13898.2,-13898.2,-9267.24,-9267.24,-9267.24,-9267.24,-9267.24
31,2.31725,-14678.7,-14678.7,-14678.7,-14678.7,-14678.7,-14584.3,-14584.3,-14584.3,-14584.3,-14584.3,-14377.3,-14377.3,-14377.3,-14377.3,-14377.3,-13898.2,-13898.2,-13898.2,-13898.2,-13898.2,-9267.2,-9267.2,-9267.2,-9267.2,-9267.2
32,2.43204,-14678.6,-14678.6,-14678.6,-14678.6,-14678.6,-14584.2,-14584.2,-14584.2,-14584.2,-14584.2,-14377.2,-14377.2,-14377.2,-14377.2,-14377.2,-13898.2,-13898.2,-13898.2,-13898.2,-13898.2,-9267.17,-9267.17,-9267.17,-9267.17,-9267.17
33,2.5502,-14678.6,-14678.6,-14678.6,-14678.6,-14678.6,-14584.2,-14584.2,-14584.2,-14584.2,-14584.2,-14377.2,-14377.2,-14377.2,-14377.2,-14377.2,-13898.2,-13898.2,-13898.2,-13898.2,-13898.2,-9267.14,-9267.14,-9267.14,-9267.14,-9267.14
