gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
10,0.481887,-7.60194,-7.60194,-7.60194,-7.40719,-7.25738,-7.25738,-7.04588,-7.04588,-7.04588,-7.60194,-7.60194,-7.60194,-7.40719,-7.25738,-7.25738,-7.04588,-7.04588,-7.04588,-7.60194,-7.60194,-7.60194,-7.40719,-7.25738,-7.25738,-7.04588,-7.04588,-7.04588,-7.60194,-7.60194,-7.60194,-7.27784,-7.25738,-7.25738,-6.93492,-6.93492,-6.93492,-7.60194,-7.60194,-7.60194,-7.27784,-7.25738,-7.25738,-6.93492,-6.93492,-6.93492,-7.60194,-7.60194,-7.60194,-7.27784,-7.25738,-7.25738,-6.93492,-6.93492,-6.93492,-7.60194,-7.60194,-7.60194,-7.1556,-7.25738,-7.25738,-6.82845,-6.82845,-6.82845,-7.60194,-7.60194,-7.60194,-7.1556,-7.25738,-7.25738,-6.82845,-6.82845,-6.82845,-7.60194,-7.60194,-7.60194,-7.1556,-7.25738,-7.25738,-6.82845,-6.82845,-6.82845
11,0.537425,-7.51586,-7.51586,-7.51586,-7.34376,-7.18305,-7.18305,-6.99149,-6.99149,-6.99149,-7.51586,-7.51586,-7.51586,-7.34376,-7.18305,-7.18305,-6.99149,-6.99149,-6.99149,-7.51586,-7.51586,-7.51586,-7.34376,-7.18305,-7.18305,-6.99149,-6.99149,-6.99149,-7.51586,-7.51586,-7.51586,-7.20355,-7.18305,-7.18305,-6.87067,-6.87067,-6.87067,-7.51586,-7.51586,-7.51586,-7.20355,-7.18305,-7.18305,-6.87067,-6.87067,-6.87067,-7.51586,-7.51586,-7.51586,-7.20355,-7.18305,-7.18305,-6.87067,-6.87067,-6.87067,-7.51586,-7.51586,-7.51586,-7.07202,-7.18305,-7.18305,-6.75523,-6.75523,-6.75523,-7.51586,-7.51586,-7.51586,-7.07202,-7.18305,-7.18305,-6.75523,-6.75523,-6.75523,-7.51586,-7.51586,-7.51586,-7.07202,-7.18305,-7.18305,-6.75523,-6.75523,-6.75523
12,0.594445,-7.43081,-7.43081,-7.43081,-7.28021,-7.10928,-7.10928,-6.93699,-6.93699,-6.93699,-7.43081,-7.43081,-7.43081,-7.28021,-7.10928,-7.10928,-6.93699,-6.93699,-6.93699,-7.43081,-7.43081,-7.43081,-7.28021,-7.10928,-7.10928,-6.93699,-6.93699,-6.93699,-7.43081,-7.43081,-7.43081,-7.12995,-7.10928,-7.10928,-6.80639,-6.80639,-6.80639,-7.43081,-7.43081,-7.43081,-7.12995,-7.10928,-7.10928,-6.80639,-6.80639,-6.80639,-7.43081,-7.43081,-7.43081,-7.12995,-7.10928,-7.10928,-6.80639,-6.80639,-6.80639,-7.43081,-7.43081,-7.43081,-6.98913,-7.10928,-7.10928,-6.68235,-6.68235,-6.68235,-7.43081,-7.43081,-7.43081,-6.98913,-7.10928,-7.10928,-6.68235,-6.68235,-6.68235,-7.43081,-7.43081,-7.43081,-6.98913,-7.10928,-7.10928,-6.68235,-6.68235,-6.68235
13,0.652986,-7.34687,-7.34687,-7.34687,-7.21665,-7.03607,-7.03607,-6.88212,-6.88212,-6.88212,-7.34687,-7.34687,-7.34687,-7.21665,-7.03607,-7.03607,-6.88212,-6.88212,-6.88212,-7.34687,-7.34687,-7.34687,-7.21665,-7.03607,-7.03607,-6.88212,-6.88212,-6.88212,-7.34687,-7.34687,-7.34687,-7.05676,-7.03607,-7.03607,-6.7421,-6.7421,-6.7421,-7.34687,-7.34687,-7.34687,-7.05676,-7.03607,-7.03607,-6.7421,-6.7421,-6.7421,-7.34687,-7.34687,-7.34687,-7.05676,-7.03607,-7.03607,-6.7421,-6.7421,-6.7421,-7.34687,-7.34687,-7.34687,-6.90693,-7.03607,-7.03607,-6.60962,-6.60962,-6.60962,-7.34687,-7.34687,-7.34687,-6.90693,-7.03607,-7.03607,-6.60962,-6.60962,-6.60962,-7.34687,-7.34687,-7.34687,-6.90693,-7.03607,-7.03607,-6.60962,-6.60962,-6.60962
14,0.713088,-7.26406,-7.26406,-7.26406,-7.15379,-6.96314,-6.96314,-6.8269,-6.8269,-6.8269,-7.26406,-7.26406,-7.26406,-7.15379,-6.96314,-6.96314,-6.8269,-6.8269,-6.8269,-7.26406,-7.26406,-7.26406,-7.15379,-6.96314,-6.96314,-6.8269,-6.8269,-6.8269,-7.26406,-7.26406,-7.26406,-6.9839,-6.96314,-6.96314,-6.67783,-6.67783,-6.67783,-7.26406,-7.26406,-7.26406,-6.9839,-6.96314,-6.96314,-6.67783,-6.67783,-6.67783,-7.26406,-7.26406,-7.26406,-6.9839,-6.96314,-6.96314,-6.67783,-6.67783,-6.67783,-7.26406,-7.26406,-7.26406,-6.82543,-6.96314,-6.96314,-6.53706,-6.53706,-6.53706,-7.26406,-7.26406,-7.26406,-6.82543,-6.96314,-6.96314,-6.53706,-6.53706,-6.53706,-7.26406,-7.26406,-7.26406,-6.82543,-6.96314,-6.96314,-6.53706,-6.53706,-6.53706
15,0.774794,-7.18206,-7.18206,-7.18206,-7.09075,-6.89054,-6.89054,-6.77163,-6.77163,-6.77163,-7.18206,-7.18206,-7.18206,-7.09075,-6.89054,-6.89054,-6.77163,-6.77163,-6.77163,-7.18206,-7.18206,-7.18206,-7.09075,-6.89054,-6.89054,-6.77163,-6.77163,-6.77163,-7.18206,-7.18206,-7.18206,-6.91134,-6.89054,-6.89054,-6.61345,-6.61345,-6.61345,-7.18206,-7.18206,-7.18206,-6.91134,-6.89054,-6.89054,-6.61345,-6.61345,-6.61345,-7.18206,-7.18206,-7.18206,-6.91134,-6.89054,-6.89054,-6.61345,-6.61345,-6.61345,-7.18206,-7.18206,-7.18206,-6.74439,-6.89054,-6.89054,-6.46469,-6.46469,-6.46469,-7.18206,-7.18206,-7.18206,-6.74439,-6.89054,-6.89054,-6.46469,-6.46469,-6.46469,-7.18206,-7.18206,-7.18206,-6.74439,-6.89054,-6.89054,-6.46469,-6.46469,-6.46469
16,0.838145,-7.1007,-7.1007,-7.1007,-7.0276,-6.81821,-6.81821,-6.71633,-6.71633,-6.71633,-7.1007,-7.1007,-7.1007,-7.0276,-6.81821,-6.81821,-6.71633,-6.71633,-6.71633,-7.1007,-7.1007,-7.1007,-7.0276,-6.81821,-6.81821,-6.71633,-6.71633,-6.71633,-7.1007,-7.1007,-7.1007,-6.83911,-6.81821,-6.81821,-6.54904,-6.54904,-6.54904,-7.1007,-7.1007,-7.1007,-6.83911,-6.81821,-6.81821,-6.54904,-6.54904,-6.54904,-7.1007,-7.1007,-7.1007,-6.83911,-6.81821,-6.81821,-6.54904,-6.54904,-6.54904,-7.1007,-7.1007,-7.1007,-6.66396,-6.81821,-6.81821,-6.39247,-6.39247,-6.39247,-7.1007,-7.1007,-7.1007,-6.66396,-6.81821,-6.81821,-6.39247,-6.39247,-6.39247,-7.1007,-7.1007,-7.1007,-6.66396,-6.81821,-6.81821,-6.39247,-6.39247,-6.39247
17,0.903187,-7.02002,-7.02002,-7.02002,-6.96436,-6.7461,-6.7461,-6.66067,-6.66067,-6.66067,-7.02002,-7.02002,-7.02002,-6.96436,-6.7461,-6.7461,-6.66067,-6.66067,-6.66067,-7.02002,-7.02002,-7.02002,-6.96436,-6.7461,-6.7461,-6.66067,-6.66067,-6.66067,-7.02002,-7.02002,-7.02002,-6.76704,-6.7461,-6.7461,-6.48472,-6.48472,-6.48472,-7.02002,-7.02002,-7.02002,-6.76704,-6.7461,-6.7461,-6.48472,-6.48472,-6.48472,-7.02002,-7.02002,-7.02002,-6.76704,-6.7461,-6.7461,-6.48472,-6.48472,-6.48472,-7.02002,-7.02002,-7.02002,-6.584,-6.7461,-6.7461,-6.32043,-6.32043,-6.32043,-7.02002,-7.02002,-7.02002,-6.584,-6.7461,-6.7461,-6.32043,-6.32043,-6.32043,-7.02002,-7.02002,-7.02002,-6.584,-6.7461,-6.7461,-6.32043,-6.32043,-6.32043
18,0.969964,-6.93998,-6.93998,-6.93998,-6.90123,-6.67422,-6.67422,-6.60467,-6.60467,-6.60467,-6.93998,-6.93998,-6.93998,-6.90123,-6.67422,-6.67422,-6.60467,-6.60467,-6.60467,-6.93998,-6.93998,-6.93998,-6.90123,-6.67422,-6.67422,-6.60467,-6.60467,-6.60467,-6.93998,-6.93998,-6.93998,-6.69514,-6.67422,-6.67422,-6.42031,-6.42031,-6.42031,-6.93998,-6.93998,-6.93998,-6.69514,-6.67422,-6.67422,-6.42031,-6.42031,-6.42031,-6.93998,-6.93998,-6.93998,-6.69514,-6.67422,-6.67422,-6.42031,-6.42031,-6.42031,-6.93998,-6.93998,-6.93998,-6.50443,-6.67422,-6.67422,-6.2485,-6.2485,-6.2485,-6.93998,-6.93998,-6.93998,-6.50443,-6.67422,-6.67422,-6.2485,-6.2485,-6.2485,-6.93998,-6.93998,-6.93998,-6.50443,-6.67422,-6.67422,-6.2485,-6.2485,-6.2485
19,1.03852,-6.86046,-6.86046,-6.86046,-6.83836,-6.60254,-6.60254,-6.54837,-6.54837,-6.54837,-6.86046,-6.86046,-6.86046,-6.83836,-6.60254,-6.60254,-6.54837,-6.54837,-6.54837,-6.86046,-6.86046,-6.86046,-6.83836,-6.60254,-6.60254,-6.54837,-6.54837,-6.54837,-6.86046,-6.86046,-6.86046,-6.6234,-6.60254,-6.60254,-6.35584,-6.35584,-6.35584,-6.86046,-6.86046,-6.86046,-6.6234,-6.60254,-6.60254,-6.35584,-6.35584,-6.35584,-6.86046,-6.86046,-6.86046,-6.6234,-6.60254,-6.60254,-6.35584,-6.35584,-6.35584,-6.86046,-6.86046,-6.86046,-6.42527,-6.60254,-6.60254,-6.17668,-6.17668,-6.17668,-6.86046,-6.86046,-6.86046,-6.42527,-6.60254,-6.60254,-6.17668,-6.17668,-6.17668,-6.86046,-6.86046,-6.86046,-6.42527,-6.60254,-6.60254,-6.17668,-6.17668,-6.17668
