gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
324,65.2226,-0.2145,-0.2145,-0.2145,-0.2145,-0.2145,-0.2145,-0.2145,-0.213848,-0.213848,-0.213848,-0.213848,-0.213848,-0.213848,-0.213848,-0.213094,-0.213094,-0.213094,-0.213094,-0.213094,-0.213094,-0.213094,-0.21222,-0.21222,-0.21222,-0.21222,-0.21222,-0.21222,-0.21222,-0.211201,-0.211201,-0.211201,-0.211201,-0.211201,-0.211201,-0.211201,-0.210009,-0.210009,-0.210009,-0.210009,-0.210009,-0.210009,-0.210009,-0.208619,-0.208619,-0.208619,-0.208619,-0.208619,-0.208619,-0.208619
325,65.9968,-0.21018,-0.21018,-0.21018,-0.21018,-0.21018,-0.21018,-0.21018,-0.209547,-0.209547,-0.209547,-0.209547,-0.209547,-0.209547,-0.209547,-0.208815,-0.208815,-0.208815,-0.208815,-0.208815,-0.208815,-0.208815,-0.207967,-0.207967,-0.207967,-0.207967,-0.207967,-0.207967,-0.207967,-0.206979,-0.206979,-0.206979,-0.206979,-0.206979,-0.206979,-0.206979,-0.205822,-0.205822,-0.205822,-0.205822,-0.205822,-0.205822,-0.205822,-0.204473,-0.204473,-0.204473,-0.204473,-0.204473,-0.204473,-0.204473
326,66.7799,-0.205941,-0.205941,-0.205941,-0.205941,-0.205941,-0.205941,-0.205941,-0.205326,-0.205326,-0.205326,-0.205326,-0.205326,-0.205326,-0.205326,-0.204617,-0.204617,-0.204617,-0.204617,-0.204617,-0.204617,-0.204617,-0.203794,-0.203794,-0.203794,-0.203794,-0.203794,-0.203794,-0.203794,-0.202835,-0.202835,-0.202835,-0.202835,-0.202835,-0.202835,-0.202835,-0.201713,-0.201713,-0.201713,-0.201713,-0.201713,-0.201713,-0.201713,-0.200404,-0.200404,-0.200404,-0.200404,-0.200404,-0.200404,-0.200404
327,67.5721,-0.201781,-0.201781,-0.201781,-0.201781,-0.201781,-0.201781,-0.201781,-0.201186,-0.201186,-0.201186,-0.201186,-0.201186,-0.201186,-0.201186,-0.200498,-0.200498,-0.200498,-0.200498,-0.200498,-0.200498,-0.200498,-0.1997,-0.1997,-0.1997,-0.1997,-0.1997,-0.1997,-0.1997,-0.198769,-0.198769,-0.198769,-0.198769,-0.198769,-0.198769,-0.198769,-0.197681,-0.197681,-0.197681,-0.197681,-0.197681,-0.197681,-0.197681,-0.19641,-0.19641,-0.19641,-0.19641,-0.19641,-0.19641,-0.19641
328,68.3735,-0.197701,-0.197701,-0.197701,-0.197701,-0.197701,-0.197701,-0.197701,-0.197123,-0.197123,-0.197123,-0.197123,-0.197123,-0.197123,-0.197123,-0.196456,-0.196456,-0.196456,-0.196456,-0.196456,-0.196456,-0.196456,-0.195682,-0.195682,-0.195682,-0.195682,-0.195682,-0.195682,-0.195682,-0.194779,-0.194779,-0.194779,-0.194779,-0.194779,-0.194779,-0.194779,-0.193723,-0.193723,-0.193723,-0.193723,-0.193723,-0.193723,-0.193723,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249
329,69.1841,-0.193698,-0.193698,-0.193698,-0.193698,-0.193698,-0.193698,-0.193698,-0.193138,-0.193138,-0.193138,-0.193138,-0.193138,-0.193138,-0.193138,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-0.191739,-0.191739,-0.191739,-0.191739,-0.191739,-0.191739,-0.191739,-0.190864,-0.190864,-0.190864,-0.190864,-0.190864,-0.190864,-0.190864,-0.18984,-0.18984,-0.18984,-0.18984,-0.18984,-0.18984,-0.18984,-0.188643,-0.188643,-0.188643,-0.188643,-0.188643,-0.188643,-0.188643
330,70.0042,-0.189771,-0.189771,-0.189771,-0.189771,-0.189771,-0.189771,-0.189771,-0.189228,-0.189228,-0.189228,-0.189228,-0.189228,-0.189228,-0.189228,-0.1886,-0.1886,-0.1886,-0.1886,-0.1886,-0.1886,-0.1886,-0.187872,-0.187872,-0.187872,-0.187872,-0.187872,-0.187872,-0.187872,-0.187023,-0.187023,-0.187023,-0.187023,-0.187023,-0.187023,-0.187023,-0.186029,-0.186029,-0.186029,-0.186029,-0.186029,-0.186029,-0.186029,-0.184867,-0.184867,-0.184867,-0.184867,-0.184867,-0.184867,-0.184867
331,70.8337,-0.185919,-0.185919,-0.185919,-0.185919,-0.185919,-0.185919,-0.185919,-0.185392,-0.185392,-0.185392,-0.185392,-0.185392,-0.185392,-0.185392,-0.184783,-0.184783,-0.184783,-0.184783,-0.184783,-0.184783,-0.184783,-0.184077,-0.184077,-0.184077,-0.184077,-0.184077,-0.184077,-0.184077,-0.183253,-0.183253,-0.183253,-0.183253,-0.183253,-0.183253,-0.183253,-0.182289,-0.182289,-0.182289,-0.182289,-0.182289,-0.182289,-0.182289,-0.181162,-0.181162,-0.181162,-0.181162,-0.181162,-0.181162,-0.181162
332,71.6729,-0.182141,-0.182141,-0.182141,-0.182141,-0.182141,-0.182141,-0.182141,-0.181629,-0.181629,-0.181629,-0.181629,-0.181629,-0.181629,-0.181629,-0.181039,-0.181039,-0.181039,-0.181039,-0.181039,-0.181039,-0.181039,-0.180354,-0.180354,-0.180354,-0.180354,-0.180354,-0.180354,-0.180354,-0.179555,-0.179555,-0.179555,-0.179555,-0.179555,-0.179555,-0.179555,-0.17862,-0.17862,-0.17862,-0.17862,-0.17862,-0.17862,-0.17862,-0.177526,-0.177526,-0.177526,-0.177526,-0.177526,-0.177526,-0.177526
333,72.5218,-0.178434,-0.178434,-0.178434,-0.178434,-0.178434,-0.178434,-0.178434,-0.177939,-0.177939,-0.177939,-0.177939,-0.177939,-0.177939,-0.177939,-0.177366,-0.177366,-0.177366,-0.177366,-0.177366,-0.177366,-0.177366,-0.176701,-0.176701,-0.176701,-0.176701,-0.176701,-0.176701,-0.176701,-0.175927,-0.175927,-0.175927,-0.175927,-0.175927,-0.175927,-0.175927,-0.17502,-0.17502,-0.17502,-0.17502,-0.17502,-0.17502,-0.17502,-0.173959,-0.173959,-0.173959,-0.173959,-0.173959,-0.173959,-0.173959
