gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
39,1.78623,0,0.12,0.26,0.48,0.64,0,0.02,0.26,0.48,0.64,0,0,0.22,0.44,0.6,0,0,0.16,0.4,0.66,0,0,0.12,0.38,0.56
40,1.85195,0,0.12,0.26,0.48,0.62,0,0.04,0.26,0.5,0.64,0,0.02,0.26,0.42,0.62,0,0,0.2,0.4,0.62,0,0,0.16,0.36,0.62
41,1.91895,0,0.12,0.28,0.48,0.6,0,0.06,0.26,0.48,0.62,0,0.04,0.28,0.42,0.64,0,0,0.22,0.44,0.6,0,0,0.18,0.36,0.6
42,1.98725,0,0.1,0.3,0.48,0.68,0,0.08,0.3,0.46,0.62,0,0.02,0.26,0.44,0.62,0,0,0.2,0.44,0.6,0,0,0.16,0.4,0.64
43,2.05688,0,0.1,0.32,0.5,0.66,0,0.1,0.32,0.44,0.64,0,0.04,0.24,0.46,0.64,0,0.02,0.18,0.42,0.64,0,0,0.16,0.4,0.64
44,2.12786,0,0.1,0.3,0.5,0.66,0,0.1,0.3,0.44,0.66,0,0.06,0.24,0.46,0.66,0,0.04,0.24,0.42,0.64,0,0,0.2,0.44,0.62
45,2.20021,0,0.12,0.3,0.5,0.64,0,0.08,0.3,0.48,0.64,0,0.08,0.24,0.46,0.66,0,0.02,0.24,0.44,0.62,0,0,0.22,0.46,0.6
46,2.27397,0,0.12,0.32,0.5,0.62,0,0.08,0.28,0.5,0.64,0,0.08,0.28,0.46,0.64,0,0,0.24,0.46,0.64,0,0,0.2,0.42,0.62
47,2.34916,0,0.14,0.34,0.48,0.62,0,0.06,0.28,0.48,0.66,0,0.06,0.28,0.48,0.64,0,0.02,0.24,0.46,0.66,0,0,0.18,0.42,0.64
48,2.42581,0,0.14,0.34,0.48,0.68,0,0.12,0.28,0.48,0.68,0,0.08,0.28,0.5,0.62,0,0.04,0.26,0.46,0.64,0,0,0.2,0.44,0.62
49,2.50395,0,0.16,0.34,0.46,0.66,0,0.14,0.3,0.48,0.66,0,0.1,0.26,0.48,0.64,0,0.06,0.28,0.46,0.64,0,0,0.24,0.46,0.62
50,2.58361,0,0.14,0.34,0.5,0.64,0,0.12,0.32,0.5,0.66,0,0.12,0.26,0.46,0.64,0,0.06,0.28,0.48,0.62,0,0,0.24,0.46,0.66
51,2.66481,0,0.14,0.34,0.52,0.64,0,0.12,0.32,0.5,0.64,0,0.12,0.3,0.44,0.64,0,0.04,0.26,0.46,0.64,0,0,0.22,0.44,0.64
52,2.74759,0,0.14,0.32,0.52,0.64,0,0.12,0.32,0.5,0.62,0,0.12,0.3,0.46,0.64,0,0.04,0.24,0.46,0.64,0,0,0.2,0.42,0.62
53,2.83197,0,0.12,0.32,0.5,0.64,0,0.14,0.3,0.5,0.62,0,0.1,0.3,0.46,0.64,0,0.06,0.26,0.46,0.64,0,0,0.22,0.44,0.62
54,2.91799,0,0.16,0.3,0.5,0.64,0,0.16,0.3,0.48,0.62,0,0.1,0.3,0.48,0.66,0,0.08,0.28,0.48,0.64,0,0.04,0.26,0.46,0.64
55,3.00568,0,0.16,0.3,0.48,0.66,0,0.16,0.3,0.48,0.64,0,0.1,0.3,0.48,0.66,0,0.1,0.3,0.48,0.64,0,0.04,0.26,0.46,0.66
56,3.09508,0,0.18,0.32,0.48,0.66,0,0.16,0.32,0.46,0.66,0,0.12,0.3,0.48,0.66,0,0.1,0.28,0.48,0.68,0,0.04,0.24,0.44,0.64
57,3.18621,0,0.18,0.32,0.48,0.66,0,0.16,0.34,0.46,0.64,0,0.14,0.32,0.5,0.64,0,0.08,0.28,0.48,0.66,0,0.02,0.3,0.42,0.62
58,3.2791,0,0.18,0.34,0.5,0.64,0,0.16,0.34,0.48,0.64,0,0.14,0.34,0.5,0.64,0,0.08,0.26,0.46,0.66,0,0.04,0.28,0.46,0.62
59,3.3738,0,0.16,0.34,0.5,0.66,0,0.14,0.32,0.48,0.64,0,0.14,0.32,0.52,0.66,0,0.08,0.28,0.46,0.64,0,0.06,0.28,0.48,0.64
60,3.47034,0,0.16,0.34,0.5,0.66,0,0.14,0.32,0.5,0.64,0,0.14,0.32,0.5,0.68,0,0.1,0.28,0.46,0.64,0,0.06,0.26,0.46,0.64
61,3.56875,0,0.16,0.34,0.5,0.66,0,0.14,0.32,0.5,0.66,0,0.12,0.32,0.48,0.66,0,0.12,0.3,0.48,0.64,0,0.06,0.28,0.46,0.64
62,3.66908,0,0.18,0.34,0.5,0.66,0,0.16,0.32,0.5,0.66,0,0.12,0.3,0.48,0.66,0,0.12,0.3,0.48,0.66,0,0.1,0.3,0.48,0.66
63,3.77135,0.02,0.18,0.34,0.5,0.66,0,0.16,0.34,0.5,0.66,0,0.12,0.3,0.48,0.64,0,0.12,0.3,0.48,0.66,0,0.1,0.32,0.5,0.66
64,3.8756,0.02,0.2,0.36,0.5,0.66,0,0.18,0.34,0.5,0.64,0,0.14,0.32,0.48,0.64,0,0.1,0.3,0.48,0.66,0,0.1,0.3,0.48,0.66
65,3.98188,0.04,0.2,0.36,0.52,0.66,0.02,0.18,0.36,0.5,0.64,0,0.16,0.32,0.48,0.64,0,0.12,0.34,0.48,0.64,0,0.1,0.28,0.48,0.66
66,4.09022,0.04,0.2,0.36,0.52,0.64,0.02,0.18,0.36,0.52,0.64,0,0.16,0.34,0.5,0.64,0,0.14,0.34,0.48,0.64,0,0.1,0.28,0.46,0.64
67,4.20066,0.04,0.2,0.36,0.52,0.64,0.02,0.18,0.34,0.52,0.66,0,0.16,0.34,0.5,0.66,0,0.14,0.32,0.5,0.64,0,0.1,0.28,0.46,0.64
68,4.31325,0.04,0.2,0.36,0.52,0.64,0,0.18,0.34,0.52,0.68,0,0.16,0.34,0.5,0.66,0,0.14,0.32,0.5,0.64,0,0.12,0.3,0.48,0.64
69,4.42802,0.04,0.2,0.36,0.52,0.66,0,0.18,0.34,0.5,0.66,0,0.16,0.32,0.5,0.66,0,0.14,0.32,0.48,0.66,0,0.14,0.32,0.48,0.66
70,4.54502,0.02,0.2,0.36,0.52,0.66,0,0.16,0.34,0.5,0.66,0,0.16,0.32,0.48,0.66,0,0.14,0.32,0.48,0.64,0,0.14,0.32,0.5,0.66
71,4.66429,0.02,0.2,0.34,0.5,0.66,0,0.16,0.32,0.48,0.66,0,0.14,0.36,0.48,0.64,0,0.16,0.32,0.48,0.64,0,0.12,0.3,0.48,0.66
72,4.78588,0.02,0.18,0.34,0.5,0.66,0,0.16,0.32,0.48,0.64,0,0.14,0.36,0.48,0.64,0,0.16,0.34,0.5,0.64,0,0.12,0.3,0.48,0.64
73,4.90982,0.02,0.18,0.34,0.5,0.66,0,0.18,0.32,0.48,0.64,0,0.16,0.36,0.48,0.62,0,0.18,0.34,0.5,0.66,0,0.12,0.3,0.46,0.64
74,5.03618,0.02,0.18,0.34,0.5,0.64,0.02,0.18,0.34,0.48,0.64,0,0.16,0.36,0.5,0.62,0,0.18,0.34,0.5,0.66,0,0.12,0.3,0.46,0.62
75,5.16498,0.02,0.18,0.34,0.48,0.64,0.02,0.18,0.34,0.5,0.62,0,0.18,0.34,0.5,0.62,0,0.16,0.34,0.5,0.66,0,0.14,0.32,0.48,0.64
76,5.29628,0.04,0.2,0.34,0.48,0.64,0.04,0.2,0.34,0.5,0.62,0.02,0.18,0.34,0.5,0.64,0,0.16,0.34,0.5,0.66,0,0.16,0.32,0.48,0.64
