gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,1.24282e-018,4.49694e-018,7.12361e-018,4.49694e-018,1.24282e-018,1.60021e-018,5.79009e-018,9.17207e-018,5.79009e-018,1.60021e-018,6.11971e-019,2.21431e-018,3.50769e-018,2.21431e-018,6.11971e-019,5.78918e-020,2.09471e-019,3.31824e-019,2.09471e-019,5.78918e-020,1.3078e-021,4.73207e-021,7.49606e-021,4.73207e-021,1.3078e-021
9,0.474986,3.88579e-015,1.40601e-014,2.22725e-014,1.40601e-014,3.88579e-015,5.01345e-015,1.81403e-014,2.87361e-014,1.81403e-014,5.01345e-015,1.92567e-015,6.96772e-015,1.10376e-014,6.96772e-015,1.92567e-015,1.84028e-016,6.65874e-016,1.05481e-015,6.65874e-016,1.84028e-016,4.2601e-018,1.54144e-017,2.4418e-017,1.54144e-017,4.2601e-018
10,0.535792,7.24898e-013,2.62292e-012,4.15497e-012,2.62292e-012,7.24898e-013,9.85802e-013,3.56695e-012,5.65041e-012,3.56695e-012,9.85802e-013,4.19995e-013,1.51968e-012,2.40732e-012,1.51968e-012,4.19995e-013,4.93933e-014,1.78721e-013,2.83112e-013,1.78721e-013,4.93933e-014,1.6634e-015,6.01874e-015,9.53428e-015,6.01874e-015,1.6634e-015
11,0.598381,6.11232e-011,2.21164e-010,3.50346e-010,2.21164e-010,6.11232e-011,9.1375e-011,3.30625e-010,5.23743e-010,3.30625e-010,9.1375e-011,4.54941e-011,1.64613e-010,2.60763e-010,1.64613e-010,4.54941e-011,6.75289e-012,2.44342e-011,3.87061e-011,2.44342e-011,6.75289e-012,3.01843e-013,1.09217e-012,1.7301e-012,1.09217e-012,3.01843e-013
12,0.662804,1.525e-009,5.51795e-009,8.74098e-009,5.51795e-009,1.525e-009,2.10174e-009,7.60479e-009,1.20467e-008,7.60479e-009,2.10174e-009,9.31493e-010,3.37045e-009,5.33912e-009,3.37045e-009,9.31493e-010,1.23954e-010,4.48505e-010,7.10477e-010,4.48505e-010,1.23954e-010,5.80295e-012,2.0997e-011,3.32613e-011,2.0997e-011,5.80295e-012
13,0.729114,9.60404e-009,3.47505e-008,5.50483e-008,3.47505e-008,9.60404e-009,1.63038e-008,5.89924e-008,9.34499e-008,5.89924e-008,1.63038e-008,9.76855e-009,3.53458e-008,5.59913e-008,3.53458e-008,9.76855e-009,1.87201e-009,6.77356e-009,1.073e-008,6.77356e-009,1.87201e-009,1.17896e-010,4.26586e-010,6.75755e-010,4.26586e-010,1.17896e-010
14,0.797368,6.67255e-008,2.41435e-007,3.82456e-007,2.41435e-007,6.67255e-008,1.16536e-007,4.21666e-007,6.6796e-007,4.21666e-007,1.16536e-007,7.34474e-008,2.65757e-007,4.20985e-007,2.65757e-007,7.34474e-008,1.54001e-008,5.57227e-008,8.82703e-008,5.57227e-008,1.54001e-008,1.12531e-009,4.07173e-009,6.45002e-009,4.07173e-009,1.12531e-009
15,0.867622,2.30512e-007,8.34068e-007,1.32125e-006,8.34068e-007,2.30512e-007,4.40354e-007,1.59334e-006,2.52402e-006,1.59334e-006,4.40354e-007,3.4025e-007,1.23114e-006,1.95024e-006,1.23114e-006,3.4025e-007,1.00176e-007,3.62469e-007,5.74187e-007,3.62469e-007,1.00176e-007,1.09782e-008,3.97225e-008,6.29245e-008,3.97225e-008,1.09782e-008
