gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
19,1.16984,3.30393e-005,0.000119547,0.000189374,0.000119547,3.30393e-005,0.000194389,0.000703364,0.0011142,0.000703364,0.000194389,0.000474721,0.00171769,0.002721,0.00171769,0.000474721,0.000439987,0.00159202,0.00252191,0.00159202,0.000439987,0.000163157,0.000590356,0.000935183,0.000590356,0.000163157
20,1.25101,2.89802e-005,0.00010486,0.000166109,0.00010486,2.89802e-005,0.000174582,0.000631693,0.00100066,0.000631693,0.000174582,0.000432751,0.00156583,0.00248044,0.00156583,0.000432751,0.000407706,0.00147522,0.00233689,0.00147522,0.000407706,0.000155443,0.000562442,0.000890964,0.000562442,0.000155443
21,1.33455,2.45147e-005,8.87021e-005,0.000140513,8.87021e-005,2.45147e-005,0.000151512,0.00054822,0.000868434,0.00054822,0.000151512,0.000389,0.00140753,0.00222966,0.00140753,0.000389,0.000378814,0.00137067,0.00217128,0.00137067,0.000378814,0.00014739,0.000533304,0.000844806,0.000533304,0.00014739
22,1.42055,2.07746e-005,7.51693e-005,0.000119076,7.51693e-005,2.07746e-005,0.000129189,0.000467448,0.000740484,0.000467448,0.000129189,0.000335397,0.00121358,0.00192243,0.00121358,0.000335397,0.000334487,0.00121028,0.00191721,0.00121028,0.000334487,0.000135269,0.000489449,0.000775335,0.000489449,0.000135269
23,1.50907,1.78101e-005,6.44426e-005,0.000102084,6.44426e-005,1.78101e-005,0.000114337,0.000413707,0.000655353,0.000413707,0.000114337,0.000307677,0.00111327,0.00176354,0.00111327,0.000307677,0.000317199,0.00114773,0.00181812,0.00114773,0.000317199,0.000131552,0.000475999,0.000754029,0.000475999,0.000131552
24,1.60018,1.49928e-005,5.42489e-005,8.59357e-005,5.42489e-005,1.49928e-005,9.84412e-005,0.000356192,0.000564244,0.000356192,9.84412e-005,0.000272493,0.000985969,0.00156187,0.000985969,0.000272493,0.00028932,0.00104685,0.00165832,0.00104685,0.00028932,0.000123415,0.000446556,0.000707389,0.000446556,0.000123415
25,1.69396,1.24891e-005,4.51897e-005,7.1585e-005,4.51897e-005,1.24891e-005,8.27791e-005,0.000299522,0.000474473,0.000299522,8.27791e-005,0.000230193,0.000832915,0.00131942,0.000832915,0.000230193,0.000246942,0.000893516,0.00141542,0.000893516,0.000246942,0.000107312,0.00038829,0.00061509,0.00038829,0.000107312
26,1.79048,1.05027e-005,3.80021e-005,6.01991e-005,3.80021e-005,1.05027e-005,7.14763e-005,0.000258625,0.000409687,0.000258625,7.14763e-005,0.000204544,0.000740108,0.0011724,0.000740108,0.000204544,0.000227874,0.000824523,0.00130613,0.000824523,0.000227874,0.000103524,0.000374583,0.000593377,0.000374583,0.000103524
27,1.88984,8.49074e-006,3.07223e-005,4.86672e-005,3.07223e-005,8.49074e-006,5.97097e-005,0.000216049,0.000342243,0.000216049,5.97097e-005,0.000176999,0.000640441,0.00101452,0.000640441,0.000176999,0.000201099,0.000727642,0.00115266,0.000727642,0.000201099,9.14611e-005,0.000330936,0.000524236,0.000330936,9.14611e-005
28,1.99211,6.96695e-006,2.52087e-005,3.99331e-005,2.52087e-005,6.96695e-006,4.97621e-005,0.000180055,0.000285226,0.000180055,4.97621e-005,0.000150635,0.000545045,0.000863406,0.000545045,0.000150635,0.000175143,0.000633727,0.00100389,0.000633727,0.000175143,8.13686e-005,0.000294418,0.000466388,0.000294418,8.13686e-005
29,2.09737,5.75381e-006,2.08192e-005,3.29797e-005,2.08192e-005,5.75381e-006,4.16189e-005,0.000150591,0.000238551,0.000150591,4.16189e-005,0.000127475,0.000461245,0.000730659,0.000461245,0.000127475,0.000150934,0.000546127,0.000865119,0.000546127,0.000150934,7.16999e-005,0.000259434,0.000410969,0.000259434,7.16999e-005
30,2.20572,4.6589e-006,1.68574e-005,2.67038e-005,1.68574e-005,4.6589e-006,3.46823e-005,0.000125492,0.000198792,0.000125492,3.46823e-005,0.000109645,0.000396732,0.000628463,0.000396732,0.000109645,0.000134105,0.000485236,0.000768661,0.000485236,0.000134105,6.55806e-005,0.000237292,0.000375894,0.000237292,6.55806e-005
31,2.31725,3.70633e-006,1.34107e-005,2.12439e-005,1.34107e-005,3.70633e-006,2.844e-005,0.000102905,0.000163012,0.000102905,2.844e-005,9.21078e-005,0.000333276,0.000527943,0.000333276,9.21078e-005,0.000114241,0.00041336,0.000654804,0.00041336,0.000114241,5.61787e-005,0.000203273,0.000322004,0.000203273,5.61787e-005
32,2.43204,2.86215e-006,1.03562e-005,1.64053e-005,1.03562e-005,2.86215e-006,2.24487e-005,8.12268e-005,0.000128671,8.12268e-005,2.24487e-005,7.4961e-005,0.000271233,0.000429661,0.000271233,7.4961e-005,9.57299e-005,0.000346382,0.000548704,0.000346382,9.57299e-005,4.81541e-005,0.000174237,0.000276009,0.000174237,4.81541e-005
33,2.5502,2.26584e-006,8.19857e-006,1.29873e-005,8.19857e-006,2.26584e-006,1.81476e-005,6.5664e-005,0.000104018,6.5664e-005,1.81476e-005,6.08699e-005,0.000220247,0.000348894,0.000220247,6.08699e-005,7.78757e-005,0.00028178,0.000446367,0.00028178,7.78757e-005,3.93492e-005,0.000142378,0.000225542,0.000142378,3.93492e-005
34,2.67182,1.7853e-006,6.45978e-006,1.02329e-005,6.45978e-006,1.7853e-006,1.46372e-005,5.29621e-005,8.38973e-005,5.29621e-005,1.46372e-005,5.06604e-005,0.000183306,0.000290375,0.000183306,5.06604e-005,6.72134e-005,0.0002432,0.000385253,0.0002432,6.72134e-005,3.51164e-005,0.000127063,0.00020128,0.000127063,3.51164e-005
35,2.797,1.3749e-006,4.97482e-006,7.88061e-006,4.97482e-006,1.3749e-006,1.13955e-005,4.12328e-005,6.53168e-005,4.12328e-005,1.13955e-005,3.98922e-005,0.000144343,0.000228654,0.000144343,3.98922e-005,5.32913e-005,0.000192825,0.000305455,0.000192825,5.32913e-005,2.78968e-005,0.00010094,0.000159899,0.00010094,2.78968e-005
36,2.92586,1.02079e-006,3.69357e-006,5.85098e-006,3.69357e-006,1.02079e-006,8.6427e-006,3.12721e-005,4.95381e-005,3.12721e-005,8.6427e-006,3.11892e-005,0.000112853,0.00017877,0.000112853,3.11892e-005,4.3036e-005,0.000155718,0.000246673,0.000155718,4.3036e-005,2.31506e-005,8.37666e-005,0.000132695,8.37666e-005,2.31506e-005
37,3.05848,7.59835e-007,2.74933e-006,4.35521e-006,2.74933e-006,7.59835e-007,6.60978e-006,2.39164e-005,3.78859e-005,2.39164e-005,6.60978e-006,2.46269e-005,8.91082e-005,0.000141156,8.91082e-005,2.46269e-005,3.49062e-005,0.000126302,0.000200075,0.000126302,3.49062e-005,1.91201e-005,6.91829e-005,0.000109593,6.91829e-005,1.91201e-005
38,3.195,5.63622e-007,2.03937e-006,3.23056e-006,2.03937e-006,5.63622e-007,5.00485e-006,1.81092e-005,2.86868e-005,1.81092e-005,5.00485e-006,1.87393e-005,6.78051e-005,0.00010741,6.78051e-005,1.87393e-005,2.64283e-005,9.56264e-005,0.000151482,9.56264e-005,2.64283e-005,1.43681e-005,5.19886e-005,8.23552e-005,5.19886e-005,1.43681e-005
39,3.33551,4.18898e-007,1.51571e-006,2.40103e-006,1.51571e-006,4.18898e-007,3.76989e-006,1.36407e-005,2.16082e-005,1.36407e-005,3.76989e-006,1.42416e-005,5.15309e-005,8.163e-005,5.15309e-005,1.42416e-005,2.03306e-005,7.35628e-005,0.000116531,7.35628e-005,2.03306e-005,1.11998e-005,4.05244e-005,6.41947e-005,4.05244e-005,1.11998e-005
40,3.48015,3.0063e-007,1.08778e-006,1.72315e-006,1.08778e-006,3.0063e-007,2.78262e-006,1.00684e-005,1.59494e-005,1.00684e-005,2.78262e-006,1.09491e-005,3.96174e-005,6.27579e-005,3.96174e-005,1.09491e-005,1.63329e-005,5.9098e-005,9.3617e-005,5.9098e-005,1.63329e-005,9.32712e-006,3.37486e-005,5.34611e-005,3.37486e-005,9.32712e-006
