gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
54,6.01186,-17.0608,-17.0608,-17.0608,-17.059,-17.0507,-16.8549,-16.8549,-16.8549,-16.8536,-16.8458,-16.6101,-16.6101,-16.6101,-16.6092,-16.6022,-16.3297,-16.3297,-16.3297,-16.3291,-16.323,-16.0195,-16.0195,-16.0195,-16.0193,-16.0145
55,6.23493,-16.9678,-16.9678,-16.9678,-16.966,-16.9576,-16.7662,-16.7662,-16.7662,-16.765,-16.7571,-16.5264,-16.5264,-16.5264,-16.5255,-16.5183,-16.2513,-16.2513,-16.2513,-16.2507,-16.2446,-15.9465,-15.9465,-15.9465,-15.9464,-15.9415
56,6.46452,-16.8742,-16.8742,-16.8742,-16.8724,-16.8639,-16.6769,-16.6769,-16.6769,-16.6756,-16.6677,-16.4419,-16.4419,-16.4419,-16.441,-16.4338,-16.1721,-16.1721,-16.1721,-16.1715,-16.1653,-15.8727,-15.8727,-15.8727,-15.8725,-15.8676
57,6.70085,-16.7801,-16.7801,-16.7801,-16.7783,-16.7696,-16.587,-16.587,-16.587,-16.5856,-16.5776,-16.3568,-16.3568,-16.3568,-16.3557,-16.3484,-16.0921,-16.0921,-16.0921,-16.0915,-16.0851,-15.7981,-15.7981,-15.7981,-15.7979,-15.7927
58,6.94411,-16.6854,-16.6854,-16.6854,-16.6835,-16.6748,-16.4964,-16.4964,-16.4964,-16.495,-16.4868,-16.2708,-16.2708,-16.2708,-16.2698,-16.2624,-16.0112,-16.0112,-16.0112,-16.0106,-16.0042,-15.7228,-15.7228,-15.7228,-15.7225,-15.7171
59,7.19449,-16.5901,-16.5901,-16.5901,-16.5881,-16.5794,-16.4052,-16.4052,-16.4052,-16.4037,-16.3955,-16.1843,-16.1843,-16.1843,-16.1832,-16.1757,-15.9296,-15.9296,-15.9296,-15.929,-15.9225,-15.6466,-15.6466,-15.6466,-15.6463,-15.6408
60,7.45221,-16.4942,-16.4942,-16.4942,-16.4922,-16.4834,-16.3134,-16.3134,-16.3134,-16.3118,-16.3035,-16.097,-16.097,-16.097,-16.0959,-16.0883,-15.8474,-15.8474,-15.8474,-15.8467,-15.84,-15.5696,-15.5696,-15.5696,-15.5692,-15.5638
61,7.71748,-16.3977,-16.3977,-16.3977,-16.3957,-16.3868,-16.221,-16.221,-16.221,-16.2193,-16.2109,-16.0091,-16.0091,-16.0091,-16.0078,-16.0002,-15.7644,-15.7644,-15.7644,-15.7637,-15.7568,-15.4917,-15.4917,-15.4917,-15.4914,-15.4858
62,7.99052,-16.3007,-16.3007,-16.3007,-16.2986,-16.2897,-16.1278,-16.1278,-16.1278,-16.1261,-16.1177,-15.9204,-15.9204,-15.9204,-15.9191,-15.9114,-15.6806,-15.6806,-15.6806,-15.6798,-15.673,-15.413,-15.413,-15.413,-15.4127,-15.407
63,8.27157,-16.2032,-16.2032,-16.2032,-16.201,-16.192,-16.0341,-16.0341,-16.0341,-16.0323,-16.0238,-15.831,-15.831,-15.831,-15.8297,-15.8219,-15.5961,-15.5961,-15.5961,-15.5953,-15.5883,-15.3335,-15.3335,-15.3335,-15.3331,-15.3273
64,8.56085,-16.1051,-16.1051,-16.1051,-16.1029,-16.0938,-15.9397,-15.9397,-15.9397,-15.9379,-15.9293,-15.7409,-15.7409,-15.7409,-15.7396,-15.7317,-15.5108,-15.5108,-15.5108,-15.5099,-15.5029,-15.2533,-15.2533,-15.2533,-15.2529,-15.2469
65,8.85861,-16.0064,-16.0064,-16.0064,-16.0041,-15.995,-15.8447,-15.8447,-15.8447,-15.8428,-15.8342,-15.6501,-15.6501,-15.6501,-15.6488,-15.6408,-15.4247,-15.4247,-15.4247,-15.4238,-15.4167,-15.1723,-15.1723,-15.1723,-15.1719,-15.1658
66,9.16509,-15.9071,-15.9071,-15.9071,-15.9049,-15.8956,-15.749,-15.749,-15.749,-15.7472,-15.7385,-15.5586,-15.5586,-15.5586,-15.5573,-15.5493,-15.3379,-15.3379,-15.3379,-15.337,-15.3298,-15.0905,-15.0905,-15.0905,-15.09,-15.0839
67,9.48056,-15.8073,-15.8073,-15.8073,-15.8051,-15.7957,-15.6527,-15.6527,-15.6527,-15.6509,-15.6422,-15.4665,-15.4665,-15.4665,-15.4652,-15.4571,-15.2503,-15.2503,-15.2503,-15.2494,-15.2422,-15.0078,-15.0078,-15.0078,-15.0074,-15.0012
68,9.80527,-15.7071,-15.7071,-15.7071,-15.7048,-15.6954,-15.5559,-15.5559,-15.5559,-15.5541,-15.5453,-15.3736,-15.3736,-15.3736,-15.3723,-15.3642,-15.162,-15.162,-15.162,-15.1611,-15.1539,-14.9244,-14.9244,-14.9244,-14.924,-14.9177
