gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
11,0.226131,0.309424,0.340108,0.378088,0.423922,0.48035,0.549723,0.634537,0.30956,0.340247,0.378223,0.424058,0.48052,0.549916,0.634794,0.309696,0.340385,0.378359,0.424194,0.480689,0.550109,0.63505,0.309832,0.340523,0.378495,0.42433,0.480859,0.550301,0.635306,0.309968,0.340661,0.37863,0.424467,0.481028,0.550494,0.635562,0.310104,0.340799,0.378762,0.424604,0.481198,0.550686,0.635819,0.310241,0.340937,0.378893,0.424742,0.481367,0.550879,0.636075
12,0.247171,0.324269,0.355145,0.392174,0.438543,0.494823,0.564726,0.649584,0.324853,0.355843,0.392909,0.439372,0.495642,0.565568,0.650411,0.325436,0.356533,0.393644,0.440202,0.496468,0.566411,0.651239,0.32602,0.357219,0.39438,0.441032,0.497294,0.567253,0.652066,0.326603,0.357904,0.395115,0.441862,0.49812,0.568095,0.652893,0.327187,0.35859,0.39585,0.442692,0.498946,0.568931,0.653721,0.32777,0.359276,0.396585,0.443522,0.499771,0.569757,0.654548
13,0.268455,0.339842,0.371043,0.408049,0.454903,0.511295,0.581279,0.666419,0.340787,0.371969,0.408987,0.45582,0.512233,0.582217,0.66738,0.341732,0.372895,0.409924,0.456736,0.513171,0.583154,0.668342,0.342678,0.37382,0.410862,0.457653,0.514108,0.584092,0.669303,0.343623,0.374746,0.411799,0.45857,0.515046,0.585029,0.670264,0.344569,0.375672,0.412737,0.459486,0.515984,0.585967,0.671254,0.345514,0.376598,0.413675,0.460403,0.516922,0.586905,0.67225
14,0.289985,0.356813,0.387236,0.424969,0.471437,0.528204,0.598124,0.684169,0.357793,0.388167,0.425955,0.472383,0.529172,0.599078,0.685222,0.358773,0.389097,0.42694,0.473329,0.53014,0.600032,0.686274,0.359752,0.390028,0.427926,0.474274,0.531108,0.600987,0.687327,0.360732,0.390958,0.428911,0.47522,0.532077,0.601941,0.688379,0.361712,0.391889,0.429897,0.476165,0.533045,0.602895,0.689432,0.362692,0.39282,0.430882,0.477111,0.534013,0.60385,0.690484
15,0.311765,0.373604,0.403239,0.442102,0.487877,0.545117,0.614785,0.702033,0.374658,0.404336,0.44321,0.488939,0.54619,0.615834,0.703091,0.375711,0.405433,0.444317,0.490002,0.547263,0.616883,0.704149,0.376764,0.40653,0.445425,0.491065,0.548336,0.617933,0.705206,0.377818,0.407627,0.446532,0.492128,0.549408,0.618982,0.706264,0.378855,0.408724,0.44764,0.493191,0.550481,0.620049,0.707322,0.379841,0.409821,0.448709,0.494253,0.551554,0.621116,0.70838
16,0.333798,0.391288,0.421761,0.459733,0.505512,0.562723,0.632221,0.719713,0.39185,0.422527,0.460646,0.506511,0.563769,0.633262,0.720768,0.392413,0.423292,0.461559,0.507511,0.564816,0.634303,0.721824,0.392975,0.424058,0.462472,0.508511,0.565863,0.635344,0.722879,0.393538,0.424831,0.463385,0.509511,0.566909,0.636384,0.723906,0.3941,0.425613,0.464298,0.510511,0.567956,0.637425,0.724926,0.394663,0.426395,0.465211,0.51151,0.568996,0.638466,0.725945
17,0.356085,0.406227,0.43832,0.475942,0.522533,0.579646,0.649407,0.736574,0.407488,0.4396,0.477142,0.523787,0.580877,0.650648,0.737768,0.408749,0.440879,0.478342,0.525041,0.582109,0.651889,0.738961,0.41001,0.442158,0.479543,0.526294,0.58334,0.65313,0.740155,0.41127,0.443437,0.480743,0.527548,0.584571,0.654371,0.741348,0.412531,0.444716,0.481944,0.528801,0.585803,0.655612,0.742541,0.413792,0.445996,0.483144,0.530055,0.587034,0.656853,0.743735
18,0.378631,0.42564,0.457665,0.494647,0.542067,0.598891,0.669005,0.755099,0.426476,0.458363,0.495341,0.542791,0.59961,0.669767,0.755907,0.427312,0.45906,0.496076,0.543516,0.600329,0.670532,0.756714,0.428149,0.459758,0.496811,0.544237,0.601049,0.671312,0.757522,0.428985,0.460455,0.497546,0.544953,0.601768,0.672092,0.758329,0.429821,0.461153,0.498281,0.545669,0.602487,0.672872,0.759136,0.430657,0.46185,0.499016,0.546386,0.603207,0.673652,0.759944
19,0.401438,0.443349,0.473743,0.511589,0.558822,0.615695,0.686681,0.771957,0.444521,0.474878,0.512805,0.559946,0.616824,0.687826,0.77296,0.445693,0.476014,0.51402,0.56107,0.617953,0.688972,0.773964,0.446864,0.477149,0.515236,0.562194,0.619082,0.690117,0.774967,0.448023,0.478313,0.516452,0.563318,0.62022,0.691262,0.775971,0.449115,0.479478,0.517667,0.564443,0.621357,0.692408,0.776975,0.450206,0.480642,0.518883,0.565567,0.622494,0.693553,0.778121
20,0.424509,0.461109,0.49095,0.529752,0.576084,0.633169,0.704367,0.79012,0.462263,0.49215,0.531094,0.577442,0.634599,0.705837,0.791737,0.463418,0.493351,0.532437,0.578799,0.63603,0.707308,0.793353,0.464572,0.494551,0.53378,0.580157,0.63746,0.708778,0.79497,0.465727,0.495786,0.535123,0.581515,0.63889,0.710248,0.796587,0.466881,0.497085,0.536465,0.582872,0.64032,0.711718,0.798204,0.468036,0.498384,0.537808,0.58423,0.64175,0.713188,0.79982
