gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
10,0.195332,-45.8474,-45.8476,-45.8478,-45.8479,-45.8481,-45.8482,-45.8484,-44.0569,-44.057,-44.0571,-44.0571,-44.0573,-44.0573,-44.0574,-42.3198,-42.3198,-42.3199,-42.3198,-42.3199,-42.3199,-42.32,-40.5884,-40.5884,-40.5885,-40.5884,-40.5885,-40.5884,-40.5884,-38.8322,-38.8322,-38.8322,-38.8321,-38.8322,-38.8321,-38.8321,-37.034,-37.034,-37.034,-37.0339,-37.034,-37.034,-37.0339,-35.1824,-35.1824,-35.1824,-35.1823,-35.1824,-35.1823,-35.1823
11,0.216131,-45.2224,-45.2225,-45.2227,-45.2227,-45.2229,-45.223,-45.2231,-43.5448,-43.5449,-43.545,-43.545,-43.5451,-43.5451,-43.5452,-41.8785,-41.8786,-41.8786,-41.8786,-41.8787,-41.8786,-41.8787,-40.2032,-40.2032,-40.2032,-40.2031,-40.2032,-40.2031,-40.2031,-38.4958,-38.4958,-38.4958,-38.4957,-38.4958,-38.4958,-38.4957,-36.7407,-36.7407,-36.7408,-36.7407,-36.7407,-36.7407,-36.7407,-34.9243,-34.9243,-34.9243,-34.9242,-34.9243,-34.9242,-34.9242
12,0.237172,-44.6341,-44.6341,-44.6342,-44.6342,-44.6344,-44.6344,-44.6345,-43.0448,-43.0449,-43.0449,-43.0449,-43.0451,-43.0451,-43.0451,-41.4468,-41.4468,-41.4468,-41.4468,-41.4469,-41.4469,-41.4469,-39.8249,-39.8248,-39.8249,-39.8248,-39.8249,-39.8248,-39.8248,-38.1645,-38.1645,-38.1645,-38.1644,-38.1645,-38.1644,-38.1644,-36.4501,-36.4501,-36.4501,-36.45,-36.4501,-36.45,-36.45,-34.6691,-34.6691,-34.6691,-34.669,-34.6691,-34.669,-34.669
13,0.258456,-44.086,-44.0861,-44.0862,-44.0862,-44.0864,-44.0864,-44.0865,-42.5624,-42.5625,-42.5625,-42.5625,-42.5626,-42.5626,-42.5627,-41.0251,-41.0251,-41.0251,-41.0251,-41.0251,-41.0251,-41.0251,-39.4553,-39.4553,-39.4553,-39.4552,-39.4553,-39.4553,-39.4553,-37.8386,-37.8386,-37.8387,-37.8386,-37.8387,-37.8386,-37.8386,-36.1619,-36.1619,-36.1619,-36.1619,-36.1619,-36.1619,-36.1619,-34.4155,-34.4155,-34.4156,-34.4155,-34.4155,-34.4155,-34.4155
14,0.279986,-43.5488,-43.5489,-43.549,-43.549,-43.5492,-43.5492,-43.5493,-42.0951,-42.0952,-42.0952,-42.0952,-42.0953,-42.0953,-42.0953,-40.6131,-40.6131,-40.6131,-40.613,-40.6131,-40.6131,-40.6131,-39.0919,-39.0919,-39.0919,-39.0918,-39.0919,-39.0919,-39.0919,-37.517,-37.517,-37.517,-37.5169,-37.517,-37.517,-37.517,-35.8763,-35.8763,-35.8763,-35.8762,-35.8763,-35.8763,-35.8762,-34.1634,-34.1634,-34.1634,-34.1634,-34.1634,-34.1634,-34.1634
15,0.301766,-43.0362,-43.0363,-43.0364,-43.0364,-43.0365,-43.0365,-43.0366,-41.6384,-41.6385,-41.6385,-41.6385,-41.6386,-41.6386,-41.6386,-40.2101,-40.2101,-40.2101,-40.21,-40.2101,-40.2101,-40.2101,-38.7347,-38.7347,-38.7347,-38.7347,-38.7347,-38.7347,-38.7347,-37.1991,-37.1991,-37.1991,-37.199,-37.1991,-37.1991,-37.1991,-35.5931,-35.5931,-35.5931,-35.593,-35.5931,-35.5931,-35.593,-33.9128,-33.9128,-33.9128,-33.9127,-33.9127,-33.9127,-33.9127
16,0.323799,-42.5379,-42.5379,-42.538,-42.538,-42.5382,-42.5382,-42.5382,-41.1952,-41.1952,-41.1953,-41.1952,-41.1953,-41.1953,-41.1953,-39.8161,-39.8161,-39.8162,-39.8161,-39.8162,-39.8161,-39.8162,-38.383,-38.383,-38.383,-38.3829,-38.383,-38.383,-38.383,-36.8847,-36.8847,-36.8847,-36.8847,-36.8847,-36.8847,-36.8847,-35.3123,-35.3123,-35.3123,-35.3122,-35.3123,-35.3123,-35.3123,-33.6636,-33.6636,-33.6636,-33.6635,-33.6636,-33.6635,-33.6635
17,0.346087,-42.0525,-42.0526,-42.0527,-42.0526,-42.0528,-42.0528,-42.0528,-40.763,-40.763,-40.763,-40.763,-40.7631,-40.763,-40.7631,-39.4288,-39.4288,-39.4289,-39.4288,-39.4289,-39.4289,-39.4289,-38.0363,-38.0363,-38.0364,-38.0363,-38.0364,-38.0363,-38.0363,-36.5738,-36.5738,-36.5738,-36.5737,-36.5738,-36.5738,-36.5737,-35.0349,-35.0349,-35.0349,-35.0348,-35.0349,-35.0349,-35.0349,-33.4163,-33.4162,-33.4163,-33.4162,-33.4163,-33.4162,-33.4162
18,0.368632,-41.5835,-41.5836,-41.5837,-41.5836,-41.5837,-41.5837,-41.5838,-40.343,-40.343,-40.3431,-40.343,-40.3431,-40.3431,-40.3432,-39.0497,-39.0498,-39.0498,-39.0498,-39.0498,-39.0498,-39.0498,-37.6946,-37.6945,-37.6946,-37.6945,-37.6946,-37.6945,-37.6945,-36.2662,-36.2662,-36.2663,-36.2662,-36.2662,-36.2662,-36.2662,-34.7596,-34.7596,-34.7596,-34.7596,-34.7596,-34.7596,-34.7596,-33.1708,-33.1708,-33.1708,-33.1707,-33.1708,-33.1707,-33.1707
19,0.391439,-41.1282,-41.1282,-41.1283,-41.1282,-41.1284,-41.1283,-41.1284,-39.9315,-39.9316,-39.9316,-39.9316,-39.9317,-39.9317,-39.9317,-38.6776,-38.6776,-38.6777,-38.6776,-38.6777,-38.6777,-38.6777,-37.3574,-37.3574,-37.3574,-37.3573,-37.3574,-37.3574,-37.3574,-35.9619,-35.9619,-35.9619,-35.9618,-35.9619,-35.9618,-35.9618,-34.4865,-34.4864,-34.4865,-34.4864,-34.4865,-34.4864,-34.4864,-32.9265,-32.9265,-32.9266,-32.9265,-32.9265,-32.9265,-32.9265
