gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
21,1.33455,3.42248e-006,1.23836e-005,1.96169e-005,1.23836e-005,3.42248e-006,6.58344e-006,2.3821e-005,3.77349e-005,2.3821e-005,6.58344e-006,5.21089e-006,1.88547e-005,2.98677e-005,1.88547e-005,5.21089e-006,1.72973e-006,6.25872e-006,9.91443e-006,6.25872e-006,1.72973e-006,2.7562e-007,9.97282e-007,1.57979e-006,9.97282e-007,2.7562e-007
22,1.42055,7.5515e-006,2.73238e-005,4.32836e-005,2.73238e-005,7.5515e-006,1.34418e-005,4.86367e-005,7.70454e-005,4.86367e-005,1.34418e-005,9.57761e-006,3.46549e-005,5.48969e-005,3.46549e-005,9.57761e-006,2.92621e-006,1.0588e-005,1.67724e-005,1.0588e-005,2.92621e-006,4.70909e-007,1.7039e-006,2.69915e-006,1.7039e-006,4.70909e-007
23,1.50907,1.43685e-005,5.199e-005,8.23573e-005,5.199e-005,1.43685e-005,2.7097e-005,9.8046e-005,0.000155315,9.8046e-005,2.7097e-005,1.99154e-005,7.20606e-005,0.000114151,7.20606e-005,1.99154e-005,5.77317e-006,2.08892e-005,3.30906e-005,2.08892e-005,5.77317e-006,8.03864e-007,2.90864e-006,4.60758e-006,2.90864e-006,8.03864e-007
24,1.60018,2.39142e-005,8.65292e-005,0.000137071,8.65292e-005,2.39142e-005,4.51324e-005,0.000163304,0.000258689,0.000163304,4.51324e-005,3.25454e-005,0.00011776,0.000186543,0.00011776,3.25454e-005,8.92827e-006,3.23054e-005,5.1175e-005,3.23054e-005,8.92827e-006,1.15694e-006,4.18618e-006,6.63133e-006,4.18618e-006,1.15694e-006
25,1.69396,3.71992e-005,0.000134599,0.000213218,0.000134599,3.71992e-005,7.31042e-005,0.000264515,0.000419018,0.000264515,7.31042e-005,5.54228e-005,0.000200538,0.000317672,0.000200538,5.54228e-005,1.56408e-005,5.65936e-005,8.96499e-005,5.65936e-005,1.56408e-005,1.89747e-006,6.86566e-006,1.08759e-005,6.86566e-006,1.89747e-006
26,1.79048,4.94662e-005,0.000178985,0.00028353,0.000178985,4.94662e-005,0.000106662,0.000385937,0.000611362,0.000385937,0.000106662,8.84581e-005,0.00032007,0.000507023,0.00032007,8.84581e-005,2.6503e-005,9.58967e-005,0.00015191,9.58967e-005,2.6503e-005,3.20511e-006,1.15971e-005,1.8371e-005,1.15971e-005,3.20511e-006
27,1.88984,7.52538e-005,0.000272293,0.000431339,0.000272293,7.52538e-005,0.000165213,0.000597794,0.000946965,0.000597794,0.000165213,0.000139086,0.000503258,0.000797211,0.000503258,0.000139086,4.19071e-005,0.000151634,0.000240203,0.000151634,4.19071e-005,4.92452e-006,1.78185e-005,2.82263e-005,1.78185e-005,4.92452e-006
28,1.99211,9.62454e-005,0.000348247,0.000551658,0.000348247,9.62454e-005,0.000218275,0.000789791,0.00125111,0.000789791,0.000218275,0.00019365,0.00070069,0.00110996,0.00070069,0.00019365,6.20943e-005,0.000224678,0.000355912,0.000224678,6.20943e-005,7.50266e-006,2.71471e-005,4.30037e-005,2.71471e-005,7.50266e-006
29,2.09737,0.000115962,0.000419587,0.000664668,0.000419587,0.000115962,0.000280541,0.00101509,0.001608,0.00101509,0.000280541,0.00025973,0.000939789,0.00148872,0.000939789,0.00025973,8.58859e-005,0.000310763,0.00049228,0.000310763,8.58859e-005,1.09536e-005,3.96338e-005,6.27839e-005,3.96338e-005,1.09536e-005
30,2.20572,0.000129403,0.000468223,0.000741713,0.000468223,0.000129403,0.000323891,0.00117194,0.00185648,0.00117194,0.000323891,0.000325789,0.00117881,0.00186735,0.00117881,0.000325789,0.000120291,0.000435251,0.000689481,0.000435251,0.000120291,1.67267e-005,6.05226e-005,9.58739e-005,6.05226e-005,1.67267e-005
