gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865,0.0467865
2,0.0951487,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891,0.0939891
3,0.144824,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284,0.141284
4,0.195956,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167,0.189167
5,0.248585,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018,0.238018
6,0.302757,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074,0.288074
7,0.358517,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475,0.339475
8,0.41591,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229,0.39229
9,0.474986,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583,0.446583
10,0.535792,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435,0.502435
11,0.598381,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915,0.559915
12,0.662804,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068,0.619068
13,0.729114,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934,0.679934
14,0.797368,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583,0.742583
15,0.867622,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053,0.807053
16,0.939934,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349,0.873349
17,1.01437,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476,0.941476
18,1.09098,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115
19,1.16984,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356,1.08356
20,1.25101,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783,1.15783
21,1.33455,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442,1.23442
22,1.42055,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332,1.31332
23,1.50907,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456,1.39456
24,1.60018,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821,1.47821
25,1.69396,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435,1.56435
26,1.79048,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306,1.65306
27,1.88984,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437,1.74437
28,1.99211,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838,1.83838
29,2.09737,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516,1.93516
30,2.20572,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479,2.03479
31,2.31725,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732,2.13732
32,2.43204,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285,2.24285
33,2.5502,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149,2.35149
34,2.67182,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332,2.46332
35,2.797,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784,2.5784
36,2.92586,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687,2.69687
37,3.05848,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883,2.81883
38,3.195,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435,2.94435
39,3.33551,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357,3.07357
40,3.48015,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655,3.20655
41,3.62902,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343,3.34343
42,3.78225,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429,3.48429
43,3.93998,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926,3.62926
44,4.10232,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842,3.77842
45,4.26943,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195,3.93195
46,4.44143,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003,4.09003
47,4.61847,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273,4.25273
