gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0438552,0.0438552,0.0438552,0.0438552,0.0438552,0.043855,0.043855,0.043855,0.043855,0.043855,0.0438548,0.0438548,0.0438548,0.0438548,0.0438548,0.0438547,0.0438547,0.0438547,0.0438547,0.0438547,0.0438546,0.0438546,0.0438546,0.0438546,0.0438546
2,0.0951487,0.0856521,0.0856521,0.0856521,0.0856521,0.0856521,0.085649,0.085649,0.085649,0.085649,0.085649,0.0856463,0.0856463,0.0856463,0.0856463,0.0856463,0.0856441,0.0856441,0.0856441,0.0856441,0.0856441,0.0856423,0.0856423,0.0856423,0.0856423,0.0856423
3,0.144824,0.125889,0.125889,0.125889,0.125889,0.125889,0.125874,0.125874,0.125874,0.125874,0.125874,0.125861,0.125861,0.125861,0.125861,0.125861,0.12585,0.12585,0.12585,0.12585,0.12585,0.125841,0.125841,0.125841,0.125841,0.125841
4,0.195956,0.165041,0.165041,0.165041,0.165041,0.165041,0.165,0.165,0.165,0.165,0.165,0.164963,0.164963,0.164963,0.164963,0.164963,0.164931,0.164931,0.164931,0.164931,0.164931,0.164906,0.164906,0.164906,0.164906,0.164906
5,0.248585,0.203474,0.203474,0.203474,0.203474,0.203474,0.203389,0.203389,0.203389,0.203389,0.203389,0.20331,0.20331,0.20331,0.20331,0.20331,0.203244,0.203244,0.203244,0.203244,0.203244,0.203191,0.203191,0.203191,0.203191,0.203191
6,0.302757,0.241032,0.241032,0.241032,0.241032,0.241032,0.240864,0.240864,0.240864,0.240864,0.240864,0.240707,0.240707,0.240707,0.240707,0.240707,0.240574,0.240574,0.240574,0.240574,0.240574,0.240466,0.240466,0.240466,0.240466,0.240466
7,0.358517,0.277984,0.277984,0.277984,0.277984,0.277984,0.27769,0.27769,0.27769,0.27769,0.27769,0.277415,0.277415,0.277415,0.277415,0.277415,0.27718,0.27718,0.27718,0.27718,0.27718,0.276991,0.276991,0.276991,0.276991,0.276991
8,0.41591,0.314994,0.314994,0.314994,0.314994,0.314994,0.31454,0.31454,0.31454,0.31454,0.31454,0.314116,0.314116,0.314116,0.314116,0.314116,0.313753,0.313753,0.313753,0.313753,0.313753,0.31346,0.31346,0.31346,0.31346,0.31346
9,0.474986,0.351898,0.351898,0.351898,0.351898,0.351898,0.351213,0.351213,0.351213,0.351213,0.351213,0.350566,0.350566,0.350566,0.350566,0.350566,0.350009,0.350009,0.350009,0.350009,0.350009,0.349555,0.349555,0.349555,0.349555,0.349555
10,0.535792,0.388722,0.388722,0.388722,0.388722,0.388722,0.387755,0.387755,0.387755,0.387755,0.387755,0.386833,0.386833,0.386833,0.386833,0.386833,0.386029,0.386029,0.386029,0.386029,0.386029,0.385368,0.385368,0.385368,0.385368,0.385368
11,0.598381,0.426072,0.426072,0.426072,0.426072,0.426072,0.424776,0.424776,0.424776,0.424776,0.424776,0.423538,0.423538,0.423538,0.423538,0.423538,0.422453,0.422453,0.422453,0.422453,0.422453,0.421556,0.421556,0.421556,0.421556,0.421556
12,0.662804,0.46371,0.46371,0.46371,0.46371,0.46371,0.461954,0.461954,0.461954,0.461954,0.461954,0.460267,0.460267,0.460267,0.460267,0.460267,0.458777,0.458777,0.458777,0.458777,0.458777,0.457538,0.457538,0.457538,0.457538,0.457538
13,0.729114,0.501941,0.501941,0.501941,0.501941,0.501941,0.499672,0.499672,0.499672,0.499672,0.499672,0.49748,0.49748,0.49748,0.49748,0.49748,0.495542,0.495542,0.495542,0.495542,0.495542,0.49393,0.49393,0.49393,0.49393,0.49393
14,0.797368,0.541019,0.541019,0.541019,0.541019,0.541019,0.538167,0.538167,0.538167,0.538167,0.538167,0.535397,0.535397,0.535397,0.535397,0.535397,0.532893,0.532893,0.532893,0.532893,0.532893,0.530798,0.530798,0.530798,0.530798,0.530798
15,0.867622,0.580848,0.580848,0.580848,0.580848,0.580848,0.577222,0.577222,0.577222,0.577222,0.577222,0.573705,0.573705,0.573705,0.573705,0.573705,0.570562,0.570562,0.570562,0.570562,0.570562,0.567921,0.567921,0.567921,0.567921,0.567921
16,0.939934,0.62165,0.62165,0.62165,0.62165,0.62165,0.617252,0.617252,0.617252,0.617252,0.617252,0.612968,0.612968,0.612968,0.612968,0.612968,0.609122,0.609122,0.609122,0.609122,0.609122,0.60588,0.60588,0.60588,0.60588,0.60588
17,1.01437,0.663501,0.663501,0.663501,0.663501,0.663501,0.65826,0.65826,0.65826,0.65826,0.65826,0.653104,0.653104,0.653104,0.653104,0.653104,0.648426,0.648426,0.648426,0.648426,0.648426,0.644441,0.644441,0.644441,0.644441,0.644441
18,1.09098,0.706751,0.706751,0.706751,0.706751,0.706751,0.700578,0.700578,0.700578,0.700578,0.700578,0.694391,0.694391,0.694391,0.694391,0.694391,0.688745,0.688745,0.688745,0.688745,0.688745,0.683934,0.683934,0.683934,0.683934,0.683934
19,1.16984,0.751389,0.751389,0.751389,0.751389,0.751389,0.744164,0.744164,0.744164,0.744164,0.744164,0.736873,0.736873,0.736873,0.736873,0.736873,0.730165,0.730165,0.730165,0.730165,0.730165,0.724409,0.724409,0.724409,0.724409,0.724409
