gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[1 0],Port[1 1],Port[1 2],Port[2 0],Port[2 1],Port[2 2],Port[3 0],Port[3 1],Port[3 2],Port[4 0],Port[4 1],Port[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.2,1
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.28,1
5,0.248585,0,0,0.18,0,0,0.16,0,0,0.38,0,0,0.88,0,0.38,1
6,0.302757,0,0,0.24,0,0,0.32,0,0,0.38,0,0.48,1,0,0.54,1
7,0.358517,0,0,0.54,0,0,0.5,0,0.16,0.7,0,0.22,0.92,0,0.68,1
8,0.41591,0,0.12,0.42,0,0.14,0.54,0,0.12,0.7,0,0.52,1,0,0.76,1
9,0.474986,0,0.26,0.64,0,0.24,0.66,0,0.4,0.86,0,0.58,1,0,0.82,1
10,0.535792,0,0.28,0.66,0,0.3,0.72,0,0.46,0.92,0,0.7,1,0,0.74,1
11,0.598381,0,0.36,0.68,0,0.46,0.8,0,0.56,0.98,0,0.64,1,0,0.82,1
12,0.662804,0.06,0.46,0.76,0.02,0.46,0.74,0.06,0.52,0.9,0,0.74,1,0.02,0.88,1
13,0.729114,0.1,0.44,0.74,0.18,0.56,0.86,0,0.7,1,0.24,0.72,1,0.02,0.84,1
14,0.797368,0.18,0.48,0.76,0.22,0.54,0.86,0.14,0.66,0.98,0.14,0.84,1,0.02,0.96,1
15,0.867622,0.22,0.56,0.84,0.18,0.64,0.92,0.18,0.72,1,0.2,0.78,1,0.14,0.88,1
16,0.939934,0.26,0.54,0.8,0.14,0.66,0.94,0.32,0.7,1,0.28,0.84,1,0.04,0.92,1
17,1.01437,0.26,0.56,0.92,0.24,0.7,0.96,0.32,0.72,1,0.2,0.78,1,0.2,0.96,1
18,1.09098,0.34,0.66,0.9,0.3,0.74,0.98,0.28,0.78,1,0.24,0.86,1,0.18,1,1
19,1.16984,0.36,0.6,0.9,0.28,0.72,0.96,0.26,0.8,1,0.32,0.86,1,0.18,0.92,1
20,1.25101,0.34,0.62,0.98,0.32,0.7,1,0.34,0.86,1,0.26,0.88,1,0.26,0.96,1
21,1.33455,0.32,0.72,0.94,0.36,0.8,1,0.36,0.8,1,0.28,0.9,1,0.22,0.94,1
22,1.42055,0.3,0.68,0.98,0.36,0.76,1,0.32,0.8,1,0.34,0.86,1,0.24,0.96,1
23,1.50907,0.42,0.66,1,0.32,0.72,1,0.32,0.86,1,0.32,0.92,1,0.26,0.94,1
24,1.60018,0.42,0.68,0.98,0.46,0.74,1,0.38,0.82,1,0.46,0.88,1,0.34,0.94,1
25,1.69396,0.4,0.74,0.96,0.44,0.8,1,0.38,0.8,1,0.4,0.86,1,0.32,0.98,1
26,1.79048,0.38,0.7,1,0.4,0.76,1,0.4,0.84,1,0.36,0.88,1,0.32,0.92,1
27,1.88984,0.36,0.7,1,0.38,0.74,1,0.44,0.84,1,0.42,0.88,1,0.24,0.96,1
28,1.99211,0.36,0.7,0.98,0.38,0.74,1,0.44,0.8,1,0.44,0.88,1,0.3,0.96,1
29,2.09737,0.42,0.72,1,0.4,0.76,1,0.4,0.78,1,0.4,0.92,1,0.32,0.88,1
30,2.20572,0.44,0.74,1,0.44,0.78,1,0.38,0.82,1,0.38,0.88,1,0.3,0.9,1
31,2.31725,0.42,0.72,1,0.44,0.76,1,0.4,0.82,1,0.42,0.84,1,0.32,0.92,1
32,2.43204,0.42,0.72,1,0.42,0.8,1,0.44,0.8,1,0.44,0.86,1,0.36,0.86,1
33,2.5502,0.42,0.74,0.98,0.4,0.8,1,0.44,0.8,1,0.42,0.88,1,0.3,0.86,1
34,2.67182,0.44,0.74,1,0.4,0.8,1,0.42,0.82,1,0.38,0.84,1,0.3,0.9,1
35,2.797,0.44,0.74,1,0.44,0.78,1,0.4,0.82,1,0.42,0.8,1,0.38,0.86,1
36,2.92586,0.46,0.74,1,0.44,0.76,1,0.38,0.8,1,0.46,0.8,1,0.34,0.82,1
37,3.05848,0.46,0.72,1,0.44,0.74,1,0.4,0.78,1,0.44,0.82,1,0.3,0.84,1
38,3.195,0.44,0.72,0.98,0.42,0.72,1,0.44,0.74,1,0.4,0.84,1,0.34,0.86,1
39,3.33551,0.44,0.74,0.96,0.42,0.72,1,0.44,0.76,1,0.38,0.8,1,0.38,0.82,1
40,3.48015,0.42,0.76,0.96,0.44,0.74,1,0.42,0.78,1,0.42,0.78,1,0.36,0.78,1
41,3.62902,0.42,0.76,0.98,0.44,0.74,1,0.4,0.78,1,0.46,0.76,1,0.32,0.76,1
42,3.78225,0.4,0.74,1,0.46,0.74,1,0.4,0.76,1,0.44,0.78,1,0.36,0.74,1
43,3.93998,0.38,0.74,0.98,0.48,0.74,1,0.4,0.74,1,0.42,0.8,1,0.4,0.74,1
44,4.10232,0.4,0.72,0.96,0.46,0.72,1,0.4,0.72,1,0.4,0.78,1,0.36,0.76,1
45,4.26943,0.4,0.7,0.94,0.44,0.7,1,0.42,0.7,1,0.38,0.76,1,0.34,0.74,1
46,4.44143,0.42,0.7,0.94,0.44,0.7,1,0.44,0.72,1,0.36,0.74,1,0.36,0.72,1
47,4.61847,0.44,0.68,0.92,0.42,0.68,1,0.42,0.72,1,0.38,0.74,1,0.38,0.7,1
48,4.8007,0.42,0.68,0.9,0.42,0.68,0.98,0.42,0.74,1,0.42,0.74,1,0.4,0.72,1
49,4.98827,0.42,0.66,0.9,0.4,0.68,0.96,0.4,0.74,0.98,0.4,0.76,1,0.36,0.74,1
50,5.18134,0.42,0.66,0.9,0.42,0.72,0.94,0.38,0.72,0.98,0.4,0.68,1,0.34,0.72,1
51,5.38006,0.42,0.66,0.9,0.42,0.7,0.94,0.38,0.7,0.96,0.4,0.7,0.98,0.36,0.7,1
52,5.58461,0.42,0.68,0.9,0.44,0.7,0.92,0.4,0.7,0.92,0.38,0.7,0.96,0.38,0.68,1
53,5.79515,0.42,0.68,0.9,0.44,0.68,0.92,0.42,0.68,0.92,0.36,0.7,0.96,0.34,0.7,1
54,6.01186,0.4,0.68,0.9,0.44,0.68,0.92,0.42,0.66,0.92,0.34,0.68,0.98,0.32,0.72,0.98
55,6.23493,0.4,0.68,0.9,0.44,0.68,0.92,0.42,0.68,0.92,0.36,0.66,0.98,0.36,0.7,0.96
56,6.46452,0.4,0.68,0.9,0.44,0.66,0.92,0.42,0.68,0.92,0.38,0.66,0.96,0.36,0.66,0.96
57,6.70085,0.38,0.68,0.9,0.42,0.66,0.92,0.4,0.68,0.94,0.4,0.64,0.94,0.34,0.66,0.92
58,6.94411,0.38,0.68,0.88,0.4,0.64,0.92,0.4,0.7,0.92,0.4,0.66,0.92,0.32,0.66,0.94
59,7.19449,0.38,0.66,0.88,0.4,0.64,0.92,0.38,0.68,0.92,0.38,0.66,0.92,0.32,0.64,0.94
60,7.45221,0.36,0.66,0.86,0.4,0.62,0.9,0.38,0.62,0.9,0.36,0.68,0.9,0.34,0.62,0.94
61,7.71748,0.38,0.64,0.86,0.4,0.62,0.88,0.38,0.62,0.88,0.36,0.66,0.9,0.36,0.6,0.92
62,7.99052,0.38,0.64,0.84,0.4,0.62,0.84,0.38,0.64,0.88,0.36,0.66,0.88,0.36,0.62,0.9
63,8.27157,0.38,0.64,0.84,0.4,0.62,0.84,0.4,0.64,0.86,0.36,0.64,0.86,0.34,0.64,0.88
64,8.56085,0.38,0.62,0.84,0.4,0.62,0.84,0.4,0.64,0.86,0.38,0.62,0.84,0.34,0.64,0.88
65,8.85861,0.38,0.62,0.82,0.38,0.62,0.84,0.38,0.64,0.84,0.38,0.62,0.84,0.32,0.64,0.86
66,9.16509,0.38,0.62,0.82,0.38,0.62,0.84,0.34,0.64,0.84,0.4,0.62,0.84,0.34,0.62,0.84
67,9.48056,0.38,0.6,0.8,0.38,0.62,0.84,0.34,0.62,0.84,0.38,0.62,0.86,0.34,0.6,0.82
68,9.80527,0.4,0.6,0.8,0.36,0.64,0.84,0.34,0.62,0.84,0.36,0.6,0.86,0.36,0.6,0.82
69,10.1395,0.4,0.6,0.8,0.36,0.64,0.84,0.34,0.6,0.82,0.34,0.58,0.86,0.36,0.6,0.84
70,10.4835,0.4,0.6,0.8,0.36,0.62,0.82,0.36,0.6,0.8,0.34,0.58,0.86,0.34,0.58,0.84
71,10.8376,0.4,0.6,0.78,0.34,0.6,0.82,0.36,0.58,0.78,0.36,0.56,0.8,0.3,0.56,0.86
72,11.2021,0.4,0.6,0.78,0.34,0.58,0.8,0.36,0.58,0.78,0.36,0.56,0.78,0.32,0.56,0.84
73,11.5773,0.4,0.58,0.78,0.34,0.56,0.8,0.38,0.58,0.78,0.36,0.58,0.8,0.34,0.54,0.8
