gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[0 3],Port[0 4],Port[1 0],Port[1 1],Port[1 2],Port[1 3],Port[1 4],Port[2 0],Port[2 1],Port[2 2],Port[2 3],Port[2 4],Port[3 0],Port[3 1],Port[3 2],Port[3 3],Port[3 4],Port[4 0],Port[4 1],Port[4 2],Port[4 3],Port[4 4]
0,0,0.48,0.12,0.2,0.28,0.38,0.46,0.12,0.2,0.28,0.38,0.46,0.12,0.2,0.28,0.38,0.46,0.12,0.2,0.3,0.38,0.46,0.12,0.2,0.3,0.38
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.797368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.867622,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.939934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.01437,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.09098,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.16984,0,0,0,0,0.12,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.25101,0,0,0,0,0.14,0,0,0,0,0.1,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0
21,1.33455,0,0,0,0.1,0.12,0,0,0,0.06,0.08,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
22,1.42055,0,0,0,0.08,0.2,0,0,0,0.04,0.12,0,0,0,0,0.04,0,0,0,0,0.02,0,0,0,0,0
23,1.50907,0,0,0.04,0.06,0.22,0,0,0,0.02,0.16,0,0,0,0,0.06,0,0,0,0,0.02,0,0,0,0,0.04
24,1.60018,0,0,0.04,0.08,0.24,0,0,0,0.02,0.2,0,0,0,0,0.1,0,0,0,0,0.06,0,0,0,0,0.04
25,1.69396,0,0,0.04,0.1,0.22,0,0,0,0.06,0.18,0,0,0,0,0.14,0,0,0,0,0.16,0,0,0,0,0
26,1.79048,0,0,0.02,0.12,0.22,0,0,0,0.08,0.16,0,0,0,0,0.14,0,0,0,0,0.12,0,0,0,0,0.02
27,1.88984,0,0,0,0.16,0.2,0,0,0,0.12,0.18,0,0,0,0.1,0.2,0,0,0,0.02,0.1,0,0,0,0,0.08
28,1.99211,0,0,0.02,0.16,0.22,0,0,0,0.12,0.26,0,0,0,0.08,0.22,0,0,0,0.06,0.12,0,0,0,0,0.1
29,2.09737,0,0,0.04,0.16,0.28,0,0,0,0.1,0.26,0,0,0,0.08,0.24,0,0,0,0.04,0.16,0,0,0,0,0.08
30,2.20572,0,0,0.06,0.14,0.3,0,0,0.04,0.1,0.24,0,0,0,0.12,0.22,0,0,0,0.02,0.2,0,0,0,0.04,0.06
31,2.31725,0,0,0.08,0.14,0.28,0,0,0.06,0.16,0.24,0,0,0,0.16,0.2,0,0,0,0.06,0.18,0,0,0,0.02,0.18
32,2.43204,0,0,0.1,0.2,0.28,0,0,0.06,0.2,0.22,0,0,0.02,0.16,0.18,0,0,0,0.1,0.16,0,0,0,0,0.16
33,2.5502,0,0,0.1,0.2,0.26,0,0,0.08,0.18,0.24,0,0,0.04,0.14,0.22,0,0,0,0.12,0.14,0,0,0,0.02,0.18
34,2.67182,0,0,0.1,0.22,0.26,0,0,0.08,0.18,0.26,0,0,0.08,0.14,0.28,0,0,0,0.1,0.2,0,0,0,0.06,0.2
35,2.797,0,0,0.12,0.22,0.26,0,0,0.12,0.16,0.28,0,0,0.1,0.12,0.26,0,0,0.04,0.08,0.24,0,0,0,0.08,0.24
36,2.92586,0,0.02,0.12,0.22,0.3,0,0,0.14,0.16,0.3,0,0,0.08,0.14,0.26,0,0,0.06,0.08,0.22,0,0,0,0.12,0.22
37,3.05848,0,0.04,0.16,0.2,0.3,0,0,0.12,0.18,0.3,0,0,0.08,0.16,0.28,0,0,0.04,0.12,0.24,0,0,0.02,0.16,0.2
38,3.195,0,0.04,0.18,0.2,0.32,0,0,0.12,0.2,0.28,0,0,0.06,0.18,0.3,0,0,0.02,0.16,0.26,0,0,0,0.16,0.2
39,3.33551,0,0.04,0.16,0.2,0.32,0,0,0.1,0.2,0.3,0,0,0.06,0.2,0.32,0,0,0.02,0.16,0.28,0,0,0,0.14,0.22
40,3.48015,0,0.04,0.16,0.2,0.32,0,0,0.1,0.22,0.32,0,0,0.08,0.18,0.32,0,0,0.04,0.16,0.28,0,0,0,0.12,0.26
41,3.62902,0,0.02,0.16,0.22,0.32,0,0,0.1,0.22,0.34,0,0,0.1,0.2,0.3,0,0,0.08,0.2,0.28,0,0,0.02,0.14,0.26
42,3.78225,0,0.02,0.14,0.22,0.32,0,0,0.12,0.22,0.34,0,0,0.12,0.24,0.3,0,0,0.1,0.22,0.26,0,0,0.04,0.16,0.24
43,3.93998,0,0.02,0.14,0.24,0.34,0,0.02,0.14,0.22,0.34,0,0,0.14,0.24,0.28,0,0,0.1,0.22,0.24,0,0,0.06,0.2,0.26
44,4.10232,0,0.02,0.14,0.24,0.34,0,0.04,0.14,0.24,0.32,0,0,0.12,0.26,0.28,0,0,0.08,0.22,0.26,0,0,0.06,0.18,0.28
45,4.26943,0,0.04,0.14,0.24,0.36,0,0.04,0.16,0.26,0.32,0,0,0.12,0.24,0.28,0,0.02,0.08,0.2,0.28,0,0,0.04,0.18,0.3
46,4.44143,0,0.06,0.14,0.24,0.36,0,0.04,0.16,0.28,0.32,0,0.02,0.12,0.24,0.3,0,0.04,0.06,0.18,0.3,0,0,0.02,0.16,0.28
47,4.61847,0,0.08,0.16,0.24,0.36,0,0.04,0.16,0.28,0.3,0,0.02,0.1,0.22,0.32,0,0.04,0.08,0.18,0.3,0,0,0.1,0.16,0.28
48,4.8007,0,0.1,0.16,0.26,0.36,0,0.04,0.16,0.28,0.3,0,0.06,0.1,0.22,0.32,0,0.02,0.1,0.2,0.3,0,0,0.1,0.18,0.28
49,4.98827,0,0.08,0.18,0.26,0.34,0,0.04,0.14,0.26,0.3,0,0.06,0.12,0.22,0.34,0,0.02,0.12,0.22,0.3,0,0,0.1,0.2,0.32
50,5.18134,0,0.08,0.18,0.28,0.34,0,0.06,0.14,0.26,0.32,0,0.06,0.12,0.22,0.32,0,0,0.12,0.24,0.34,0,0,0.1,0.22,0.34
51,5.38006,0,0.08,0.18,0.28,0.34,0,0.06,0.14,0.24,0.32,0,0.06,0.14,0.24,0.32,0,0.02,0.14,0.24,0.36,0,0,0.1,0.22,0.34
52,5.58461,0,0.08,0.2,0.28,0.34,0,0.08,0.12,0.24,0.34,0,0.04,0.16,0.26,0.32,0,0.02,0.12,0.24,0.36,0,0.02,0.08,0.2,0.32
53,5.79515,0,0.08,0.2,0.3,0.32,0,0.1,0.14,0.24,0.34,0,0.04,0.16,0.26,0.36,0,0.04,0.12,0.24,0.36,0,0.04,0.08,0.2,0.32
54,6.01186,0,0.08,0.18,0.3,0.32,0,0.1,0.14,0.24,0.34,0,0.04,0.16,0.28,0.36,0,0.06,0.1,0.22,0.34,0,0.04,0.1,0.18,0.3
55,6.23493,0,0.08,0.18,0.3,0.32,0,0.1,0.16,0.24,0.34,0,0.06,0.16,0.26,0.38,0,0.08,0.1,0.22,0.32,0,0.04,0.16,0.2,0.3
56,6.46452,0,0.1,0.18,0.28,0.32,0,0.08,0.16,0.26,0.34,0,0.08,0.14,0.26,0.38,0,0.08,0.1,0.2,0.32,0,0.02,0.14,0.22,0.3
57,6.70085,0.02,0.1,0.18,0.28,0.32,0,0.08,0.16,0.26,0.34,0,0.08,0.14,0.26,0.36,0,0.06,0.16,0.22,0.32,0,0.02,0.12,0.22,0.32
58,6.94411,0.02,0.12,0.16,0.28,0.34,0,0.08,0.18,0.26,0.32,0,0.1,0.14,0.24,0.36,0,0.06,0.16,0.24,0.32,0,0.02,0.12,0.24,0.34
59,7.19449,0.02,0.12,0.16,0.28,0.34,0,0.08,0.18,0.28,0.36,0,0.1,0.14,0.24,0.34,0,0.06,0.16,0.24,0.32,0,0.02,0.12,0.24,0.34
60,7.45221,0.04,0.12,0.16,0.26,0.34,0,0.08,0.18,0.28,0.36,0,0.1,0.12,0.24,0.34,0,0.04,0.16,0.26,0.34,0,0.04,0.12,0.22,0.34
61,7.71748,0.04,0.12,0.16,0.26,0.36,0,0.08,0.18,0.28,0.38,0,0.1,0.14,0.24,0.34,0,0.04,0.16,0.26,0.36,0,0.06,0.12,0.22,0.34
62,7.99052,0.04,0.14,0.16,0.26,0.36,0,0.08,0.18,0.28,0.38,0,0.1,0.18,0.24,0.34,0,0.06,0.16,0.26,0.36,0,0.06,0.12,0.22,0.32
63,8.27157,0.04,0.14,0.16,0.26,0.36,0,0.1,0.18,0.28,0.38,0,0.1,0.18,0.24,0.34,0,0.06,0.14,0.26,0.36,0,0.08,0.12,0.2,0.32
64,8.56085,0.02,0.12,0.16,0.26,0.36,0,0.1,0.18,0.28,0.38,0,0.08,0.18,0.26,0.34,0,0.08,0.14,0.26,0.36,0,0.06,0.16,0.2,0.3
65,8.85861,0.02,0.12,0.16,0.26,0.34,0.02,0.1,0.16,0.28,0.38,0,0.08,0.18,0.26,0.34,0,0.08,0.14,0.24,0.36,0,0.06,0.16,0.22,0.3
66,9.16509,0.02,0.12,0.18,0.26,0.34,0.02,0.12,0.16,0.26,0.38,0,0.08,0.18,0.26,0.34,0,0.1,0.14,0.24,0.34,0,0.06,0.16,0.24,0.32
67,9.48056,0.02,0.12,0.18,0.26,0.34,0.02,0.12,0.16,0.26,0.36,0,0.08,0.18,0.28,0.36,0,0.1,0.14,0.24,0.34,0,0.04,0.16,0.24,0.32
68,9.80527,0.02,0.12,0.18,0.26,0.34,0.04,0.12,0.16,0.26,0.36,0,0.08,0.18,0.28,0.36,0,0.1,0.14,0.22,0.32,0,0.04,0.16,0.26,0.34
69,10.1395,0.02,0.12,0.18,0.26,0.34,0.04,0.14,0.16,0.26,0.36,0,0.08,0.18,0.28,0.36,0,0.1,0.18,0.22,0.32,0,0.06,0.16,0.26,0.34
70,10.4835,0.02,0.12,0.18,0.28,0.34,0.04,0.14,0.16,0.26,0.36,0,0.1,0.18,0.28,0.36,0,0.1,0.2,0.24,0.32,0,0.06,0.16,0.26,0.36
71,10.8376,0.02,0.1,0.2,0.28,0.34,0.04,0.12,0.16,0.24,0.34,0,0.1,0.18,0.28,0.38,0,0.08,0.18,0.24,0.32,0,0.08,0.14,0.24,0.36
72,11.2021,0.02,0.1,0.2,0.28,0.34,0.02,0.12,0.16,0.24,0.34,0.02,0.1,0.16,0.26,0.36,0,0.08,0.18,0.26,0.32,0,0.08,0.14,0.24,0.34
73,11.5773,0.02,0.1,0.2,0.28,0.34,0.02,0.12,0.18,0.24,0.34,0.02,0.12,0.16,0.26,0.36,0,0.08,0.18,0.26,0.34,0,0.1,0.14,0.24,0.34
74,11.9634,0.02,0.1,0.2,0.28,0.34,0.02,0.12,0.16,0.24,0.34,0.02,0.12,0.16,0.26,0.36,0,0.08,0.18,0.26,0.34,0,0.1,0.14,0.22,0.34
75,12.3609,0.02,0.1,0.2,0.28,0.36,0.02,0.12,0.18,0.24,0.34,0.04,0.12,0.16,0.26,0.36,0,0.08,0.18,0.26,0.34,0,0.1,0.14,0.22,0.32
76,12.77,0.02,0.1,0.2,0.28,0.36,0.02,0.12,0.18,0.26,0.34,0.04,0.12,0.16,0.26,0.34,0,0.08,0.18,0.28,0.36,0,0.1,0.16,0.22,0.32
77,13.1911,0.02,0.1,0.2,0.28,0.36,0.02,0.12,0.18,0.26,0.34,0.04,0.12,0.14,0.24,0.34,0,0.08,0.18,0.28,0.36,0,0.1,0.18,0.22,0.32
78,13.6246,0.02,0.1,0.2,0.3,0.36,0.02,0.1,0.18,0.26,0.34,0.04,0.12,0.14,0.24,0.34,0,0.1,0.18,0.26,0.36,0,0.08,0.18,0.24,0.32
