gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
74,2.15235,1.11827,1.11827,1.11827,1.11827,1.11827,1.11827,1.11827
75,2.19582,1.14085,1.14085,1.14085,1.14085,1.14085,1.14085,1.14085
76,2.2398,1.16369,1.16369,1.16369,1.16369,1.16369,1.16369,1.16369
77,2.28428,1.1868,1.1868,1.1868,1.1868,1.1868,1.1868,1.1868
78,2.32928,1.21017,1.21017,1.21017,1.21017,1.21017,1.21017,1.21017
79,2.37481,1.23382,1.23382,1.23382,1.23382,1.23382,1.23382,1.23382
80,2.42085,1.25773,1.25773,1.25774,1.25773,1.25774,1.25773,1.25773
81,2.46744,1.28193,1.28193,1.28193,1.28193,1.28193,1.28193,1.28193
82,2.51456,1.30641,1.30641,1.30641,1.30641,1.30641,1.30641,1.30641
83,2.56223,1.33117,1.33117,1.33117,1.33117,1.33117,1.33117,1.33117
84,2.61045,1.35621,1.35621,1.35621,1.35621,1.35621,1.35621,1.35621
85,2.65923,1.38155,1.38155,1.38155,1.38155,1.38155,1.38155,1.38155
86,2.70857,1.40718,1.40718,1.40718,1.40718,1.40718,1.40718,1.40718
87,2.75849,1.43311,1.43311,1.43311,1.43311,1.43311,1.43311,1.43311
88,2.80898,1.45934,1.45933,1.45934,1.45934,1.45934,1.45933,1.45934
89,2.86006,1.48587,1.48587,1.48587,1.48587,1.48587,1.48587,1.48587
90,2.91173,1.51271,1.51271,1.51271,1.51271,1.51271,1.51271,1.51271
91,2.964,1.53986,1.53986,1.53986,1.53986,1.53986,1.53986,1.53986
92,3.01688,1.56732,1.56732,1.56732,1.56732,1.56732,1.56732,1.56732
93,3.07036,1.5951,1.5951,1.5951,1.5951,1.5951,1.5951,1.5951
94,3.12447,1.62321,1.62321,1.62321,1.62321,1.62321,1.62321,1.62321
95,3.1792,1.65164,1.65164,1.65164,1.65164,1.65164,1.65164,1.65164
96,3.23457,1.6804,1.6804,1.6804,1.6804,1.6804,1.6804,1.6804
97,3.29058,1.70949,1.70949,1.70949,1.70949,1.70949,1.70949,1.70949
98,3.34724,1.73892,1.73892,1.73892,1.73892,1.73892,1.73892,1.73892
99,3.40456,1.76869,1.76869,1.76869,1.76869,1.76869,1.76869,1.76869
100,3.46253,1.79881,1.79881,1.79881,1.79881,1.79881,1.79881,1.79881
101,3.52119,1.82927,1.82927,1.82927,1.82927,1.82927,1.82927,1.82927
102,3.58052,1.86009,1.86009,1.86009,1.86009,1.86009,1.86009,1.86009
103,3.64053,1.89127,1.89127,1.89127,1.89127,1.89127,1.89127,1.89127
104,3.70125,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228,1.9228
105,3.76266,1.95471,1.95471,1.95471,1.95471,1.95471,1.95471,1.95471
106,3.82479,1.98698,1.98698,1.98698,1.98698,1.98698,1.98698,1.98698
107,3.88764,2.01962,2.01962,2.01962,2.01962,2.01962,2.01962,2.01962
108,3.95121,2.05265,2.05265,2.05265,2.05265,2.05265,2.05265,2.05265
109,4.01552,2.08605,2.08605,2.08605,2.08605,2.08605,2.08605,2.08605
110,4.08058,2.11984,2.11984,2.11984,2.11984,2.11984,2.11984,2.11984
111,4.14639,2.15403,2.15403,2.15403,2.15403,2.15403,2.15403,2.15403
112,4.21297,2.18861,2.18861,2.18861,2.18861,2.18861,2.18861,2.18861
113,4.28031,2.22359,2.22359,2.22359,2.22359,2.22359,2.22359,2.22359
114,4.34843,2.25898,2.25898,2.25898,2.25898,2.25898,2.25898,2.25898
115,4.41735,2.29477,2.29477,2.29477,2.29477,2.29477,2.29477,2.29477
116,4.48706,2.33099,2.33099,2.33099,2.33099,2.33099,2.33099,2.33099
117,4.55758,2.36762,2.36762,2.36762,2.36762,2.36762,2.36762,2.36762
118,4.62892,2.40467,2.40467,2.40467,2.40467,2.40467,2.40467,2.40467
119,4.70108,2.44216,2.44216,2.44216,2.44216,2.44216,2.44216,2.44216
120,4.77408,2.48008,2.48007,2.48008,2.48008,2.48008,2.48007,2.48008
121,4.84793,2.51843,2.51843,2.51843,2.51843,2.51843,2.51843,2.51843
122,4.92263,2.55724,2.55724,2.55724,2.55724,2.55724,2.55724,2.55724
123,4.99819,2.59649,2.59649,2.59649,2.59649,2.59649,2.59649,2.59649
124,5.07463,2.6362,2.63619,2.6362,2.6362,2.6362,2.63619,2.6362
125,5.15196,2.67636,2.67636,2.67636,2.67636,2.67636,2.67636,2.67636
126,5.23019,2.71699,2.71699,2.71699,2.71699,2.71699,2.71699,2.71699
127,5.30931,2.7581,2.7581,2.7581,2.7581,2.7581,2.7581,2.7581
128,5.38936,2.79968,2.79968,2.79968,2.79968,2.79968,2.79968,2.79968
129,5.47033,2.84174,2.84174,2.84174,2.84174,2.84174,2.84174,2.84174
130,5.55225,2.88429,2.88429,2.88429,2.88429,2.88429,2.88429,2.88429
131,5.63511,2.92733,2.92733,2.92733,2.92733,2.92733,2.92733,2.92733
132,5.71893,2.97087,2.97087,2.97087,2.97087,2.97087,2.97087,2.97087
133,5.80372,3.01491,3.01491,3.01491,3.01491,3.01491,3.01491,3.01491
134,5.88949,3.05947,3.05947,3.05947,3.05947,3.05947,3.05947,3.05947
135,5.97626,3.10454,3.10454,3.10454,3.10454,3.10454,3.10454,3.10454
136,6.06403,3.15013,3.15013,3.15013,3.15013,3.15013,3.15013,3.15013
137,6.15282,3.19625,3.19625,3.19625,3.19625,3.19625,3.19625,3.19625
138,6.24264,3.24291,3.24291,3.24291,3.24291,3.24291,3.24291,3.24291
139,6.3335,3.2901,3.2901,3.2901,3.2901,3.2901,3.2901,3.2901
140,6.42541,3.33785,3.33785,3.33785,3.33785,3.33785,3.33785,3.33785
141,6.51839,3.38614,3.38614,3.38614,3.38614,3.38614,3.38614,3.38614
142,6.61244,3.435,3.435,3.435,3.435,3.435,3.435,3.435
143,6.70758,3.48442,3.48442,3.48442,3.48442,3.48442,3.48442,3.48442
144,6.80383,3.53441,3.53441,3.53441,3.53441,3.53441,3.53441,3.53441
145,6.90119,3.58499,3.58499,3.58499,3.58499,3.58499,3.58499,3.58499
146,6.99968,3.63615,3.63614,3.63615,3.63615,3.63615,3.63614,3.63615
147,7.0993,3.6879,3.6879,3.6879,3.6879,3.6879,3.6879,3.6879
148,7.20009,3.74025,3.74025,3.74025,3.74025,3.74025,3.74025,3.74025
149,7.30204,3.79321,3.79321,3.79321,3.79321,3.79321,3.79321,3.79321
150,7.40517,3.84678,3.84678,3.84678,3.84678,3.84678,3.84678,3.84678
151,7.5095,3.90097,3.90097,3.90097,3.90097,3.90097,3.90097,3.90097
152,7.61503,3.95579,3.95579,3.95579,3.95579,3.95579,3.95579,3.95579
153,7.72179,4.01125,4.01125,4.01125,4.01125,4.01125,4.01125,4.01125
154,7.82979,4.06734,4.06734,4.06734,4.06734,4.06734,4.06734,4.06734
155,7.93903,4.12409,4.12409,4.12409,4.12409,4.12409,4.12409,4.12409
156,8.04955,4.1815,4.1815,4.1815,4.1815,4.1815,4.1815,4.1815
157,8.16134,4.23957,4.23957,4.23957,4.23957,4.23957,4.23957,4.23957
158,8.27443,4.29831,4.29831,4.29831,4.29831,4.29831,4.29831,4.29831
159,8.38882,4.35773,4.35773,4.35773,4.35773,4.35773,4.35773,4.35773
160,8.50455,4.41784,4.41784,4.41785,4.41784,4.41785,4.41784,4.41784
161,8.62161,4.47865,4.47865,4.47865,4.47865,4.47865,4.47865,4.47865
162,8.74003,4.54017,4.54016,4.54017,4.54017,4.54017,4.54016,4.54017
163,8.85982,4.60239,4.60239,4.60239,4.60239,4.60239,4.60239,4.60239
164,8.981,4.66534,4.66534,4.66534,4.66534,4.66534,4.66534,4.66534
165,9.10358,4.72901,4.72901,4.72901,4.72901,4.72901,4.72901,4.72901
166,9.22759,4.79343,4.79343,4.79343,4.79343,4.79343,4.79343,4.79343
167,9.35303,4.85859,4.85858,4.85859,4.85859,4.85859,4.85858,4.85859
168,9.47992,4.9245,4.9245,4.9245,4.9245,4.9245,4.9245,4.9245
169,9.60828,4.99118,4.99118,4.99118,4.99118,4.99118,4.99118,4.99118
170,9.73813,5.05863,5.05863,5.05863,5.05863,5.05863,5.05863,5.05863
171,9.86949,5.12686,5.12686,5.12686,5.12686,5.12686,5.12686,5.12686
172,10.0024,5.19588,5.19588,5.19588,5.19588,5.19588,5.19588,5.19588
173,10.1368,5.2657,5.2657,5.26571,5.2657,5.26571,5.2657,5.2657
174,10.2728,5.33634,5.33633,5.33634,5.33634,5.33634,5.33633,5.33634
175,10.4103,5.40779,5.40778,5.40779,5.40779,5.40779,5.40778,5.40779
176,10.5494,5.48006,5.48006,5.48006,5.48006,5.48006,5.48006,5.48006
177,10.6902,5.55318,5.55318,5.55318,5.55318,5.55318,5.55318,5.55318
178,10.8326,5.62714,5.62714,5.62714,5.62714,5.62714,5.62714,5.62714
179,10.9766,5.70196,5.70196,5.70196,5.70196,5.70196,5.70196,5.70196
180,11.1223,5.77764,5.77764,5.77764,5.77764,5.77764,5.77764,5.77764
181,11.2697,5.8542,5.8542,5.8542,5.8542,5.8542,5.8542,5.8542
182,11.4188,5.93165,5.93165,5.93165,5.93165,5.93165,5.93165,5.93165
183,11.5696,6.01,6.01,6.01,6.01,6.01,6.01,6.01
184,11.7222,6.08925,6.08925,6.08925,6.08925,6.08925,6.08925,6.08925
185,11.8766,6.16942,6.16942,6.16943,6.16942,6.16943,6.16942,6.16942
186,12.0327,6.25053,6.25052,6.25053,6.25053,6.25053,6.25052,6.25053
187,12.1906,6.33257,6.33257,6.33257,6.33257,6.33257,6.33257,6.33257
188,12.3504,6.41556,6.41556,6.41556,6.41556,6.41556,6.41556,6.41556
189,12.512,6.49951,6.49951,6.49951,6.49951,6.49951,6.49951,6.49951
190,12.6755,6.58443,6.58443,6.58444,6.58443,6.58444,6.58443,6.58443
191,12.8409,6.67034,6.67034,6.67034,6.67034,6.67034,6.67034,6.67034
192,13.0082,6.75725,6.75725,6.75725,6.75725,6.75725,6.75725,6.75725
193,13.1774,6.84516,6.84516,6.84516,6.84516,6.84516,6.84516,6.84516
194,13.3486,6.93409,6.93409,6.93409,6.93409,6.93409,6.93409,6.93409
195,13.5218,7.02405,7.02405,7.02405,7.02405,7.02405,7.02405,7.02405
196,13.697,7.11505,7.11505,7.11505,7.11505,7.11505,7.11505,7.11505
197,13.8742,7.20711,7.2071,7.20711,7.20711,7.20711,7.2071,7.20711
198,14.0535,7.30023,7.30023,7.30023,7.30023,7.30023,7.30023,7.30023
199,14.2348,7.39443,7.39443,7.39443,7.39443,7.39443,7.39443,7.39443
200,14.4183,7.48972,7.48972,7.48972,7.48972,7.48972,7.48972,7.48972
201,14.6039,7.58612,7.58612,7.58612,7.58612,7.58612,7.58612,7.58612
202,14.7916,7.68363,7.68363,7.68364,7.68363,7.68364,7.68363,7.68363
203,14.9815,7.78228,7.78228,7.78228,7.78228,7.78228,7.78228,7.78228
204,15.1736,7.88206,7.88206,7.88207,7.88206,7.88207,7.88206,7.88206
205,15.3679,7.98301,7.983,7.98301,7.98301,7.98301,7.983,7.98301
206,15.5645,8.08512,8.08512,8.08512,8.08512,8.08512,8.08512,8.08512
207,15.7633,8.18841,8.18841,8.18841,8.18841,8.18841,8.18841,8.18841
208,15.9645,8.2929,8.2929,8.29291,8.2929,8.29291,8.2929,8.2929
209,16.168,8.39861,8.3986,8.39861,8.39861,8.39861,8.3986,8.39861
210,16.3738,8.50553,8.50553,8.50553,8.50553,8.50553,8.50553,8.50553
211,16.5821,8.6137,8.6137,8.6137,8.6137,8.6137,8.6137,8.6137
212,16.7927,8.72312,8.72312,8.72312,8.72312,8.72312,8.72312,8.72312
213,17.0058,8.8338,8.8338,8.8338,8.8338,8.8338,8.8338,8.8338
214,17.2213,8.94577,8.94577,8.94577,8.94577,8.94577,8.94577,8.94577
215,17.4394,9.05904,9.05904,9.05904,9.05904,9.05904,9.05904,9.05904
216,17.66,9.17361,9.17361,9.17362,9.17361,9.17362,9.17361,9.17361
217,17.8831,9.28952,9.28952,9.28952,9.28952,9.28952,9.28952,9.28952
218,18.1088,9.40677,9.40677,9.40677,9.40677,9.40677,9.40677,9.40677
219,18.3372,9.52537,9.52537,9.52538,9.52537,9.52538,9.52537,9.52537
