gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
180,11.1223,-3.73154,-3.73154,-3.73154,-3.73154,-3.73154,-3.73154,-3.73154,-3.71771,-3.71771,-3.71771,-3.71771,-3.71771,-3.71771,-3.71771,-3.70409,-3.70409,-3.70409,-3.70409,-3.70409,-3.70409,-3.70409,-3.69047,-3.69047,-3.69047,-3.69047,-3.69047,-3.69047,-3.69047,-3.67689,-3.67689,-3.67689,-3.67689,-3.67689,-3.67689,-3.67689,-3.66351,-3.66351,-3.66351,-3.66351,-3.66351,-3.66351,-3.66351,-3.65013,-3.65013,-3.65013,-3.65013,-3.65013,-3.65013,-3.65013
181,11.2697,-3.68964,-3.68964,-3.68964,-3.68964,-3.68964,-3.68964,-3.68964,-3.6762,-3.6762,-3.6762,-3.6762,-3.6762,-3.6762,-3.6762,-3.66294,-3.66294,-3.66294,-3.66294,-3.66294,-3.66294,-3.66294,-3.64968,-3.64968,-3.64968,-3.64968,-3.64968,-3.64968,-3.64968,-3.63647,-3.63647,-3.63647,-3.63647,-3.63647,-3.63647,-3.63647,-3.62345,-3.62345,-3.62345,-3.62345,-3.62345,-3.62345,-3.62345,-3.61042,-3.61042,-3.61042,-3.61042,-3.61042,-3.61042,-3.61042
182,11.4188,-3.64801,-3.64801,-3.64801,-3.64801,-3.64801,-3.64801,-3.64801,-3.63496,-3.63496,-3.63496,-3.63496,-3.63496,-3.63496,-3.63496,-3.62206,-3.62206,-3.62206,-3.62206,-3.62206,-3.62206,-3.62206,-3.60916,-3.60916,-3.60916,-3.60916,-3.60916,-3.60916,-3.60916,-3.59632,-3.59632,-3.59632,-3.59632,-3.59632,-3.59632,-3.59632,-3.58364,-3.58364,-3.58364,-3.58364,-3.58364,-3.58364,-3.58364,-3.57097,-3.57097,-3.57097,-3.57097,-3.57097,-3.57097,-3.57097
183,11.5696,-3.60755,-3.60755,-3.60755,-3.60755,-3.60755,-3.60755,-3.60755,-3.59457,-3.59457,-3.59457,-3.59457,-3.59457,-3.59457,-3.59457,-3.58173,-3.58173,-3.58173,-3.58173,-3.58173,-3.58173,-3.58173,-3.56889,-3.56889,-3.56889,-3.56889,-3.56889,-3.56889,-3.56889,-3.55612,-3.55612,-3.55612,-3.55612,-3.55612,-3.55612,-3.55612,-3.54351,-3.54351,-3.54351,-3.54351,-3.54351,-3.54351,-3.54351,-3.5309,-3.5309,-3.5309,-3.5309,-3.5309,-3.5309,-3.5309
184,11.7222,-3.56736,-3.56736,-3.56736,-3.56736,-3.56736,-3.56736,-3.56736,-3.55445,-3.55445,-3.55445,-3.55445,-3.55445,-3.55445,-3.55445,-3.54167,-3.54167,-3.54167,-3.54167,-3.54167,-3.54167,-3.54167,-3.52889,-3.52889,-3.52889,-3.52889,-3.52889,-3.52889,-3.52889,-3.51619,-3.51619,-3.51619,-3.51619,-3.51619,-3.51619,-3.51619,-3.50364,-3.50364,-3.50364,-3.50364,-3.50364,-3.50364,-3.50364,-3.49109,-3.49109,-3.49109,-3.49109,-3.49109,-3.49109,-3.49109
185,11.8766,-3.52743,-3.52743,-3.52743,-3.52743,-3.52743,-3.52743,-3.52743,-3.51459,-3.51459,-3.51459,-3.51459,-3.51459,-3.51459,-3.51459,-3.50187,-3.50187,-3.50187,-3.50187,-3.50187,-3.50187,-3.50187,-3.48915,-3.48915,-3.48915,-3.48915,-3.48915,-3.48915,-3.48915,-3.47653,-3.47653,-3.47653,-3.47653,-3.47653,-3.47653,-3.47653,-3.46403,-3.46403,-3.46403,-3.46403,-3.46403,-3.46403,-3.46403,-3.45154,-3.45154,-3.45154,-3.45154,-3.45154,-3.45154,-3.45154
186,12.0327,-3.48686,-3.48686,-3.48686,-3.48686,-3.48686,-3.48686,-3.48686,-3.47441,-3.47441,-3.47441,-3.47441,-3.47441,-3.47441,-3.47441,-3.46204,-3.46204,-3.46204,-3.46204,-3.46204,-3.46204,-3.46204,-3.44968,-3.44968,-3.44968,-3.44968,-3.44968,-3.44968,-3.44968,-3.43742,-3.43742,-3.43742,-3.43742,-3.43742,-3.43742,-3.43742,-3.42527,-3.42527,-3.42527,-3.42527,-3.42527,-3.42527,-3.42527,-3.41313,-3.41313,-3.41313,-3.41313,-3.41313,-3.41313,-3.41313
187,12.1906,-3.44657,-3.44657,-3.44657,-3.44657,-3.44657,-3.44657,-3.44657,-3.43449,-3.43449,-3.43449,-3.43449,-3.43449,-3.43449,-3.43449,-3.42248,-3.42248,-3.42248,-3.42248,-3.42248,-3.42248,-3.42248,-3.41048,-3.41048,-3.41048,-3.41048,-3.41048,-3.41048,-3.41048,-3.39857,-3.39857,-3.39857,-3.39857,-3.39857,-3.39857,-3.39857,-3.38678,-3.38678,-3.38678,-3.38678,-3.38678,-3.38678,-3.38678,-3.37498,-3.37498,-3.37498,-3.37498,-3.37498,-3.37498,-3.37498
188,12.3504,-3.40744,-3.40744,-3.40744,-3.40744,-3.40744,-3.40744,-3.40744,-3.39543,-3.39543,-3.39543,-3.39543,-3.39543,-3.39543,-3.39543,-3.38348,-3.38348,-3.38348,-3.38348,-3.38348,-3.38348,-3.38348,-3.37153,-3.37153,-3.37153,-3.37153,-3.37153,-3.37153,-3.37153,-3.3597,-3.3597,-3.3597,-3.3597,-3.3597,-3.3597,-3.3597,-3.34797,-3.34797,-3.34797,-3.34797,-3.34797,-3.34797,-3.34797,-3.33623,-3.33623,-3.33623,-3.33623,-3.33623,-3.33623,-3.33623
189,12.512,-3.36857,-3.36857,-3.36857,-3.36857,-3.36857,-3.36857,-3.36857,-3.35663,-3.35663,-3.35663,-3.35663,-3.35663,-3.35663,-3.35663,-3.34475,-3.34475,-3.34475,-3.34475,-3.34475,-3.34475,-3.34475,-3.33286,-3.33286,-3.33286,-3.33286,-3.33286,-3.33286,-3.33286,-3.3211,-3.3211,-3.3211,-3.3211,-3.3211,-3.3211,-3.3211,-3.30942,-3.30942,-3.30942,-3.30942,-3.30942,-3.30942,-3.30942,-3.29775,-3.29775,-3.29775,-3.29775,-3.29775,-3.29775,-3.29775
