gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
246,25.6101,-1.40315,-1.37349,-1.34467,-1.31674,-1.28953,-1.26302,-1.23717
247,25.9253,-1.37294,-1.34389,-1.31565,-1.28829,-1.26163,-1.23566,-1.21034
248,26.2442,-1.34337,-1.3149,-1.28724,-1.26044,-1.23432,-1.20888,-1.18408
249,26.5668,-1.31442,-1.28653,-1.25943,-1.23317,-1.20759,-1.18266,-1.15838
250,26.8931,-1.28608,-1.25875,-1.2322,-1.20648,-1.18142,-1.15701,-1.13322
251,27.2232,-1.25833,-1.23156,-1.20555,-1.18035,-1.1558,-1.13189,-1.10859
252,27.5571,-1.23116,-1.20493,-1.17945,-1.15477,-1.13073,-1.1073,-1.08448
253,27.8949,-1.20456,-1.17887,-1.15391,-1.12973,-1.10618,-1.08324,-1.06089
254,28.2366,-1.17852,-1.15336,-1.12891,-1.10522,-1.08216,-1.05969,-1.0378
255,28.5823,-1.15303,-1.12838,-1.10443,-1.08123,-1.05864,-1.03664,-1.0152
256,28.932,-1.12808,-1.10393,-1.08048,-1.05775,-1.03563,-1.01407,-0.99308
257,29.2857,-1.10365,-1.08,-1.05703,-1.03477,-1.0131,-0.991992,-0.971432
258,29.6435,-1.07974,-1.05657,-1.03407,-1.01227,-0.991051,-0.97038,-0.950245
259,30.0055,-1.05633,-1.03364,-1.0116,-0.990255,-0.969471,-0.949228,-0.92951
260,30.3716,-1.03342,-1.0112,-0.989612,-0.968705,-0.94835,-0.928526,-0.909219
261,30.742,-1.011,-0.989228,-0.968088,-0.947613,-0.92768,-0.908267,-0.88936
262,31.1167,-0.989044,-0.967725,-0.947021,-0.926969,-0.90745,-0.88844,-0.869927
263,31.4958,-0.967557,-0.946678,-0.926403,-0.906766,-0.887651,-0.869036,-0.850909
264,31.8792,-0.946526,-0.926078,-0.906223,-0.886993,-0.868275,-0.850048,-0.832298
265,32.267,-0.925941,-0.905917,-0.886472,-0.867641,-0.849313,-0.831465,-0.814086
266,32.6594,-0.905794,-0.886184,-0.867143,-0.848703,-0.830756,-0.813281,-0.796265
