gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
10,0.195332,-45.8476,-45.8478,-45.848,-45.8481,-45.8483,-45.8484,-45.8486,-44.0571,-44.0572,-44.0573,-44.0573,-44.0574,-44.0575,-44.0576,-42.3198,-42.3199,-42.32,-42.3199,-42.32,-42.32,-42.32,-40.5885,-40.5885,-40.5885,-40.5885,-40.5885,-40.5885,-40.5885,-38.848,-38.8421,-38.8372,-38.8322,-38.8276,-38.8242,-38.8211,-37.053,-37.0467,-37.0404,-37.034,-37.028,-37.0219,-37.02,-35.2038,-35.1948,-35.1884,-35.1824,-35.1771,-35.1716,-35.1661
11,0.216131,-45.2226,-45.2227,-45.2229,-45.2229,-45.2231,-45.2232,-45.2233,-43.545,-43.545,-43.5451,-43.5451,-43.5453,-43.5453,-43.5453,-41.8786,-41.8786,-41.8787,-41.8787,-41.8787,-41.8787,-41.8788,-40.2032,-40.2032,-40.2033,-40.2032,-40.2032,-40.2032,-40.2032,-38.5138,-38.5065,-38.5009,-38.4958,-38.4909,-38.4879,-38.4849,-36.7621,-36.7544,-36.7476,-36.7407,-36.7343,-36.7301,-36.7265,-34.9493,-34.9398,-34.9318,-34.9243,-34.9185,-34.9126,-34.9075
12,0.237172,-44.6343,-44.6343,-44.6344,-44.6344,-44.6346,-44.6346,-44.6347,-43.0449,-43.045,-43.0451,-43.0451,-43.0452,-43.0452,-43.0453,-41.4468,-41.4469,-41.4469,-41.4469,-41.447,-41.4469,-41.447,-39.8249,-39.8249,-39.8249,-39.8249,-39.8249,-39.8249,-39.8249,-38.1677,-38.1666,-38.1681,-38.1645,-38.1599,-38.156,-38.1528,-36.453,-36.4596,-36.4552,-36.4501,-36.4454,-36.4406,-36.4358,-34.6825,-34.682,-34.6755,-34.669,-34.6629,-34.6595,-34.6556
13,0.258456,-44.0863,-44.0864,-44.0865,-44.0865,-44.0867,-44.0867,-44.0868,-42.5626,-42.5626,-42.5627,-42.5626,-42.5627,-42.5627,-42.5628,-41.0251,-41.0251,-41.0252,-41.0251,-41.0252,-41.0252,-41.0252,-39.4553,-39.4553,-39.4554,-39.4553,-39.4554,-39.4553,-39.4553,-37.8606,-37.8518,-37.8449,-37.8387,-37.833,-37.8287,-37.8248,-36.1852,-36.1775,-36.1698,-36.1619,-36.1543,-36.1472,-36.1448,-34.4424,-34.4335,-34.4242,-34.4155,-34.4084,-34.4018,-34.3949
14,0.279986,-43.5491,-43.5491,-43.5493,-43.5493,-43.5494,-43.5495,-43.5496,-42.0952,-42.0953,-42.0954,-42.0953,-42.0954,-42.0954,-42.0955,-40.6131,-40.6131,-40.6132,-40.6131,-40.6132,-40.6132,-40.6132,-39.0919,-39.0919,-39.092,-39.0919,-39.092,-39.0919,-39.0919,-37.5377,-37.53,-37.5232,-37.517,-37.5118,-37.5065,-37.5037,-35.9009,-35.8927,-35.8846,-35.8763,-35.8686,-35.8635,-35.8603,-34.192,-34.1825,-34.1727,-34.1635,-34.156,-34.149,-34.1417
15,0.301766,-43.0364,-43.0365,-43.0366,-43.0366,-43.0367,-43.0367,-43.0368,-41.6386,-41.6386,-41.6386,-41.6386,-41.6387,-41.6387,-41.6387,-40.2101,-40.2101,-40.2102,-40.2101,-40.2102,-40.2102,-40.2102,-38.7348,-38.7348,-38.7348,-38.7347,-38.7348,-38.7348,-38.7348,-37.2221,-37.2127,-37.206,-37.1991,-37.1932,-37.1881,-37.1838,-35.619,-35.6104,-35.6018,-35.5931,-35.585,-35.5767,-35.5741,-33.944,-33.933,-33.923,-33.9129,-33.905,-33.8976,-33.8899
16,0.323799,-42.5381,-42.5382,-42.5383,-42.5382,-42.5384,-42.5384,-42.5385,-41.1953,-41.1953,-41.1954,-41.1953,-41.1954,-41.1954,-41.1954,-39.8162,-39.8162,-39.8162,-39.8162,-39.8162,-39.8162,-39.8162,-38.383,-38.383,-38.3831,-38.383,-38.3831,-38.383,-38.383,-36.9088,-36.899,-36.8915,-36.8847,-36.8799,-36.8759,-36.8728,-35.3413,-35.3308,-35.3216,-35.3123,-35.3052,-35.3004,-35.2981,-33.6984,-33.6846,-33.6728,-33.6636,-33.656,-33.651,-33.6447
17,0.346087,-42.0527,-42.0528,-42.0528,-42.0528,-42.0529,-42.0529,-42.053,-40.763,-40.7631,-40.7631,-40.7631,-40.7632,-40.7631,-40.7632,-39.4289,-39.4289,-39.429,-39.4289,-39.429,-39.4289,-39.4289,-38.0364,-38.0364,-38.0364,-38.0364,-38.0364,-38.0364,-38.0364,-36.5947,-36.5877,-36.5808,-36.5738,-36.5679,-36.5627,-36.5586,-35.0626,-35.0534,-35.0442,-35.0349,-35.0274,-35.0215,-35.0161,-33.4409,-33.4327,-33.4245,-33.4162,-33.4081,-33.3998,-33.3916
18,0.368632,-41.5837,-41.5837,-41.5838,-41.5838,-41.5839,-41.5839,-41.5839,-40.3429,-40.343,-40.343,-40.343,-40.3431,-40.3431,-40.3431,-39.0499,-39.0499,-39.0499,-39.0499,-39.05,-39.0499,-39.05,-37.6946,-37.6946,-37.6946,-37.6946,-37.6946,-37.6946,-37.6946,-36.2735,-36.2711,-36.2701,-36.2662,-36.262,-36.2576,-36.2533,-34.7714,-34.7675,-34.764,-34.7596,-34.754,-34.7483,-34.7426,-33.1826,-33.1802,-33.176,-33.1708,-33.165,-33.1592,-33.1533
19,0.391439,-41.1282,-41.1283,-41.1283,-41.1283,-41.1284,-41.1284,-41.1284,-39.9317,-39.9317,-39.9317,-39.9317,-39.9318,-39.9318,-39.9318,-38.6777,-38.6777,-38.6778,-38.6777,-38.6778,-38.6778,-38.6778,-37.3574,-37.3574,-37.3575,-37.3574,-37.3575,-37.3574,-37.3574,-35.9843,-35.9768,-35.9694,-35.9619,-35.956,-35.9509,-35.9455,-34.5177,-34.5073,-34.4965,-34.4865,-34.4784,-34.473,-34.4675,-32.9619,-32.9469,-32.9364,-32.9266,-32.9173,-32.9088,-32.8999
