gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-22.6504,-22.6504,-22.6504,-21.8346,-21.8346,-21.8346,-21.0253,-21.0253,-21.0253,-20.2295,-20.2295,-20.2295,-19.4486,-19.4486,-19.4486
1,0.0468873,-22.5142,-22.5142,-22.5142,-21.7382,-21.7382,-21.7382,-20.9549,-20.9549,-20.9549,-20.174,-20.174,-20.1738,-19.4033,-19.4033,-19.4031
2,0.0951487,-22.3895,-22.3895,-22.3895,-21.6468,-21.6468,-21.6468,-20.8854,-20.8854,-20.8854,-20.1188,-20.1188,-20.1185,-19.3576,-19.3576,-19.3572
3,0.144824,-22.2728,-22.2728,-22.2728,-21.5585,-21.5585,-21.5585,-20.8171,-20.8171,-20.8167,-20.0632,-20.0632,-20.0625,-19.3117,-19.3117,-19.3108
4,0.195956,-22.1623,-22.1623,-22.1622,-21.4727,-21.4727,-21.4722,-20.7489,-20.7489,-20.7482,-20.0075,-20.0075,-20.0062,-19.2652,-19.2652,-19.264
5,0.248585,-22.0567,-22.0567,-22.056,-21.3891,-21.389,-21.3882,-20.6807,-20.6807,-20.6793,-19.9513,-19.9512,-19.9495,-19.2184,-19.2183,-19.2167
6,0.302757,-21.955,-21.9549,-21.9532,-21.3061,-21.3061,-21.3043,-20.6127,-20.6124,-20.6103,-19.8948,-19.8944,-19.8922,-19.1711,-19.1709,-19.1688
7,0.358517,-21.855,-21.855,-21.8522,-21.2237,-21.2235,-21.221,-20.5445,-20.5441,-20.5412,-19.8379,-19.8375,-19.8347,-19.1233,-19.123,-19.1206
8,0.41591,-21.757,-21.7562,-21.7529,-21.1419,-21.1409,-21.1376,-20.476,-20.4752,-20.4717,-19.7805,-19.7798,-19.7766,-19.075,-19.0746,-19.0717
9,0.474986,-21.6602,-21.6587,-21.6544,-21.0605,-21.059,-21.0547,-20.4075,-20.4061,-20.4019,-19.7228,-19.7217,-19.7179,-19.0265,-19.0259,-19.0226
10,0.535792,-21.5644,-21.5623,-21.5571,-20.9791,-20.9769,-20.9719,-20.3387,-20.3369,-20.332,-19.6646,-19.6632,-19.659,-18.9771,-18.9763,-18.9727
11,0.598381,-21.4694,-21.4662,-21.4603,-20.8976,-20.8949,-20.8891,-20.2694,-20.2671,-20.2617,-19.6057,-19.6041,-19.5994,-18.9275,-18.9265,-18.9224
12,0.662804,-21.3751,-21.3713,-21.3642,-20.8161,-20.8128,-20.8064,-20.1997,-20.197,-20.1911,-19.5466,-19.5446,-19.5393,-18.8771,-18.8759,-18.8714
13,0.729114,-21.2812,-21.2765,-21.2688,-20.7346,-20.7306,-20.7233,-20.1298,-20.1266,-20.12,-19.4869,-19.4846,-19.4788,-18.8263,-18.8248,-18.8199
14,0.797368,-21.1874,-21.1823,-21.1736,-20.6528,-20.6485,-20.6404,-20.0594,-20.0559,-20.0488,-19.4265,-19.4238,-19.4177,-18.7748,-18.7732,-18.7678
15,0.867622,-21.0937,-21.0883,-21.0789,-20.5709,-20.566,-20.5574,-19.9884,-19.9845,-19.977,-19.3658,-19.3628,-19.356,-18.7228,-18.7208,-18.7151
16,0.939934,-21.0002,-20.9942,-20.9843,-20.4887,-20.4834,-20.4743,-19.9171,-19.9126,-19.9045,-19.3043,-19.3011,-19.2939,-18.67,-18.668,-18.6619
