gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
238,23.2245,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22
239,23.512,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22
240,23.8028,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22
241,24.097,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.22
242,24.3946,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.22
243,24.6956,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21
244,25.0002,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
245,25.3082,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
246,25.6198,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
247,25.9351,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
248,26.2539,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
249,26.5765,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
250,26.9028,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
251,27.2329,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
252,27.5668,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
253,27.9046,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
