gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
155,139.143,-6.75652,-6.75652,-6.75652,-6.75456,-6.74904,-6.74585,-6.74585,-6.74585,-6.74392,-6.73844,-6.73257,-6.73257,-6.73257,-6.73072,-6.72525,-6.71652,-6.71652,-6.71652,-6.7148,-6.70936,-6.69769,-6.69769,-6.69769,-6.69612,-6.69069
156,143.267,-6.67194,-6.67194,-6.67194,-6.67,-6.66455,-6.66167,-6.66167,-6.66167,-6.65975,-6.65435,-6.64888,-6.64888,-6.64888,-6.64705,-6.64165,-6.63344,-6.63344,-6.63344,-6.63173,-6.62635,-6.61531,-6.61531,-6.61531,-6.61374,-6.60838
157,147.512,-6.58814,-6.58814,-6.58814,-6.58622,-6.58084,-6.57825,-6.57825,-6.57825,-6.57636,-6.57102,-6.56595,-6.56595,-6.56595,-6.56413,-6.5588,-6.55108,-6.55108,-6.55108,-6.54938,-6.54407,-6.53363,-6.53363,-6.53363,-6.53206,-6.52677
158,151.882,-6.50512,-6.50512,-6.50512,-6.50322,-6.49791,-6.49561,-6.49561,-6.49561,-6.49374,-6.48846,-6.48377,-6.48377,-6.48377,-6.48196,-6.4767,-6.46946,-6.46946,-6.46946,-6.46776,-6.46252,-6.45266,-6.45266,-6.45266,-6.4511,-6.44587
159,156.38,-6.42289,-6.42289,-6.42289,-6.42101,-6.41577,-6.41374,-6.41374,-6.41374,-6.41188,-6.40668,-6.40234,-6.40234,-6.40234,-6.40055,-6.39536,-6.38857,-6.38857,-6.38857,-6.38689,-6.38171,-6.3724,-6.3724,-6.3724,-6.37086,-6.36568
160,161.009,-6.34144,-6.34144,-6.34144,-6.33959,-6.33441,-6.33264,-6.33264,-6.33264,-6.3308,-6.32566,-6.32168,-6.32168,-6.32168,-6.31989,-6.31478,-6.30843,-6.30843,-6.30843,-6.30675,-6.30164,-6.29286,-6.29286,-6.29286,-6.29133,-6.28621
161,165.774,-6.26079,-6.26079,-6.26079,-6.25895,-6.25384,-6.25231,-6.25231,-6.25231,-6.2505,-6.24542,-6.24177,-6.24177,-6.24177,-6.24,-6.23495,-6.22902,-6.22902,-6.22902,-6.22735,-6.2223,-6.21404,-6.21404,-6.21404,-6.21251,-6.20746
162,170.679,-6.18091,-6.18091,-6.18091,-6.1791,-6.17405,-6.17276,-6.17276,-6.17276,-6.17097,-6.16596,-6.16262,-6.16262,-6.16262,-6.16086,-6.15588,-6.15035,-6.15035,-6.15035,-6.1487,-6.14371,-6.13594,-6.13594,-6.13594,-6.13442,-6.12943
163,175.728,-6.10183,-6.10183,-6.10183,-6.10003,-6.09505,-6.09399,-6.09399,-6.09399,-6.09222,-6.08727,-6.08423,-6.08423,-6.08423,-6.08249,-6.07758,-6.07243,-6.07243,-6.07243,-6.07079,-6.06587,-6.05857,-6.05857,-6.05857,-6.05705,-6.05213
164,180.924,-6.02353,-6.02353,-6.02353,-6.02176,-6.01684,-6.016,-6.016,-6.016,-6.01424,-6.00935,-6.00661,-6.00661,-6.00661,-6.00488,-6.00003,-5.99526,-5.99526,-5.99526,-5.99362,-5.98877,-5.98193,-5.98193,-5.98193,-5.98041,-5.97556
165,186.273,-5.94603,-5.94603,-5.94603,-5.94427,-5.93941,-5.93878,-5.93878,-5.93878,-5.93704,-5.93221,-5.92975,-5.92975,-5.92975,-5.92804,-5.92325,-5.91884,-5.91884,-5.91884,-5.91721,-5.91242,-5.90601,-5.90601,-5.90601,-5.9045,-5.89971
166,191.779,-5.8693,-5.8693,-5.8693,-5.86757,-5.86276,-5.86233,-5.86233,-5.86233,-5.86062,-5.85584,-5.85365,-5.85365,-5.85365,-5.85196,-5.84723,-5.84316,-5.84316,-5.84316,-5.84154,-5.83682,-5.83082,-5.83082,-5.83082,-5.82932,-5.82459
167,197.446,-5.79337,-5.79337,-5.79337,-5.79165,-5.78691,-5.78667,-5.78667,-5.78667,-5.78497,-5.78025,-5.77832,-5.77832,-5.77832,-5.77665,-5.77197,-5.76823,-5.76823,-5.76823,-5.76662,-5.76196,-5.75636,-5.75636,-5.75636,-5.75487,-5.7502
168,203.279,-5.71822,-5.71822,-5.71822,-5.71652,-5.71184,-5.71178,-5.71178,-5.71178,-5.7101,-5.70544,-5.70375,-5.70375,-5.70375,-5.7021,-5.69747,-5.69405,-5.69405,-5.69405,-5.69246,-5.68785,-5.68264,-5.68264,-5.68264,-5.68115,-5.67654
169,209.282,-5.64385,-5.64385,-5.64385,-5.64217,-5.63755,-5.63766,-5.63766,-5.63766,-5.636,-5.6314,-5.62995,-5.62995,-5.62995,-5.62831,-5.62374,-5.62062,-5.62062,-5.62062,-5.61904,-5.61449,-5.60965,-5.60965,-5.60965,-5.60817,-5.60362
170,215.462,-5.57027,-5.57027,-5.57027,-5.56861,-5.56404,-5.56432,-5.56432,-5.56432,-5.56268,-5.55813,-5.5569,-5.5569,-5.5569,-5.55528,-5.55077,-5.54793,-5.54793,-5.54793,-5.54637,-5.54188,-5.53739,-5.53739,-5.53739,-5.53592,-5.53143
171,221.823,-5.49747,-5.49747,-5.49747,-5.49583,-5.49131,-5.49175,-5.49175,-5.49175,-5.49012,-5.48563,-5.48462,-5.48462,-5.48462,-5.48302,-5.47856,-5.476,-5.476,-5.476,-5.47444,-5.47001,-5.46586,-5.46586,-5.46586,-5.4644,-5.45996
172,228.37,-5.42544,-5.42544,-5.42544,-5.42382,-5.41936,-5.41995,-5.41995,-5.41995,-5.41834,-5.41391,-5.4131,-5.4131,-5.4131,-5.41151,-5.40711,-5.40481,-5.40481,-5.40481,-5.40327,-5.39889,-5.39506,-5.39506,-5.39506,-5.39361,-5.38923
173,235.11,-5.3542,-5.3542,-5.3542,-5.3526,-5.34819,-5.34892,-5.34892,-5.34892,-5.34733,-5.34295,-5.34233,-5.34233,-5.34233,-5.34077,-5.33641,-5.33437,-5.33437,-5.33437,-5.33284,-5.32851,-5.325,-5.325,-5.325,-5.32356,-5.31923
174,242.046,-5.28373,-5.28373,-5.28373,-5.28214,-5.27779,-5.27865,-5.27865,-5.27865,-5.27708,-5.27275,-5.27233,-5.27233,-5.27233,-5.27078,-5.26648,-5.26467,-5.26467,-5.26467,-5.26315,-5.25888,-5.25567,-5.25567,-5.25567,-5.25424,-5.24997
175,249.186,-5.21403,-5.21403,-5.21403,-5.21246,-5.20816,-5.20915,-5.20915,-5.20915,-5.2076,-5.20332,-5.20307,-5.20307,-5.20307,-5.20154,-5.19729,-5.19572,-5.19572,-5.19572,-5.19421,-5.19,-5.18707,-5.18707,-5.18707,-5.18564,-5.18143
176,256.535,-5.14509,-5.14509,-5.14509,-5.14355,-5.13931,-5.14041,-5.14041,-5.14041,-5.13888,-5.13465,-5.13457,-5.13457,-5.13457,-5.13306,-5.12886,-5.1275,-5.1275,-5.1275,-5.12601,-5.12185,-5.11919,-5.11919,-5.11919,-5.11778,-5.11361
177,264.1,-5.07693,-5.07693,-5.07693,-5.07541,-5.07121,-5.07243,-5.07243,-5.07243,-5.07092,-5.06674,-5.06682,-5.06682,-5.06682,-5.06532,-5.06118,-5.06003,-5.06003,-5.06003,-5.05855,-5.05444,-5.05204,-5.05204,-5.05204,-5.05064,-5.04653
178,271.886,-5.00953,-5.00953,-5.00953,-5.00802,-5.00388,-5.0052,-5.0052,-5.0052,-5.00371,-4.99959,-4.99982,-4.99982,-4.99982,-4.99834,-4.99424,-4.99329,-4.99329,-4.99329,-4.99183,-4.98777,-4.98562,-4.98562,-4.98562,-4.98423,-4.98017
179,279.901,-4.94288,-4.94288,-4.94288,-4.9414,-4.93731,-4.93873,-4.93873,-4.93873,-4.93725,-4.93319,-4.93356,-4.93356,-4.93356,-4.93209,-4.92805,-4.92729,-4.92729,-4.92729,-4.92585,-4.92184,-4.91992,-4.91992,-4.91992,-4.91854,-4.91453
180,288.15,-4.877,-4.877,-4.877,-4.87553,-4.87149,-4.87301,-4.87301,-4.87301,-4.87155,-4.86753,-4.86804,-4.86804,-4.86804,-4.86659,-4.8626,-4.86202,-4.86202,-4.86202,-4.86059,-4.85663,-4.85494,-4.85494,-4.85494,-4.85357,-4.84961
181,296.641,-4.81186,-4.81186,-4.81186,-4.81042,-4.80643,-4.80803,-4.80803,-4.80803,-4.80659,-4.80262,-4.80326,-4.80326,-4.80326,-4.80183,-4.79789,-4.79748,-4.79748,-4.79748,-4.79607,-4.79215,-4.79067,-4.79067,-4.79067,-4.78932,-4.78541
182,305.381,-4.74748,-4.74748,-4.74748,-4.74605,-4.74211,-4.7438,-4.7438,-4.7438,-4.74238,-4.73846,-4.73921,-4.73921,-4.73921,-4.7378,-4.73391,-4.73366,-4.73366,-4.73366,-4.73227,-4.7284,-4.72713,-4.72713,-4.72713,-4.72578,-4.72193
183,314.377,-4.68383,-4.68383,-4.68383,-4.68243,-4.67853,-4.6803,-4.6803,-4.6803,-4.6789,-4.67503,-4.6759,-4.6759,-4.6759,-4.67451,-4.67066,-4.67057,-4.67057,-4.67057,-4.66919,-4.66537,-4.66429,-4.66429,-4.66429,-4.66296,-4.65916
184,323.636,-4.62093,-4.62093,-4.62093,-4.61954,-4.6157,-4.61754,-4.61754,-4.61754,-4.61615,-4.61233,-4.61331,-4.61331,-4.61331,-4.61194,-4.60814,-4.60819,-4.60819,-4.60819,-4.60684,-4.60306,-4.60217,-4.60217,-4.60217,-4.60085,-4.59709
