gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
23,1.50907,0.933134,0.933134,0.933134,0.933134,0.933134,0.915248,0.915248,0.915248,0.915248,0.915248,0.897564,0.897564,0.897564,0.897564,0.897564,0.88181,0.88181,0.88181,0.88181,0.88181,0.868846,0.868846,0.868846,0.868846,0.868846
24,1.60018,0.986169,0.986169,0.986169,0.986169,0.986169,0.965786,0.965786,0.965786,0.965786,0.965786,0.94543,0.94543,0.94543,0.94543,0.94543,0.92746,0.92746,0.92746,0.92746,0.92746,0.912614,0.912614,0.912614,0.912614,0.912614
25,1.69396,1.04108,1.04108,1.04108,1.04108,1.04108,1.01847,1.01847,1.01847,1.01847,1.01847,0.995705,0.995705,0.995705,0.995705,0.995705,0.975092,0.975092,0.975092,0.975092,0.975092,0.95791,0.95791,0.95791,0.95791,0.95791
26,1.79048,1.09783,1.09783,1.09783,1.09783,1.09783,1.07316,1.07316,1.07316,1.07316,1.07316,1.04782,1.04782,1.04782,1.04782,1.04782,1.02448,1.02448,1.02448,1.02448,1.02448,1.00492,1.00492,1.00492,1.00492,1.00492
27,1.88984,1.15679,1.15679,1.15679,1.15679,1.15679,1.12986,1.12986,1.12986,1.12986,1.12986,1.10182,1.10182,1.10182,1.10182,1.10182,1.07579,1.07579,1.07579,1.07579,1.07579,1.05376,1.05376,1.05376,1.05376,1.05376
28,1.99211,1.21892,1.21892,1.21892,1.21892,1.21892,1.18898,1.18898,1.18898,1.18898,1.18898,1.15801,1.15801,1.15801,1.15801,1.15801,1.12932,1.12932,1.12932,1.12932,1.12932,1.10445,1.10445,1.10445,1.10445,1.10445
29,2.09737,1.28392,1.28392,1.28392,1.28392,1.28392,1.25114,1.25114,1.25114,1.25114,1.25114,1.2173,1.2173,1.2173,1.2173,1.2173,1.18514,1.18514,1.18514,1.18514,1.18514,1.15751,1.15751,1.15751,1.15751,1.15751
30,2.20572,1.35162,1.35162,1.35162,1.35162,1.35162,1.31653,1.31653,1.31653,1.31653,1.31653,1.27932,1.27932,1.27932,1.27932,1.27932,1.24378,1.24378,1.24378,1.24378,1.24378,1.21311,1.21311,1.21311,1.21311,1.21311
31,2.31725,1.42177,1.42177,1.42177,1.42177,1.42177,1.38441,1.38441,1.38441,1.38441,1.38441,1.34407,1.34407,1.34407,1.34407,1.34407,1.30532,1.30532,1.30532,1.30532,1.30532,1.27111,1.27111,1.27111,1.27111,1.27111
32,2.43204,1.49506,1.49506,1.49506,1.49506,1.49506,1.45518,1.45518,1.45518,1.45518,1.45518,1.41167,1.41167,1.41167,1.41167,1.41167,1.36963,1.36963,1.36963,1.36963,1.36963,1.33175,1.33175,1.33175,1.33175,1.33175
