gridnumber,capital,policy[0 0],policy[1 0],policy[2 0],policy[3 0],policy[4 0]
106,32.5802,28.3522,28.3238,28.2901,28.2526,28.2141
107,33.5818,29.2681,29.2397,29.2061,29.1687,29.1303
108,34.6128,30.2112,30.1829,30.1493,30.112,30.0737
109,35.674,31.1822,31.154,31.1205,31.0833,31.0452
110,36.7663,32.1818,32.1537,32.1204,32.0834,32.0455
111,37.8906,33.211,33.183,33.1498,33.113,33.0752
112,39.0479,34.2707,34.2428,34.2097,34.1729,34.135
113,40.239,35.3618,35.334,35.301,35.2641,35.2262
114,41.4651,36.4852,36.4574,36.4245,36.3877,36.3498
115,42.7271,37.6418,37.6141,37.5813,37.5446,37.5068
116,44.0261,38.8326,38.805,38.7722,38.7357,38.698
117,45.3631,40.0585,40.031,39.9984,39.962,39.9244
118,46.7394,41.3208,41.2933,41.2608,41.2244,41.187
119,48.1559,42.6203,42.5929,42.5604,42.5242,42.4868
120,49.614,43.9581,43.9308,43.8984,43.8623,43.8251
121,51.1148,45.3353,45.3081,45.2759,45.2398,45.2027
122,52.6596,46.7531,46.7259,46.6937,46.6578,46.6208
123,54.2497,48.2126,48.1854,48.1532,48.1175,48.0806
124,55.8863,49.7143,49.6875,49.6557,49.6202,49.5835
125,57.5709,51.2597,51.2329,51.2014,51.1663,51.13
126,59.3049,52.8509,52.824,52.7923,52.7572,52.7211
127,61.0897,54.489,54.462,54.4302,54.3949,54.3586
128,62.9268,56.1752,56.1482,56.1163,56.081,56.0446
129,64.8177,57.9111,57.8841,57.8522,57.8168,57.7804
130,66.7641,59.6982,59.6711,59.6393,59.6039,59.5674
131,68.7675,61.5379,61.5108,61.4789,61.4436,61.4071
132,70.8295,63.4317,63.4046,63.3727,63.3374,63.3009
133,72.9521,65.3812,65.354,65.3221,65.2867,65.2503
134,75.1368,67.3881,67.3609,67.3288,67.2933,67.257
135,77.3855,69.4541,69.4268,69.3947,69.3591,69.3228
136,79.7002,71.5808,71.5535,71.5213,71.4858,71.4495
137,82.0826,73.77,73.7428,73.7106,73.6751,73.6389
138,84.5349,76.0237,75.9964,75.9643,75.9288,75.8926
139,87.0591,78.3437,78.3164,78.2843,78.2489,78.2127
140,89.6572,80.7319,80.7046,80.6726,80.6372,80.6011
141,92.3314,83.1903,83.1631,83.1311,83.0957,83.0597
142,95.084,85.721,85.6938,85.6618,85.6265,85.5906
143,97.9173,88.3261,88.2989,88.267,88.2316,88.1957
144,100.834,91.0078,90.9806,90.9486,90.9131,90.877
145,103.835,93.7682,93.7411,93.709,93.6734,93.6371
146,106.925,96.6098,96.5826,96.5505,96.5149,96.4785
147,110.105,99.5348,99.5077,99.4755,99.4399,99.4034
148,113.379,102.546,102.519,102.486,102.451,102.414
149,116.748,105.645,105.618,105.586,105.55,105.514
150,120.216,108.836,108.808,108.776,108.741,108.704
151,123.786,112.12,112.093,112.06,112.025,111.988
152,127.461,115.5,115.473,115.441,115.405,115.369
153,131.243,118.98,118.953,118.921,118.885,118.849
154,135.136,122.562,122.535,122.503,122.467,122.431
155,139.143,126.249,126.222,126.19,126.154,126.118
156,143.267,130.045,130.017,129.985,129.95,129.913
157,147.512,133.951,133.924,133.892,133.857,133.82
158,151.882,137.973,137.946,137.914,137.878,137.841
159,156.38,142.112,142.085,142.053,142.017,141.981
160,161.009,146.373,146.346,146.314,146.278,146.242
161,165.774,150.759,150.732,150.7,150.664,150.628
162,170.679,155.273,155.246,155.214,155.179,155.143
163,175.728,159.92,159.893,159.862,159.826,159.79
164,180.924,164.704,164.677,164.645,164.609,164.573
165,186.273,169.627,169.6,169.569,169.533,169.497
166,191.779,174.695,174.669,174.637,174.601,174.565
167,197.446,179.912,179.885,179.853,179.818,179.782
168,203.279,185.282,185.255,185.223,185.188,185.152
169,209.282,190.809,190.782,190.751,190.715,190.679
170,215.462,196.498,196.472,196.44,196.405,196.368
171,221.823,202.355,202.328,202.296,202.261,202.225
172,228.37,208.383,208.356,208.324,208.289,208.252
173,235.11,214.587,214.56,214.529,214.493,214.457
174,242.046,220.974,220.947,220.915,220.88,220.844
175,249.186,227.548,227.521,227.489,227.454,227.418
176,256.535,234.314,234.287,234.256,234.22,234.184
177,264.1,241.279,241.252,241.221,241.185,241.149
178,271.886,248.448,248.421,248.39,248.355,248.319
179,279.901,255.827,255.801,255.769,255.734,255.698
180,288.15,263.423,263.396,263.365,263.33,263.294
181,296.641,271.241,271.215,271.183,271.148,271.112
182,305.381,279.289,279.262,279.231,279.195,279.159
183,314.377,287.572,287.546,287.514,287.479,287.443
184,323.636,296.099,296.072,296.04,296.005,295.969
185,333.167,304.875,304.848,304.816,304.781,304.745
186,342.977,313.908,313.881,313.85,313.815,313.779
187,353.075,323.206,323.179,323.148,323.113,323.077
188,363.469,332.777,332.75,332.719,332.684,332.648
189,374.167,342.628,342.601,342.57,342.535,342.499
190,385.179,352.768,352.741,352.71,352.675,352.639
191,396.513,363.205,363.179,363.147,363.112,363.076
192,408.179,373.948,373.922,373.89,373.855,373.819
193,420.188,385.006,384.979,384.948,384.913,384.877
194,432.548,396.388,396.362,396.33,396.295,396.259
195,445.271,408.104,408.077,408.046,408.011,407.975
196,458.366,420.163,420.136,420.105,420.07,420.034
197,471.845,432.575,432.548,432.517,432.482,432.446
198,485.719,445.35,445.324,445.293,445.258,445.222
199,500,458.493,458.468,458.438,458.405,458.372
