gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0185364,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667,0.0180667
2,0.0372875,0.0353116,0.0353116,0.0353116,0.0353116,0.0353116,0.0353115,0.0353115,0.0353115,0.0353115,0.0353115,0.0353115,0.0353115,0.0353115,0.0353115,0.0353115,0.0353114,0.0353114,0.0353114,0.0353114,0.0353114,0.0353114,0.0353114,0.0353114,0.0353114,0.0353114
3,0.0562558,0.0520856,0.0520856,0.0520856,0.0520856,0.0520856,0.0520854,0.0520854,0.0520854,0.0520854,0.0520854,0.0520852,0.0520852,0.0520852,0.0520852,0.0520852,0.052085,0.052085,0.052085,0.052085,0.052085,0.0520848,0.0520848,0.0520848,0.0520848,0.0520848
4,0.0754439,0.0684742,0.0684742,0.0684742,0.0684742,0.0684742,0.0684734,0.0684734,0.0684734,0.0684734,0.0684734,0.0684727,0.0684727,0.0684727,0.0684727,0.0684727,0.0684721,0.0684721,0.0684721,0.0684721,0.0684721,0.0684717,0.0684717,0.0684717,0.0684717,0.0684717
5,0.0948544,0.0845309,0.0845309,0.0845309,0.0845309,0.0845309,0.084529,0.084529,0.084529,0.084529,0.084529,0.0845273,0.0845273,0.0845273,0.0845273,0.0845273,0.0845259,0.0845259,0.0845259,0.0845259,0.0845259,0.0845248,0.0845248,0.0845248,0.0845248,0.0845248
6,0.11449,0.100301,0.100301,0.100301,0.100301,0.100301,0.100297,0.100297,0.100297,0.100297,0.100297,0.100294,0.100294,0.100294,0.100294,0.100294,0.100291,0.100291,0.100291,0.100291,0.100291,0.100288,0.100288,0.100288,0.100288,0.100288
7,0.134352,0.115823,0.115823,0.115823,0.115823,0.115823,0.115817,0.115817,0.115817,0.115817,0.115817,0.11581,0.11581,0.11581,0.11581,0.11581,0.115805,0.115805,0.115805,0.115805,0.115805,0.115802,0.115802,0.115802,0.115802,0.115802
8,0.154445,0.131019,0.131019,0.131019,0.131019,0.131019,0.131007,0.131007,0.131007,0.131007,0.131007,0.130997,0.130997,0.130997,0.130997,0.130997,0.130988,0.130988,0.130988,0.130988,0.130988,0.130981,0.130981,0.130981,0.130981,0.130981
9,0.174771,0.145981,0.145981,0.145981,0.145981,0.145981,0.145962,0.145962,0.145962,0.145962,0.145962,0.145946,0.145946,0.145946,0.145946,0.145946,0.145932,0.145932,0.145932,0.145932,0.145932,0.145921,0.145921,0.145921,0.145921,0.145921
10,0.195332,0.160786,0.160786,0.160786,0.160786,0.160786,0.160759,0.160759,0.160759,0.160759,0.160759,0.160734,0.160734,0.160734,0.160734,0.160734,0.160714,0.160714,0.160714,0.160714,0.160714,0.160698,0.160698,0.160698,0.160698,0.160698
11,0.216131,0.17546,0.17546,0.17546,0.17546,0.17546,0.175422,0.175422,0.175422,0.175422,0.175422,0.175388,0.175388,0.175388,0.175388,0.175388,0.17536,0.17536,0.17536,0.17536,0.17536,0.175337,0.175337,0.175337,0.175337,0.175337
12,0.237172,0.189859,0.189859,0.189859,0.189859,0.189859,0.189805,0.189805,0.189805,0.189805,0.189805,0.189756,0.189756,0.189756,0.189756,0.189756,0.189715,0.189715,0.189715,0.189715,0.189715,0.189682,0.189682,0.189682,0.189682,0.189682
13,0.258456,0.20415,0.20415,0.20415,0.20415,0.20415,0.204078,0.204078,0.204078,0.204078,0.204078,0.204013,0.204013,0.204013,0.204013,0.204013,0.203958,0.203958,0.203958,0.203958,0.203958,0.203914,0.203914,0.203914,0.203914,0.203914
14,0.279986,0.218372,0.218372,0.218372,0.218372,0.218372,0.218281,0.218281,0.218281,0.218281,0.218281,0.218196,0.218196,0.218196,0.218196,0.218196,0.218126,0.218126,0.218126,0.218126,0.218126,0.218069,0.218069,0.218069,0.218069,0.218069
15,0.301766,0.232411,0.232411,0.232411,0.232411,0.232411,0.23229,0.23229,0.23229,0.23229,0.23229,0.232179,0.232179,0.232179,0.232179,0.232179,0.232086,0.232086,0.232086,0.232086,0.232086,0.232012,0.232012,0.232012,0.232012,0.232012
16,0.323799,0.246351,0.246351,0.246351,0.246351,0.246351,0.246202,0.246202,0.246202,0.246202,0.246202,0.246064,0.246064,0.246064,0.246064,0.246064,0.245947,0.245947,0.245947,0.245947,0.245947,0.245854,0.245854,0.245854,0.245854,0.245854
17,0.346087,0.260272,0.260272,0.260272,0.260272,0.260272,0.260092,0.260092,0.260092,0.260092,0.260092,0.259924,0.259924,0.259924,0.259924,0.259924,0.259782,0.259782,0.259782,0.259782,0.259782,0.259668,0.259668,0.259668,0.259668,0.259668
18,0.368632,0.274038,0.274038,0.274038,0.274038,0.274038,0.273811,0.273811,0.273811,0.273811,0.273811,0.273601,0.273601,0.273601,0.273601,0.273601,0.273423,0.273423,0.273423,0.273423,0.273423,0.273279,0.273279,0.273279,0.273279,0.273279
19,0.391439,0.287765,0.287765,0.287765,0.287765,0.287765,0.287494,0.287494,0.287494,0.287494,0.287494,0.287242,0.287242,0.287242,0.287242,0.287242,0.287028,0.287028,0.287028,0.287028,0.287028,0.286856,0.286856,0.286856,0.286856,0.286856
20,0.414511,0.301504,0.301504,0.301504,0.301504,0.301504,0.301177,0.301177,0.301177,0.301177,0.301177,0.300873,0.300873,0.300873,0.300873,0.300873,0.300614,0.300614,0.300614,0.300614,0.300614,0.300405,0.300405,0.300405,0.300405,0.300405
21,0.437849,0.315083,0.315083,0.315083,0.315083,0.315083,0.314699,0.314699,0.314699,0.314699,0.314699,0.314341,0.314341,0.314341,0.314341,0.314341,0.314036,0.314036,0.314036,0.314036,0.314036,0.31379,0.31379,0.31379,0.31379,0.31379
22,0.461458,0.328704,0.328704,0.328704,0.328704,0.328704,0.32826,0.32826,0.32826,0.32826,0.32826,0.327846,0.327846,0.327846,0.327846,0.327846,0.327492,0.327492,0.327492,0.327492,0.327492,0.327206,0.327206,0.327206,0.327206,0.327206
23,0.485341,0.342293,0.342293,0.342293,0.342293,0.342293,0.341771,0.341771,0.341771,0.341771,0.341771,0.341282,0.341282,0.341282,0.341282,0.341282,0.340863,0.340863,0.340863,0.340863,0.340863,0.340523,0.340523,0.340523,0.340523,0.340523
24,0.5095,0.355834,0.355834,0.355834,0.355834,0.355834,0.355238,0.355238,0.355238,0.355238,0.355238,0.354679,0.354679,0.354679,0.354679,0.354679,0.354197,0.354197,0.354197,0.354197,0.354197,0.353807,0.353807,0.353807,0.353807,0.353807
25,0.533939,0.369438,0.369438,0.369438,0.369438,0.369438,0.368765,0.368765,0.368765,0.368765,0.368765,0.368122,0.368122,0.368122,0.368122,0.368122,0.367564,0.367564,0.367564,0.367564,0.367564,0.36711,0.36711,0.36711,0.36711,0.36711
26,0.558661,0.382958,0.382958,0.382958,0.382958,0.382958,0.382181,0.382181,0.382181,0.382181,0.382181,0.381447,0.381447,0.381447,0.381447,0.381447,0.380812,0.380812,0.380812,0.380812,0.380812,0.380295,0.380295,0.380295,0.380295,0.380295
27,0.58367,0.396545,0.396545,0.396545,0.396545,0.396545,0.395671,0.395671,0.395671,0.395671,0.395671,0.394847,0.394847,0.394847,0.394847,0.394847,0.394133,0.394133,0.394133,0.394133,0.394133,0.393551,0.393551,0.393551,0.393551,0.393551
28,0.608968,0.410139,0.410139,0.410139,0.410139,0.410139,0.409143,0.409143,0.409143,0.409143,0.409143,0.408201,0.408201,0.408201,0.408201,0.408201,0.407386,0.407386,0.407386,0.407386,0.407386,0.406719,0.406719,0.406719,0.406719,0.406719
29,0.634559,0.42374,0.42374,0.42374,0.42374,0.42374,0.422632,0.422632,0.422632,0.422632,0.422632,0.421582,0.421582,0.421582,0.421582,0.421582,0.420672,0.420672,0.420672,0.420672,0.420672,0.419927,0.419927,0.419927,0.419927,0.419927
30,0.660447,0.437428,0.437428,0.437428,0.437428,0.437428,0.436185,0.436185,0.436185,0.436185,0.436185,0.435005,0.435005,0.435005,0.435005,0.435005,0.433976,0.433976,0.433976,0.433976,0.433976,0.43313,0.43313,0.43313,0.43313,0.43313
31,0.686635,0.451075,0.451075,0.451075,0.451075,0.451075,0.4497,0.4497,0.4497,0.4497,0.4497,0.448393,0.448393,0.448393,0.448393,0.448393,0.447254,0.447254,0.447254,0.447254,0.447254,0.446317,0.446317,0.446317,0.446317,0.446317
32,0.713126,0.464827,0.464827,0.464827,0.464827,0.464827,0.463316,0.463316,0.463316,0.463316,0.463316,0.461879,0.461879,0.461879,0.461879,0.461879,0.460612,0.460612,0.460612,0.460612,0.460612,0.459564,0.459564,0.459564,0.459564,0.459564
33,0.739924,0.478598,0.478598,0.478598,0.478598,0.478598,0.476916,0.476916,0.476916,0.476916,0.476916,0.475314,0.475314,0.475314,0.475314,0.475314,0.473913,0.473913,0.473913,0.473913,0.473913,0.472758,0.472758,0.472758,0.472758,0.472758
34,0.767033,0.492452,0.492452,0.492452,0.492452,0.492452,0.490612,0.490612,0.490612,0.490612,0.490612,0.488857,0.488857,0.488857,0.488857,0.488857,0.487324,0.487324,0.487324,0.487324,0.487324,0.48606,0.48606,0.48606,0.48606,0.48606
35,0.794456,0.506395,0.506395,0.506395,0.506395,0.506395,0.504367,0.504367,0.504367,0.504367,0.504367,0.502423,0.502423,0.502423,0.502423,0.502423,0.500715,0.500715,0.500715,0.500715,0.500715,0.499305,0.499305,0.499305,0.499305,0.499305
36,0.822196,0.520381,0.520381,0.520381,0.520381,0.520381,0.518169,0.518169,0.518169,0.518169,0.518169,0.516051,0.516051,0.516051,0.516051,0.516051,0.51419,0.51419,0.51419,0.51419,0.51419,0.512653,0.512653,0.512653,0.512653,0.512653
37,0.850258,0.534488,0.534488,0.534488,0.534488,0.534488,0.532066,0.532066,0.532066,0.532066,0.532066,0.529736,0.529736,0.529736,0.529736,0.529736,0.527686,0.527686,0.527686,0.527686,0.527686,0.525988,0.525988,0.525988,0.525988,0.525988
38,0.878644,0.5486,0.5486,0.5486,0.5486,0.5486,0.545978,0.545978,0.545978,0.545978,0.545978,0.543461,0.543461,0.543461,0.543461,0.543461,0.541242,0.541242,0.541242,0.541242,0.541242,0.5394,0.5394,0.5394,0.5394,0.5394
39,0.90736,0.562849,0.562849,0.562849,0.562849,0.562849,0.56002,0.56002,0.56002,0.56002,0.56002,0.557292,0.557292,0.557292,0.557292,0.557292,0.554871,0.554871,0.554871,0.554871,0.554871,0.552852,0.552852,0.552852,0.552852,0.552852
40,0.936408,0.577202,0.577202,0.577202,0.577202,0.577202,0.574132,0.574132,0.574132,0.574132,0.574132,0.571166,0.571166,0.571166,0.571166,0.571166,0.568543,0.568543,0.568543,0.568543,0.568543,0.566359,0.566359,0.566359,0.566359,0.566359
41,0.965793,0.59169,0.59169,0.59169,0.59169,0.59169,0.588376,0.588376,0.588376,0.588376,0.588376,0.585176,0.585176,0.585176,0.585176,0.585176,0.582329,0.582329,0.582329,0.582329,0.582329,0.579944,0.579944,0.579944,0.579944,0.579944
42,0.995519,0.606319,0.606319,0.606319,0.606319,0.606319,0.602719,0.602719,0.602719,0.602719,0.602719,0.599241,0.599241,0.599241,0.599241,0.599241,0.596153,0.596153,0.596153,0.596153,0.596153,0.593574,0.593574,0.593574,0.593574,0.593574
43,1.02559,0.621004,0.621004,0.621004,0.621004,0.621004,0.617151,0.617151,0.617151,0.617151,0.617151,0.613424,0.613424,0.613424,0.613424,0.613424,0.610111,0.610111,0.610111,0.610111,0.610111,0.607319,0.607319,0.607319,0.607319,0.607319
44,1.05601,0.635825,0.635825,0.635825,0.635825,0.635825,0.63169,0.63169,0.63169,0.63169,0.63169,0.627669,0.627669,0.627669,0.627669,0.627669,0.624086,0.624086,0.624086,0.624086,0.624086,0.621081,0.621081,0.621081,0.621081,0.621081
