gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0.000590746,0.000906245,0.00122283,0.00153984,0.00185757,0.00217544,0.00249383
2,0.0372875,0.0158722,0.0163632,0.0168555,0.0173486,0.0178426,0.0183369,0.0187883
3,0.0562558,0.0294939,0.0300573,0.0306214,0.0311855,0.03175,0.0323143,0.0328788
4,0.0754439,0.0433332,0.0440851,0.0448355,0.0455838,0.0463303,0.0470746,0.047817
5,0.0948544,0.0580586,0.0589962,0.059934,0.0608712,0.0618082,0.0627444,0.0636803
6,0.11449,0.0736962,0.0747926,0.0758958,0.0770088,0.078122,0.0792348,0.0803476
7,0.134352,0.0897201,0.091002,0.0922838,0.0935649,0.0948456,0.0961414,0.0974387
8,0.154445,0.106057,0.107531,0.109007,0.110484,0.111963,0.113442,0.114923
9,0.174771,0.122699,0.124362,0.126026,0.127689,0.129354,0.131018,0.132684
10,0.195332,0.139712,0.141576,0.143437,0.145294,0.147148,0.148998,0.150846
11,0.216131,0.157176,0.159215,0.161254,0.163292,0.16533,0.167367,0.169402
12,0.237172,0.174935,0.177173,0.179411,0.181648,0.183885,0.18612,0.188355
13,0.258456,0.193065,0.195488,0.197923,0.200358,0.202792,0.205224,0.207655
14,0.279986,0.211502,0.214124,0.216749,0.219385,0.22202,0.224655,0.227289
15,0.301766,0.230241,0.23307,0.235898,0.238733,0.241573,0.244413,0.247253
16,0.323799,0.249275,0.252315,0.255354,0.258392,0.261439,0.264485,0.26753
17,0.346087,0.268585,0.271837,0.275087,0.278337,0.281593,0.284854,0.288113
18,0.368632,0.288181,0.291651,0.29512,0.298588,0.302055,0.305529,0.309
19,0.391439,0.308079,0.311764,0.315446,0.319127,0.322807,0.326492,0.33018
20,0.414511,0.328272,0.332168,0.336064,0.339959,0.343854,0.347755,0.351663
21,0.437849,0.348757,0.352874,0.356992,0.361109,0.365225,0.369341,0.373462
22,0.461458,0.369555,0.373891,0.378225,0.382557,0.386887,0.391216,0.395557
23,0.485341,0.39064,0.395194,0.399749,0.404304,0.408858,0.413412,0.417977
24,0.5095,0.412016,0.416794,0.421579,0.426364,0.431149,0.435934,0.440723
25,0.533939,0.433697,0.438704,0.443719,0.448732,0.453744,0.458753,0.463766
26,0.558661,0.455673,0.46091,0.466155,0.471399,0.476641,0.481882,0.487127
27,0.58367,0.477941,0.483413,0.488892,0.494374,0.499856,0.505336,0.510819
28,0.608968,0.50051,0.506225,0.511942,0.517664,0.523385,0.529104,0.534824
29,0.634559,0.523383,0.529341,0.535299,0.541261,0.547222,0.553182,0.559142
30,0.660447,0.546553,0.552754,0.558955,0.565165,0.571373,0.57758,0.583786
31,0.686635,0.570024,0.576477,0.582928,0.589387,0.595846,0.602302,0.608757
32,0.713126,0.593809,0.600517,0.607222,0.613931,0.620639,0.627345,0.63405
33,0.739924,0.617911,0.624872,0.63183,0.638788,0.645748,0.652706,0.659663
34,0.767033,0.642317,0.64953,0.656741,0.663955,0.671174,0.678391,0.685608
35,0.794456,0.667023,0.674497,0.68197,0.689448,0.696932,0.704414,0.711894
36,0.822196,0.692049,0.699794,0.707536,0.715279,0.723026,0.73077,0.738512
37,0.850258,0.717412,0.725423,0.733432,0.741439,0.749449,0.757457,0.765462
38,0.878644,0.743097,0.751374,0.759649,0.767923,0.776202,0.784479,0.792756
39,0.90736,0.769099,0.777648,0.786196,0.794742,0.803297,0.81185,0.820402
40,0.936408,0.795428,0.804257,0.813084,0.821909,0.83074,0.839568,0.848394
41,0.965793,0.822099,0.831207,0.840314,0.849417,0.858524,0.867629,0.876732
42,0.995519,0.849107,0.858494,0.867881,0.877264,0.886651,0.896037,0.905423
43,1.02559,0.876446,0.886117,0.895787,0.905454,0.915127,0.9248,0.934472
44,1.05601,0.904122,0.91408,0.924039,0.933997,0.94396,0.953924,0.963888
45,1.08678,0.932143,0.942394,0.952648,0.9629,0.973156,0.983413,0.993668
46,1.1179,0.960517,0.971064,0.981615,0.992162,1.00271,1.01326,1.02381
47,1.14939,0.989243,1.00009,1.01094,1.02178,1.03263,1.04348,1.05433
48,1.18124,1.01832,1.02947,1.04062,1.05177,1.06293,1.07408,1.08524
49,1.21346,1.04776,1.05921,1.07067,1.08213,1.09359,1.10506,1.11652
50,1.24606,1.07756,1.08933,1.1011,1.11287,1.12464,1.13641,1.14818
51,1.27903,1.10773,1.11981,1.1319,1.14398,1.15606,1.16815,1.18023
52,1.31239,1.13827,1.15067,1.16307,1.17547,1.18787,1.20028,1.21268
53,1.34613,1.16919,1.1819,1.19463,1.20735,1.22007,1.2328,1.24553
54,1.38026,1.20048,1.21352,1.22657,1.23962,1.25267,1.26572,1.27877
55,1.41479,1.23215,1.24553,1.25891,1.27228,1.28566,1.29904,1.31242
56,1.44971,1.26422,1.27792,1.29164,1.30534,1.31906,1.33277,1.34648
57,1.48504,1.29667,1.31071,1.32476,1.33881,1.35286,1.36691,1.38096
58,1.52078,1.32952,1.3439,1.35829,1.37268,1.38707,1.40146,1.41585
59,1.55694,1.36276,1.37749,1.39223,1.40696,1.4217,1.43643,1.45117
60,1.59351,1.39641,1.41149,1.42658,1.44166,1.45674,1.47183,1.48691
61,1.63051,1.43047,1.4459,1.46134,1.47678,1.49222,1.50765,1.52309
62,1.66794,1.46494,1.48073,1.49653,1.51232,1.52812,1.54391,1.55971
63,1.7058,1.49983,1.51598,1.53214,1.54829,1.56445,1.58061,1.59677
64,1.7441,1.53514,1.55166,1.56818,1.5847,1.60122,1.61775,1.63427
65,1.78284,1.57087,1.58776,1.60466,1.62155,1.63844,1.65533,1.67223
66,1.82203,1.60704,1.62431,1.64157,1.65884,1.67611,1.69337,1.71064
67,1.86167,1.64364,1.66129,1.67893,1.69658,1.71423,1.73187,1.74952
68,1.90178,1.68069,1.69872,1.71674,1.73477,1.7528,1.77083,1.78886
69,1.94235,1.71818,1.73659,1.75501,1.77343,1.79184,1.81026,1.82868
70,1.98339,1.75612,1.77492,1.79373,1.81254,1.83135,1.85016,1.86897
71,2.0249,1.79451,1.81372,1.83292,1.85213,1.87134,1.89054,1.90975
72,2.0669,1.83337,1.85298,1.87258,1.89219,1.9118,1.93141,1.95102
73,2.10938,1.87269,1.8927,1.91272,1.93273,1.95275,1.97276,1.99278
74,2.15235,1.91248,1.93291,1.95333,1.97376,1.99419,2.01461,2.03504
75,2.19582,1.95275,1.97359,1.99444,2.01528,2.03612,2.05696,2.07781
