gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
98,25.5283,-0.0490361,-0.0489959,-0.0488953,-0.0487353,-0.0485471,-0.0471244,-0.0470942,-0.047007,-0.0468764,-0.046691,-0.0450166,-0.0449915,-0.0449205,-0.0447967,-0.0446188,-0.0427576,-0.0427469,-0.0426782,-0.0425712,-0.0424281,-0.0404693,-0.0404564,-0.0404109,-0.0403207,-0.0401775
99,26.3233,-0.0464917,-0.0464526,-0.0463572,-0.0462058,-0.0460213,-0.044713,-0.0446835,-0.0446009,-0.044476,-0.0443013,-0.0427562,-0.0427342,-0.0426642,-0.0425457,-0.0423745,-0.0406571,-0.0406447,-0.0405802,-0.0404722,-0.0403347,-0.0385198,-0.0385098,-0.0384654,-0.0383766,-0.0382376
100,27.1416,-0.0440651,-0.0440265,-0.0439373,-0.0437933,-0.0436124,-0.0424163,-0.0423854,-0.0423036,-0.0421835,-0.042019,-0.0405951,-0.0405732,-0.0405066,-0.0403928,-0.0402282,-0.0386453,-0.0386316,-0.0385714,-0.0384639,-0.0383297,-0.0366491,-0.0366415,-0.0365964,-0.0365112,-0.03638
101,27.9838,-0.0417513,-0.0417146,-0.0416296,-0.0414926,-0.0413163,-0.0402239,-0.0401926,-0.0401104,-0.0399949,-0.0398402,-0.0385304,-0.038508,-0.0384446,-0.0383351,-0.0381778,-0.0367188,-0.0367033,-0.0366457,-0.036545,-0.0364102,-0.0348549,-0.0348492,-0.0348037,-0.0347228,-0.0345995
102,28.8508,-0.0395454,-0.0395095,-0.0394296,-0.0392995,-0.0391283,-0.0381301,-0.0380996,-0.0380185,-0.0379079,-0.0377607,-0.0365569,-0.0365348,-0.0364725,-0.0363694,-0.0362205,-0.0348746,-0.0348573,-0.0348041,-0.0347074,-0.0345732,-0.0331345,-0.0331299,-0.033086,-0.0330073,-0.0328913
103,29.7431,-0.0374433,-0.0374078,-0.0373331,-0.0372087,-0.0370448,-0.0361322,-0.0361025,-0.0360269,-0.0359171,-0.035777,-0.03467,-0.0346495,-0.0345886,-0.0344903,-0.0343505,-0.0331096,-0.0330926,-0.0330418,-0.0329484,-0.0328176,-0.0314878,-0.0314827,-0.0314391,-0.0313645,-0.031255
104,30.6616,-0.0354407,-0.0354057,-0.0353353,-0.0352165,-0.0350611,-0.0342266,-0.0341991,-0.0341271,-0.0340184,-0.0338851,-0.0328692,-0.032849,-0.0327894,-0.0326958,-0.0325645,-0.0314211,-0.0314046,-0.0313548,-0.0312668,-0.0311425,-0.0299129,-0.0299061,-0.0298625,-0.0297898,-0.0296875
105,31.607,-0.0335335,-0.0334992,-0.0334334,-0.0333196,-0.0331736,-0.0324097,-0.032383,-0.0323158,-0.0322093,-0.0320817,-0.0311499,-0.0311296,-0.0310718,-0.0309836,-0.0308597,-0.0298065,-0.0297901,-0.029743,-0.0296588,-0.0295395,-0.0284064,-0.0283995,-0.0283536,-0.028282,-0.0281865
106,32.5802,-0.0317179,-0.0316853,-0.0316236,-0.0315153,-0.0313766,-0.030678,-0.0306521,-0.0305886,-0.0304879,-0.030364,-0.0295079,-0.029488,-0.0294335,-0.0293504,-0.0292329,-0.0282629,-0.0282483,-0.0282023,-0.028122,-0.0280078,-0.0269643,-0.0269564,-0.0269131,-0.0268418,-0.0267498
107,33.5818,-0.0299899,-0.0299605,-0.0299014,-0.0297985,-0.0296665,-0.0290281,-0.0290028,-0.0289442,-0.028849,-0.0287277,-0.0279448,-0.0279242,-0.0278711,-0.0277927,-0.0276814,-0.0267886,-0.0267743,-0.0267312,-0.026654,-0.026545,-0.0255851,-0.025576,-0.025536,-0.0254648,-0.0253756
