gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
11,0.216131,0.138454,0.138454,0.138454,0.138454,0.138454,0.138454,0.138454,0.140151,0.140151,0.140151,0.140151,0.140151,0.140151,0.140151,0.141848,0.141848,0.141848,0.141848,0.141848,0.141848,0.141848,0.143545,0.143545,0.143545,0.143545,0.143545,0.143545,0.143545,0.145242,0.145242,0.145242,0.145242,0.145242,0.145242,0.145242,0.14694,0.14694,0.14694,0.14694,0.14694,0.14694,0.14694,0.148637,0.148637,0.148637,0.148637,0.148637,0.148637,0.148637
12,0.237172,0.154985,0.154985,0.154985,0.154985,0.154985,0.154985,0.154985,0.156877,0.156877,0.156877,0.156877,0.156877,0.156877,0.156877,0.15877,0.15877,0.15877,0.15877,0.15877,0.15877,0.15877,0.160662,0.160662,0.160662,0.160662,0.160662,0.160662,0.160662,0.162555,0.162555,0.162555,0.162555,0.162555,0.162555,0.162555,0.164447,0.164447,0.164447,0.164447,0.164447,0.164447,0.164447,0.16634,0.16634,0.16634,0.16634,0.16634,0.16634,0.16634
13,0.258456,0.171969,0.171969,0.171969,0.171969,0.171969,0.171969,0.171969,0.174031,0.174031,0.174031,0.174031,0.174031,0.174031,0.174031,0.176125,0.176125,0.176125,0.176125,0.176125,0.176125,0.176125,0.178236,0.178236,0.178236,0.178236,0.178236,0.178236,0.178236,0.180347,0.180347,0.180347,0.180347,0.180347,0.180347,0.180347,0.182457,0.182457,0.182457,0.182457,0.182457,0.182457,0.182457,0.184568,0.184568,0.184568,0.184568,0.184568,0.184568,0.184568
14,0.279986,0.193324,0.193324,0.193324,0.193324,0.193324,0.193324,0.193324,0.19433,0.19433,0.19433,0.19433,0.19433,0.19433,0.19433,0.195336,0.195336,0.195336,0.195336,0.195336,0.195336,0.195336,0.196346,0.196346,0.196346,0.196346,0.196346,0.196346,0.196346,0.197357,0.197357,0.197357,0.197357,0.197357,0.197357,0.197357,0.198367,0.198367,0.198367,0.198367,0.198367,0.198367,0.198367,0.199377,0.199377,0.199377,0.199377,0.199377,0.199377,0.199377
15,0.301766,0.210589,0.210589,0.210589,0.210589,0.210589,0.210589,0.210589,0.211975,0.211975,0.211975,0.211975,0.211975,0.211975,0.211975,0.213361,0.213361,0.213361,0.213361,0.213361,0.213361,0.213361,0.214747,0.214747,0.214747,0.214747,0.214747,0.214747,0.214747,0.216133,0.216133,0.216133,0.216133,0.216133,0.216133,0.216133,0.217521,0.217521,0.217521,0.217521,0.217521,0.217521,0.217521,0.218908,0.218908,0.218908,0.218908,0.218908,0.218908,0.218908
16,0.323799,0.225408,0.225408,0.225408,0.225408,0.225408,0.225408,0.225408,0.228067,0.228067,0.228067,0.228067,0.228067,0.228067,0.228067,0.230725,0.230725,0.230725,0.230725,0.230725,0.230725,0.230725,0.233384,0.233384,0.233384,0.233384,0.233384,0.233384,0.233384,0.236042,0.236042,0.236042,0.236042,0.236042,0.236042,0.236042,0.238713,0.238713,0.238713,0.238713,0.238713,0.238713,0.238713,0.241394,0.241394,0.241394,0.241394,0.241394,0.241394,0.241394
17,0.346087,0.243762,0.243762,0.243762,0.243762,0.243762,0.243762,0.243762,0.246627,0.246627,0.246627,0.246627,0.246627,0.246627,0.246627,0.249493,0.249493,0.249493,0.249493,0.249493,0.249493,0.249493,0.252358,0.252358,0.252358,0.252358,0.252358,0.252358,0.252358,0.255223,0.255223,0.255223,0.255223,0.255223,0.255223,0.255223,0.258088,0.258088,0.258088,0.258088,0.258088,0.258088,0.258088,0.260972,0.260972,0.260972,0.260972,0.260972,0.260972,0.260972
18,0.368632,0.262458,0.262458,0.262458,0.262458,0.262458,0.262458,0.262458,0.265533,0.265533,0.265533,0.265533,0.265533,0.265533,0.265533,0.268608,0.268608,0.268608,0.268608,0.268608,0.268608,0.268608,0.271683,0.271683,0.271683,0.271683,0.271683,0.271683,0.271683,0.274758,0.274758,0.274758,0.274758,0.274758,0.274758,0.274758,0.277833,0.277833,0.277833,0.277833,0.277833,0.277833,0.277833,0.280909,0.280909,0.280909,0.280909,0.280909,0.280909,0.280909
19,0.391439,0.281485,0.281485,0.281485,0.281485,0.281485,0.281485,0.281485,0.284754,0.284754,0.284754,0.284754,0.284754,0.284754,0.284754,0.288023,0.288023,0.288023,0.288023,0.288023,0.288023,0.288023,0.291292,0.291292,0.291292,0.291292,0.291292,0.291292,0.291292,0.294561,0.294561,0.294561,0.294561,0.294561,0.294561,0.294561,0.29783,0.29783,0.29783,0.29783,0.29783,0.29783,0.29783,0.301099,0.301099,0.301099,0.301099,0.301099,0.301099,0.301099
20,0.414511,0.300753,0.300753,0.300753,0.300753,0.300753,0.300753,0.300753,0.304228,0.304228,0.304228,0.304228,0.304228,0.304228,0.304228,0.307708,0.307708,0.307708,0.307708,0.307708,0.307708,0.307708,0.311188,0.311188,0.311188,0.311188,0.311188,0.311188,0.311188,0.314668,0.314668,0.314668,0.314668,0.314668,0.314668,0.314668,0.318148,0.318148,0.318148,0.318148,0.318148,0.318148,0.318148,0.321628,0.321628,0.321628,0.321628,0.321628,0.321628,0.321628
21,0.437849,0.320343,0.320343,0.320343,0.320343,0.320343,0.320343,0.320343,0.324021,0.324021,0.324021,0.324021,0.324021,0.324021,0.324021,0.327726,0.327726,0.327726,0.327726,0.327726,0.327726,0.327726,0.331432,0.331432,0.331432,0.331432,0.331432,0.331432,0.331432,0.335137,0.335137,0.335137,0.335137,0.335137,0.335137,0.335137,0.338843,0.338843,0.338843,0.338843,0.338843,0.338843,0.338843,0.342548,0.342548,0.342548,0.342548,0.342548,0.342548,0.342548
22,0.461458,0.340296,0.340296,0.340296,0.340296,0.340296,0.340296,0.340296,0.344202,0.344202,0.344202,0.344202,0.344202,0.344202,0.344202,0.348118,0.348118,0.348118,0.348118,0.348118,0.348118,0.348118,0.352046,0.352046,0.352046,0.352046,0.352046,0.352046,0.352046,0.355973,0.355973,0.355973,0.355973,0.355973,0.355973,0.355973,0.359901,0.359901,0.359901,0.359901,0.359901,0.359901,0.359901,0.363828,0.363828,0.363828,0.363828,0.363828,0.363828,0.363828
23,0.485341,0.360591,0.360591,0.360591,0.360591,0.360591,0.360591,0.360591,0.364722,0.364722,0.364722,0.364722,0.364722,0.364722,0.364722,0.368853,0.368853,0.368853,0.368853,0.368853,0.368853,0.368853,0.372991,0.372991,0.372991,0.372991,0.372991,0.372991,0.372991,0.377129,0.377129,0.377129,0.377129,0.377129,0.377129,0.377129,0.381267,0.381267,0.381267,0.381267,0.381267,0.381267,0.381267,0.385405,0.385405,0.385405,0.385405,0.385405,0.385405,0.385405
24,0.5095,0.385924,0.385924,0.385924,0.385924,0.385924,0.385924,0.385924,0.388683,0.388683,0.388683,0.388683,0.388683,0.388683,0.388683,0.391441,0.391441,0.391441,0.391441,0.391441,0.391441,0.391441,0.394206,0.394206,0.394206,0.394206,0.394206,0.394206,0.394206,0.39697,0.39697,0.39697,0.39697,0.39697,0.39697,0.39697,0.399735,0.399735,0.399735,0.399735,0.399735,0.399735,0.399735,0.402499,0.402499,0.402499,0.402499,0.402499,0.402499,0.402499
25,0.533939,0.41208,0.41208,0.41208,0.41208,0.41208,0.41208,0.41208,0.413289,0.413289,0.413289,0.413289,0.413289,0.413289,0.413289,0.414498,0.414498,0.414498,0.414498,0.414498,0.414498,0.414498,0.415711,0.415711,0.415711,0.415711,0.415711,0.415711,0.415711,0.416925,0.416925,0.416925,0.416925,0.416925,0.416925,0.416925,0.418138,0.418138,0.418138,0.418138,0.418138,0.418138,0.418138,0.419351,0.419351,0.419351,0.419351,0.419351,0.419351,0.419351
26,0.558661,0.436608,0.436608,0.436608,0.436608,0.436608,0.436608,0.436608,0.436919,0.436919,0.436919,0.436919,0.436919,0.436919,0.436919,0.437231,0.437231,0.437231,0.437231,0.437231,0.437231,0.437231,0.437542,0.437542,0.437542,0.437542,0.437542,0.437542,0.437542,0.437854,0.437854,0.437854,0.437854,0.437854,0.437854,0.437854,0.438167,0.438167,0.438167,0.438167,0.438167,0.438167,0.438167,0.438479,0.438479,0.438479,0.438479,0.438479,0.438479,0.438479
27,0.58367,0.454614,0.454614,0.454614,0.454614,0.454614,0.454614,0.454614,0.456323,0.456323,0.456323,0.456323,0.456323,0.456323,0.456323,0.458033,0.458033,0.458033,0.458033,0.458033,0.458033,0.458033,0.459743,0.459743,0.459743,0.459743,0.459743,0.459743,0.459743,0.461453,0.461453,0.461453,0.461453,0.461453,0.461453,0.461453,0.463168,0.463168,0.463168,0.463168,0.463168,0.463168,0.463168,0.464883,0.464883,0.464883,0.464883,0.464883,0.464883,0.464883
28,0.608968,0.473027,0.473027,0.473027,0.473027,0.473027,0.473027,0.473027,0.476105,0.476105,0.476105,0.476105,0.476105,0.476105,0.476105,0.479184,0.479184,0.479184,0.479184,0.479184,0.479184,0.479184,0.482262,0.482262,0.482262,0.482262,0.482262,0.482262,0.482262,0.48534,0.48534,0.48534,0.48534,0.48534,0.48534,0.48534,0.488422,0.488422,0.488422,0.488422,0.488422,0.488422,0.488422,0.491504,0.491504,0.491504,0.491504,0.491504,0.491504,0.491504
