gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
10,0.833427,-7.11329,-7.11329,-7.11329,-6.92219,-6.82961,-6.82961,-6.75116,-6.75116,-6.63807,-7.11329,-7.11329,-7.11329,-6.92219,-6.82961,-6.82961,-6.75116,-6.75116,-6.63807,-7.11329,-7.11329,-7.11329,-6.92219,-6.82961,-6.82961,-6.75116,-6.75116,-6.63807,-7.11329,-7.11329,-7.11329,-6.8452,-6.82961,-6.82961,-6.58724,-6.58724,-6.55771,-7.11329,-7.11329,-7.11329,-6.8452,-6.82961,-6.82961,-6.58724,-6.58724,-6.55771,-7.11329,-7.11329,-7.11329,-6.8452,-6.82961,-6.82961,-6.58724,-6.58724,-6.55771,-7.11329,-7.11329,-7.11329,-6.76975,-6.82961,-6.82961,-6.43419,-6.43419,-6.48042,-7.11329,-7.11329,-7.11329,-6.76975,-6.82961,-6.82961,-6.43419,-6.43419,-6.48042,-7.11329,-7.11329,-7.11329,-6.76975,-6.82961,-6.82961,-6.43419,-6.43419,-6.48042
11,0.937629,-6.98484,-6.98484,-6.98484,-6.81406,-6.71468,-6.71468,-6.66448,-6.66448,-6.54724,-6.98484,-6.98484,-6.98484,-6.81406,-6.71468,-6.71468,-6.66448,-6.66448,-6.54724,-6.98484,-6.98484,-6.98484,-6.81406,-6.71468,-6.71468,-6.66448,-6.66448,-6.54724,-6.98484,-6.98484,-6.98484,-6.73105,-6.71468,-6.71468,-6.48761,-6.48761,-6.45732,-6.98484,-6.98484,-6.98484,-6.73105,-6.71468,-6.71468,-6.48761,-6.48761,-6.45732,-6.98484,-6.98484,-6.98484,-6.73105,-6.71468,-6.71468,-6.48761,-6.48761,-6.45732,-6.98484,-6.98484,-6.98484,-6.65019,-6.71468,-6.71468,-6.32253,-6.32253,-6.37039,-6.98484,-6.98484,-6.98484,-6.65019,-6.71468,-6.71468,-6.32253,-6.32253,-6.37039,-6.98484,-6.98484,-6.98484,-6.65019,-6.71468,-6.71468,-6.32253,-6.32253,-6.37039
12,1.04629,-6.85781,-6.85781,-6.85781,-6.70086,-6.60028,-6.60028,-6.57751,-6.57751,-6.44991,-6.85781,-6.85781,-6.85781,-6.70086,-6.60028,-6.60028,-6.57751,-6.57751,-6.44991,-6.85781,-6.85781,-6.85781,-6.70086,-6.60028,-6.60028,-6.57751,-6.57751,-6.44991,-6.85781,-6.85781,-6.85781,-6.61644,-6.60028,-6.60028,-6.38779,-6.38779,-6.35516,-6.85781,-6.85781,-6.85781,-6.61644,-6.60028,-6.60028,-6.38779,-6.38779,-6.35516,-6.85781,-6.85781,-6.85781,-6.61644,-6.60028,-6.60028,-6.38779,-6.38779,-6.35516,-6.85781,-6.85781,-6.85781,-6.53428,-6.60028,-6.60028,-6.21123,-6.21123,-6.26371,-6.85781,-6.85781,-6.85781,-6.53428,-6.60028,-6.60028,-6.21123,-6.21123,-6.26371,-6.85781,-6.85781,-6.85781,-6.53428,-6.60028,-6.60028,-6.21123,-6.21123,-6.26371
13,1.15961,-6.732,-6.732,-6.732,-6.59275,-6.48631,-6.48631,-6.49053,-6.49053,-6.37297,-6.732,-6.732,-6.732,-6.59275,-6.48631,-6.48631,-6.49053,-6.49053,-6.37297,-6.732,-6.732,-6.732,-6.59275,-6.48631,-6.48631,-6.49053,-6.49053,-6.37297,-6.732,-6.732,-6.732,-6.50313,-6.48631,-6.48631,-6.28779,-6.28779,-6.25739,-6.732,-6.732,-6.732,-6.50313,-6.48631,-6.48631,-6.28779,-6.28779,-6.25739,-6.732,-6.732,-6.732,-6.50313,-6.48631,-6.48631,-6.28779,-6.28779,-6.25739,-6.732,-6.732,-6.732,-6.41624,-6.48631,-6.48631,-6.10024,-6.10024,-6.1468,-6.732,-6.732,-6.732,-6.41624,-6.48631,-6.48631,-6.10024,-6.10024,-6.1468,-6.732,-6.732,-6.732,-6.41624,-6.48631,-6.48631,-6.10024,-6.10024,-6.1468
14,1.27778,-6.60725,-6.60725,-6.60725,-6.4818,-6.37266,-6.37266,-6.40277,-6.40277,-6.27795,-6.60725,-6.60725,-6.60725,-6.4818,-6.37266,-6.37266,-6.40277,-6.40277,-6.27795,-6.60725,-6.60725,-6.60725,-6.4818,-6.37266,-6.37266,-6.40277,-6.40277,-6.27795,-6.60725,-6.60725,-6.60725,-6.3896,-6.37266,-6.37266,-6.1876,-6.1876,-6.15541,-6.60725,-6.60725,-6.60725,-6.3896,-6.37266,-6.37266,-6.1876,-6.1876,-6.15541,-6.60725,-6.60725,-6.60725,-6.3896,-6.37266,-6.37266,-6.1876,-6.1876,-6.15541,-6.60725,-6.60725,-6.60725,-6.30035,-6.37266,-6.37266,-5.98958,-5.98958,-6.03841,-6.60725,-6.60725,-6.60725,-6.30035,-6.37266,-6.37266,-5.98958,-5.98958,-6.03841,-6.60725,-6.60725,-6.60725,-6.30035,-6.37266,-6.37266,-5.98958,-5.98958,-6.03841
15,1.40101,-6.4834,-6.4834,-6.4834,-6.37061,-6.25927,-6.25927,-6.31429,-6.30482,-6.18239,-6.4834,-6.4834,-6.4834,-6.37061,-6.25927,-6.25927,-6.31429,-6.30482,-6.18239,-6.4834,-6.4834,-6.4834,-6.37061,-6.25927,-6.25927,-6.31429,-6.30482,-6.18239,-6.4834,-6.4834,-6.4834,-6.27628,-6.25927,-6.25927,-6.08722,-6.08453,-6.05317,-6.4834,-6.4834,-6.4834,-6.27628,-6.25927,-6.25927,-6.08722,-6.08453,-6.05317,-6.4834,-6.4834,-6.4834,-6.27628,-6.25927,-6.25927,-6.08722,-6.08453,-6.05317,-6.4834,-6.4834,-6.4834,-6.18507,-6.25927,-6.25927,-5.87926,-5.88213,-5.93005,-6.4834,-6.4834,-6.4834,-6.18507,-6.25927,-6.25927,-5.87926,-5.88213,-5.93005,-6.4834,-6.4834,-6.4834,-6.18507,-6.25927,-6.25927,-5.87926,-5.88213,-5.93005
16,1.52952,-6.36035,-6.36035,-6.36035,-6.26238,-6.14611,-6.14611,-6.22511,-6.21192,-6.08326,-6.36035,-6.36035,-6.36035,-6.26238,-6.14611,-6.14611,-6.22511,-6.21192,-6.08326,-6.36035,-6.36035,-6.36035,-6.26238,-6.14611,-6.14611,-6.22511,-6.21192,-6.08326,-6.36035,-6.36035,-6.36035,-6.16372,-6.14611,-6.14611,-5.98672,-5.9829,-5.95003,-6.36035,-6.36035,-6.36035,-6.16372,-6.14611,-6.14611,-5.98672,-5.9829,-5.95003,-6.36035,-6.36035,-6.36035,-6.16372,-6.14611,-6.14611,-5.98672,-5.9829,-5.95003,-6.36035,-6.36035,-6.36035,-6.06855,-6.14611,-6.14611,-5.76925,-5.7732,-5.82322,-6.36035,-6.36035,-6.36035,-6.06855,-6.14611,-6.14611,-5.76925,-5.7732,-5.82322,-6.36035,-6.36035,-6.36035,-6.06855,-6.14611,-6.14611,-5.76925,-5.7732,-5.82322
17,1.66353,-6.23801,-6.23801,-6.23801,-6.15414,-6.03313,-6.03313,-6.1353,-6.11121,-5.9802,-6.23801,-6.23801,-6.23801,-6.15414,-6.03313,-6.03313,-6.1353,-6.11121,-5.9802,-6.23801,-6.23801,-6.23801,-6.15414,-6.03313,-6.03313,-6.1353,-6.11121,-5.9802,-6.23801,-6.23801,-6.23801,-6.05135,-6.03313,-6.03313,-5.88612,-5.87906,-5.8459,-6.23801,-6.23801,-6.23801,-6.05135,-6.03313,-6.03313,-5.88612,-5.87906,-5.8459,-6.23801,-6.23801,-6.23801,-6.05135,-6.03313,-6.03313,-5.88612,-5.87906,-5.8459,-6.23801,-6.23801,-6.23801,-5.95238,-6.03313,-6.03313,-5.65952,-5.66667,-5.71811,-6.23801,-6.23801,-6.23801,-5.95238,-6.03313,-6.03313,-5.65952,-5.66667,-5.71811,-6.23801,-6.23801,-6.23801,-5.95238,-6.03313,-6.03313,-5.65952,-5.66667,-5.71811
18,1.80327,-6.1163,-6.1163,-6.1163,-6.0459,-5.92032,-5.92032,-6.0456,-6.00902,-5.87947,-6.1163,-6.1163,-6.1163,-6.0459,-5.92032,-5.92032,-6.0456,-6.00902,-5.87947,-6.1163,-6.1163,-6.1163,-6.0459,-5.92032,-5.92032,-6.0456,-6.00902,-5.87947,-6.1163,-6.1163,-6.1163,-5.93915,-5.92032,-5.92032,-5.78539,-5.77478,-5.74218,-6.1163,-6.1163,-6.1163,-5.93915,-5.92032,-5.92032,-5.78539,-5.77478,-5.74218,-6.1163,-6.1163,-6.1163,-5.93915,-5.92032,-5.92032,-5.78539,-5.77478,-5.74218,-6.1163,-6.1163,-6.1163,-5.83656,-5.92032,-5.92032,-5.55005,-5.5606,-5.61165,-6.1163,-6.1163,-6.1163,-5.83656,-5.92032,-5.92032,-5.55005,-5.5606,-5.61165,-6.1163,-6.1163,-6.1163,-5.83656,-5.92032,-5.92032,-5.55005,-5.5606,-5.61165
19,1.94901,-5.99517,-5.99517,-5.99517,-5.92688,-5.80767,-5.80767,-5.95531,-5.90542,-5.77464,-5.99517,-5.99517,-5.99517,-5.92688,-5.80767,-5.80767,-5.95531,-5.90542,-5.77464,-5.99517,-5.99517,-5.99517,-5.92688,-5.80767,-5.80767,-5.95531,-5.90542,-5.77464,-5.99517,-5.99517,-5.99517,-5.8251,-5.80767,-5.80767,-5.68455,-5.67006,-5.63746,-5.99517,-5.99517,-5.99517,-5.8251,-5.80767,-5.80767,-5.68455,-5.67006,-5.63746,-5.99517,-5.99517,-5.99517,-5.8251,-5.80767,-5.80767,-5.68455,-5.67006,-5.63746,-5.99517,-5.99517,-5.99517,-5.72705,-5.80767,-5.80767,-5.44086,-5.45496,-5.50702,-5.99517,-5.99517,-5.99517,-5.72705,-5.80767,-5.80767,-5.44086,-5.45496,-5.50702,-5.99517,-5.99517,-5.99517,-5.72705,-5.80767,-5.80767,-5.44086,-5.45496,-5.50702
