gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
11,0.216131,0.0720685,0.104925,0.146043,0.197473,0.261763,0.341558,0.440346,0.0736659,0.106626,0.14782,0.1993,0.263622,0.34344,0.442257,0.0752633,0.108327,0.149597,0.201126,0.265482,0.345323,0.444168,0.0769808,0.110028,0.151373,0.202952,0.267341,0.347209,0.446078,0.0787136,0.111729,0.15315,0.204778,0.2692,0.349098,0.447989,0.0804465,0.11343,0.154927,0.206604,0.271059,0.350987,0.4499,0.0821794,0.115155,0.156707,0.20843,0.272918,0.352877,0.451811
12,0.237172,0.0894951,0.122606,0.164221,0.21614,0.28077,0.360852,0.459878,0.0913967,0.124542,0.166174,0.218158,0.28282,0.362925,0.461976,0.0932983,0.126479,0.168128,0.220175,0.284869,0.364998,0.464078,0.0951936,0.128416,0.170081,0.222192,0.286918,0.367071,0.46618,0.0970612,0.130352,0.172034,0.22421,0.288968,0.369146,0.468281,0.0989288,0.132289,0.173987,0.226227,0.291017,0.371226,0.470383,0.100796,0.134225,0.175966,0.228245,0.293066,0.373307,0.472485
13,0.258456,0.107189,0.140897,0.182796,0.23515,0.300081,0.380427,0.479679,0.109224,0.143021,0.18497,0.23735,0.302316,0.382694,0.48197,0.111259,0.145146,0.187145,0.239564,0.304559,0.384961,0.48426,0.113295,0.14727,0.189319,0.241779,0.306802,0.387228,0.486553,0.115361,0.149394,0.191494,0.243993,0.309044,0.389495,0.488848,0.117472,0.151519,0.193668,0.246207,0.311287,0.391763,0.491143,0.119582,0.153643,0.195845,0.248421,0.31353,0.394037,0.493438
14,0.279986,0.125381,0.159486,0.201847,0.254504,0.31969,0.400282,0.499743,0.127667,0.161791,0.204214,0.256903,0.32212,0.402745,0.50223,0.129954,0.164096,0.206581,0.259305,0.324552,0.405208,0.504716,0.13224,0.166401,0.208948,0.261713,0.326991,0.407671,0.507202,0.134528,0.168706,0.211315,0.264122,0.329429,0.410134,0.509689,0.136829,0.17101,0.213682,0.26653,0.331868,0.412596,0.51218,0.13913,0.173315,0.216049,0.268938,0.334307,0.415061,0.514671
15,0.301766,0.144119,0.178392,0.221212,0.274159,0.339593,0.420413,0.520072,0.146599,0.180932,0.223779,0.276755,0.342222,0.423074,0.522757,0.149079,0.183472,0.226346,0.279351,0.34485,0.425736,0.525442,0.15156,0.186012,0.228914,0.281955,0.347483,0.428397,0.528127,0.15404,0.188552,0.231481,0.284562,0.350121,0.431058,0.530811,0.156522,0.191092,0.234048,0.287169,0.352759,0.433719,0.533496,0.159006,0.193632,0.236615,0.289776,0.355397,0.43638,0.536185
16,0.323799,0.163143,0.197877,0.240919,0.29412,0.359793,0.440822,0.540667,0.165808,0.200615,0.243693,0.296917,0.362623,0.443685,0.543553,0.168473,0.203354,0.246467,0.299715,0.365454,0.446548,0.546439,0.171137,0.206092,0.24924,0.302515,0.368285,0.449411,0.549325,0.173802,0.208831,0.252014,0.305325,0.371124,0.452274,0.552211,0.176506,0.211569,0.254788,0.308135,0.373965,0.455137,0.555097,0.179233,0.214308,0.257562,0.310945,0.376805,0.458,0.557983
17,0.346087,0.18258,0.217678,0.260977,0.314393,0.380292,0.461514,0.561529,0.185495,0.220622,0.263953,0.317396,0.383328,0.464581,0.564619,0.18841,0.223567,0.26693,0.320399,0.386364,0.467649,0.567709,0.191324,0.226511,0.269906,0.323402,0.3894,0.470716,0.570799,0.194239,0.229456,0.272883,0.326415,0.392439,0.473783,0.573888,0.197162,0.2324,0.27586,0.32943,0.395483,0.476851,0.576978,0.20009,0.235345,0.278836,0.332445,0.398528,0.479918,0.580068
18,0.368632,0.20255,0.237823,0.281343,0.334978,0.401087,0.482495,0.582664,0.205669,0.240981,0.284527,0.338189,0.40433,0.485763,0.585958,0.208788,0.244138,0.287712,0.3414,0.407573,0.489037,0.589254,0.211907,0.247296,0.290896,0.344611,0.410816,0.492311,0.59255,0.215026,0.250453,0.29408,0.347829,0.414059,0.495585,0.595846,0.218156,0.253611,0.297264,0.351052,0.417309,0.498859,0.599142,0.221293,0.256768,0.300449,0.354275,0.42056,0.502133,0.602438
19,0.391439,0.222849,0.258335,0.30203,0.355875,0.422174,0.503758,0.604074,0.22618,0.261701,0.305427,0.359297,0.425626,0.507234,0.607574,0.22951,0.265067,0.308824,0.36272,0.429079,0.510713,0.611076,0.232841,0.268433,0.312221,0.366142,0.432531,0.514196,0.614581,0.236171,0.271799,0.315618,0.369568,0.435983,0.517679,0.618086,0.239517,0.275166,0.319015,0.373002,0.43944,0.521163,0.62159,0.242869,0.278532,0.322412,0.376437,0.442902,0.524646,0.625095
20,0.414511,0.243501,0.279167,0.323053,0.377085,0.443555,0.525303,0.625756,0.247051,0.282744,0.326661,0.380722,0.44722,0.528991,0.629467,0.2506,0.286324,0.330272,0.384358,0.450886,0.53268,0.633178,0.254149,0.289904,0.333884,0.387995,0.454551,0.536373,0.636892,0.257699,0.293484,0.337495,0.391633,0.458217,0.540067,0.640608,0.26126,0.297065,0.341107,0.39528,0.461883,0.543762,0.644324,0.264824,0.300645,0.344718,0.398927,0.465557,0.547457,0.64804
21,0.437849,0.26451,0.300329,0.3444,0.398606,0.465234,0.547132,0.647712,0.268275,0.304123,0.348223,0.402459,0.469115,0.551035,0.651637,0.27204,0.307923,0.352052,0.406311,0.472996,0.554938,0.655562,0.275805,0.311723,0.355881,0.410164,0.476877,0.558841,0.659487,0.279569,0.315523,0.35971,0.414016,0.480758,0.56275,0.663416,0.283349,0.319324,0.363539,0.417877,0.484639,0.56666,0.667346,0.287131,0.323124,0.367368,0.42174,0.488527,0.570569,0.671276
22,0.461458,0.285852,0.321838,0.366072,0.420433,0.487211,0.569246,0.669946,0.289837,0.325851,0.370113,0.424503,0.49131,0.573367,0.674088,0.293823,0.329873,0.374162,0.428574,0.495408,0.577487,0.67823,0.297809,0.333894,0.378211,0.432645,0.499507,0.581607,0.682372,0.301795,0.337916,0.382261,0.436715,0.503606,0.58573,0.686514,0.305801,0.341937,0.38631,0.440793,0.507705,0.589856,0.69066,0.309807,0.345959,0.390359,0.444874,0.511808,0.593983,0.694807
23,0.485341,0.30754,0.343684,0.388068,0.442565,0.509484,0.591648,0.692461,0.311754,0.34792,0.39233,0.446858,0.513804,0.595988,0.696822,0.315967,0.352165,0.396601,0.45115,0.518123,0.600328,0.701184,0.32018,0.35641,0.400872,0.455442,0.522442,0.604668,0.705545,0.324396,0.360656,0.405142,0.459735,0.526761,0.609008,0.709906,0.328627,0.364901,0.409413,0.464033,0.53108,0.613353,0.714269,0.332858,0.369148,0.413684,0.468336,0.535402,0.617699,0.718635
24,0.5095,0.329586,0.365863,0.410382,0.465008,0.532059,0.614338,0.715258,0.334027,0.370325,0.414866,0.469525,0.536598,0.6189,0.719841,0.338469,0.374796,0.419361,0.474042,0.54114,0.623462,0.724425,0.34291,0.379268,0.423856,0.478559,0.545682,0.628024,0.729008,0.347356,0.383739,0.428351,0.483075,0.550225,0.632586,0.733591,0.351814,0.38821,0.432846,0.487597,0.554767,0.637151,0.738174,0.356271,0.392685,0.437341,0.492123,0.55931,0.641719,0.74276
25,0.533939,0.351976,0.388374,0.43301,0.487762,0.554933,0.637318,0.738342,0.356647,0.393064,0.437721,0.492505,0.559694,0.642105,0.743148,0.361319,0.397763,0.442444,0.497248,0.564462,0.646892,0.747955,0.36599,0.402462,0.447166,0.501991,0.56923,0.651679,0.752763,0.370667,0.407161,0.451889,0.506734,0.573998,0.656465,0.75757,0.375353,0.41186,0.456612,0.511481,0.578765,0.661253,0.762378,0.380039,0.416565,0.461334,0.516233,0.583533,0.666046,0.767185
26,0.558661,0.374705,0.41121,0.455958,0.510824,0.578106,0.66059,0.761713,0.379608,0.416131,0.4609,0.515796,0.583094,0.665605,0.766743,0.384511,0.421061,0.465851,0.520768,0.58809,0.67062,0.771777,0.389414,0.42599,0.470805,0.52574,0.593086,0.675635,0.776811,0.394326,0.43092,0.475758,0.530712,0.598082,0.680649,0.781845,0.399243,0.435849,0.480711,0.535687,0.603078,0.685664,0.78688,0.40416,0.440786,0.485664,0.540668,0.608074,0.690684,0.791914
27,0.58367,0.39777,0.434372,0.479226,0.534195,0.601581,0.684162,0.785371,0.402907,0.439527,0.484401,0.539399,0.6068,0.689404,0.790631,0.408044,0.44469,0.489585,0.544602,0.612024,0.69465,0.795892,0.413181,0.449853,0.49477,0.549806,0.61725,0.699895,0.801156,0.418329,0.455016,0.499955,0.55501,0.622477,0.70514,0.80642,0.42348,0.46018,0.505141,0.560216,0.627703,0.710386,0.811684,0.42863,0.465352,0.510328,0.565428,0.63293,0.715634,0.816948
28,0.608968,0.421167,0.457862,0.502813,0.557877,0.625357,0.708031,0.809321,0.426541,0.463253,0.508223,0.563314,0.63081,0.713504,0.814813,0.431916,0.468653,0.513641,0.568753,0.636265,0.718983,0.820306,0.43729,0.474052,0.519061,0.574191,0.641725,0.724461,0.825801,0.442676,0.479452,0.524481,0.579629,0.647185,0.72994,0.831299,0.448064,0.484851,0.529902,0.58507,0.652645,0.735418,0.836796,0.453451,0.490261,0.535324,0.590516,0.658104,0.740898,0.842294
29,0.634559,0.444899,0.481679,0.526718,0.581873,0.649437,0.7322,0.833567,0.450513,0.48731,0.532366,0.587545,0.655127,0.737909,0.839296,0.456127,0.492948,0.538021,0.593221,0.660816,0.743621,0.845024,0.461742,0.498586,0.543679,0.598896,0.666513,0.749335,0.850753,0.467369,0.504224,0.549336,0.604571,0.672209,0.755049,0.856486,0.472996,0.509862,0.554994,0.610248,0.677906,0.760763,0.86222,0.478623,0.515511,0.560655,0.615931,0.683603,0.766477,0.867953
30,0.660447,0.468965,0.505823,0.550941,0.606181,0.673825,0.75667,0.858113,0.474821,0.511695,0.55683,0.612092,0.679754,0.762617,0.86408,0.480678,0.517574,0.562725,0.618006,0.685683,0.768565,0.870047,0.486537,0.523453,0.568624,0.623921,0.691618,0.774517,0.876014,0.492405,0.529331,0.574522,0.629835,0.697554,0.780469,0.881984,0.498274,0.535213,0.58042,0.635751,0.70349,0.786421,0.887955,0.504142,0.541101,0.586323,0.641673,0.709426,0.792373,0.893927
31,0.686635,0.493364,0.530292,0.575486,0.630801,0.698524,0.781442,0.88296,0.499465,0.536408,0.581618,0.636953,0.704696,0.78763,0.889168,0.505566,0.542531,0.587757,0.64311,0.710867,0.793818,0.895377,0.511671,0.548653,0.593898,0.649267,0.717043,0.800011,0.901585,0.517784,0.554776,0.60004,0.655423,0.723221,0.806204,0.907794,0.523896,0.560902,0.606182,0.661581,0.729399,0.812398,0.914007,0.530008,0.567034,0.612327,0.667746,0.735577,0.818591,0.920221
