gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226,-34.6028,-34.6028,-34.6028,-32.2777,-32.2777,-32.2777,-30.3226,-30.3226,-30.3226
1,0.0572595,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384,-33.2885,-33.2885,-33.2885,-31.3966,-31.3966,-31.3966,-29.6384,-29.6384,-29.6384
2,0.116568,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.9985,-28.9985,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.9985,-28.9985,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.9985,-28.9985,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.9863,-28.9863,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.9863,-28.9863,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.9863,-28.9863,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.974,-28.974,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.974,-28.974,-28.9769,-32.2524,-32.2524,-32.2524,-30.5879,-30.5879,-30.5879,-28.974,-28.974,-28.9769
3,0.177999,-31.338,-31.338,-31.338,-29.8545,-29.8251,-29.8251,-28.3642,-28.3642,-28.3369,-31.338,-31.338,-31.338,-29.8545,-29.8251,-29.8251,-28.3642,-28.3642,-28.3369,-31.338,-31.338,-31.338,-29.8545,-29.8251,-29.8251,-28.3642,-28.3642,-28.3369,-31.338,-31.338,-31.338,-29.8344,-29.8251,-29.8251,-28.3469,-28.3469,-28.3369,-31.338,-31.338,-31.338,-29.8344,-29.8251,-29.8251,-28.3469,-28.3469,-28.3369,-31.338,-31.338,-31.338,-29.8344,-29.8251,-29.8251,-28.3469,-28.3469,-28.3369,-31.338,-31.338,-31.338,-29.8142,-29.8251,-29.8251,-28.3296,-28.3296,-28.3369,-31.338,-31.338,-31.338,-29.8142,-29.8251,-29.8251,-28.3296,-28.3296,-28.3369,-31.338,-31.338,-31.338,-29.8142,-29.8251,-29.8251,-28.3296,-28.3296,-28.3369
4,0.241629,-30.4858,-30.4858,-30.4858,-29.1363,-29.1013,-29.1013,-27.7476,-27.7476,-27.7476,-30.4858,-30.4858,-30.4858,-29.1363,-29.1013,-29.1013,-27.7476,-27.7476,-27.7476,-30.4858,-30.4858,-30.4858,-29.1363,-29.1013,-29.1013,-27.7476,-27.7476,-27.7476,-30.4858,-30.4858,-30.4858,-29.1113,-29.1013,-29.1013,-27.7258,-27.7258,-27.7258,-30.4858,-30.4858,-30.4858,-29.1113,-29.1013,-29.1013,-27.7258,-27.7258,-27.7258,-30.4858,-30.4858,-30.4858,-29.1113,-29.1013,-29.1013,-27.7258,-27.7258,-27.7258,-30.4858,-30.4858,-30.4858,-29.0863,-29.1013,-29.1013,-27.704,-27.704,-27.704,-30.4858,-30.4858,-30.4858,-29.0863,-29.1013,-29.1013,-27.704,-27.704,-27.704,-30.4858,-30.4858,-30.4858,-29.0863,-29.1013,-29.1013,-27.704,-27.704,-27.704
5,0.307536,-29.6878,-29.6878,-29.6878,-28.4464,-28.4064,-28.4064,-27.1469,-27.1469,-27.1469,-29.6878,-29.6878,-29.6878,-28.4464,-28.4064,-28.4064,-27.1469,-27.1469,-27.1469,-29.6878,-29.6878,-29.6878,-28.4464,-28.4064,-28.4064,-27.1469,-27.1469,-27.1469,-29.6878,-29.6878,-29.6878,-28.4171,-28.4064,-28.4064,-27.121,-27.121,-27.121,-29.6878,-29.6878,-29.6878,-28.4171,-28.4064,-28.4064,-27.121,-27.121,-27.121,-29.6878,-29.6878,-29.6878,-28.4171,-28.4064,-28.4064,-27.121,-27.121,-27.121,-29.6878,-29.6878,-29.6878,-28.3877,-28.4064,-28.4064,-27.0951,-27.0951,-27.0951,-29.6878,-29.6878,-29.6878,-28.3877,-28.4064,-28.4064,-27.0951,-27.0951,-27.0951,-29.6878,-29.6878,-29.6878,-28.3877,-28.4064,-28.4064,-27.0951,-27.0951,-27.0951
6,0.375801,-28.9284,-28.9284,-28.9284,-27.782,-27.7366,-27.7366,-26.5605,-26.5605,-26.5605,-28.9284,-28.9284,-28.9284,-27.782,-27.7366,-27.7366,-26.5605,-26.5605,-26.5605,-28.9284,-28.9284,-28.9284,-27.782,-27.7366,-27.7366,-26.5605,-26.5605,-26.5605,-28.9284,-28.9284,-28.9284,-27.7478,-27.7366,-27.7366,-26.5304,-26.5304,-26.5304,-28.9284,-28.9284,-28.9284,-27.7478,-27.7366,-27.7366,-26.5304,-26.5304,-26.5304,-28.9284,-28.9284,-28.9284,-27.7478,-27.7366,-27.7366,-26.5304,-26.5304,-26.5304,-28.9284,-28.9284,-28.9284,-27.7145,-27.7366,-27.7366,-26.5009,-26.5009,-26.5009,-28.9284,-28.9284,-28.9284,-27.7145,-27.7366,-27.7366,-26.5009,-26.5009,-26.5009,-28.9284,-28.9284,-28.9284,-27.7145,-27.7366,-27.7366,-26.5009,-26.5009,-26.5009
7,0.44651,-28.2019,-28.2019,-28.2019,-27.1415,-27.09,-27.09,-25.9929,-25.9929,-25.9929,-28.2019,-28.2019,-28.2019,-27.1415,-27.09,-27.09,-25.9929,-25.9929,-25.9929,-28.2019,-28.2019,-28.2019,-27.1415,-27.09,-27.09,-25.9929,-25.9929,-25.9929,-28.2019,-28.2019,-28.2019,-27.1019,-27.09,-27.09,-25.9578,-25.9578,-25.9578,-28.2019,-28.2019,-28.2019,-27.1019,-27.09,-27.09,-25.9578,-25.9578,-25.9578,-28.2019,-28.2019,-28.2019,-27.1019,-27.09,-27.09,-25.9578,-25.9578,-25.9578,-28.2019,-28.2019,-28.2019,-27.0623,-27.09,-27.09,-25.9227,-25.9227,-25.9227,-28.2019,-28.2019,-28.2019,-27.0623,-27.09,-27.09,-25.9227,-25.9227,-25.9227,-28.2019,-28.2019,-28.2019,-27.0623,-27.09,-27.09,-25.9227,-25.9227,-25.9227
8,0.519749,-27.5022,-27.5022,-27.5022,-26.5191,-26.4644,-26.4644,-25.437,-25.437,-25.437,-27.5022,-27.5022,-27.5022,-26.5191,-26.4644,-26.4644,-25.437,-25.437,-25.437,-27.5022,-27.5022,-27.5022,-26.5191,-26.4644,-26.4644,-25.437,-25.437,-25.437,-27.5022,-27.5022,-27.5022,-26.4762,-26.4644,-26.4644,-25.3987,-25.3987,-25.3987,-27.5022,-27.5022,-27.5022,-26.4762,-26.4644,-26.4644,-25.3987,-25.3987,-25.3987,-27.5022,-27.5022,-27.5022,-26.4762,-26.4644,-26.4644,-25.3987,-25.3987,-25.3987,-27.5022,-27.5022,-27.5022,-26.4333,-26.4644,-26.4644,-25.3603,-25.3603,-25.3603,-27.5022,-27.5022,-27.5022,-26.4333,-26.4644,-26.4644,-25.3603,-25.3603,-25.3603,-27.5022,-27.5022,-27.5022,-26.4333,-26.4644,-26.4644,-25.3603,-25.3603,-25.3603
9,0.595608,-26.8271,-26.8271,-26.8271,-25.913,-25.8551,-25.8551,-24.8911,-24.8911,-24.8911,-26.8271,-26.8271,-26.8271,-25.913,-25.8551,-25.8551,-24.8911,-24.8911,-24.8911,-26.8271,-26.8271,-26.8271,-25.913,-25.8551,-25.8551,-24.8911,-24.8911,-24.8911,-26.8271,-26.8271,-26.8271,-25.8671,-25.8551,-25.8551,-24.8497,-24.8497,-24.8497,-26.8271,-26.8271,-26.8271,-25.8671,-25.8551,-25.8551,-24.8497,-24.8497,-24.8497,-26.8271,-26.8271,-26.8271,-25.8671,-25.8551,-25.8551,-24.8497,-24.8497,-24.8497,-26.8271,-26.8271,-26.8271,-25.8211,-25.8551,-25.8551,-24.8084,-24.8084,-24.8084,-26.8271,-26.8271,-26.8271,-25.8211,-25.8551,-25.8551,-24.8084,-24.8084,-24.8084,-26.8271,-26.8271,-26.8271,-25.8211,-25.8551,-25.8551,-24.8084,-24.8084,-24.8084
