gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[0 3],Port[0 4],Port[1 0],Port[1 1],Port[1 2],Port[1 3],Port[1 4],Port[2 0],Port[2 1],Port[2 2],Port[2 3],Port[2 4],Port[3 0],Port[3 1],Port[3 2],Port[3 3],Port[3 4],Port[4 0],Port[4 1],Port[4 2],Port[4 3],Port[4 4]
71,10.8376,0.08,0.3,0.52,0.7,0.9,0.08,0.3,0.52,0.74,0.9,0.04,0.32,0.54,0.76,0.94,0.04,0.3,0.52,0.74,0.94,0.02,0.28,0.52,0.74,0.96
72,11.2021,0.1,0.3,0.52,0.72,0.9,0.08,0.32,0.54,0.74,0.88,0.02,0.32,0.54,0.74,0.94,0,0.3,0.52,0.72,0.92,0,0.28,0.52,0.76,0.96
73,11.5773,0.1,0.32,0.52,0.72,0.9,0.06,0.32,0.54,0.76,0.88,0.02,0.32,0.54,0.74,0.92,0.02,0.28,0.54,0.72,0.92,0,0.28,0.54,0.78,0.96
74,11.9634,0.1,0.32,0.52,0.72,0.9,0.06,0.34,0.54,0.74,0.9,0.04,0.32,0.52,0.72,0.92,0.04,0.28,0.54,0.76,0.9,0,0.26,0.56,0.76,0.96
75,12.3609,0.1,0.32,0.52,0.72,0.88,0.06,0.34,0.54,0.74,0.9,0.06,0.3,0.52,0.72,0.9,0.04,0.28,0.54,0.76,0.92,0.02,0.24,0.54,0.76,0.96
76,12.77,0.1,0.32,0.52,0.72,0.88,0.06,0.34,0.54,0.72,0.9,0.08,0.3,0.5,0.7,0.9,0.06,0.28,0.54,0.76,0.94,0.02,0.26,0.54,0.74,0.94
77,13.1911,0.1,0.32,0.54,0.72,0.88,0.06,0.32,0.54,0.72,0.9,0.08,0.3,0.5,0.72,0.9,0.06,0.3,0.52,0.74,0.94,0.04,0.28,0.52,0.74,0.94
78,13.6246,0.1,0.34,0.54,0.74,0.88,0.08,0.32,0.52,0.72,0.9,0.08,0.3,0.52,0.72,0.92,0.06,0.32,0.54,0.74,0.94,0.06,0.3,0.52,0.74,0.96
79,14.0707,0.1,0.34,0.54,0.74,0.86,0.1,0.32,0.52,0.7,0.9,0.08,0.32,0.52,0.74,0.92,0.06,0.32,0.54,0.74,0.92,0.06,0.3,0.54,0.76,0.96
80,14.5299,0.08,0.36,0.56,0.74,0.86,0.1,0.32,0.52,0.7,0.9,0.08,0.32,0.54,0.74,0.92,0.06,0.32,0.52,0.72,0.92,0.06,0.28,0.54,0.76,0.96
81,15.0026,0.08,0.36,0.54,0.74,0.86,0.1,0.32,0.5,0.7,0.9,0.06,0.34,0.54,0.74,0.92,0.06,0.3,0.52,0.72,0.9,0.06,0.28,0.56,0.76,0.96
82,15.4891,0.08,0.36,0.54,0.72,0.86,0.1,0.32,0.52,0.72,0.88,0.06,0.34,0.54,0.74,0.92,0.06,0.3,0.52,0.72,0.9,0.04,0.26,0.56,0.76,0.94
83,15.9899,0.08,0.34,0.54,0.72,0.88,0.1,0.32,0.52,0.72,0.88,0.06,0.34,0.54,0.72,0.9,0.06,0.3,0.52,0.74,0.9,0.06,0.28,0.54,0.74,0.94
84,16.5054,0.1,0.34,0.54,0.72,0.86,0.1,0.32,0.52,0.72,0.88,0.06,0.32,0.52,0.72,0.9,0.08,0.28,0.5,0.76,0.9,0.04,0.28,0.52,0.74,0.92
85,17.036,0.1,0.34,0.52,0.72,0.88,0.1,0.34,0.54,0.72,0.88,0.08,0.32,0.52,0.7,0.9,0.08,0.3,0.5,0.74,0.9,0.04,0.3,0.52,0.72,0.92
86,17.5821,0.1,0.34,0.52,0.7,0.88,0.1,0.34,0.54,0.74,0.88,0.08,0.32,0.52,0.7,0.88,0.08,0.3,0.52,0.74,0.92,0.04,0.32,0.52,0.72,0.94
87,18.1442,0.12,0.32,0.52,0.7,0.88,0.08,0.34,0.54,0.74,0.9,0.1,0.3,0.5,0.7,0.88,0.08,0.32,0.52,0.72,0.92,0.02,0.32,0.52,0.74,0.92
88,18.7228,0.12,0.32,0.52,0.7,0.88,0.08,0.36,0.54,0.72,0.9,0.1,0.3,0.5,0.7,0.88,0.06,0.32,0.54,0.72,0.92,0.04,0.3,0.5,0.72,0.9
89,19.3184,0.12,0.32,0.52,0.7,0.88,0.08,0.34,0.54,0.72,0.9,0.1,0.3,0.5,0.7,0.88,0.06,0.34,0.52,0.72,0.9,0.06,0.3,0.5,0.7,0.9
90,19.9314,0.14,0.32,0.52,0.7,0.88,0.08,0.34,0.54,0.72,0.88,0.1,0.32,0.52,0.7,0.88,0.06,0.32,0.52,0.72,0.9,0.06,0.28,0.48,0.72,0.88
91,20.5623,0.14,0.32,0.52,0.7,0.86,0.1,0.34,0.52,0.7,0.88,0.1,0.32,0.52,0.72,0.88,0.06,0.32,0.52,0.7,0.88,0.08,0.28,0.48,0.72,0.88
92,21.2118,0.14,0.32,0.5,0.7,0.86,0.1,0.34,0.52,0.7,0.86,0.1,0.32,0.52,0.72,0.88,0.08,0.32,0.52,0.7,0.88,0.08,0.28,0.5,0.7,0.88
93,21.8803,0.14,0.32,0.52,0.7,0.86,0.1,0.32,0.52,0.7,0.86,0.1,0.34,0.52,0.72,0.86,0.08,0.3,0.5,0.68,0.88,0.08,0.3,0.5,0.7,0.9
94,22.5684,0.14,0.32,0.5,0.68,0.86,0.12,0.32,0.52,0.7,0.86,0.08,0.34,0.54,0.72,0.9,0.1,0.3,0.5,0.68,0.86,0.08,0.3,0.52,0.72,0.9
95,23.2766,0.12,0.32,0.5,0.68,0.84,0.12,0.32,0.5,0.68,0.86,0.08,0.34,0.54,0.72,0.88,0.1,0.3,0.5,0.68,0.86,0.06,0.32,0.52,0.72,0.9
96,24.0056,0.12,0.32,0.5,0.68,0.84,0.12,0.32,0.5,0.68,0.86,0.08,0.34,0.52,0.7,0.88,0.1,0.3,0.5,0.68,0.86,0.06,0.32,0.52,0.7,0.88
97,24.756,0.12,0.3,0.5,0.66,0.84,0.12,0.32,0.5,0.68,0.86,0.08,0.32,0.52,0.7,0.86,0.1,0.3,0.5,0.7,0.86,0.06,0.32,0.52,0.7,0.88
98,25.5283,0.12,0.3,0.48,0.66,0.84,0.12,0.32,0.5,0.68,0.86,0.08,0.3,0.52,0.7,0.84,0.1,0.3,0.5,0.7,0.84,0.06,0.32,0.5,0.7,0.88
99,26.3233,0.12,0.3,0.48,0.66,0.84,0.14,0.32,0.5,0.68,0.86,0.1,0.3,0.52,0.68,0.84,0.1,0.32,0.5,0.7,0.84,0.08,0.3,0.5,0.68,0.86
100,27.1416,0.12,0.3,0.48,0.66,0.82,0.14,0.32,0.5,0.68,0.84,0.1,0.3,0.5,0.66,0.84,0.1,0.3,0.52,0.7,0.84,0.08,0.3,0.5,0.68,0.86
101,27.9838,0.12,0.3,0.48,0.66,0.82,0.12,0.32,0.5,0.68,0.84,0.1,0.3,0.5,0.66,0.84,0.08,0.28,0.5,0.7,0.84,0.1,0.3,0.48,0.68,0.86
102,28.8508,0.1,0.3,0.48,0.64,0.82,0.12,0.3,0.5,0.66,0.84,0.12,0.3,0.5,0.68,0.84,0.08,0.28,0.48,0.68,0.82,0.1,0.3,0.48,0.68,0.86
103,29.7431,0.1,0.3,0.48,0.64,0.82,0.12,0.3,0.48,0.66,0.82,0.12,0.32,0.5,0.68,0.84,0.08,0.28,0.5,0.64,0.82,0.1,0.3,0.48,0.66,0.84
104,30.6616,0.1,0.28,0.46,0.64,0.82,0.12,0.3,0.48,0.66,0.82,0.12,0.32,0.5,0.68,0.84,0.08,0.28,0.5,0.64,0.82,0.1,0.3,0.48,0.68,0.84
105,31.607,0.1,0.28,0.46,0.64,0.82,0.12,0.3,0.48,0.66,0.82,0.12,0.32,0.5,0.68,0.84,0.08,0.28,0.5,0.64,0.82,0.1,0.28,0.48,0.66,0.82
106,32.5802,0.1,0.3,0.48,0.64,0.82,0.12,0.3,0.48,0.64,0.82,0.12,0.32,0.5,0.68,0.84,0.1,0.28,0.48,0.64,0.82,0.1,0.28,0.48,0.64,0.82
107,33.5818,0.12,0.3,0.48,0.64,0.8,0.12,0.3,0.48,0.64,0.82,0.12,0.32,0.5,0.66,0.82,0.1,0.28,0.48,0.66,0.82,0.1,0.28,0.46,0.64,0.82
