gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
162,170.679,-5.77164,-5.7675,-5.76,-5.7498,-5.73672,-5.75918,-5.75504,-5.74762,-5.73751,-5.72449,-5.74368,-5.73957,-5.73232,-5.72226,-5.70932,-5.725,-5.7209,-5.71395,-5.70388,-5.69104,-5.70311,-5.69921,-5.69246,-5.68248,-5.6697
163,175.728,-5.7029,-5.6988,-5.69139,-5.68129,-5.66835,-5.69089,-5.68679,-5.67945,-5.66944,-5.65656,-5.67595,-5.67188,-5.66468,-5.65474,-5.64194,-5.65793,-5.65387,-5.64697,-5.63701,-5.62432,-5.63679,-5.63292,-5.62624,-5.61636,-5.60371
164,180.924,-5.63469,-5.63063,-5.6233,-5.61331,-5.60051,-5.62311,-5.61905,-5.61179,-5.60188,-5.58915,-5.60871,-5.60467,-5.59754,-5.58771,-5.57505,-5.59132,-5.58731,-5.58046,-5.57062,-5.55806,-5.57094,-5.56709,-5.56048,-5.5507,-5.53819
165,186.273,-5.56701,-5.56299,-5.55574,-5.54585,-5.5332,-5.55584,-5.55183,-5.54465,-5.53484,-5.52224,-5.54197,-5.53797,-5.5309,-5.52118,-5.50865,-5.5252,-5.52124,-5.51443,-5.50471,-5.49228,-5.50554,-5.50172,-5.49516,-5.48549,-5.47312
166,191.779,-5.49987,-5.49589,-5.48872,-5.47894,-5.46642,-5.4891,-5.48513,-5.47803,-5.46832,-5.45587,-5.47573,-5.47177,-5.46476,-5.45515,-5.44276,-5.45956,-5.45564,-5.44888,-5.43928,-5.42698,-5.4406,-5.43681,-5.4303,-5.42075,-5.40851
167,197.446,-5.43327,-5.42932,-5.42225,-5.41256,-5.40018,-5.42288,-5.41896,-5.41194,-5.40233,-5.39001,-5.41,-5.40608,-5.39914,-5.38963,-5.37739,-5.39441,-5.39054,-5.38383,-5.37435,-5.36216,-5.37614,-5.37237,-5.36592,-5.35648,-5.34437
168,203.279,-5.36721,-5.3633,-5.35631,-5.34673,-5.33449,-5.3572,-5.35332,-5.34638,-5.33687,-5.32469,-5.34478,-5.3409,-5.33404,-5.32463,-5.31252,-5.32976,-5.32593,-5.31928,-5.30991,-5.29784,-5.31214,-5.3084,-5.302,-5.29268,-5.2807
169,209.282,-5.3017,-5.29783,-5.29092,-5.28144,-5.26935,-5.29205,-5.28821,-5.28135,-5.27195,-5.25991,-5.28009,-5.27625,-5.26946,-5.26016,-5.24818,-5.2656,-5.26183,-5.25523,-5.24597,-5.23403,-5.24863,-5.24491,-5.23857,-5.22936,-5.21751
170,215.462,-5.23674,-5.23291,-5.22609,-5.21671,-5.20476,-5.22744,-5.22365,-5.21687,-5.20756,-5.19566,-5.21592,-5.21212,-5.2054,-5.1962,-5.18437,-5.20196,-5.19823,-5.19168,-5.18253,-5.17072,-5.18561,-5.18191,-5.17563,-5.16653,-5.15481
171,221.823,-5.17233,-5.16855,-5.1618,-5.15253,-5.14072,-5.16338,-5.15962,-5.15293,-5.14372,-5.13196,-5.15227,-5.14852,-5.14188,-5.13278,-5.12108,-5.13882,-5.13514,-5.12865,-5.1196,-5.10792,-5.12308,-5.1194,-5.11318,-5.10419,-5.09258
172,228.37,-5.10849,-5.10474,-5.09808,-5.08891,-5.07724,-5.09986,-5.09615,-5.08953,-5.08042,-5.0688,-5.08916,-5.08545,-5.07888,-5.06988,-5.05832,-5.07621,-5.07256,-5.06613,-5.05718,-5.04563,-5.06104,-5.0574,-5.05122,-5.04234,-5.03085
173,235.11,-5.0452,-5.0415,-5.03492,-5.02584,-5.01432,-5.03689,-5.03322,-5.02668,-5.01768,-5.00619,-5.02659,-5.02292,-5.01642,-5.00752,-4.99609,-5.01412,-5.0105,-5.00413,-4.99529,-4.98387,-4.9995,-4.9959,-4.98976,-4.98099,-4.96963
174,242.046,-4.98248,-4.97881,-4.97232,-4.96333,-4.95196,-4.97447,-4.97084,-4.96438,-4.95548,-4.94413,-4.96455,-4.96093,-4.9545,-4.9457,-4.9344,-4.95254,-4.94896,-4.94265,-4.93391,-4.92264,-4.93846,-4.9349,-4.92881,-4.92014,-4.9089
175,249.186,-4.92032,-4.9167,-4.91028,-4.90139,-4.89017,-4.91261,-4.90902,-4.90264,-4.89384,-4.88263,-4.90306,-4.89947,-4.89312,-4.88442,-4.87325,-4.8915,-4.88794,-4.8817,-4.87307,-4.86192,-4.87792,-4.87442,-4.86836,-4.85981,-4.84869
176,256.535,-4.85873,-4.85515,-4.84881,-4.84001,-4.82894,-4.85131,-4.84776,-4.84145,-4.83275,-4.82168,-4.8421,-4.83856,-4.83229,-4.82369,-4.81265,-4.83098,-4.82746,-4.82128,-4.81275,-4.80174,-4.8179,-4.81444,-4.80843,-4.79998,-4.789
