gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
0,0,-7.81252,-7.81252,-7.81253,-7.81252,-7.81253,-7.81252,-7.81252
1,0.0185364,-7.77756,-7.77721,-7.77688,-7.77653,-7.77619,-7.77583,-7.77549
2,0.0372875,-7.74448,-7.7438,-7.74314,-7.74245,-7.74177,-7.74107,-7.74038
3,0.0562558,-7.71172,-7.71064,-7.70957,-7.7085,-7.70753,-7.70653,-7.70554
4,0.0754439,-7.68008,-7.67873,-7.67739,-7.67602,-7.67465,-7.67326,-7.67189
5,0.0948544,-7.64857,-7.64689,-7.64522,-7.64352,-7.64183,-7.64011,-7.6384
6,0.11449,-7.61729,-7.61522,-7.61316,-7.61114,-7.60919,-7.60721,-7.60524
7,0.134352,-7.58676,-7.58445,-7.58215,-7.57982,-7.57749,-7.57513,-7.57278
8,0.154445,-7.55637,-7.55374,-7.55111,-7.54846,-7.5458,-7.54312,-7.54044
9,0.174771,-7.52604,-7.5231,-7.52017,-7.5172,-7.51423,-7.51124,-7.50825
10,0.195332,-7.49581,-7.4925,-7.48925,-7.48606,-7.48286,-7.47964,-7.47642
11,0.216131,-7.46616,-7.46263,-7.45911,-7.45555,-7.45199,-7.44845,-7.44492
12,0.237172,-7.43658,-7.43275,-7.42892,-7.42505,-7.42119,-7.4173,-7.41346
13,0.258456,-7.40703,-7.4029,-7.39877,-7.3946,-7.39044,-7.38623,-7.38206
14,0.279986,-7.37751,-7.37309,-7.36867,-7.36423,-7.35978,-7.3553,-7.35082
15,0.301766,-7.34802,-7.34331,-7.33869,-7.33403,-7.32937,-7.32466,-7.31996
16,0.323799,-7.31901,-7.31403,-7.30906,-7.30411,-7.29915,-7.29415,-7.28915
17,0.346087,-7.29,-7.28474,-7.27947,-7.27419,-7.26895,-7.26366,-7.25838
18,0.368632,-7.26099,-7.25544,-7.24989,-7.24429,-7.23877,-7.23321,-7.22765
19,0.391439,-7.23198,-7.22616,-7.22033,-7.21447,-7.20863,-7.20282,-7.19701
20,0.414511,-7.20301,-7.19693,-7.19086,-7.18475,-7.17864,-7.17256,-7.16652
21,0.437849,-7.17409,-7.16781,-7.16152,-7.15519,-7.14885,-7.14247,-7.13616
22,0.461458,-7.14542,-7.13884,-7.13228,-7.12567,-7.11906,-7.1124,-7.1058
23,0.485341,-7.11674,-7.10986,-7.10303,-7.09616,-7.08927,-7.08234,-7.07546
24,0.5095,-7.08806,-7.08088,-7.07378,-7.06665,-7.0595,-7.05231,-7.04514
25,0.533939,-7.05937,-7.05194,-7.04455,-7.03717,-7.02979,-7.02236,-7.01493
26,0.558661,-7.03071,-7.02305,-7.01537,-7.00777,-7.00016,-6.99251,-6.98486
27,0.58367,-7.00212,-6.99423,-6.98633,-6.97845,-6.9706,-6.9627,-6.9548
28,0.608968,-6.97358,-6.96545,-6.95732,-6.94917,-6.94106,-6.9329,-6.92474
29,0.634559,-6.94505,-6.93667,-6.92828,-6.91986,-6.9115,-6.90309,-6.89468
30,0.660447,-6.91651,-6.90788,-6.89924,-6.89055,-6.88195,-6.8733,-6.86465
31,0.686635,-6.88795,-6.87908,-6.8702,-6.86127,-6.85242,-6.84355,-6.83467
32,0.713126,-6.85939,-6.8503,-6.84119,-6.83204,-6.82294,-6.81385,-6.80475
33,0.739924,-6.83087,-6.82155,-6.81223,-6.80286,-6.79351,-6.78419,-6.77485
34,0.767033,-6.80242,-6.79284,-6.78329,-6.77369,-6.76409,-6.75452,-6.74495
35,0.794456,-6.77398,-6.76414,-6.75435,-6.74451,-6.73465,-6.72485,-6.71503
36,0.822196,-6.74551,-6.73542,-6.72539,-6.71531,-6.70521,-6.69517,-6.68513
37,0.850258,-6.71701,-6.70667,-6.69641,-6.6861,-6.67578,-6.66551,-6.65525
38,0.878644,-6.68851,-6.67792,-6.66744,-6.65692,-6.64638,-6.63588,-6.62541
39,0.90736,-6.66,-6.64921,-6.63849,-6.62776,-6.61701,-6.60628,-6.59559
40,0.936408,-6.63152,-6.62051,-6.60956,-6.59861,-6.58764,-6.57668,-6.56576
41,0.965793,-6.60304,-6.59182,-6.58064,-6.56946,-6.55826,-6.54707,-6.53592
42,0.995519,-6.57455,-6.56311,-6.55169,-6.54028,-6.52886,-6.51744,-6.50607
43,1.02559,-6.54604,-6.53437,-6.52271,-6.51109,-6.49945,-6.48781,-6.47623
44,1.05601,-6.5175,-6.50561,-6.49373,-6.4819,-6.47005,-6.45819,-6.44642
45,1.08678,-6.48895,-6.47685,-6.46475,-6.45271,-6.44066,-6.42859,-6.41661
46,1.1179,-6.46039,-6.44809,-6.43578,-6.42354,-6.41128,-6.399,-6.38681
47,1.14939,-6.43184,-6.41934,-6.40682,-6.39436,-6.38189,-6.3694,-6.35698
48,1.18124,-6.40328,-6.39058,-6.37785,-6.36517,-6.35248,-6.33977,-6.32715
49,1.21346,-6.37471,-6.36179,-6.34885,-6.33595,-6.32306,-6.31013,-6.29731
50,1.24606,-6.34611,-6.33298,-6.31982,-6.30672,-6.29362,-6.28049,-6.26747
51,1.27903,-6.31748,-6.30415,-6.29079,-6.27748,-6.26419,-6.25086,-6.23765
52,1.31239,-6.28884,-6.2753,-6.26175,-6.24824,-6.23475,-6.22124,-6.20782
53,1.34613,-6.26018,-6.24646,-6.23272,-6.219,-6.20532,-6.1916,-6.17799
54,1.38026,-6.23153,-6.21761,-6.20367,-6.18976,-6.17588,-6.16196,-6.14814
55,1.41479,-6.20288,-6.18875,-6.17461,-6.16049,-6.14641,-6.13229,-6.11828
56,1.44971,-6.1742,-6.15986,-6.14553,-6.1312,-6.11692,-6.10261,-6.08841
57,1.48504,-6.14549,-6.13095,-6.11642,-6.1019,-6.08743,-6.07293,-6.05854
58,1.52078,-6.11676,-6.10202,-6.0873,-6.07259,-6.05793,-6.04325,-6.02868
59,1.55694,-6.08801,-6.07308,-6.05817,-6.04327,-6.02844,-6.01357,-5.99881
60,1.59351,-6.05925,-6.04413,-6.02904,-6.01395,-5.99893,-5.98388,-5.96893
61,1.63051,-6.03048,-6.01517,-5.99989,-5.98462,-5.96941,-5.95417,-5.93904
62,1.66794,-6.0017,-5.9862,-5.97073,-5.95527,-5.93987,-5.92445,-5.90913
63,1.7058,-5.97289,-5.9572,-5.94155,-5.9259,-5.91032,-5.89472,-5.87922
64,1.7441,-5.94406,-5.92818,-5.91235,-5.89651,-5.88076,-5.86498,-5.84931
65,1.78284,-5.91521,-5.89914,-5.88313,-5.86712,-5.85119,-5.83524,-5.8194
66,1.82203,-5.88634,-5.87009,-5.8539,-5.83772,-5.82162,-5.8055,-5.78948
67,1.86167,-5.85746,-5.84103,-5.82467,-5.80832,-5.79204,-5.77575,-5.75956
68,1.90178,-5.82856,-5.81196,-5.79543,-5.7789,-5.76244,-5.74598,-5.72962
69,1.94235,-5.79965,-5.78288,-5.76617,-5.74946,-5.73283,-5.7162,-5.69967
70,1.98339,-5.77073,-5.75377,-5.73689,-5.72001,-5.70321,-5.68642,-5.66972
71,2.0249,-5.74178,-5.72465,-5.70759,-5.69055,-5.67358,-5.65663,-5.63977
72,2.0669,-5.71281,-5.69551,-5.67829,-5.66108,-5.64395,-5.62684,-5.60981
73,2.10938,-5.68382,-5.66635,-5.64897,-5.6316,-5.61431,-5.59704,-5.57985
74,2.15235,-5.65482,-5.63719,-5.61965,-5.60212,-5.58467,-5.56724,-5.54989
75,2.19582,-5.62581,-5.60802,-5.59032,-5.57263,-5.55501,-5.53742,-5.51991
76,2.2398,-5.59679,-5.57884,-5.56097,-5.54312,-5.52534,-5.5076,-5.48993
77,2.28428,-5.56775,-5.54964,-5.53161,-5.5136,-5.49567,-5.47778,-5.45996
78,2.32928,-5.5387,-5.52042,-5.50224,-5.48408,-5.46599,-5.44795,-5.42998
79,2.37481,-5.50963,-5.49119,-5.47285,-5.45454,-5.43631,-5.41812,-5.4
80,2.42085,-5.48055,-5.46196,-5.44347,-5.42501,-5.40662,-5.38829,-5.37002
81,2.46744,-5.45145,-5.43272,-5.41407,-5.39547,-5.37693,-5.35846,-5.34003
82,2.51456,-5.42235,-5.40347,-5.38467,-5.36592,-5.34723,-5.32862,-5.31005
83,2.56223,-5.39324,-5.37421,-5.35526,-5.33637,-5.31753,-5.29877,-5.28006
84,2.61045,-5.36412,-5.34493,-5.32585,-5.3068,-5.28782,-5.26893,-5.25008
85,2.65923,-5.33498,-5.31565,-5.29642,-5.27724,-5.25812,-5.23909,-5.2201
86,2.70857,-5.30584,-5.28637,-5.26699,-5.24767,-5.22841,-5.20925,-5.19012
87,2.75849,-5.27668,-5.25707,-5.23756,-5.21811,-5.19871,-5.17942,-5.16015
88,2.80898,-5.24752,-5.22778,-5.20812,-5.18854,-5.169,-5.14958,-5.13018
89,2.86006,-5.21836,-5.19848,-5.17869,-5.15897,-5.1393,-5.11974,-5.10022
90,2.91173,-5.18919,-5.16917,-5.14924,-5.12939,-5.10959,-5.08991,-5.07027
91,2.964,-5.16001,-5.13986,-5.1198,-5.09982,-5.07988,-5.06009,-5.04032
92,3.01688,-5.13083,-5.11054,-5.09035,-5.07025,-5.05018,-5.03027,-5.01039
93,3.07036,-5.10164,-5.08123,-5.06091,-5.04068,-5.02049,-5.00045,-4.98046
94,3.12447,-5.07245,-5.05191,-5.03146,-5.01112,-4.99081,-4.97064,-4.95053
95,3.1792,-5.04326,-5.0226,-5.00202,-4.98156,-4.96113,-4.94084,-4.92062
96,3.23457,-5.01407,-4.99328,-4.97258,-4.952,-4.93145,-4.91105,-4.89071
97,3.29058,-4.98487,-4.96397,-4.94315,-4.92244,-4.90179,-4.88127,-4.86082
98,3.34724,-4.95568,-4.93465,-4.91371,-4.8929,-4.87213,-4.85149,-4.83094
99,3.40456,-4.92649,-4.90534,-4.88429,-4.86336,-4.84248,-4.82173,-4.80108
100,3.46253,-4.8973,-4.87604,-4.85487,-4.83383,-4.81285,-4.79199,-4.77123
101,3.52119,-4.86811,-4.84674,-4.82545,-4.80431,-4.78322,-4.76225,-4.7414
102,3.58052,-4.83893,-4.81745,-4.79605,-4.7748,-4.75361,-4.73253,-4.71158
103,3.64053,-4.80975,-4.78816,-4.76665,-4.7453,-4.72401,-4.70283,-4.68178
104,3.70125,-4.78058,-4.75889,-4.73727,-4.71581,-4.69443,-4.67314,-4.65199
105,3.76266,-4.75141,-4.72962,-4.70789,-4.68634,-4.66486,-4.64347,-4.62223
106,3.82479,-4.72225,-4.70036,-4.67854,-4.65688,-4.6353,-4.61381,-4.59249
107,3.88764,-4.69311,-4.67111,-4.64919,-4.62744,-4.60577,-4.58418,-4.56277
108,3.95121,-4.66397,-4.64188,-4.61986,-4.59801,-4.57625,-4.55457,-4.53307
109,4.01552,-4.63484,-4.61266,-4.59055,-4.5686,-4.54675,-4.52497,-4.50339
110,4.08058,-4.60573,-4.58345,-4.56125,-4.53921,-4.51727,-4.49541,-4.47374
111,4.14639,-4.57663,-4.55426,-4.53197,-4.50984,-4.48782,-4.46586,-4.44412
112,4.21297,-4.54754,-4.52508,-4.50271,-4.48049,-4.45839,-4.43635,-4.41452
113,4.28031,-4.51847,-4.49592,-4.47347,-4.45116,-4.42898,-4.40687,-4.38496
114,4.34843,-4.48942,-4.46679,-4.44425,-4.42185,-4.3996,-4.37741,-4.35541
115,4.41735,-4.46038,-4.43767,-4.41505,-4.39257,-4.37024,-4.34798,-4.3259
116,4.48706,-4.43137,-4.40857,-4.38588,-4.36331,-4.34091,-4.31858,-4.29643
117,4.55758,-4.40237,-4.3795,-4.35673,-4.33408,-4.31161,-4.28921,-4.26698
118,4.62892,-4.3734,-4.35045,-4.3276,-4.30488,-4.28234,-4.25987,-4.23757
119,4.70108,-4.34444,-4.32142,-4.29851,-4.27571,-4.2531,-4.23057,-4.2082
120,4.77408,-4.31551,-4.29242,-4.26944,-4.24656,-4.22389,-4.2013,-4.17886
121,4.84793,-4.28661,-4.26345,-4.2404,-4.21745,-4.19471,-4.17206,-4.14956
122,4.92263,-4.25773,-4.2345,-4.21139,-4.18837,-4.16557,-4.14287,-4.1203
123,4.99819,-4.22888,-4.20559,-4.18241,-4.15933,-4.13647,-4.11371,-4.09107
124,5.07463,-4.20006,-4.1767,-4.15346,-4.13031,-4.1074,-4.08459,-4.06189
125,5.15196,-4.17127,-4.14785,-4.12455,-4.10135,-4.07837,-4.05551,-4.03276
126,5.23019,-4.1425,-4.11902,-4.09567,-4.07242,-4.04938,-4.02647,-4.00367
127,5.30931,-4.11378,-4.09024,-4.06683,-4.04352,-4.02043,-3.99747,-3.97463
128,5.38936,-4.08508,-4.06149,-4.03803,-4.01467,-3.99153,-3.96852,-3.94564
129,5.47033,-4.05643,-4.03277,-4.00926,-3.98586,-3.96266,-3.93961,-3.9167
130,5.55225,-4.02781,-4.0041,-3.98054,-3.95709,-3.93385,-3.91076,-3.8878
131,5.63511,-3.99922,-3.97546,-3.95186,-3.92837,-3.90507,-3.88195,-3.85895
132,5.71893,-3.97068,-3.94686,-3.92322,-3.89969,-3.87635,-3.85319,-3.83016
133,5.80372,-3.94217,-3.91831,-3.89463,-3.87106,-3.84767,-3.82447,-3.80142
134,5.88949,-3.91371,-3.8898,-3.86608,-3.84247,-3.81905,-3.79582,-3.77273
135,5.97626,-3.88529,-3.86134,-3.83758,-3.81394,-3.79047,-3.76721,-3.7441
136,6.06403,-3.85691,-3.83292,-3.80912,-3.78545,-3.76195,-3.73866,-3.71552
137,6.15282,-3.82858,-3.80454,-3.78072,-3.75702,-3.73348,-3.71017,-3.68701
138,6.24264,-3.80029,-3.77622,-3.75237,-3.72864,-3.70507,-3.68173,-3.65855
139,6.3335,-3.77206,-3.74795,-3.72406,-3.70031,-3.67671,-3.65335,-3.63015
140,6.42541,-3.74387,-3.71973,-3.69582,-3.67204,-3.64842,-3.62503,-3.60181
141,6.51839,-3.71573,-3.69156,-3.66762,-3.64383,-3.62019,-3.59677,-3.57354
142,6.61244,-3.68764,-3.66344,-3.63949,-3.61567,-3.59202,-3.56858,-3.54533
143,6.70758,-3.65961,-3.63538,-3.61141,-3.58758,-3.56391,-3.54045,-3.51719
144,6.80383,-3.63163,-3.60737,-3.58338,-3.55954,-3.53586,-3.51238,-3.48912
145,6.90119,-3.6037,-3.57943,-3.55542,-3.53157,-3.50788,-3.48438,-3.46112
146,6.99968,-3.57584,-3.55155,-3.52752,-3.50366,-3.47996,-3.45645,-3.43318
147,7.0993,-3.54803,-3.52373,-3.49969,-3.47581,-3.45211,-3.42859,-3.40532
148,7.20009,-3.52028,-3.49597,-3.47191,-3.44804,-3.42433,-3.4008,-3.37753
149,7.30204,-3.49259,-3.46827,-3.44421,-3.42032,-3.39662,-3.37308,-3.34981
150,7.40517,-3.46496,-3.44064,-3.41656,-3.39268,-3.36898,-3.34543,-3.32217
151,7.5095,-3.4374,-3.41308,-3.38899,-3.36511,-3.34141,-3.31786,-3.2946
152,7.61503,-3.4099,-3.38558,-3.36149,-3.33761,-3.31391,-3.29037,-3.26711
153,7.72179,-3.38247,-3.35815,-3.33406,-3.31018,-3.28649,-3.26296,-3.2397
154,7.82979,-3.35511,-3.33079,-3.30669,-3.28283,-3.25915,-3.23563,-3.21237
155,7.93903,-3.32782,-3.3035,-3.27941,-3.25555,-3.23188,-3.20838,-3.18513
156,8.04955,-3.30059,-3.27629,-3.25219,-3.22835,-3.20469,-3.18121,-3.15796
157,8.16134,-3.27344,-3.24914,-3.22506,-3.20122,-3.17758,-3.15411,-3.13088
158,8.27443,-3.24636,-3.22208,-3.198,-3.17418,-3.15056,-3.12711,-3.10389
159,8.38882,-3.21936,-3.19509,-3.17101,-3.14722,-3.12361,-3.10019,-3.07698
160,8.50455,-3.19243,-3.16817,-3.14412,-3.12033,-3.09675,-3.07335,-3.05016
161,8.62161,-3.16558,-3.14134,-3.1173,-3.09353,-3.06998,-3.0466,-3.02343
162,8.74003,-3.1388,-3.11459,-3.09057,-3.06682,-3.04329,-3.01994,-2.99679
163,8.85982,-3.11211,-3.08791,-3.06392,-3.04019,-3.01668,-2.99337,-2.97025
164,8.981,-3.08549,-3.06132,-3.03736,-3.01365,-2.99017,-2.96689,-2.9438
165,9.10358,-3.05896,-3.03482,-3.01088,-2.98719,-2.96375,-2.9405,-2.91745
166,9.22759,-3.03251,-3.0084,-2.9845,-2.96083,-2.93742,-2.9142,-2.89119
167,9.35303,-3.00615,-2.98207,-2.9582,-2.93455,-2.91118,-2.888,-2.86503
168,9.47992,-2.97987,-2.95582,-2.93199,-2.90837,-2.88504,-2.8619,-2.83897
169,9.60828,-2.95368,-2.92967,-2.90587,-2.88228,-2.85899,-2.83589,-2.813
170,9.73813,-2.92758,-2.9036,-2.87984,-2.85629,-2.83304,-2.80998,-2.78714
171,9.86949,-2.90157,-2.87763,-2.85391,-2.83039,-2.80718,-2.78417,-2.76138
172,10.0024,-2.87565,-2.85175,-2.82807,-2.80459,-2.78143,-2.75846,-2.73572
173,10.1368,-2.84982,-2.82596,-2.80233,-2.7789,-2.75577,-2.73286,-2.71016
174,10.2728,-2.82409,-2.80027,-2.77668,-2.7533,-2.73021,-2.70735,-2.68471
175,10.4103,-2.79845,-2.77468,-2.75114,-2.7278,-2.70476,-2.68195,-2.65936
176,10.5494,-2.77291,-2.74918,-2.72569,-2.70241,-2.67941,-2.65666,-2.63413
177,10.6902,-2.74746,-2.72379,-2.70035,-2.67712,-2.65417,-2.63147,-2.609
178,10.8326,-2.72211,-2.69849,-2.6751,-2.65193,-2.62903,-2.60639,-2.58398
179,10.9766,-2.69686,-2.6733,-2.64997,-2.62685,-2.604,-2.58142,-2.55907
180,11.1223,-2.67171,-2.6482,-2.62493,-2.60188,-2.57908,-2.55656,-2.53427
181,11.2697,-2.64667,-2.62322,-2.6,-2.57701,-2.55427,-2.53181,-2.50959
182,11.4188,-2.62173,-2.59833,-2.57518,-2.55225,-2.52956,-2.50718,-2.48502
183,11.5696,-2.59689,-2.57356,-2.55047,-2.5276,-2.50497,-2.48265,-2.46056
184,11.7222,-2.57215,-2.54889,-2.52586,-2.50306,-2.4805,-2.45824,-2.43622
185,11.8766,-2.54753,-2.52433,-2.50137,-2.47864,-2.45614,-2.43395,-2.412
186,12.0327,-2.52301,-2.49988,-2.47699,-2.45433,-2.4319,-2.40977,-2.38789
187,12.1906,-2.4986,-2.47554,-2.45272,-2.43013,-2.40777,-2.38571,-2.36391
188,12.3504,-2.4743,-2.45131,-2.42856,-2.40604,-2.38376,-2.36177,-2.34005
189,12.512,-2.45011,-2.42719,-2.40452,-2.38207,-2.35987,-2.33795,-2.3163
190,12.6755,-2.42604,-2.40319,-2.38059,-2.35822,-2.3361,-2.31425,-2.29268
191,12.8409,-2.40208,-2.3793,-2.35678,-2.33449,-2.31245,-2.29067,-2.26918
192,13.0082,-2.37823,-2.35553,-2.33309,-2.31088,-2.28892,-2.26721,-2.24581
193,13.1774,-2.35451,-2.33187,-2.30951,-2.28739,-2.26551,-2.24387,-2.22256
194,13.3486,-2.33089,-2.30834,-2.28606,-2.26401,-2.24222,-2.22066,-2.19943
195,13.5218,-2.3074,-2.28492,-2.26272,-2.24076,-2.21905,-2.19758,-2.17644
196,13.697,-2.28402,-2.26162,-2.23951,-2.21764,-2.19601,-2.17463,-2.15356
197,13.8742,-2.26076,-2.23844,-2.21642,-2.19463,-2.1731,-2.1518,-2.13082
198,14.0535,-2.23762,-2.21538,-2.19345,-2.17175,-2.15031,-2.1291,-2.10821
199,14.2348,-2.21461,-2.19245,-2.1706,-2.149,-2.12765,-2.10653,-2.08572
200,14.4183,-2.19171,-2.16964,-2.14788,-2.12637,-2.10511,-2.08409,-2.06337
201,14.6039,-2.16894,-2.14695,-2.12529,-2.10387,-2.08271,-2.06178,-2.04115
202,14.7916,-2.14629,-2.12439,-2.10282,-2.0815,-2.06043,-2.0396,-2.01906
203,14.9815,-2.12376,-2.10195,-2.08048,-2.05925,-2.03828,-2.01755,-1.9971
204,15.1736,-2.10136,-2.07965,-2.05827,-2.03714,-2.01626,-1.99563,-1.97527
205,15.3679,-2.07909,-2.05747,-2.03618,-2.01515,-1.99438,-1.97385,-1.95358
206,15.5645,-2.05694,-2.03543,-2.01423,-1.9933,-1.97263,-1.9522,-1.93203
207,15.7633,-2.03492,-2.01351,-1.9924,-1.97158,-1.951,-1.93068,-1.91061
208,15.9645,-2.01303,-1.99172,-1.97071,-1.94998,-1.92952,-1.9093,-1.88933
209,16.168,-1.99127,-1.97006,-1.94915,-1.92853,-1.90816,-1.88805,-1.86819
210,16.3738,-1.96964,-1.94853,-1.92772,-1.9072,-1.88695,-1.86694,-1.84718
211,16.5821,-1.94814,-1.92713,-1.90642,-1.88601,-1.86586,-1.84596,-1.82631
212,16.7927,-1.92677,-1.90587,-1.88526,-1.86496,-1.84492,-1.82512,-1.80558
213,17.0058,-1.90553,-1.88474,-1.86423,-1.84404,-1.82411,-1.80442,-1.78499
214,17.2213,-1.88442,-1.86374,-1.84334,-1.82325,-1.80343,-1.78386,-1.76454
215,17.4394,-1.86345,-1.84288,-1.82258,-1.80261,-1.7829,-1.76343,-1.74423
216,17.66,-1.84261,-1.82215,-1.80196,-1.7821,-1.7625,-1.74315,-1.72405
217,17.8831,-1.8219,-1.80156,-1.78148,-1.76172,-1.74224,-1.723,-1.70402
218,18.1088,-1.80133,-1.7811,-1.76114,-1.74149,-1.72212,-1.70299,-1.68413
219,18.3372,-1.7809,-1.76078,-1.74094,-1.72139,-1.70214,-1.68313,-1.66438
220,18.5681,-1.7606,-1.7406,-1.72087,-1.70144,-1.6823,-1.6634,-1.64477
221,18.8018,-1.74044,-1.72055,-1.70094,-1.68162,-1.6626,-1.64382,-1.6253
222,19.0381,-1.72042,-1.70065,-1.68115,-1.66194,-1.64304,-1.62438,-1.60598
223,19.2772,-1.70053,-1.68088,-1.6615,-1.64241,-1.62362,-1.60508,-1.5868
224,19.5191,-1.68078,-1.66125,-1.64199,-1.62301,-1.60434,-1.58592,-1.56776
225,19.7638,-1.66117,-1.64176,-1.62262,-1.60376,-1.58521,-1.56691,-1.54887
226,20.0113,-1.6417,-1.62241,-1.6034,-1.58464,-1.56622,-1.54804,-1.53012
227,20.2617,-1.62237,-1.6032,-1.58431,-1.56567,-1.54737,-1.52931,-1.51151
228,20.5149,-1.60318,-1.58414,-1.56536,-1.54685,-1.52866,-1.51073,-1.49305
229,20.7711,-1.58413,-1.56521,-1.54656,-1.52817,-1.5101,-1.49229,-1.47473
230,21.0303,-1.56522,-1.54642,-1.5279,-1.50963,-1.49168,-1.47399,-1.45656
231,21.2925,-1.54645,-1.52778,-1.50938,-1.49123,-1.4734,-1.45584,-1.43853
232,21.5577,-1.52782,-1.50927,-1.491,-1.47298,-1.45527,-1.43783,-1.42065
233,21.826,-1.50933,-1.49091,-1.47276,-1.45487,-1.43728,-1.41997,-1.40291
234,22.0974,-1.49099,-1.4727,-1.45467,-1.43691,-1.41944,-1.40225,-1.38532
235,22.3719,-1.47279,-1.45462,-1.43673,-1.41909,-1.40174,-1.38468,-1.36788
236,22.6496,-1.45472,-1.43669,-1.41892,-1.40141,-1.38419,-1.36726,-1.35058
237,22.9306,-1.43681,-1.4189,-1.40126,-1.38388,-1.36678,-1.34997,-1.33342
238,23.2148,-1.41903,-1.40125,-1.38375,-1.36649,-1.34951,-1.33284,-1.31641
239,23.5023,-1.4014,-1.38375,-1.36637,-1.34925,-1.3324,-1.31585,-1.29955
240,23.7931,-1.38391,-1.36639,-1.34914,-1.33215,-1.31542,-1.299,-1.28283
241,24.0873,-1.36656,-1.34918,-1.33206,-1.3152,-1.29859,-1.2823,-1.26626
242,24.3848,-1.34936,-1.3321,-1.31512,-1.29839,-1.28191,-1.26575,-1.24983
243,24.6859,-1.3323,-1.31518,-1.29832,-1.28172,-1.26538,-1.24934,-1.23355
244,24.9904,-1.31538,-1.29839,-1.28167,-1.2652,-1.24899,-1.23307,-1.21742
245,25.2985,-1.29861,-1.28175,-1.26516,-1.24882,-1.23274,-1.21695,-1.20143
246,25.6101,-1.28198,-1.26525,-1.2488,-1.23259,-1.21664,-1.20098,-1.18559
247,25.9253,-1.26549,-1.2489,-1.23257,-1.2165,-1.20069,-1.18515,-1.16989
248,26.2442,-1.24915,-1.23269,-1.2165,-1.20056,-1.18488,-1.16946,-1.15433
249,26.5668,-1.23295,-1.21662,-1.20057,-1.18476,-1.16921,-1.15392,-1.13892
250,26.8931,-1.21689,-1.2007,-1.18478,-1.1691,-1.15368,-1.13853,-1.12366
251,27.2232,-1.20097,-1.18492,-1.16913,-1.15359,-1.13831,-1.12327,-1.10853
252,27.5571,-1.1852,-1.16929,-1.15363,-1.13822,-1.12307,-1.10816,-1.09356
253,27.8949,-1.16957,-1.15379,-1.13827,-1.123,-1.10798,-1.0932,-1.07872
254,28.2366,-1.15409,-1.13844,-1.12305,-1.10792,-1.09303,-1.07838,-1.06403
255,28.5823,-1.13875,-1.12323,-1.10798,-1.09298,-1.07822,-1.0637,-1.04948
256,28.932,-1.12355,-1.10817,-1.09305,-1.07818,-1.06356,-1.04917,-1.03507
257,29.2857,-1.10849,-1.09325,-1.07826,-1.06352,-1.04903,-1.03478,-1.02081
258,29.6435,-1.09357,-1.07846,-1.06362,-1.04901,-1.03465,-1.02053,-1.00669
259,30.0055,-1.0788,-1.06383,-1.04911,-1.03464,-1.02041,-1.00642,-0.992709
260,30.3716,-1.06416,-1.04933,-1.03475,-1.02041,-1.00632,-0.992459,-0.97887
261,30.742,-1.04967,-1.03497,-1.02052,-1.00632,-0.992361,-0.978634,-0.965171
262,31.1167,-1.03532,-1.02075,-1.00644,-0.992373,-0.978545,-0.964949,-0.951613
263,31.4958,-1.02111,-1.00668,-0.992501,-0.978564,-0.964869,-0.951404,-0.938194
264,31.8792,-1.00704,-0.992742,-0.978699,-0.964896,-0.951332,-0.937999,-0.924914
265,32.267,-0.993104,-0.978946,-0.965037,-0.951366,-0.937935,-0.924732,-0.911773
266,32.6594,-0.979315,-0.965289,-0.951513,-0.937976,-0.924676,-0.911604,-0.89877
267,33.0563,-0.965665,-0.95177,-0.938129,-0.924724,-0.911555,-0.898613,-0.885905
268,33.4578,-0.952154,-0.93839,-0.924882,-0.91161,-0.898572,-0.88576,-0.873177
269,33.864,-0.938781,-0.925148,-0.911773,-0.898633,-0.885726,-0.873044,-0.860586
270,34.2748,-0.925545,-0.912044,-0.898802,-0.885793,-0.873017,-0.860464,-0.848135
