gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
65,1.78284,-30.75,-30.5854,-30.4223,-30.2598,-30.0984,-29.9381,-29.7784
66,1.82203,-30.4588,-30.2935,-30.1297,-29.9666,-29.8045,-29.6435,-29.4832
67,1.86167,-30.1694,-30.0035,-29.839,-29.6752,-29.5125,-29.3509,-29.1901
68,1.90178,-29.8817,-29.7151,-29.55,-29.3856,-29.2224,-29.0602,-28.8988
69,1.94235,-29.5958,-29.4286,-29.2629,-29.0979,-28.9341,-28.7714,-28.6095
70,1.98339,-29.3115,-29.1438,-28.9775,-28.812,-28.6477,-28.4844,-28.3222
71,2.0249,-29.029,-28.8608,-28.6939,-28.5279,-28.3631,-28.1994,-28.0367
72,2.0669,-28.7482,-28.5795,-28.4121,-28.2456,-28.0804,-27.9162,-27.7531
73,2.10938,-28.4691,-28.2999,-28.1321,-27.9652,-27.7995,-27.6349,-27.4715
74,2.15235,-28.1917,-28.0221,-27.8538,-27.6865,-27.5204,-27.3554,-27.1917
75,2.19582,-27.916,-27.746,-27.5773,-27.4096,-27.2432,-27.0778,-26.9138
76,2.2398,-27.642,-27.4716,-27.3025,-27.1344,-26.9677,-26.802,-26.6377
77,2.28428,-27.3697,-27.1989,-27.0295,-26.8611,-26.6941,-26.5281,-26.3635
78,2.32928,-27.099,-26.9279,-26.7582,-26.5895,-26.4222,-26.2559,-26.0912
79,2.37481,-26.83,-26.6586,-26.4886,-26.3196,-26.1521,-25.9856,-25.8207
80,2.42085,-26.5626,-26.391,-26.2207,-26.0515,-25.8838,-25.7171,-25.552
81,2.46744,-26.297,-26.1251,-25.9546,-25.7852,-25.6173,-25.4503,-25.2851
82,2.51456,-26.0329,-25.8609,-25.6901,-25.5206,-25.3525,-25.1854,-25.0201
83,2.56223,-25.7705,-25.5983,-25.4274,-25.2577,-25.0895,-24.9222,-24.7569
84,2.61045,-25.5098,-25.3375,-25.1664,-24.9965,-24.8283,-24.6609,-24.4955
85,2.65923,-25.2507,-25.0782,-24.9071,-24.7371,-24.5688,-24.4013,-24.2359
86,2.70857,-24.9933,-24.8207,-24.6494,-24.4793,-24.311,-24.1435,-23.9781
87,2.75849,-24.7374,-24.5648,-24.3935,-24.2233,-24.055,-23.8874,-23.722
88,2.80898,-24.4832,-24.3106,-24.1392,-23.969,-23.8007,-23.6331,-23.4678
89,2.86006,-24.2307,-24.058,-23.8866,-23.7164,-23.5481,-23.3806,-23.2153
90,2.91173,-23.9797,-23.807,-23.6357,-23.4655,-23.2973,-23.1298,-22.9647
91,2.964,-23.7304,-23.5578,-23.3864,-23.2164,-23.0482,-22.8807,-22.7157
92,3.01688,-23.4827,-23.3101,-23.1389,-22.9688,-22.8008,-22.6334,-22.4686
93,3.07036,-23.2366,-23.0641,-22.893,-22.723,-22.5551,-22.3878,-22.2232
94,3.12447,-22.9922,-22.8198,-22.6487,-22.4789,-22.3112,-22.1441,-21.9796
95,3.1792,-22.7493,-22.577,-22.4061,-22.2365,-22.0689,-21.902,-21.7377
96,3.23457,-22.5081,-22.3359,-22.1652,-21.9957,-21.8283,-21.6617,-21.4975
97,3.29058,-22.2685,-22.0965,-21.9259,-21.7566,-21.5895,-21.4231,-21.2592
98,3.34724,-22.0304,-21.8586,-21.6883,-21.5192,-21.3523,-21.1862,-21.0225
99,3.40456,-21.794,-21.6224,-21.4524,-21.2835,-21.1169,-20.9511,-20.7876
100,3.46253,-21.5592,-21.3879,-21.218,-21.0494,-20.8831,-20.7176,-20.5544
101,3.52119,-21.326,-21.1549,-20.9854,-20.817,-20.651,-20.4859,-20.323
102,3.58052,-21.0944,-20.9236,-20.7543,-20.5863,-20.4206,-20.2558,-20.0932
103,3.64053,-20.8644,-20.6939,-20.525,-20.3572,-20.1919,-20.0275,-19.8652
104,3.70125,-20.6359,-20.4658,-20.2972,-20.1298,-19.9649,-19.8009,-19.639
105,3.76266,-20.4091,-20.2393,-20.0711,-19.904,-19.7395,-19.5759,-19.4144
106,3.82479,-20.1839,-20.0144,-19.8466,-19.6799,-19.5158,-19.3527,-19.1915
107,3.88764,-19.9603,-19.7912,-19.6237,-19.4574,-19.2938,-19.1311,-18.9704
108,3.95121,-19.7382,-19.5695,-19.4025,-19.2366,-19.0734,-18.9112,-18.7509
109,4.01552,-19.5178,-19.3495,-19.1829,-19.0175,-18.8547,-18.693,-18.5332
110,4.08058,-19.2989,-19.131,-18.965,-18.8,-18.6377,-18.4765,-18.3171
111,4.14639,-19.0816,-18.9142,-18.7486,-18.5841,-18.4223,-18.2617,-18.1027
