gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
74,11.9634,-4.22801,-4.22436,-4.21898,-4.14538,-4.14215,-4.13714,-4.04827,-4.04541,-4.04082,-3.93854,-3.93617,-3.93219,-3.8195,-3.81768,-3.81414
75,12.3609,-4.18778,-4.18411,-4.17871,-4.10766,-4.10445,-4.09942,-4.01344,-4.01058,-4.00598,-3.90687,-3.90444,-3.90038,-3.79099,-3.78911,-3.78551
76,12.77,-4.14779,-4.14414,-4.13873,-4.07012,-4.06694,-4.06189,-3.97871,-3.97587,-3.97126,-3.87522,-3.87276,-3.86859,-3.76241,-3.76048,-3.75691
77,13.1911,-4.10805,-4.10442,-4.09901,-4.03279,-4.02961,-4.02455,-3.94407,-3.94124,-3.93662,-3.84358,-3.84111,-3.83692,-3.73376,-3.73181,-3.72824
78,13.6246,-4.06856,-4.06494,-4.05954,-3.99564,-3.99245,-3.9874,-3.90957,-3.90672,-3.9021,-3.81198,-3.80947,-3.8053,-3.70513,-3.70314,-3.69952
79,14.0707,-4.02931,-4.02571,-4.02031,-3.95867,-3.95546,-3.95042,-3.87521,-3.87231,-3.86768,-3.78037,-3.77785,-3.77368,-3.67651,-3.67442,-3.67075
80,14.5299,-3.9903,-3.98672,-3.98132,-3.92191,-3.91865,-3.91362,-3.84098,-3.83798,-3.83339,-3.74881,-3.74628,-3.74211,-3.64784,-3.64573,-3.64195
81,15.0026,-3.95153,-3.94797,-3.94258,-3.88536,-3.88201,-3.87701,-3.80686,-3.8038,-3.7992,-3.71734,-3.71476,-3.71056,-3.61915,-3.617,-3.61319
82,15.4891,-3.91299,-3.90945,-3.90407,-3.84896,-3.84555,-3.84056,-3.77285,-3.76978,-3.76512,-3.68593,-3.68325,-3.67905,-3.59041,-3.58823,-3.58444
83,15.9899,-3.8747,-3.87117,-3.8658,-3.81273,-3.80928,-3.8043,-3.73893,-3.73586,-3.73113,-3.65455,-3.65186,-3.64756,-3.56163,-3.55942,-3.55565
84,16.5054,-3.83664,-3.83312,-3.82775,-3.77667,-3.77321,-3.76821,-3.70512,-3.70203,-3.69728,-3.62321,-3.62051,-3.61614,-3.53284,-3.53064,-3.52683
85,17.036,-3.79881,-3.7953,-3.78995,-3.74077,-3.7373,-3.7323,-3.67141,-3.66832,-3.66356,-3.59192,-3.58921,-3.58483,-3.5041,-3.50181,-3.49797
86,17.5821,-3.76121,-3.75771,-3.75239,-3.70503,-3.70158,-3.69655,-3.63781,-3.63472,-3.62996,-3.56067,-3.55796,-3.5536,-3.47534,-3.47302,-3.46911
87,18.1442,-3.72389,-3.72036,-3.71507,-3.66946,-3.66603,-3.66098,-3.60431,-3.60122,-3.59648,-3.52947,-3.52674,-3.5224,-3.44659,-3.44426,-3.44026
88,18.7228,-3.68679,-3.68324,-3.67799,-3.63407,-3.63066,-3.62558,-3.57091,-3.56785,-3.56313,-3.4983,-3.49557,-3.49125,-3.41783,-3.41548,-3.41148
89,19.3184,-3.64992,-3.64633,-3.64112,-3.59884,-3.59545,-3.59039,-3.53764,-3.53459,-3.52987,-3.46722,-3.46448,-3.46015,-3.38907,-3.38669,-3.38272
90,19.9314,-3.61327,-3.60965,-3.60448,-3.56379,-3.56043,-3.55541,-3.50449,-3.50145,-3.49674,-3.4362,-3.43344,-3.42912,-3.36027,-3.35788,-3.35395
91,20.5623,-3.57684,-3.57319,-3.56805,-3.52893,-3.52559,-3.52058,-3.47146,-3.46842,-3.46373,-3.40529,-3.40246,-3.39814,-3.33151,-3.32911,-3.32518
92,21.2118,-3.54063,-3.53697,-3.53184,-3.49424,-3.49092,-3.48592,-3.4386,-3.4355,-3.43085,-3.37442,-3.37156,-3.36724,-3.30279,-3.30033,-3.29641
93,21.8803,-3.50463,-3.50097,-3.49586,-3.45972,-3.45641,-3.45143,-3.40586,-3.40272,-3.39809,-3.34364,-3.34077,-3.33639,-3.27411,-3.27159,-3.26765
94,22.5684,-3.46885,-3.4652,-3.4601,-3.42538,-3.42208,-3.41712,-3.37326,-3.37009,-3.36546,-3.31291,-3.31004,-3.30562,-3.24543,-3.24292,-3.23889
95,23.2766,-3.43328,-3.42964,-3.42455,-3.39122,-3.38792,-3.38298,-3.34078,-3.3376,-3.33296,-3.28225,-3.27939,-3.27493,-3.21678,-3.21426,-3.21019
96,24.0056,-3.39792,-3.39429,-3.38923,-3.35724,-3.35395,-3.34901,-3.30841,-3.30523,-3.30059,-3.25167,-3.24882,-3.24438,-3.18815,-3.18563,-3.18152
97,24.756,-3.36278,-3.35917,-3.35413,-3.32342,-3.32014,-3.31523,-3.27618,-3.273,-3.26834,-3.22119,-3.21834,-3.21394,-3.15955,-3.15702,-3.15295
98,25.5283,-3.32786,-3.32427,-3.31925,-3.28978,-3.28652,-3.28163,-3.24408,-3.2409,-3.23623,-3.19078,-3.18794,-3.18356,-3.13098,-3.12844,-3.12441
99,26.3233,-3.29315,-3.2896,-3.28458,-3.25635,-3.25307,-3.24823,-3.21211,-3.20896,-3.20426,-3.16045,-3.15762,-3.15327,-3.10244,-3.09993,-3.09592
100,27.1416,-3.25866,-3.25514,-3.25013,-3.2231,-3.2198,-3.215,-3.18027,-3.17714,-3.17245,-3.13021,-3.1274,-3.12307,-3.07397,-3.07146,-3.06747
101,27.9838,-3.22439,-3.22089,-3.2159,-3.19002,-3.18671,-3.18195,-3.14857,-3.14545,-3.1408,-3.10009,-3.09726,-3.09295,-3.04556,-3.04303,-3.03905
102,28.8508,-3.19034,-3.18688,-3.1819,-3.15713,-3.1538,-3.14908,-3.117,-3.1139,-3.10929,-3.07007,-3.06723,-3.06293,-3.01724,-3.01466,-3.01068
103,29.7431,-3.15652,-3.15309,-3.14815,-3.12442,-3.12108,-3.11639,-3.08558,-3.08251,-3.07792,-3.04017,-3.03731,-3.03301,-2.98898,-2.98634,-2.98236
104,30.6616,-3.12293,-3.11952,-3.11461,-3.09189,-3.08855,-3.08389,-3.05429,-3.05126,-3.0467,-3.01038,-3.00749,-3.00322,-2.96077,-2.95812,-2.95411
105,31.607,-3.08955,-3.08617,-3.08129,-3.05955,-3.05623,-3.0516,-3.02316,-3.02014,-3.01561,-2.98068,-2.97776,-2.97353,-2.93262,-2.92997,-2.9259
106,32.5802,-3.05639,-3.05303,-3.04819,-3.02741,-3.02411,-3.01949,-2.99218,-2.98918,-2.98467,-2.95109,-2.94818,-2.94394,-2.90453,-2.90188,-2.89781
107,33.5818,-3.02345,-3.02012,-3.0153,-2.99546,-2.99218,-2.98757,-2.96136,-2.95838,-2.95389,-2.92162,-2.91872,-2.91446,-2.8765,-2.87388,-2.86982
108,34.6128,-2.99073,-2.98743,-2.98263,-2.96369,-2.96043,-2.95584,-2.93071,-2.92775,-2.92329,-2.89227,-2.88937,-2.88511,-2.84855,-2.84594,-2.84191
109,35.674,-2.95823,-2.95496,-2.95019,-2.93212,-2.92887,-2.9243,-2.90023,-2.89728,-2.89284,-2.86302,-2.86014,-2.85588,-2.82068,-2.81809,-2.81408
110,36.7663,-2.92594,-2.9227,-2.91797,-2.90074,-2.89751,-2.89294,-2.86992,-2.86696,-2.86256,-2.83391,-2.83104,-2.82679,-2.79288,-2.79031,-2.78633
111,37.8906,-2.89388,-2.89067,-2.88597,-2.86955,-2.86634,-2.86179,-2.83978,-2.8368,-2.83244,-2.80493,-2.80209,-2.79785,-2.76516,-2.76261,-2.75867
112,39.0479,-2.86204,-2.85886,-2.85419,-2.83855,-2.83537,-2.83083,-2.8098,-2.80679,-2.80247,-2.77607,-2.77326,-2.76905,-2.73757,-2.73503,-2.7311
113,40.239,-2.83042,-2.82727,-2.82264,-2.80774,-2.80459,-2.80007,-2.77998,-2.77697,-2.77268,-2.74734,-2.74455,-2.74038,-2.71009,-2.70756,-2.70365
114,41.4651,-2.79902,-2.7959,-2.79131,-2.77714,-2.77401,-2.76953,-2.75033,-2.7473,-2.74305,-2.71876,-2.71598,-2.71183,-2.68273,-2.68017,-2.6763
115,42.7271,-2.76785,-2.76475,-2.7602,-2.74673,-2.74363,-2.73918,-2.72084,-2.71782,-2.7136,-2.6903,-2.68755,-2.68341,-2.65549,-2.65288,-2.64903
116,44.0261,-2.7369,-2.73383,-2.72932,-2.71651,-2.71345,-2.70903,-2.69153,-2.68853,-2.68432,-2.66199,-2.65926,-2.65514,-2.62834,-2.6257,-2.62188
117,45.3631,-2.70618,-2.70313,-2.69866,-2.6865,-2.68347,-2.67909,-2.66238,-2.6594,-2.65522,-2.63381,-2.63111,-2.62702,-2.6013,-2.59866,-2.59484
118,46.7394,-2.67568,-2.67266,-2.66823,-2.65669,-2.65368,-2.64935,-2.63341,-2.63044,-2.62628,-2.60579,-2.60311,-2.59905,-2.57438,-2.57175,-2.56792
119,48.1559,-2.64541,-2.64242,-2.63802,-2.62708,-2.62411,-2.61981,-2.60462,-2.60166,-2.59753,-2.57793,-2.57526,-2.57123,-2.54757,-2.54495,-2.5411
120,49.614,-2.61537,-2.6124,-2.60804,-2.59768,-2.59474,-2.59047,-2.576,-2.57307,-2.56896,-2.55021,-2.54755,-2.54355,-2.52087,-2.51827,-2.51442
121,51.1148,-2.58555,-2.58261,-2.5783,-2.56849,-2.56558,-2.56134,-2.54756,-2.54466,-2.54057,-2.52266,-2.51999,-2.51603,-2.4943,-2.4917,-2.48787
122,52.6596,-2.55598,-2.55306,-2.54879,-2.5395,-2.53662,-2.53242,-2.51931,-2.51643,-2.51236,-2.49527,-2.4926,-2.48867,-2.46784,-2.46527,-2.46146
123,54.2497,-2.52664,-2.52374,-2.51951,-2.51073,-2.50788,-2.50371,-2.49124,-2.48839,-2.48434,-2.46804,-2.46536,-2.46147,-2.44152,-2.43897,-2.43519
