gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
47,4.61847,5.68798e-005,7.05934e-005,5.68798e-005,0.000260592,0.00032342,0.000260592,0.000536627,0.000666006,0.000536627,0.000459821,0.000570683,0.000459821,0.000171317,0.000212621,0.000171317
48,4.8007,5.0401e-005,6.25525e-005,5.0401e-005,0.000232062,0.000288012,0.000232062,0.000477049,0.000592064,0.000477049,0.000404319,0.0005018,0.000404319,0.00014876,0.000184625,0.00014876
49,4.98827,4.46547e-005,5.54208e-005,4.46547e-005,0.000204022,0.00025321,0.000204022,0.000421705,0.000523377,0.000421705,0.000367642,0.000456279,0.000367642,0.00014154,0.000175664,0.00014154
50,5.18134,4.16531e-005,5.16955e-005,4.16531e-005,0.00019226,0.000238614,0.00019226,0.000398808,0.00049496,0.000398808,0.000344596,0.000427677,0.000344596,0.000129314,0.000160491,0.000129314
51,5.38006,3.63252e-005,4.50831e-005,3.63252e-005,0.000168269,0.000208838,0.000168269,0.000351277,0.000435968,0.000351277,0.000301445,0.000374122,0.000301445,0.000110712,0.000137404,0.000110712
52,5.58461,3.35806e-005,4.16768e-005,3.35806e-005,0.000154656,0.000191943,0.000154656,0.000323368,0.000401331,0.000323368,0.000281408,0.000349255,0.000281408,0.000105949,0.000131493,0.000105949
53,5.79515,3.00349e-005,3.72762e-005,3.00349e-005,0.000138241,0.000171571,0.000138241,0.000283967,0.00035243,0.000283967,0.000243447,0.000302142,0.000243447,9.19071e-005,0.000114066,9.19071e-005
54,6.01186,2.62665e-005,3.25993e-005,2.62665e-005,0.000120293,0.000149295,0.000120293,0.000248586,0.00030852,0.000248586,0.000215206,0.000267091,0.000215206,8.18773e-005,0.000101618,8.18773e-005
55,6.23493,2.33952e-005,2.90357e-005,2.33952e-005,0.000106335,0.000131972,0.000106335,0.000217406,0.000269822,0.000217406,0.000185957,0.00023079,0.000185957,6.98996e-005,8.67521e-005,6.98996e-005
56,6.46452,2.01839e-005,2.50502e-005,2.01839e-005,9.09848e-005,0.000112921,9.09848e-005,0.000186119,0.000230991,0.000186119,0.000160132,0.000198739,0.000160132,6.03205e-005,7.48635e-005,6.03205e-005
57,6.70085,1.80563e-005,2.24096e-005,1.80563e-005,8.17189e-005,0.000101421,8.17189e-005,0.000168971,0.000209709,0.000168971,0.000146452,0.00018176,0.000146452,5.49191e-005,6.81599e-005,5.49191e-005
58,6.94411,1.56843e-005,1.94657e-005,1.56843e-005,7.08709e-005,8.79576e-005,7.08709e-005,0.000147014,0.000182458,0.000147014,0.000128755,0.000159797,0.000128755,4.9218e-005,6.10843e-005,4.9218e-005
