gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
19,1.16984,-13.7819,-13.7819,-13.7819,-13.7819,-13.7813,-13.1745,-13.1745,-13.1745,-13.1745,-13.1745,-12.561,-12.561,-12.561,-12.561,-12.561,-11.9633,-11.9633,-11.9633,-11.9633,-11.9633,-11.4002,-11.4002,-11.4002,-11.4002,-11.4002
20,1.25101,-13.6531,-13.6531,-13.6531,-13.6531,-13.653,-13.0676,-13.0676,-13.0676,-13.0676,-13.0676,-12.4731,-12.4731,-12.4731,-12.4731,-12.4731,-11.8916,-11.8916,-11.8916,-11.8916,-11.8916,-11.3426,-11.3426,-11.3426,-11.3426,-11.3426
21,1.33455,-13.5281,-13.5281,-13.5281,-13.5281,-13.5273,-12.9624,-12.9624,-12.9624,-12.9624,-12.962,-12.3855,-12.3855,-12.3855,-12.3855,-12.3855,-11.8209,-11.8209,-11.8209,-11.8209,-11.8209,-11.285,-11.285,-11.285,-11.285,-11.285
22,1.42055,-13.4054,-13.4054,-13.4054,-13.4054,-13.4039,-12.8584,-12.8584,-12.8584,-12.8584,-12.8579,-12.3,-12.3,-12.3,-12.3,-12.3,-11.7502,-11.7502,-11.7502,-11.7502,-11.7502,-11.2279,-11.2279,-11.2279,-11.2279,-11.2279
23,1.50907,-13.2854,-13.2854,-13.2854,-13.2854,-13.2834,-12.7563,-12.7563,-12.7563,-12.7563,-12.7554,-12.2155,-12.2155,-12.2155,-12.2155,-12.2154,-11.6803,-11.6803,-11.6803,-11.6803,-11.6803,-11.1702,-11.1702,-11.1702,-11.1702,-11.1702
24,1.60018,-13.1681,-13.1681,-13.1681,-13.1676,-13.1651,-12.6568,-12.6568,-12.6568,-12.6568,-12.6554,-12.1316,-12.1316,-12.1316,-12.1316,-12.1309,-11.6112,-11.6112,-11.6112,-11.6112,-11.6111,-11.1134,-11.1134,-11.1134,-11.1134,-11.1134
25,1.69396,-13.0526,-13.0526,-13.0526,-13.0523,-13.0489,-12.5588,-12.5588,-12.5588,-12.5588,-12.5571,-12.0489,-12.0489,-12.0489,-12.0489,-12.0481,-11.5421,-11.5421,-11.5421,-11.5421,-11.5419,-11.0559,-11.0559,-11.0559,-11.0559,-11.0559
26,1.79048,-12.9394,-12.9394,-12.9394,-12.939,-12.9351,-12.4617,-12.4617,-12.4617,-12.4616,-12.4595,-11.9664,-11.9664,-11.9664,-11.9664,-11.9656,-11.4736,-11.4736,-11.4736,-11.4736,-11.4733,-10.9992,-10.9992,-10.9992,-10.9992,-10.9991
27,1.88984,-12.8294,-12.8294,-12.8294,-12.8281,-12.8236,-12.3662,-12.3662,-12.3662,-12.3661,-12.3629,-11.8855,-11.8855,-11.8855,-11.8855,-11.8837,-11.4056,-11.4056,-11.4056,-11.4056,-11.4047,-10.9422,-10.9422,-10.9422,-10.9422,-10.9421
28,1.99211,-12.7209,-12.7209,-12.7209,-12.7193,-12.7141,-12.272,-12.272,-12.272,-12.2717,-12.2683,-11.8057,-11.8057,-11.8057,-11.8056,-11.8035,-11.3372,-11.3372,-11.3372,-11.3372,-11.3363,-10.8856,-10.8856,-10.8856,-10.8856,-10.8849
29,2.09737,-12.6138,-12.6138,-12.6138,-12.612,-12.6063,-12.179,-12.179,-12.179,-12.178,-12.1746,-11.7261,-11.7261,-11.7261,-11.7258,-11.7231,-11.27,-11.27,-11.27,-11.27,-11.2684,-10.8287,-10.8287,-10.8287,-10.8287,-10.8281
30,2.20572,-12.5081,-12.5081,-12.5078,-12.5055,-12.4998,-12.0874,-12.0874,-12.0874,-12.0862,-12.0819,-11.6468,-11.6468,-11.6468,-11.6464,-11.6434,-11.203,-11.203,-11.203,-11.203,-11.2011,-10.7719,-10.7719,-10.7719,-10.7719,-10.7707
