gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
89,65.2029,61.9051,62.4961,62.8502,60.031,60.616,61.0903,58.4409,58.6755,60.0764,61.9051,62.4961,62.8502,60.031,60.616,61.0903,58.4409,58.6755,60.0764,61.9051,62.4961,62.8502,60.031,60.616,61.0903,58.4409,58.6755,60.0764,62.8915,62.866,62.8502,63.1124,63.0812,63.0626,63.3736,63.3615,63.2814,62.8915,62.866,62.8502,63.1124,63.0812,63.0626,63.3736,63.3615,63.2814,62.8915,62.866,62.8502,63.1124,63.0812,63.0626,63.3736,63.3615,63.2814,63.8779,63.2359,62.8502,66.1942,65.5466,65.035,68.3073,68.0481,66.4868,63.8779,63.2359,62.8502,66.1942,65.5466,65.035,68.3073,68.0481,66.4868,63.8779,63.2359,62.8502,66.1942,65.5466,65.035,68.3073,68.0481,66.4868
90,68.0635,64.897,65.2665,65.6366,62.6874,63.2982,63.7933,61.0214,61.2663,62.7279,64.897,65.2665,65.6366,62.6874,63.2982,63.7933,61.0214,61.2663,62.7279,64.897,65.2665,65.6366,62.6874,63.2982,63.7933,61.0214,61.2663,62.7279,65.6693,65.6527,65.6366,65.9044,65.8718,65.8523,66.1711,66.1583,66.0739,65.6693,65.6527,65.6366,65.9044,65.8718,65.8523,66.1711,66.1583,66.0739,65.6693,65.6527,65.6366,65.9044,65.8718,65.8523,66.1711,66.1583,66.0739,66.4417,66.0388,65.6366,69.1216,68.4455,67.9113,71.322,71.051,69.4201,66.4417,66.0388,65.6366,69.1216,68.4455,67.9113,71.322,71.051,69.4201,66.4417,66.0388,65.6366,69.1216,68.4455,67.9113,71.322,71.051,69.4201
91,71.0466,67.7704,68.1559,68.4132,65.4579,66.0955,66.6122,63.8403,63.9683,65.4933,67.7704,68.1559,68.4132,65.4579,66.0955,66.6122,63.8403,63.9683,65.4933,67.7704,68.1559,68.4132,65.4579,66.0955,66.6122,63.8403,63.9683,65.4933,68.5766,68.559,68.5476,68.8161,68.7821,68.7615,69.0818,69.0751,68.9862,68.5766,68.559,68.5476,68.8161,68.7821,68.7615,69.0818,69.0751,68.9862,68.5766,68.559,68.5476,68.8161,68.7821,68.7615,69.0818,69.0751,68.9862,69.3829,68.9621,68.682,72.1747,71.4689,70.9109,74.3244,74.1829,72.4793,69.3829,68.9621,68.682,72.1747,71.4689,70.9109,74.3244,74.1829,72.4793,69.3829,68.9621,68.682,72.1747,71.4689,70.9109,74.3244,74.1829,72.4793
92,74.1574,70.767,71.1692,71.4382,68.2157,69.147,69.552,66.6528,66.919,68.3773,70.767,71.1692,71.4382,68.2157,69.147,69.552,66.6528,66.919,68.3773,70.767,71.1692,71.4382,68.2157,69.147,69.552,66.6528,66.919,68.3773,71.6086,71.59,71.5785,71.8616,71.8112,71.7956,72.1244,72.1099,72.0233,71.6086,71.59,71.5785,71.8616,71.8112,71.7956,72.1244,72.1099,72.0233,71.6086,71.59,71.5785,71.8616,71.8112,71.7956,72.1244,72.1099,72.0233,72.4502,72.0108,71.7187,75.5078,74.4757,74.0393,77.5975,77.3018,75.6696,72.4502,72.0108,71.7187,75.5078,74.4757,74.0393,77.5975,77.3018,75.6696,72.4502,72.0108,71.7187,75.5078,74.4757,74.0393,77.5975,77.3018,75.6696
93,77.4014,73.8921,74.1726,74.5929,71.2233,72.1953,72.6179,69.586,69.8638,71.385,73.8921,74.1726,74.5929,71.2233,72.1953,72.6179,69.586,69.8638,71.385,73.8921,74.1726,74.5929,71.2233,72.1953,72.6179,69.586,69.8638,71.385,74.7706,74.7582,74.7394,75.0289,74.9764,74.9598,75.2978,75.2824,75.1907,74.7706,74.7582,74.7394,75.0289,74.9764,74.9598,75.2978,75.2824,75.1907,74.7706,74.7582,74.7394,75.0289,74.9764,74.9598,75.2978,75.2824,75.1907,75.6491,75.3439,74.8858,78.835,77.7576,77.3019,81.0121,80.7025,78.9968,75.6491,75.3439,74.8858,78.835,77.7576,77.3019,81.0121,80.7025,78.9968,75.6491,75.3439,74.8858,78.835,77.7576,77.3019,81.0121,80.7025,78.9968
94,80.7843,77.1513,77.4438,77.7359,74.3598,75.3745,75.8153,72.7901,72.9351,74.5217,77.1513,77.4438,77.7359,74.3598,75.3745,75.8153,72.7901,72.9351,74.5217,77.1513,77.4438,77.7359,74.3598,75.3745,75.8153,72.7901,72.9351,74.5217,78.0682,78.055,78.0416,78.3322,78.2773,78.2598,78.5994,78.5914,78.4941,78.0682,78.055,78.0416,78.3322,78.2773,78.2598,78.5994,78.5914,78.4941,78.0682,78.055,78.0416,78.3322,78.2773,78.2598,78.5994,78.5914,78.4941,78.9852,78.6663,78.3473,82.305,81.1802,80.7044,84.4126,84.2506,82.4669,78.9852,78.6663,78.3473,82.305,81.1802,80.7044,84.4126,84.2506,82.4669,78.9852,78.6663,78.3473,82.305,81.1802,80.7044,84.4126,84.2506,82.4669
95,84.3121,80.5502,80.8552,81.1606,77.631,78.8428,79.1499,75.987,77.3426,77.7929,80.5502,80.8552,81.1606,77.631,78.8428,79.1499,75.987,77.3426,77.7929,80.5502,80.8552,81.1606,77.631,78.8428,79.1499,75.987,77.3426,77.7929,81.5073,81.4932,81.4796,81.7772,81.713,81.7013,82.0519,81.9683,81.9392,81.5073,81.4932,81.4796,81.7772,81.713,81.7013,82.0519,81.9683,81.9392,81.5073,81.4932,81.4796,81.7772,81.713,81.7013,82.0519,81.9683,81.9392,82.4643,82.1312,81.7987,85.9243,84.5835,84.2528,88.1267,86.5957,86.0863,82.4643,82.1312,81.7987,85.9243,84.5835,84.2528,88.1267,86.5957,86.0863,82.4643,82.1312,81.7987,85.9243,84.5835,84.2528,88.1267,86.5957,86.0863
96,87.991,84.0949,84.413,84.7322,81.0426,82.3071,82.6276,79.1641,80.7351,81.2045,84.0949,84.413,84.7322,81.0426,82.3071,82.6276,79.1641,80.7351,81.2045,84.0949,84.413,84.7322,81.0426,82.3071,82.6276,79.1641,80.7351,81.2045,85.0938,85.0789,85.0652,85.3704,85.3028,85.2905,85.6669,85.5638,85.5324,85.0938,85.0789,85.0652,85.3704,85.3028,85.2905,85.6669,85.5638,85.5324,85.0938,85.0789,85.0652,85.3704,85.3028,85.2905,85.6669,85.5638,85.5324,86.0927,85.7448,85.3982,89.7011,88.2987,87.9535,92.2016,90.3985,89.8634,86.0927,85.7448,85.3982,89.7011,88.2987,87.9535,92.2016,90.3985,89.8634,86.0927,85.7448,85.3982,89.7011,88.2987,87.9535,92.2016,90.3985,89.8634
97,91.8274,87.7916,88.1234,88.4569,84.6007,85.92,86.422,72.9332,82.9647,84.7627,87.7916,88.1234,88.4569,84.6007,85.92,86.422,72.9332,82.9647,84.7627,87.7916,88.1234,88.4569,84.6007,85.92,86.422,72.9332,82.9647,84.7627,88.8341,88.8184,88.8045,89.1195,89.0467,89.0276,90.8173,89.4105,89.2818,88.8341,88.8184,88.8045,89.1195,89.0467,89.0276,90.8173,89.4105,89.2818,88.8341,88.8184,88.8045,89.1195,89.0467,89.0276,90.8173,89.4105,89.2818,89.8766,89.5133,89.152,93.6524,92.1742,91.6332,109.006,95.9173,93.8159,89.8766,89.5133,89.152,93.6524,92.1742,91.6332,109.006,95.9173,93.8159,89.8766,89.5133,89.152,93.6524,92.1742,91.6332,109.006,95.9173,93.8159
98,95.828,91.6468,91.8205,92.1668,88.3126,89.6881,90.2116,76.1803,86.263,88.3053,91.6468,91.8205,92.1668,88.3126,89.6881,90.2116,76.1803,86.263,88.3053,91.6468,91.8205,92.1668,88.3126,89.6881,90.2116,76.1803,86.263,88.3053,92.7348,92.7271,92.7108,93.039,92.953,92.931,94.9123,93.394,93.2167,92.7348,92.7271,92.7108,93.039,92.953,92.931,94.9123,93.394,93.2167,92.7348,92.7271,92.7108,93.039,92.953,92.931,94.9123,93.394,93.2167,93.8228,93.6337,93.2549,97.837,96.2321,95.6506,113.931,100.692,98.2106,93.8228,93.6337,93.2549,97.837,96.2321,95.6506,113.931,100.692,98.2106,93.8228,93.6337,93.2549,97.837,96.2321,95.6506,113.931,100.692,98.2106
99,100,95.6675,95.849,96.2205,92.0128,93.6206,94.164,79.5751,79.5751,91.9991,95.6675,95.849,96.2205,92.0128,93.6206,94.164,79.5751,79.5751,91.9991,95.6675,95.849,96.2205,92.0128,93.6206,94.164,79.5751,79.5751,91.9991,96.8289,96.8204,96.8034,97.1946,97.0639,97.0336,99.2122,99.2122,97.3811,96.8289,96.8204,96.8034,97.1946,97.0639,97.0336,99.2122,99.2122,97.3811,96.8289,96.8204,96.8034,97.1946,97.0639,97.0336,99.2122,99.2122,97.3811,97.9947,97.7919,97.3863,102.477,100.567,99.9478,119.067,119.067,102.863,97.9947,97.7919,97.3863,102.477,100.567,99.9478,119.067,119.067,102.863,97.9947,97.7919,97.3863,102.477,100.567,99.9478,119.067,119.067,102.863
