gridnumber,capital,dist[0 0],dist[1 0],dist[2 0],dist[3 0],dist[4 0]
0,0,0.019315,0.0461599,0.0436309,0.015472,0.00218651
1,0.0468873,0.00643989,0.0159561,0.0156539,0.00589064,0.000928723
2,0.0951487,0.00565091,0.0184043,0.0236311,0.0102997,0.00156679
3,0.144824,0.00597934,0.0199179,0.0245802,0.0103703,0.00160566
4,0.195956,0.00421881,0.0142501,0.0179925,0.00783756,0.00127366
5,0.248585,0.00376411,0.0140762,0.021069,0.0118386,0.00252802
6,0.302757,0.00322589,0.01339,0.0211653,0.0114706,0.00225125
7,0.358517,0.00259524,0.0111297,0.0187188,0.0111877,0.00244406
8,0.41591,0.00244581,0.0107496,0.0180433,0.0104965,0.00220517
9,0.474986,0.00202097,0.00899976,0.0158048,0.00994646,0.00227976
10,0.535792,0.00173143,0.00816709,0.0150097,0.00985136,0.00247608
11,0.598381,0.00153669,0.00744724,0.0145492,0.0104514,0.00288394
12,0.662804,0.00138601,0.00688627,0.0136296,0.0098472,0.00273927
13,0.729114,0.00116116,0.00601211,0.0125629,0.00960531,0.00279824
14,0.797368,0.00100463,0.00526384,0.0112744,0.00896611,0.0027669
15,0.867622,0.000886375,0.00476486,0.0104151,0.00844732,0.00267105
16,0.939934,0.000778373,0.00429291,0.00960087,0.00788688,0.00248128
17,1.01437,0.000672455,0.00377424,0.00871697,0.00754612,0.00256598
18,1.09098,0.000575889,0.00331803,0.00788355,0.00706564,0.00251861
19,1.16984,0.000496634,0.0029341,0.00717161,0.00664109,0.00245835
20,1.25101,0.000429921,0.00260538,0.00648108,0.00611963,0.00233496
21,1.33455,0.000363604,0.00226072,0.00583246,0.00569588,0.00221747
22,1.42055,0.000307989,0.00194106,0.00507374,0.00506949,0.00204719
23,1.50907,0.000260149,0.00169164,0.0045899,0.00475204,0.00197432
24,1.60018,0.00021891,0.00146508,0.00409277,0.00436113,0.00186201
25,1.69396,0.000179758,0.00121368,0.00341617,0.00369603,0.00161627
26,1.79048,0.000150566,0.00104799,0.00305083,0.00343777,0.00157077
27,1.88984,0.000122662,0.000878893,0.00263099,0.00300396,0.00136854
28,1.99211,9.96546e-005,0.00073094,0.00223659,0.00261437,0.00122003
29,2.09737,7.98531e-005,0.000597692,0.00187333,0.00225324,0.00108226
30,2.20572,6.35174e-005,0.000491373,0.00159523,0.00198393,0.00097978
31,2.31725,5.01845e-005,0.000401618,0.00133694,0.00168489,0.000835806
32,2.43204,3.88668e-005,0.000320089,0.00109703,0.00141951,0.000719098
33,2.5502,2.98281e-005,0.000249351,0.000863514,0.0011299,0.000579065
34,2.67182,2.27303e-005,0.000196502,0.000710448,0.000974675,0.00052088
35,2.797,1.70973e-005,0.000151358,0.000552858,0.000758176,0.000403151
36,2.92586,1.24968e-005,0.000114952,0.00043842,0.000624332,0.000341229
37,3.05848,9.0524e-006,8.60124e-005,0.000337997,0.000492439,0.000273286
38,3.195,6.42859e-006,6.21765e-005,0.000247769,0.000365207,0.000204489
39,3.33551,4.55497e-006,4.53817e-005,0.000185372,0.000278437,0.000157944
40,3.48015,3.13333e-006,3.24259e-005,0.000138581,0.000217405,0.000127544
41,3.62902,2.1197e-006,2.25705e-005,9.75669e-005,0.000152763,8.90439e-005
42,3.78225,1.39042e-006,1.53974e-005,6.91226e-005,0.000111578,6.64328e-005
43,3.93998,9.01782e-007,1.03622e-005,4.82169e-005,8.00737e-005,4.86031e-005
44,4.10232,5.72936e-007,6.80368e-006,3.23708e-005,5.43894e-005,3.31944e-005
45,4.26943,3.48385e-007,4.22203e-006,2.04855e-005,3.50156e-005,2.1639e-005
46,4.44143,2.08244e-007,2.61346e-006,1.30792e-005,2.28707e-005,1.43421e-005
47,4.61847,1.21612e-007,1.59308e-006,8.30577e-006,1.49741e-005,9.57528e-006
48,4.8007,6.94206e-008,9.50164e-007,5.13806e-006,9.49102e-006,6.1572e-006
49,4.98827,3.80688e-008,5.32675e-007,2.8953e-006,5.33511e-006,3.44884e-006
50,5.18134,2.0137e-008,2.93153e-007,1.64536e-006,3.09899e-006,2.03031e-006
51,5.38006,1.03169e-008,1.59209e-007,9.3729e-007,1.82064e-006,1.21438e-006
52,5.58461,5.03368e-009,8.12327e-008,4.95666e-007,9.84817e-007,6.6544e-007
53,5.79515,2.39016e-009,4.02287e-008,2.52663e-007,5.10275e-007,3.47824e-007
54,6.01186,1.05502e-009,1.80891e-008,1.15155e-007,2.34514e-007,1.60618e-007
55,6.23493,4.5959e-010,8.2876e-009,5.51895e-008,1.15777e-007,8.06761e-008
56,6.46452,1.90551e-010,3.55942e-009,2.42331e-008,5.14484e-008,3.6076e-008
57,6.70085,7.55217e-011,1.48479e-009,1.04428e-008,2.25528e-008,1.5953e-008
58,6.94411,2.84059e-011,5.94188e-010,4.34747e-009,9.58501e-009,6.85199e-009
59,7.19449,1.02858e-011,2.2671e-010,1.71196e-009,3.83524e-009,2.76382e-009
60,7.45221,3.3339e-012,7.48294e-011,5.70496e-010,1.28381e-009,9.27161e-010
61,7.71748,1.06572e-012,2.491e-011,1.9417e-010,4.41636e-010,3.20624e-010
62,7.99052,3.17182e-013,7.73793e-012,6.17674e-011,1.42127e-010,1.03778e-010
63,8.27157,9.14485e-014,2.35058e-012,1.93242e-011,4.51168e-011,3.31837e-011
64,8.56085,2.38292e-014,6.33845e-013,5.30642e-012,1.24975e-011,9.2316e-012
65,8.85861,5.75668e-015,1.59413e-013,1.36349e-012,3.24467e-012,2.40911e-012
66,9.16509,1.29814e-015,3.77973e-014,3.31446e-013,7.97906e-013,5.95765e-013
67,9.48056,2.70545e-016,8.32012e-015,7.48196e-014,1.82141e-013,1.36721e-013
68,9.80527,5.03266e-017,1.62917e-015,1.50126e-014,3.69542e-014,2.78875e-014
69,10.1395,7.81408e-018,2.59189e-016,2.4181e-015,5.98689e-015,4.53088e-015
70,10.4835,1.06552e-018,3.58047e-017,3.36391e-016,8.35682e-016,6.33507e-016
71,10.8376,1.45551e-019,5.06888e-018,4.84832e-017,1.21452e-016,9.24433e-017
72,11.2021,1.83631e-020,6.6019e-019,6.41187e-018,1.61741e-017,1.23524e-017
73,11.5773,2.05829e-021,7.60596e-020,7.4808e-019,1.8977e-018,1.45321e-018
74,11.9634,2.14708e-022,8.22816e-021,8.2206e-020,2.0996e-019,1.61299e-019
75,12.3609,2.01578e-023,7.94644e-022,8.02402e-021,2.05827e-020,1.58436e-020
76,12.77,1.58045e-024,6.39558e-023,6.52675e-022,1.6817e-021,1.2972e-021
77,13.1911,8.90333e-026,3.63673e-024,3.72535e-023,9.61416e-023,7.42154e-023
78,13.6246,4.67679e-027,1.95712e-025,2.02546e-024,5.25033e-024,4.06138e-024
79,14.0707,2.16135e-028,9.14546e-027,9.50566e-026,2.46844e-025,1.91104e-025
80,14.5299,9.0049e-030,3.83991e-028,4.00235e-027,1.04051e-026,8.05967e-027
81,15.0026,3.16098e-031,1.35625e-029,1.41686e-028,3.6869e-028,2.85706e-028
82,15.4891,9.29023e-033,4.00289e-031,4.18813e-030,1.09049e-029,8.4528e-030
83,15.9899,2.44384e-034,1.05835e-032,1.10938e-031,2.89073e-031,2.24149e-031
84,16.5054,5.24756e-036,2.28355e-034,2.39781e-033,6.25239e-033,4.84967e-033
85,17.036,8.83463e-038,3.86637e-036,4.06841e-035,1.06177e-034,8.23889e-035
86,17.5821,8.63028e-040,3.79574e-038,4.00192e-037,1.04527e-036,8.11401e-037
87,18.1442,1.77777e-042,7.82579e-041,8.25386e-040,2.15618e-039,1.67387e-039
88,18.7228,3.34008e-045,1.47155e-043,1.55257e-042,4.05643e-042,3.14927e-042
89,19.3184,5.69353e-048,2.51042e-046,2.64952e-045,6.92341e-045,5.37544e-045
90,19.9314,8.74698e-051,3.85976e-049,4.07491e-048,1.06495e-047,8.26894e-048
91,20.5623,1.2017e-053,5.30664e-052,5.60414e-051,1.46479e-050,1.13743e-050
92,21.2118,1.46406e-056,6.46981e-055,6.8345e-054,1.7866e-053,1.38739e-053
93,21.8803,1.5658e-059,6.92413e-058,7.31645e-057,1.91281e-056,1.48549e-056
94,22.5684,1.45139e-062,6.42236e-061,6.78805e-060,1.77486e-059,1.37843e-059
95,23.2766,1.14684e-065,5.0779e-064,5.36838e-063,1.40381e-062,1.09031e-062
96,24.0056,7.54668e-069,3.34347e-067,3.5356e-066,9.24644e-066,7.18187e-066
97,24.756,3.99256e-072,1.76991e-070,1.87208e-069,4.89644e-069,3.80333e-069
98,25.5283,1.60867e-075,7.13547e-074,7.54915e-073,1.97469e-072,1.53392e-072
99,26.3233,4.52701e-079,2.00913e-077,2.12609e-076,5.56191e-076,4.32064e-076
100,27.1416,7.49123e-083,3.32646e-081,3.52086e-080,9.21151e-080,7.15605e-080
101,27.9838,4.09381e-087,1.81873e-085,1.9254e-084,5.03778e-084,3.9138e-084
102,28.8508,0,0,0,0,0
103,29.7431,0,0,0,0,0
104,30.6616,0,0,0,0,0
105,31.607,0,0,0,0,0
106,32.5802,0,0,0,0,0
107,33.5818,0,0,0,0,0
108,34.6128,0,0,0,0,0
109,35.674,0,0,0,0,0
110,36.7663,0,0,0,0,0
111,37.8906,0,0,0,0,0
112,39.0479,0,0,0,0,0
113,40.239,0,0,0,0,0
114,41.4651,0,0,0,0,0
115,42.7271,0,0,0,0,0
116,44.0261,0,0,0,0,0
117,45.3631,0,0,0,0,0
118,46.7394,0,0,0,0,0
119,48.1559,0,0,0,0,0
120,49.614,0,0,0,0,0
121,51.1148,0,0,0,0,0
122,52.6596,0,0,0,0,0
123,54.2497,0,0,0,0,0
124,55.8863,0,0,0,0,0
125,57.5709,0,0,0,0,0
126,59.3049,0,0,0,0,0
127,61.0897,0,0,0,0,0
128,62.9268,0,0,0,0,0
129,64.8177,0,0,0,0,0
130,66.7641,0,0,0,0,0
131,68.7675,0,0,0,0,0
132,70.8295,0,0,0,0,0
133,72.9521,0,0,0,0,0
134,75.1368,0,0,0,0,0
135,77.3855,0,0,0,0,0
136,79.7002,0,0,0,0,0
137,82.0826,0,0,0,0,0
138,84.5349,0,0,0,0,0
139,87.0591,0,0,0,0,0
140,89.6572,0,0,0,0,0
141,92.3314,0,0,0,0,0
142,95.084,0,0,0,0,0
143,97.9173,0,0,0,0,0
144,100.834,0,0,0,0,0
145,103.835,0,0,0,0,0
146,106.925,0,0,0,0,0
147,110.105,0,0,0,0,0
148,113.379,0,0,0,0,0
149,116.748,0,0,0,0,0
150,120.216,0,0,0,0,0
151,123.786,0,0,0,0,0
152,127.461,0,0,0,0,0
153,131.243,0,0,0,0,0
154,135.136,0,0,0,0,0
155,139.143,0,0,0,0,0
156,143.267,0,0,0,0,0
157,147.512,0,0,0,0,0
158,151.882,0,0,0,0,0
159,156.38,0,0,0,0,0
160,161.009,0,0,0,0,0
161,165.774,0,0,0,0,0
162,170.679,0,0,0,0,0
163,175.728,0,0,0,0,0
164,180.924,0,0,0,0,0
165,186.273,0,0,0,0,0
166,191.779,0,0,0,0,0
167,197.446,0,0,0,0,0
168,203.279,0,0,0,0,0
169,209.282,0,0,0,0,0
170,215.462,0,0,0,0,0
171,221.823,0,0,0,0,0
172,228.37,0,0,0,0,0
173,235.11,0,0,0,0,0
174,242.046,0,0,0,0,0
175,249.186,0,0,0,0,0
176,256.535,0,0,0,0,0
177,264.1,0,0,0,0,0
178,271.886,0,0,0,0,0
179,279.901,0,0,0,0,0
180,288.15,0,0,0,0,0
181,296.641,0,0,0,0,0
182,305.381,0,0,0,0,0
183,314.377,0,0,0,0,0
184,323.636,0,0,0,0,0
185,333.167,0,0,0,0,0
186,342.977,0,0,0,0,0
187,353.075,0,0,0,0,0
188,363.469,0,0,0,0,0
189,374.167,0,0,0,0,0
190,385.179,0,0,0,0,0
191,396.513,0,0,0,0,0
192,408.179,0,0,0,0,0
193,420.188,0,0,0,0,0
194,432.548,0,0,0,0,0
195,445.271,0,0,0,0,0
196,458.366,0,0,0,0,0
197,471.845,0,0,0,0,0
198,485.719,0,0,0,0,0
199,500,0,0,0,0,0
