gridnumber,capital,Portfolio[0],Portfolio[1],Portfolio[2],Portfolio[3],Portfolio[4],Portfolio[5],Portfolio[6]
91,2.964,0,0,0,0.008,0.047,0.1015,0.1775
92,3.01688,0,0,0,0,0.047,0.1015,0.1775
93,3.07036,0,0,0,0.008,0.047,0.1015,0.1775
94,3.12447,0,0,0,0.008,0.047,0.1015,0.178
95,3.1792,0,0,0,0.008,0.0475,0.102,0.1945
96,3.23457,0,0,0,0.008,0.0505,0.107,0.194
97,3.29058,0,0,0,0,0.0475,0.107,0.194
98,3.34724,0,0,0,0.008,0.0475,0.107,0.1945
99,3.40456,0,0,0,0.008,0.0505,0.107,0.1945
100,3.46253,0,0,0,0.008,0.051,0.1115,0.1955
101,3.52119,0,0,0,0.008,0.059,0.143,0.1945
102,3.58052,0,0,0,0.008,0.051,0.143,0.1945
103,3.64053,0,0,0,0.008,0.051,0.153,0.196
104,3.70125,0,0,0,0.008,0.0715,0.1675,0.196
105,3.76266,0,0,0,0.008,0.0885,0.1675,0.1955
106,3.82479,0,0,0,0.008,0.0885,0.168,0.1955
107,3.88764,0,0,0,0.008,0.0885,0.168,0.196
108,3.95121,0,0,0,0.008,0.089,0.168,0.1965
109,4.01552,0,0,0,0.008,0.089,0.1685,0.1975
110,4.08058,0,0,0,0.008,0.089,0.1705,0.199
111,4.14639,0,0,0,0.008,0.089,0.1775,0.1995
112,4.21297,0,0,0,0.008,0.0915,0.1775,0.1995
113,4.28031,0,0,0,0.008,0.0915,0.1775,0.1995
114,4.34843,0,0,0,0.008,0.0915,0.1775,0.1995
115,4.41735,0,0,0,0.008,0.0915,0.178,0.2
116,4.48706,0,0,0,0.008,0.0915,0.178,0.2005
117,4.55758,0,0,0,0.008,0.092,0.194,0.202
118,4.62892,0,0,0,0.008,0.094,0.1945,0.2035
119,4.70108,0,0,0,0.008,0.094,0.1945,0.204
120,4.77408,0,0,0,0.008,0.094,0.1945,0.204
121,4.84793,0,0,0,0.008,0.094,0.1945,0.204
122,4.92263,0,0,0,0.008,0.094,0.1945,0.2065
123,4.99819,0,0,0,0.008,0.0945,0.195,0.2075
124,5.07463,0,0,0,0.008,0.0945,0.195,0.2075
125,5.15196,0,0,0,0.008,0.0945,0.1955,0.208
126,5.23019,0,0,0,0.008,0.0945,0.1955,0.2115
127,5.30931,0,0,0,0.008,0.0945,0.196,0.213
128,5.38936,0,0,0,0.007,0.0945,0.196,0.214
129,5.47033,0,0,0,0.0055,0.1015,0.196,0.214
130,5.55225,0,0,0,0.0065,0.1015,0.196,0.214
131,5.63511,0,0,0,0.007,0.1015,0.1965,0.2145
132,5.71893,0,0,0,0.006,0.1015,0.1975,0.2145
133,5.80372,0,0,0,0.005,0.102,0.1975,0.2145
134,5.88949,0,0,0,0.0045,0.102,0.199,0.2145
135,5.97626,0,0,0,0.005,0.102,0.1995,0.2135
136,6.06403,0,0,0,0.0045,0.107,0.1995,0.2135
137,6.15282,0,0,0,0.004,0.107,0.2,0.214
138,6.24264,0,0,0,0.003,0.107,0.1995,0.214
139,6.3335,0,0,0,0.0035,0.1075,0.1955,0.213
140,6.42541,0,0,0,0.0035,0.1115,0.1955,0.2125
141,6.51839,0,0,0,0.003,0.1425,0.196,0.2085
142,6.61244,0,0,0,0.002,0.1535,0.196,0.2075
143,6.70758,0,0,0,0.002,0.1675,0.195,0.2095
144,6.80383,0,0,0,0.0035,0.1675,0.1945,0.2085
145,6.90119,0,0,0,0.005,0.1655,0.191,0.2075
146,6.99968,0,0,0,0.0045,0.163,0.194,0.2045
147,7.0993,0,0,0,0.0025,0.1595,0.194,0.204
148,7.20009,0,0,0,0.0025,0.157,0.1905,0.204
149,7.30204,0,0,0,0.003,0.153,0.187,0.204
150,7.40517,0,0,0,0.003,0.1485,0.1825,0.2035
151,7.5095,0,0,0,0.002,0.1445,0.178,0.2005
152,7.61503,0,0,0,0.001,0.1405,0.1775,0.2
153,7.72179,0,0,0,0.001,0.137,0.1705,0.2
154,7.82979,0,0,0,0.001,0.1325,0.168,0.199
155,7.93903,0,0,0,0.0005,0.1285,0.1675,0.192
156,8.04955,0,0,0,0,0.124,0.1675,0.186
157,8.16134,0,0,0,0,0.12,0.1655,0.18
158,8.27443,0,0,0,0,0.116,0.163,0.1735
159,8.38882,0,0,0,0,0.1115,0.16,0.1675
160,8.50455,0,0,0,0,0.1075,0.1575,0.1615
161,8.62161,0,0,0,0,0.104,0.153,0.1555
162,8.74003,0,0,0,0,0.1015,0.149,0.1495
163,8.85982,0,0,0,0,0.1015,0.143,0.1435
164,8.981,0,0,0,0,0.1015,0.137,0.1375
165,9.10358,0,0,0,0,0.1015,0.131,0.1315
166,9.22759,0,0,0,0,0.0995,0.125,0.125
167,9.35303,0,0,0,0,0.0955,0.1185,0.119
168,9.47992,0,0,0,0,0.0915,0.1125,0.113
169,9.60828,0,0,0,0,0.0875,0.107,0.1075
170,9.73813,0,0,0,0,0.0835,0.102,0.102
171,9.86949,0,0,0,0,0.0795,0.0965,0.0965
172,10.0024,0,0,0,0,0.0755,0.0905,0.0905
173,10.1368,0,0,0,0,0.0715,0.0845,0.085
174,10.2728,0,0,0,0,0.068,0.079,0.079
175,10.4103,0,0,0,0,0.0645,0.073,0.0735
176,10.5494,0,0,0,0,0.0605,0.0675,0.0675
177,10.6902,0,0,0,0,0.0565,0.062,0.062
178,10.8326,0,0,0,0,0.053,0.056,0.0565
179,10.9766,0,0,0,0,0.049,0.0505,0.0505
180,11.1223,0,0,0,0,0.045,0.045,0.045
181,11.2697,0,0,0,0,0.0395,0.0395,0.0395
182,11.4188,0,0,0,0,0.034,0.034,0.034
183,11.5696,0,0,0,0,0.0285,0.0285,0.0285
184,11.7222,0,0,0,0,0.023,0.023,0.0235
185,11.8766,0,0,0,0,0.018,0.018,0.018
186,12.0327,0,0,0,0,0.0125,0.0125,0.0125
187,12.1906,0,0,0,0,0.007,0.007,0.0075
188,12.3504,0,0,0,0,0.0015,0.0015,0.002
189,12.512,0,0,0,0,0.0035,0.0035,0.004
190,12.6755,0,0,0,0,0.0085,0.009,0.009
191,12.8409,0,0,0,0,0.007,0.007,0.0075
192,13.0082,0,0,0,0,0.0015,0.0015,0.002
193,13.1774,0,0,0,0,0.0035,0.0035,0.004
194,13.3486,0,0,0,0,0.0085,0.009,0.009
195,13.5218,0,0,0,0,0.007,0.007,0.0075
196,13.697,0,0,0,0,0.0015,0.002,0.003
197,13.8742,0,0,0,0,0.0035,0.004,0.007
198,14.0535,0,0,0,0,0.0085,0.009,0.009
199,14.2348,0,0,0,0,0.0035,0.007,0.0075
200,14.4183,0,0,0,0,0.0015,0.002,0.003
201,14.6039,0,0,0,0,0.0035,0.004,0.007
202,14.7916,0,0,0,0,0.0075,0.009,0.009
203,14.9815,0,0,0,0,0.0035,0.007,0.007
204,15.1736,0,0,0,0,0.0015,0.003,0.003
205,15.3679,0,0,0,0,0.0035,0.007,0.007
206,15.5645,0,0,0,0,0.007,0.009,0.009
207,15.7633,0,0,0,0,0.003,0.0035,0.007
208,15.9645,0,0,0,0,0.0015,0.003,0.0035
209,16.168,0,0,0,0,0.0035,0.007,0.0075
210,16.3738,0,0,0,0,0.007,0.0085,0.009
211,16.5821,0,0,0,0,0.003,0.0035,0.007
212,16.7927,0,0,0,0,0.002,0.0035,0.0035
213,17.0058,0,0,0,0,0.004,0.007,0.0075
214,17.2213,0,0,0,0,0.005,0.0075,0.009
215,17.4394,0,0,0,0,0.003,0.0035,0.007
216,17.66,0,0,0,0,0.003,0.0035,0.004
217,17.8831,0,0,0,0,0.004,0.007,0.0075
218,18.1088,0,0,0,0,0.0035,0.007,0.009
219,18.3372,0,0,0,0,0.003,0.0035,0.007
220,18.5681,0,0,0,0,0.003,0.0035,0.007
221,18.8018,0,0,0,0,0.004,0.0075,0.009
222,19.0381,0,0,0,0,0.0035,0.007,0.009
223,19.2772,0,0,0,0,0.003,0.0035,0.007
224,19.5191,0,0,0,0,0.0035,0.004,0.0075
225,19.7638,0,0,0,0,0.0035,0.0075,0.009
226,20.0113,0,0,0,0,0.0035,0.007,0.0085
227,20.2617,0,0,0,0,0.003,0.0035,0.0075
228,20.5149,0,0,0,0,0.0035,0.007,0.0075
229,20.7711,0,0,0,0,0.0035,0.0075,0.009
230,21.0303,0,0,0,0,0.0035,0.007,0.0085
231,21.2925,0,0,0,0,0.0035,0.006,0.0075
232,21.5577,0,0,0,0,0.0035,0.007,0.009
233,21.826,0,0,0,0,0.0035,0.0075,0.0095
234,22.0974,0,0,0,0,0.0035,0.007,0.009
235,22.3719,0,0,0,0,0.0035,0.007,0.0085
236,22.6496,0,0,0,0,0.0035,0.0075,0.009
237,22.9306,0,0,0,0,0.0035,0.007,0.012
238,23.2148,0,0,0,0,0.0035,0.007,0.009
239,23.5023,0,0,0,0,0.0035,0.007,0.009
240,23.7931,0,0,0,0,0.0035,0.0075,0.0125
241,24.0873,0,0,0,0,0.0035,0.0075,0.0125
242,24.3848,0,0,0,0,0.0035,0.007,0.0125
243,24.6859,0,0,0,0,0.0035,0.0075,0.0125
244,24.9904,0,0,0,0,0.0035,0.0075,0.0125
245,25.2985,0,0,0,0,0.0035,0.0075,0.0125
246,25.6101,0,0,0,0,0.0035,0.0075,0.0125
247,25.9253,0,0,0,0,0.0035,0.0075,0.0135
248,26.2442,0,0,0,0,0.0035,0.0075,0.014
249,26.5668,0,0,0,0,0.0035,0.0075,0.014
250,26.8931,0,0,0,0,0.0035,0.0075,0.014
251,27.2232,0,0,0,0,0.0035,0.0075,0.014
252,27.5571,0,0,0,0,0.0035,0.0075,0.014
253,27.8949,0,0,0,0,0.0035,0.0075,0.014
254,28.2366,0,0,0,0,0.0035,0.0075,0.014
255,28.5823,0,0,0,0,0.0035,0.0085,0.014
256,28.932,0,0,0,0,0.0035,0.0085,0.014
257,29.2857,0,0,0,0,0.0035,0.0085,0.014
258,29.6435,0,0,0,0,0.004,0.009,0.014
259,30.0055,0,0,0,0,0.004,0.009,0.0145
260,30.3716,0,0,0,0,0.004,0.009,0.0145
261,30.742,0,0,0,0,0.004,0.009,0.0145
262,31.1167,0,0,0,0,0.004,0.009,0.0145
263,31.4958,0,0,0,0,0.004,0.009,0.0145
264,31.8792,0,0,0,0,0.0045,0.009,0.0145
265,32.267,0,0,0,0,0.0055,0.0095,0.0145
266,32.6594,0,0,0,0,0.006,0.012,0.0175
267,33.0563,0,0,0,0,0.006,0.0125,0.0175
268,33.4578,0,0,0,0,0.007,0.0125,0.0175
269,33.864,0,0,0,0,0.007,0.0125,0.0175
270,34.2748,0,0,0,0,0.007,0.0125,0.0175
271,34.6904,0,0,0,0,0.007,0.0125,0.0175
272,35.1109,0,0,0,0,0.007,0.0125,0.018
273,35.5362,0,0,0,0,0.007,0.0125,0.018
274,35.9664,0,0,0,0,0.007,0.0135,0.018
275,36.4016,0,0,0,0,0.007,0.014,0.018
276,36.8419,0,0,0,0,0.007,0.014,0.018
277,37.2872,0,0,0,0,0.007,0.014,0.018
278,37.7377,0,0,0,0,0.007,0.014,0.018
279,38.1935,0,0,0,0,0.007,0.014,0.018
280,38.6545,0,0,0,0,0.007,0.014,0.0185
281,39.1209,0,0,0,0,0.007,0.014,0.0205
282,39.5926,0,0,0,0,0.007,0.014,0.0205
283,40.0698,0,0,0,0,0.007,0.014,0.0205
284,40.5526,0,0,0,0,0.007,0.014,0.021
285,41.0409,0,0,0,0,0.007,0.014,0.0215
286,41.5349,0,0,0,0,0.0075,0.0145,0.023
287,42.0347,0,0,0,0,0.0075,0.0145,0.023
288,42.5402,0,0,0,0,0.0075,0.0145,0.0235
289,43.0516,0,0,0,0,0.0075,0.0145,0.0235
290,43.5689,0,0,0,0,0.0075,0.0145,0.025
291,44.0922,0,0,0,0,0.0075,0.0145,0.025
292,44.6215,0,0,0,0,0.0075,0.0145,0.025
293,45.157,0,0,0,0,0.0075,0.0175,0.025
294,45.6987,0,0,0,0,0.0075,0.0175,0.025
295,46.2467,0,0,0,0,0.0075,0.0175,0.025
296,46.801,0,0,0,0,0.0075,0.0175,0.025
297,47.3617,0,0,0,0,0.0075,0.0175,0.0275
298,47.9289,0,0,0,0,0.0075,0.0175,0.0275
299,48.5027,0,0,0,0,0.0075,0.018,0.0275
300,49.0832,0,0,0,0,0.0075,0.018,0.028
301,49.6704,0,0,0,0,0.008,0.018,0.028
302,50.2644,0,0,0,0,0.0085,0.018,0.028
303,50.8652,0,0,0,0,0.0085,0.018,0.028
304,51.473,0,0,0,0,0.0085,0.018,0.0285
305,52.0879,0,0,0,0,0.009,0.018,0.0285
306,52.7099,0,0,0,0,0.009,0.018,0.0285
307,53.3391,0,0,0,0,0.009,0.0185,0.0285
308,53.9756,0,0,0,0,0.009,0.0205,0.0285
309,54.6194,0,0,0,0,0.009,0.0205,0.03
310,55.2707,0,0,0,0,0.009,0.0205,0.032
311,55.9296,0,0,0,0,0.0095,0.021,0.032
312,56.5961,0,0,0,0,0.0115,0.0215,0.0325
313,57.2703,0,0,0,0,0.012,0.023,0.0335
314,57.9523,0,0,0,0,0.0125,0.023,0.034
315,58.6423,0,0,0,0,0.0125,0.023,0.034
316,59.3402,0,0,0,0,0.0125,0.0235,0.035
317,60.0462,0,0,0,0,0.0125,0.025,0.0355
318,60.7604,0,0,0,0,0.0125,0.025,0.0355
319,61.4828,0,0,0,0,0.0125,0.025,0.0355
320,62.2137,0,0,0,0,0.0135,0.025,0.036
321,62.9529,0,0,0,0,0.014,0.025,0.036
322,63.7008,0,0,0,0,0.014,0.025,0.036
323,64.4573,0,0,0,0,0.014,0.025,0.0375
324,65.2226,0,0,0,0,0.014,0.027,0.0395
325,65.9968,0,0,0,0,0.014,0.0275,0.04
326,66.7799,0,0,0,0,0.014,0.0275,0.041
327,67.5721,0,0,0,0,0.014,0.028,0.041
328,68.3735,0,0,0,0,0.014,0.028,0.041
329,69.1841,0,0,0,0,0.014,0.028,0.041
330,70.0042,0,0,0,0,0.014,0.028,0.0415
331,70.8337,0,0,0,0,0.014,0.0285,0.0415
332,71.6729,0,0,0,0,0.0145,0.0285,0.0415
333,72.5218,0,0,0,0,0.0145,0.0285,0.045
334,73.3805,0,0,0,0,0.0145,0.0285,0.0455
335,74.2492,0,0,0,0,0.0145,0.0285,0.046
336,75.1279,0,0,0,0,0.0145,0.0285,0.0465
337,76.0168,0,0,0,0,0.0145,0.032,0.0465
338,76.916,0,0,0,0,0.0145,0.032,0.0475
339,77.8256,0,0,0,0,0.0155,0.0325,0.048
340,78.7458,0,0,0,0,0.0175,0.0335,0.049
341,79.6766,0,0,0,0,0.0175,0.034,0.048
342,80.6182,0,0,0,0,0.0175,0.034,0.0465
343,81.5708,0,0,0,0,0.0175,0.035,0.0455
344,82.5343,0,0,0,0,0.0175,0.0355,0.0445
345,83.509,0,0,0,0,0.018,0.0355,0.043
346,84.495,0,0,0,0,0.018,0.0355,0.042
347,85.4925,0,0,0,0,0.018,0.036,0.044
348,86.5014,0,0,0,0,0.018,0.036,0.0425
349,87.5221,0,0,0,0,0.018,0.036,0.0415
350,88.5546,0,0,0,0,0.018,0.0365,0.0405
351,89.5991,0,0,0,0,0.018,0.0355,0.0395
352,90.6556,0,0,0,0,0.018,0.034,0.038
353,91.7245,0,0,0,0,0.0185,0.033,0.0375
354,92.8056,0,0,0,0,0.019,0.032,0.037
355,93.8993,0,0,0,0,0.0205,0.031,0.0375
356,95.0057,0,0,0,0,0.0205,0.0295,0.0365
357,96.1249,0,0,0,0,0.0205,0.0285,0.0355
358,97.2571,0,0,0,0,0.021,0.0285,0.0345
359,98.4024,0,0,0,0,0.0215,0.0295,0.0335
360,99.5609,0,0,0,0,0.023,0.028,0.032
361,100.733,0,0,0,0,0.023,0.027,0.032
362,101.918,0,0,0,0,0.0225,0.026,0.031
363,103.118,0,0,0,0,0.0215,0.025,0.0315
364,104.331,0,0,0,0,0.0205,0.024,0.0305
365,105.558,0,0,0,0,0.0195,0.023,0.029
366,106.8,0,0,0,0,0.0185,0.0225,0.0275
367,108.055,0,0,0,0,0.0175,0.0215,0.026
368,109.326,0,0,0,0,0.0165,0.0215,0.0245
369,110.611,0,0,0,0,0.0155,0.0215,0.023
370,111.911,0,0,0,0,0.0145,0.0205,0.0215
371,113.226,0,0,0,0,0.0135,0.0195,0.02
372,114.556,0,0,0,0,0.0125,0.0185,0.0185
373,115.902,0,0,0,0,0.0125,0.017,0.017
374,117.263,0,0,0,0,0.0125,0.0155,0.0155
375,118.64,0,0,0,0,0.012,0.014,0.014
376,120.033,0,0,0,0,0.011,0.0125,0.0125
377,121.442,0,0,0,0,0.01,0.011,0.011
378,122.868,0,0,0,0,0.009,0.0095,0.0095
379,124.31,0,0,0,0,0.008,0.008,0.0085
380,125.769,0,0,0,0,0.0065,0.007,0.007
381,127.244,0,0,0,0,0.0055,0.0055,0.0055
382,128.737,0,0,0,0,0.004,0.004,0.004
383,130.247,0,0,0,0,0.0025,0.0025,0.003
384,131.774,0,0,0,0,0.001,0.0015,0.0015
385,133.32,0,0,0,0,0,0,0
386,134.883,0,0,0,0,0.001,0.001,0.0015
387,136.464,0,0,0,0,0.001,0.0015,0.0015
388,138.063,0,0,0,0,0,0,0
389,139.681,0,0,0,0,0.001,0.001,0.0015
390,141.318,0,0,0,0,0.001,0.0015,0.0015
391,142.974,0,0,0,0,0,0,0
392,144.649,0,0,0,0,0.001,0.0015,0.0015
393,146.343,0,0,0,0,0.001,0.0015,0.0015
394,148.057,0,0,0,0,0,0,0
395,149.791,0,0,0,0,0.001,0.0015,0.0015
396,151.545,0,0,0,0,0.001,0.0015,0.0015
397,153.319,0,0,0,0,0,0,0
398,155.114,0,0,0,0,0.001,0.0015,0.0015
399,156.929,0,0,0,0,0.001,0.0015,0.0015
400,158.766,0,0,0,0,0,0,0
401,160.624,0,0,0,0,0.001,0.0015,0.0015
402,162.503,0,0,0,0,0.0005,0.001,0.0015
403,164.404,0,0,0,0,0,0,0
404,166.328,0,0,0,0,0.001,0.0015,0.0015
405,168.273,0,0,0,0,0,0.001,0.0015
406,170.241,0,0,0,0,0,0,0
407,172.232,0,0,0,0,0.001,0.0015,0.0015
408,174.246,0,0,0,0,0,0.001,0.0015
409,176.283,0,0,0,0,0,0,0
410,178.344,0,0,0,0,0.001,0.0015,0.0015
411,180.428,0,0,0,0,0,0.001,0.0015
412,182.537,0,0,0,0,0,0,0
413,184.671,0,0,0,0,0.001,0.0015,0.0015
414,186.829,0,0,0,0,0,0.001,0.0015
415,189.012,0,0,0,0,0,0,0
416,191.22,0,0,0,0,0.001,0.0015,0.0015
417,193.454,0,0,0,0,0,0.0005,0.0015
418,195.713,0,0,0,0,0,0,0
419,197.999,0,0,0,0,0.001,0.0015,0.0015
420,200.312,0,0,0,0,0,0.0005,0.0015
421,202.651,0,0,0,0,0,0,0
422,205.017,0,0,0,0,0.001,0.0015,0.0015
423,207.411,0,0,0,0,0,0.0005,0.0015
424,209.832,0,0,0,0,0,0,0
425,212.282,0,0,0,0,0.001,0.0015,0.0015
426,214.76,0,0,0,0,0,0.0005,0.0015
427,217.266,0,0,0,0,0,0,0.0005
428,219.802,0,0,0,0,0.001,0.0015,0.002
429,222.367,0,0,0,0,0,0.0005,0.0015
430,224.962,0,0,0,0,0,0,0.0005
431,227.586,0,0,0,0,0.001,0.0015,0.002
432,230.242,0,0,0,0,0,0.0005,0.0015
433,232.928,0,0,0,0,0,0,0.001
434,235.645,0,0,0,0,0.001,0.0015,0.002
435,238.393,0,0,0,0,0,0.0005,0.0015
436,241.174,0,0,0,0,0,0,0.001
437,243.986,0,0,0,0,0.0005,0.0015,0.0025
438,246.831,0,0,0,0,0,0.0005,0.0015
439,249.709,0,0,0,0,0,0.0005,0.0015
440,252.621,0,0,0,0,0.0005,0.0015,0.0025
441,255.566,0,0,0,0,0,0.0005,0.0015
442,258.545,0,0,0,0,0,0.0005,0.0015
443,261.559,0,0,0,0,0.0005,0.0015,0.0025
444,264.608,0,0,0,0,0,0.0005,0.0015
445,267.692,0,0,0,0,0,0.001,0.0015
446,270.812,0,0,0,0,0.0005,0.0015,0.0025
447,273.968,0,0,0,0,0,0.001,0.0015
448,277.16,0,0,0,0,0,0.001,0.002
449,280.39,0,0,0,0,0.0005,0.0015,0.0025
450,283.657,0,0,0,0,0,0.001,0.0025
451,286.962,0,0,0,0,0,0.001,0.0025
452,290.305,0,0,0,0,0.0005,0.0015,0.0025
453,293.686,0,0,0,0,0,0.001,0.0025
454,297.107,0,0,0,0,0,0.0015,0.0025
455,300.568,0,0,0,0,0.0005,0.0015,0.0025
456,304.069,0,0,0,0,0,0.0015,0.0025
457,307.61,0,0,0,0,0,0.0015,0.0025
458,311.192,0,0,0,0,0.0005,0.0015,0.0025
459,314.816,0,0,0,0,0,0.0015,0.0025
460,318.482,0,0,0,0,0,0.0015,0.0025
461,322.19,0,0,0,0,0.0005,0.0015,0.0025
462,325.941,0,0,0,0,0,0.0015,0.0025
463,329.736,0,0,0,0,0.0005,0.0015,0.0025
464,333.574,0,0,0,0,0.0005,0.0015,0.0025
465,337.457,0,0,0,0,0,0.0015,0.0025
466,341.385,0,0,0,0,0.0005,0.0015,0.0025
467,345.359,0,0,0,0,0.0005,0.0015,0.0025
468,349.379,0,0,0,0,0,0.0015,0.0025
469,353.445,0,0,0,0,0.0005,0.0015,0.0025
470,357.558,0,0,0,0,0.0005,0.0015,0.0025
471,361.719,0,0,0,0,0.0005,0.0015,0.0025
472,365.928,0,0,0,0,0.0005,0.002,0.0025
473,370.186,0,0,0,0,0.0005,0.0025,0.0025
474,374.493,0,0,0,0,0.0005,0.002,0.0025
475,378.85,0,0,0,0,0.0005,0.0025,0.0025
476,383.258,0,0,0,0,0.0005,0.0025,0.0025
